iter	RMSE
0	713.6383911
1	688.4617328
2	667.0481827
3	648.918299
4	632.8958921
5	619.1172559
6	607.4668686
7	596.3975167
8	586.9460272
9	578.7820724
10	572.2944423
11	566.6125389
12	561.3329647
13	556.3216058
14	552.0828518
15	548.6505651
16	545.7163173
17	540.743262
18	538.299909
19	536.0898566
20	532.3709356
21	529.8454767
22	528.3903575
23	525.7491463
24	524.3118839
25	523.265366
26	520.7356156
27	519.4466522
28	517.7579916
29	515.8754722
30	514.7331204
31	513.7615566
32	512.29895
33	511.591676
34	510.9129516
35	509.8065531
36	509.2518841
37	508.6689186
38	508.3607429
39	507.1468174
40	506.7684206
41	506.3020387
42	505.049093
43	504.6781607
44	503.7912555
45	503.4188911
46	502.6179669
47	502.2211562
48	501.7283638
49	501.1470602
50	499.8265694
51	499.4802948
52	499.2931195
53	498.6114804
54	497.6734778
55	497.3222296
56	496.7647622
57	496.3417667
58	495.6837974
59	494.8970104
60	494.2867525
61	494.0458611
62	493.0056911
63	492.1034526
64	491.5688301
65	491.4093955
66	490.9609739
67	490.4098145
68	489.8738271
69	489.39484
70	489.2724699
71	488.9887518
72	488.5158094
73	488.1071211
74	487.8248288
75	487.6365792
76	487.2537415
77	486.8666574
78	486.535244
79	486.2781215
80	486.2188121
81	486.0908247
82	485.8857654
83	485.7310383
84	485.1651878
85	484.8747612
86	484.6017897
87	484.2353725
88	484.0088689
89	483.7362247
90	483.5814266
91	483.3641976
92	483.1993512
93	482.8507618
94	482.5915309
95	482.431802
96	481.9007193
97	481.5736291
98	481.2773174
99	481.0985932
100	480.8793672
101	480.7847858
102	480.5394075
103	480.2486491
104	480.0814723
105	479.9619724
106	479.7950065
107	479.4713641
108	479.0902767
109	478.8599474
110	478.5654561
111	478.3544388
112	478.1821426
113	477.7069106
114	477.5386971
115	477.3018306
116	477.2034522
117	476.9043149
118	476.5368749
119	476.2761963
120	476.0225057
121	475.8547474
122	475.7236583
123	475.5040202
124	475.3644022
125	475.2474443
126	475.0818124
127	474.8939968
128	474.791388
129	474.691972
130	474.5540928
131	474.3386468
132	474.2729805
133	474.155106
134	473.7895511
135	473.6904804
136	473.5403444
137	473.4533559
138	473.1759272
139	472.9792882
140	472.8201892
141	472.6385268
142	472.4115502
143	472.2122154
144	472.0887542
145	471.9196718
146	471.7896273
147	471.6217209
148	471.4876876
149	471.3037809
150	471.222187
151	471.1206774
152	471.0308959
153	470.8649916
154	470.7435434
155	470.6547521
156	470.4107276
157	470.1260184
158	470.0136166
159	469.8001958
160	469.6839065
161	469.612864
162	469.493726
163	469.3767255
164	469.2335274
165	469.0149267
166	468.8854608
167	468.765876
168	468.4137732
169	468.3400847
170	468.2429892
171	468.1203923
172	467.983407
173	467.8271086
174	467.6392678
175	467.551144
176	467.2913464
177	467.1916299
178	467.019967
179	466.8371748
180	466.7581262
181	466.6235042
182	466.4633467
183	466.3274923
184	466.2794523
185	466.1697356
186	466.0935094
187	465.8334261
188	465.7588209
189	465.5553377
190	465.3859359
191	465.2443939
192	465.0722008
193	464.7776731
194	464.6793236
195	464.5007842
196	464.443415
197	464.2913656
198	464.2393552
199	464.0922851
200	463.9432968
201	463.8140982
202	463.6377039
203	463.512167
204	463.4135111
205	463.315421
206	463.1083262
207	463.0029539
208	462.8406151
209	462.6938018
210	462.597512
211	462.5064743
212	462.4287528
213	462.2792093
214	462.2225701
215	462.1266566
216	462.0962312
217	461.9667629
218	461.9171301
219	461.8366886
220	461.7608108
221	461.6817479
222	461.5707673
223	461.4160985
224	461.3786114
225	461.2139893
226	461.1057874
227	461.0122861
228	460.9282044
229	460.8453444
230	460.8155006
231	460.7284893
232	460.6025784
233	460.4197721
234	460.2694235
235	460.2223901
236	460.1378019
237	460.0586507
238	459.9965899
239	459.9486896
240	459.8677321
241	459.6350406
242	459.5251308
243	459.5096127
244	459.3604364
245	459.1850054
246	459.0640019
247	458.9361628
248	458.8639532
249	458.7424061
250	458.6607577
251	458.6005732
252	458.5086845
253	458.4086264
254	458.2913604
255	458.2038698
256	458.0876428
257	457.9872438
258	457.9099811
259	457.8396596
260	457.7672197
261	457.6800505
262	457.6160187
263	457.5339775
264	457.3885291
265	457.3197577
266	457.2385649
267	457.1775793
268	457.1080278
269	457.072682
270	456.985457
271	456.9131504
272	456.8903063
273	456.8521214
274	456.7028453
275	456.5573818
276	456.4812029
277	456.4124677
278	456.3448369
279	456.2636245
280	456.1735338
281	456.0714441
282	455.9570781
283	455.7555695
284	455.6940198
285	455.638564
286	455.5444604
287	455.4918556
288	455.4514158
289	455.4187726
290	455.345177
291	455.120291
292	455.1031387
293	455.0356796
294	454.8854603
295	454.8158668
296	454.7791085
297	454.692331
298	454.6044371
299	454.5344147
300	454.4206269
301	454.3434141
302	454.2772902
303	454.1858979
304	454.0836318
305	454.01832
306	453.9521102
307	453.871629
308	453.8276821
309	453.7013253
310	453.6784741
311	453.5395829
312	453.3769316
313	453.327229
314	453.2756053
315	453.2143574
316	453.1767338
317	453.144817
318	453.0991154
319	453.0166241
320	452.9679663
321	452.838135
322	452.7657472
323	452.6764718
324	452.5572941
325	452.5036054
326	452.4355648
327	452.3459333
328	452.2186195
329	452.1842686
330	452.0633896
331	451.9983488
332	451.9421678
333	451.8634639
334	451.8128377
335	451.7420136
336	451.6516231
337	451.6086836
338	451.4608017
339	451.4317557
340	451.3953242
341	451.2821832
342	451.2263213
343	451.1717744
344	451.0737056
345	450.976724
346	450.9489306
347	450.8927745
348	450.7594657
349	450.6409683
350	450.5861949
351	450.5188965
352	450.4962928
353	450.3472081
354	450.2752964
355	450.1626727
356	450.0663134
357	450.0109242
358	449.9337149
359	449.9001059
360	449.8739812
361	449.8044898
362	449.7769945
363	449.7347342
364	449.692743
365	449.645169
366	449.5923227
367	449.5497914
368	449.50189
369	449.4352295
370	449.3965087
371	449.2878815
372	449.1780565
373	449.1253114
374	449.0216388
375	448.9350183
376	448.8339985
377	448.7689391
378	448.6992961
379	448.6493295
380	448.6063373
381	448.5678383
382	448.4521846
383	448.4176626
384	448.3521515
385	448.3148045
386	448.2763196
387	448.2297499
388	448.1813748
389	447.995869
390	447.9475861
391	447.762865
392	447.5674069
393	447.4963029
394	447.3943113
395	447.2695296
396	447.2306606
397	447.1958874
398	447.1283534
399	447.0757589
400	447.0079909
401	446.9367587
402	446.8661628
403	446.8048411
404	446.7192437
405	446.6759087
406	446.6189993
407	446.553244
408	446.4939616
409	446.4524711
410	446.4382078
411	446.3746856
412	446.327544
413	446.1752775
414	446.1504091
415	446.0829921
416	446.0245322
417	445.9619934
418	445.8828437
419	445.8366731
420	445.7685987
421	445.7172606
422	445.6166923
423	445.545533
424	445.4966105
425	445.4778669
426	445.4428584
427	445.3535921
428	445.2843013
429	445.1949244
430	445.11686
431	445.0351359
432	445.0225616
433	444.9745475
434	444.8269839
435	444.8082318
436	444.6919948
437	444.5915103
438	444.5182334
439	444.4476678
440	444.3951705
441	444.3711499
442	444.2774434
443	444.254601
444	444.1906481
445	444.1367775
446	444.0626947
447	444.0219054
448	443.9814285
449	443.9196688
450	443.8564185
451	443.7720312
452	443.7103017
453	443.6872522
454	443.6156252
455	443.5743202
456	443.5570378
457	443.4890288
458	443.3984789
459	443.3607345
460	443.3107003
461	443.1134169
462	443.0682247
463	442.9588377
464	442.9375709
465	442.8856471
466	442.8354008
467	442.7993515
468	442.7094729
469	442.5687446
470	442.506431
471	442.4802265
472	442.4515228
473	442.3896685
474	442.3448385
475	442.2974459
476	442.2614916
477	442.2139908
478	442.1362532
479	442.0884811
480	441.9963147
481	441.928661
482	441.8559945
483	441.7929848
484	441.7092756
485	441.6622318
486	441.6251731
487	441.5674141
488	441.5197593
489	441.4338324
490	441.4000333
491	441.3398401
492	441.2400831
493	441.1607026
494	441.13581
495	441.0632118
496	441.0219462
497	440.9610052
498	440.9261752
499	440.8833451
500	440.828553
501	440.7806591
502	440.7233068
503	440.6890949
504	440.6627426
505	440.5583727
506	440.5064273
507	440.4446981
508	440.3924605
509	440.3769852
510	440.331054
511	440.3029671
512	440.2372646
513	440.1041362
514	440.077689
515	440.0329823
516	439.9752137
517	439.9139882
518	439.8767822
519	439.7928478
520	439.7403932
521	439.6980459
522	439.6376198
523	439.5552361
524	439.5288756
525	439.4808401
526	439.4302444
527	439.380102
528	439.3183543
529	439.2622089
530	439.2047383
531	439.1699887
532	439.0790276
533	439.0500614
534	439.0281658
535	438.9780774
536	438.9479057
537	438.903004
538	438.8455063
539	438.7363859
540	438.6688892
541	438.6015621
542	438.5047825
543	438.4683971
544	438.453294
545	438.425947
546	438.3999188
547	438.3702275
548	438.3108189
549	438.2711754
550	438.2515824
551	438.2308478
552	438.1744229
553	438.1261988
554	438.1026153
555	438.0506591
556	437.9880431
557	437.9427426
558	437.8850787
559	437.8549519
560	437.8063921
561	437.7029241
562	437.6252269
563	437.5698264
564	437.4314148
565	437.3867986
566	437.3515235
567	437.3158845
568	437.2754688
569	437.2568743
570	437.229292
571	437.165174
572	437.1371445
573	437.1161162
574	437.0536473
575	437.0386559
576	436.9827193
577	436.9401651
578	436.8731738
579	436.8244848
580	436.7932005
581	436.7367104
582	436.6957389
583	436.6536388
584	436.5990391
585	436.5670957
586	436.5163833
587	436.4670115
588	436.4170511
589	436.3991436
590	436.3457986
591	436.3264207
592	436.2367365
593	436.1764341
594	436.1030304
595	436.0576346
596	435.9789803
597	435.8972533
598	435.8756018
599	435.8019059
600	435.7169048
601	435.6665162
602	435.6180144
603	435.5594387
604	435.5240156
605	435.4654474
606	435.3914807
607	435.3262659
608	435.2883051
609	435.2804466
610	435.2562857
611	435.206388
612	435.1846416
613	435.1486437
614	435.1161706
615	435.0565596
616	434.9934723
617	434.9651617
618	434.9385432
619	434.8892342
620	434.8163798
621	434.7954813
622	434.726263
623	434.7045128
624	434.6131216
625	434.5665812
626	434.5493442
627	434.5244564
628	434.5038467
629	434.4471598
630	434.4119287
631	434.3855186
632	434.3665985
633	434.300523
634	434.2493641
635	434.2260346
636	434.1855737
637	434.1495334
638	434.0763528
639	434.041819
640	433.9768461
641	433.9507936
642	433.9191606
643	433.8347408
644	433.7394657
645	433.6719194
646	433.610168
647	433.5776605
648	433.5370784
649	433.4928302
650	433.4377514
651	433.3926027
652	433.329516
653	433.2740926
654	433.2509738
655	433.2042263
656	433.1586482
657	433.1302582
658	433.0806623
659	432.987166
660	432.9363989
661	432.8345227
662	432.801045
663	432.7679498
664	432.7348116
665	432.711218
666	432.6791092
667	432.624089
668	432.603186
669	432.4890633
670	432.4599803
671	432.434668
672	432.4106321
673	432.3899013
674	432.3260394
675	432.2401924
676	432.1679873
677	432.1360209
678	432.0687517
679	432.0465631
680	432.006162
681	431.9449238
682	431.8877792
683	431.8557311
684	431.7778958
685	431.7637166
686	431.7445596
687	431.7234312
688	431.6987868
689	431.6189927
690	431.6041376
691	431.5543867
692	431.5159315
693	431.4659264
694	431.4015211
695	431.3639876
696	431.3351337
697	431.2976758
698	431.267821
699	431.1683781
700	431.1317398
701	431.1246192
702	431.0932061
703	431.0826668
704	431.0595932
705	431.050457
706	431.0283789
707	431.0093724
708	430.9770555
709	430.9639692
710	430.9374293
711	430.9131267
712	430.8962728
713	430.8404142
714	430.811281
715	430.7364947
716	430.7051347
717	430.6779067
718	430.6361959
719	430.5989419
720	430.5547381
721	430.479785
722	430.4568218
723	430.3748613
724	430.329167
725	430.2465503
726	430.2263268
727	430.1910355
728	430.1767224
729	430.0851236
730	430.0422539
731	430.0310361
732	430.0084569
733	429.9780637
734	429.9505245
735	429.9381415
736	429.9080086
737	429.8094348
738	429.7489856
739	429.7067151
740	429.6826695
741	429.6552747
742	429.6391472
743	429.586249
744	429.5315882
745	429.5130669
746	429.4818627
747	429.4571305
748	429.4161794
749	429.359209
750	429.3408028
751	429.2594261
752	429.1262032
753	429.0733031
754	429.0250373
755	428.9845561
756	428.9082856
757	428.8083774
758	428.7846087
759	428.7213759
760	428.6804363
761	428.5669677
762	428.5193408
763	428.5100072
764	428.466202
765	428.4275515
766	428.4136299
767	428.3909449
768	428.3603961
769	428.3263639
770	428.3178247
771	428.3127667
772	428.2867997
773	428.2497509
774	428.2038094
775	428.1585798
776	428.1005201
777	428.0718971
778	428.0549518
779	428.0273708
780	427.9771836
781	427.9621816
782	427.8979869
783	427.8599615
784	427.7968586
785	427.7634172
786	427.7404927
787	427.6772491
788	427.6373992
789	427.6116168
790	427.5606012
791	427.5122672
792	427.4999777
793	427.4626351
794	427.4305424
795	427.3725069
796	427.3505671
797	427.3203339
798	427.2770226
799	427.2291082
800	427.1991538
801	427.1733244
802	427.1229547
803	427.0849219
804	427.0411965
805	427.0281129
806	426.9860455
807	426.9525201
808	426.90987
809	426.878229
810	426.8416539
811	426.8122067
812	426.7495654
813	426.7231127
814	426.6937601
815	426.6516186
816	426.6128037
817	426.5742936
818	426.5474188
819	426.5313384
820	426.4795149
821	426.439841
822	426.4012331
823	426.34207
824	426.3128145
825	426.2862936
826	426.2488035
827	426.2350783
828	426.2226696
829	426.1935706
830	426.1656016
831	426.1281626
832	426.0878384
833	426.0751785
834	426.0650708
835	426.0090729
836	425.9722378
837	425.9121502
838	425.8817737
839	425.8372656
840	425.7420138
841	425.705609
842	425.6631018
843	425.5985191
844	425.4701694
845	425.4289376
846	425.4109593
847	425.3512872
848	425.330831
849	425.3036714
850	425.2648778
851	425.2514302
852	425.1913851
853	425.1399554
854	425.1206856
855	425.1118345
856	424.9907676
857	424.933885
858	424.9004661
859	424.8543894
860	424.8298421
861	424.8069244
862	424.7819613
863	424.7467545
864	424.7090459
865	424.6600775
866	424.5914173
867	424.5549345
868	424.5016507
869	424.4290177
870	424.3894208
871	424.3572611
872	424.3041592
873	424.2742051
874	424.236992
875	424.1967776
876	424.1498593
877	424.1268429
878	424.0962558
879	424.05125
880	424.0008404
881	423.9449629
882	423.9179628
883	423.8889125
884	423.8709516
885	423.8561354
886	423.8067373
887	423.7703732
888	423.7545807
889	423.7249396
890	423.6925638
891	423.6673695
892	423.6421322
893	423.608632
894	423.5717125
895	423.5376476
896	423.5049469
897	423.4682876
898	423.449149
899	423.4182643
900	423.3632422
901	423.3483461
902	423.3367644
903	423.3114867
904	423.2925067
905	423.2547722
906	423.2294482
907	423.2162053
908	423.1995216
909	423.1653231
910	423.1389573
911	423.1028467
912	423.083422
913	423.0582743
914	423.0365047
915	423.0012563
916	422.9791105
917	422.9653206
918	422.9266236
919	422.8961571
920	422.8488664
921	422.8247212
922	422.785389
923	422.7748914
924	422.7502648
925	422.7166317
926	422.6725996
927	422.6450202
928	422.6087429
929	422.5657789
930	422.5517888
931	422.5392719
932	422.5245543
933	422.4910486
934	422.4424045
935	422.3419635
936	422.3146533
937	422.3070933
938	422.2905606
939	422.2743181
940	422.2478551
941	422.2231977
942	422.145955
943	422.1110478
944	422.0764494
945	422.0070363
946	421.9896812
947	421.9698727
948	421.9246817
949	421.9007331
950	421.8729577
951	421.8188984
952	421.774024
953	421.7492141
954	421.7069946
955	421.68788
956	421.6628778
957	421.634005
958	421.6129316
959	421.5881331
960	421.5626257
961	421.5301463
962	421.4356484
963	421.4068641
964	421.3789728
965	421.3479364
966	421.3166271
967	421.2517736
968	421.2081298
969	421.1798714
970	421.143697
971	421.1152468
972	421.0973759
973	421.064069
974	421.0094059
975	420.9608614
976	420.9370039
977	420.8945361
978	420.8444153
979	420.8111092
980	420.7747364
981	420.7087778
982	420.6963938
983	420.664056
984	420.6113428
985	420.597079
986	420.5704688
987	420.541667
988	420.4934023
989	420.4735233
990	420.4447774
991	420.3959591
992	420.3229088
993	420.312475
994	420.2987646
995	420.274285
996	420.2490945
997	420.2270541
998	420.2134035
999	420.181613
