iter	Passed	Remaining
0	14	14082
1	28	14246
2	42	14150
3	55	13817
4	69	13862
5	81	13462
6	95	13574
7	109	13519
8	119	13151
9	130	12932
10	142	12791
11	152	12549
12	165	12560
13	176	12410
14	186	12255
15	197	12167
16	211	12213
17	221	12089
18	231	11958
19	242	11900
20	255	11931
21	266	11865
22	277	11797
23	288	11723
24	299	11662
25	308	11560
26	318	11473
27	328	11398
28	338	11346
29	350	11327
30	359	11245
31	369	11187
32	381	11170
33	390	11088
34	401	11073
35	411	11020
36	421	10977
37	431	10916
38	441	10884
39	453	10875
40	462	10815
41	472	10778
42	482	10747
43	493	10728
44	506	10754
45	515	10690
46	525	10665
47	535	10615
48	548	10652
49	559	10622
50	568	10578
51	578	10544
52	588	10508
53	597	10475
54	607	10440
55	619	10448
56	630	10423
57	640	10406
58	650	10380
59	660	10351
60	670	10327
61	681	10304
62	692	10292
63	702	10267
64	715	10291
65	726	10283
66	739	10292
67	750	10279
68	759	10253
69	769	10221
70	778	10191
71	787	10155
72	799	10148
73	809	10132
74	836	10313
75	853	10380
76	868	10409
77	881	10423
78	895	10439
79	909	10458
80	921	10455
81	935	10473
82	945	10450
83	958	10454
84	970	10443
85	979	10408
86	990	10392
87	1002	10393
88	1015	10391
89	1027	10392
90	1038	10371
91	1048	10344
92	1058	10320
93	1068	10294
94	1078	10277
95	1089	10262
96	1100	10242
97	1109	10215
98	1118	10182
99	1135	10221
100	1145	10197
101	1155	10176
102	1172	10211
103	1181	10180
104	1191	10159
105	1202	10141
106	1210	10106
107	1219	10075
108	1229	10051
109	1239	10029
110	1250	10012
111	1261	9998
112	1273	9994
113	1288	10011
114	1299	9997
115	1311	9997
116	1324	9998
117	1339	10009
118	1350	9997
119	1359	9969
120	1369	9946
121	1378	9917
122	1388	9896
123	1397	9870
124	1408	9858
125	1421	9859
126	1432	9848
127	1444	9837
128	1452	9808
129	1463	9794
130	1476	9796
131	1487	9780
132	1496	9753
133	1504	9725
134	1513	9699
135	1524	9686
136	1537	9682
137	1546	9658
138	1556	9644
139	1566	9621
140	1576	9603
141	1584	9576
142	1594	9555
143	1605	9543
144	1616	9531
145	1625	9505
146	1634	9486
147	1645	9474
148	1655	9457
149	1665	9438
150	1676	9427
151	1687	9415
152	1699	9405
153	1717	9432
154	1725	9407
155	1735	9390
156	1744	9365
157	1752	9340
158	1763	9329
159	1771	9302
160	1781	9286
161	1793	9280
162	1806	9274
163	1817	9266
164	1827	9247
165	1837	9229
166	1845	9207
167	1858	9201
168	1867	9181
169	1876	9162
170	1886	9143
171	1895	9124
172	1904	9105
173	1914	9088
174	1926	9080
175	1938	9077
176	1951	9072
177	1962	9064
178	1974	9054
179	1984	9041
180	1995	9031
181	2006	9017
182	2015	8996
183	2023	8974
184	2033	8957
185	2041	8934
186	2050	8915
187	2061	8905
188	2071	8887
189	2082	8879
190	2095	8874
191	2105	8858
192	2116	8851
193	2128	8841
194	2137	8823
195	2149	8815
196	2164	8824
197	2174	8808
198	2184	8792
199	2193	8773
200	2202	8754
201	2212	8740
202	2223	8728
203	2239	8736
204	2252	8734
205	2262	8721
206	2271	8703
207	2281	8688
208	2292	8677
209	2302	8660
210	2311	8643
211	2321	8630
212	2331	8612
213	2343	8605
214	2354	8595
215	2364	8580
216	2374	8567
217	2386	8559
218	2396	8546
219	2407	8534
220	2417	8521
221	2427	8505
222	2437	8491
223	2447	8480
224	2458	8468
225	2467	8450
226	2477	8435
227	2486	8420
228	2498	8410
229	2508	8399
230	2519	8388
231	2529	8372
232	2540	8363
233	2549	8346
234	2559	8331
235	2570	8322
236	2581	8312
237	2591	8297
238	2600	8281
239	2610	8265
240	2618	8248
241	2632	8245
242	2643	8235
243	2654	8224
244	2665	8213
245	2674	8198
246	2684	8184
247	2696	8177
248	2708	8168
249	2720	8160
250	2732	8152
251	2743	8142
252	2754	8131
253	2765	8121
254	2775	8109
255	2786	8098
256	2795	8082
257	2807	8074
258	2825	8082
259	2834	8067
260	2843	8051
261	2852	8035
262	2861	8019
263	2870	8003
264	2881	7992
265	2890	7976
266	2899	7959
267	2908	7945
268	2919	7934
269	2936	7939
270	2952	7941
271	2966	7939
272	2975	7924
273	2984	7906
274	2992	7888
275	3001	7872
276	3010	7858
277	3019	7842
278	3029	7828
279	3038	7813
280	3054	7815
281	3067	7810
282	3078	7798
283	3087	7784
284	3098	7774
285	3112	7769
286	3123	7759
287	3133	7745
288	3143	7732
289	3152	7717
290	3160	7701
291	3174	7698
292	3187	7691
293	3197	7678
294	3206	7661
295	3216	7650
296	3226	7636
297	3237	7626
298	3248	7616
299	3260	7607
300	3270	7595
301	3282	7585
302	3292	7573
303	3304	7565
304	3315	7554
305	3325	7541
306	3333	7524
307	3342	7509
308	3351	7494
309	3362	7483
310	3371	7468
311	3380	7453
312	3389	7440
313	3397	7422
314	3407	7410
315	3418	7398
316	3426	7383
317	3435	7367
318	3444	7352
319	3453	7338
320	3462	7323
321	3472	7312
322	3483	7300
323	3492	7287
324	3503	7275
325	3513	7264
326	3523	7252
327	3532	7236
328	3542	7224
329	3551	7210
330	3561	7197
331	3570	7183
332	3578	7168
333	3587	7153
334	3596	7138
335	3606	7126
336	3617	7117
337	3625	7100
338	3634	7086
339	3643	7072
340	3654	7062
341	3663	7048
342	3674	7037
343	3685	7028
344	3697	7020
345	3708	7009
346	3721	7003
347	3730	6990
348	3740	6977
349	3752	6968
350	3764	6960
351	3776	6951
352	3786	6939
353	3798	6931
354	3807	6917
355	3818	6907
356	3829	6896
357	3839	6885
358	3848	6872
359	3859	6861
360	3868	6848
361	3881	6840
362	3892	6831
363	3902	6819
364	3915	6811
365	3926	6801
366	3938	6792
367	3948	6781
368	3959	6770
369	3970	6761
370	3981	6750
371	3991	6737
372	4000	6724
373	4008	6709
374	4016	6694
375	4027	6684
376	4041	6678
377	4050	6664
378	4058	6650
379	4067	6636
380	4078	6625
381	4087	6612
382	4096	6598
383	4106	6586
384	4115	6574
385	4128	6566
386	4140	6558
387	4150	6547
388	4163	6539
389	4175	6530
390	4185	6519
391	4198	6511
392	4210	6503
393	4218	6488
394	4228	6477
395	4238	6464
396	4247	6451
397	4256	6438
398	4266	6426
399	4276	6415
400	4287	6403
401	4297	6392
402	4307	6381
403	4318	6370
404	4328	6358
405	4338	6347
406	4350	6339
407	4363	6331
408	4375	6321
409	4388	6315
410	4402	6309
411	4415	6301
412	4427	6292
413	4437	6281
414	4448	6270
415	4458	6259
416	4469	6248
417	4479	6236
418	4488	6223
419	4497	6211
420	4510	6203
421	4524	6196
422	4539	6192
423	4553	6186
424	4567	6179
425	4584	6177
426	4599	6172
427	4612	6164
428	4624	6155
429	4634	6143
430	4643	6129
431	4656	6123
432	4669	6114
433	4683	6107
434	4694	6097
435	4706	6088
436	4718	6079
437	4727	6066
438	4737	6053
439	4747	6042
440	4757	6031
441	4768	6019
442	4777	6007
443	4787	5995
444	4797	5982
445	4806	5970
446	4817	5960
447	4829	5950
448	4838	5937
449	4848	5925
450	4858	5913
451	4867	5901
452	4880	5893
453	4889	5880
454	4899	5869
455	4910	5858
456	4920	5846
457	4933	5838
458	4942	5825
459	4951	5812
460	4962	5801
461	4971	5789
462	4982	5778
463	4992	5767
464	5000	5753
465	5012	5744
466	5024	5734
467	5034	5722
468	5041	5708
469	5052	5697
470	5061	5685
471	5070	5672
472	5081	5662
473	5090	5649
474	5099	5636
475	5112	5628
476	5127	5621
477	5142	5616
478	5153	5605
479	5163	5594
480	5173	5582
481	5182	5569
482	5191	5557
483	5202	5546
484	5212	5534
485	5223	5524
486	5232	5511
487	5243	5501
488	5254	5490
489	5266	5481
490	5276	5469
491	5287	5459
492	5296	5447
493	5307	5436
494	5318	5425
495	5327	5413
496	5337	5402
497	5348	5391
498	5357	5378
499	5365	5365
500	5374	5352
501	5383	5340
502	5392	5328
503	5404	5318
504	5415	5307
505	5424	5295
506	5434	5284
507	5443	5272
508	5453	5260
509	5461	5247
510	5469	5234
511	5480	5223
512	5489	5211
513	5499	5199
514	5512	5191
515	5527	5185
516	5536	5172
517	5547	5162
518	5558	5151
519	5568	5139
520	5578	5129
521	5591	5120
522	5601	5108
523	5611	5097
524	5620	5085
525	5629	5072
526	5638	5060
527	5647	5048
528	5657	5037
529	5670	5028
530	5683	5020
531	5698	5012
532	5712	5005
533	5723	4994
534	5733	4983
535	5743	4971
536	5752	4960
537	5762	4948
538	5771	4936
539	5781	4925
540	5793	4915
541	5806	4906
542	5815	4894
543	5828	4885
544	5839	4874
545	5849	4864
546	5863	4855
547	5873	4844
548	5886	4835
549	5898	4826
550	5911	4816
551	5923	4807
552	5933	4796
553	5943	4785
554	5954	4774
555	5964	4763
556	5974	4751
557	5984	4740
558	5993	4728
559	6008	4720
560	6017	4709
561	6027	4697
562	6036	4685
563	6046	4674
564	6055	4662
565	6068	4652
566	6080	4643
567	6089	4631
568	6099	4620
569	6110	4609
570	6122	4600
571	6134	4590
572	6143	4578
573	6154	4567
574	6164	4556
575	6174	4545
576	6186	4535
577	6198	4525
578	6207	4513
579	6217	4502
580	6227	4490
581	6236	4479
582	6246	4468
583	6255	4455
584	6267	4446
585	6277	4435
586	6287	4423
587	6299	4413
588	6309	4402
589	6320	4392
590	6331	4381
591	6341	4370
592	6351	4359
593	6360	4347
594	6369	4335
595	6380	4325
596	6391	4314
597	6399	4302
598	6413	4293
599	6426	4284
600	6435	4272
601	6445	4261
602	6457	4251
603	6471	4242
604	6482	4232
605	6492	4221
606	6501	4209
607	6510	4197
608	6519	4185
609	6529	4174
610	6540	4163
611	6550	4152
612	6560	4141
613	6568	4129
614	6579	4118
615	6588	4107
616	6597	4095
617	6606	4083
618	6617	4073
619	6630	4063
620	6640	4052
621	6651	4041
622	6662	4031
623	6678	4024
624	6690	4014
625	6701	4003
626	6712	3993
627	6722	3982
628	6733	3971
629	6743	3960
630	6752	3948
631	6761	3937
632	6773	3926
633	6786	3917
634	6796	3906
635	6817	3901
636	6836	3895
637	6849	3886
638	6861	3876
