일자,발전구분,설비용량(MW),시간,발전량(kWh),연식(년),지점명,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),일사(MJ/m2),적설(cm),하늘상태,태양고도,방위각
2023-01-01,(군산)삼랑진태양광,2.0,1,0.0,14.8,양산시,1.9,0.0,2.4,180.0,54.0,0.0,0.0,1.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,1,0.0,14.8,양산시,1.9,0.0,2.4,180.0,54.0,0.0,0.0,1.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,2,0.0,14.8,양산시,1.5,0.0,2.4,200.0,54.0,0.0,0.0,1.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,2,0.0,14.8,양산시,1.5,0.0,2.4,200.0,54.0,0.0,0.0,1.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,3,0.0,14.8,양산시,-1.2,0.0,0.8,250.0,72.0,0.0,0.0,1.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,3,0.0,14.8,양산시,-1.2,0.0,0.8,250.0,72.0,0.0,0.0,1.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,4,0.0,14.8,양산시,-0.5,0.0,1.5,250.0,70.0,0.0,0.0,1.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,4,0.0,14.8,양산시,-0.5,0.0,1.5,250.0,70.0,0.0,0.0,1.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,5,0.0,14.8,양산시,-1.4,0.0,1.9,230.0,73.0,0.0,0.0,1.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,5,0.0,14.8,양산시,-1.4,0.0,1.9,230.0,73.0,0.0,0.0,1.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,6,0.0,14.8,양산시,-1.2,0.0,1.4,230.0,74.0,0.0,0.0,1.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,6,0.0,14.8,양산시,-1.2,0.0,1.4,230.0,74.0,0.0,0.0,1.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,7,0.0,14.8,양산시,-1.5,0.0,2.5,230.0,75.0,0.0,0.0,1.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,7,0.0,14.8,양산시,-1.5,0.0,2.5,230.0,75.0,0.0,0.0,1.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,8,1.08,14.8,양산시,-1.3,0.0,1.8,200.0,74.0,0.01,0.0,1.0,4.067541261032544,121.96684997443066
2023-01-01,(군산)삼랑진태양광,2.0,8,0.864,14.8,양산시,-1.3,0.0,1.8,200.0,74.0,0.01,0.0,1.0,4.067541261032544,121.96684997443066
2023-01-01,(군산)삼랑진태양광,2.0,9,148.68,14.8,양산시,-0.2,0.0,2.4,200.0,71.0,0.26,0.0,1.0,13.729003654205169,131.8170378803968
2023-01-01,(군산)삼랑진태양광,2.0,9,88.32,14.8,양산시,-0.2,0.0,2.4,200.0,71.0,0.26,0.0,1.0,13.729003654205169,131.8170378803968
2023-01-01,(군산)삼랑진태양광,2.0,10,493.92,14.8,양산시,2.2,0.0,2.2,230.0,62.0,0.88,0.0,1.0,21.957519028919084,143.43857589322727
2023-01-01,(군산)삼랑진태양광,2.0,10,316.224,14.8,양산시,2.2,0.0,2.2,230.0,62.0,0.88,0.0,1.0,21.957519028919084,143.43857589322727
2023-01-01,(군산)삼랑진태양광,2.0,11,875.16,14.8,양산시,5.1,0.0,1.9,230.0,52.0,1.32,0.0,1.0,28.029841499440543,157.11066366491718
2023-01-01,(군산)삼랑진태양광,2.0,11,487.392,14.8,양산시,5.1,0.0,1.9,230.0,52.0,1.32,0.0,1.0,28.029841499440543,157.11066366491718
2023-01-01,(군산)삼랑진태양광,2.0,12,1098.18,14.8,양산시,7.2,0.0,2.2,230.0,42.0,1.6,0.0,1.0,31.24175184397636,172.5545648062773
2023-01-01,(군산)삼랑진태양광,2.0,12,577.728,14.8,양산시,7.2,0.0,2.2,230.0,42.0,1.6,0.0,1.0,31.24175184397636,172.5545648062773
2023-01-01,(군산)삼랑진태양광,2.0,13,1010.34,14.8,양산시,8.5,0.0,2.2,320.0,37.0,1.78,0.0,3.0,31.11217169989533,188.6866160314648
2023-01-01,(군산)삼랑진태양광,2.0,13,528.096,14.8,양산시,8.5,0.0,2.2,320.0,37.0,1.78,0.0,3.0,31.11217169989533,188.6866160314648
2023-01-01,(군산)삼랑진태양광,2.0,14,1084.68,14.8,양산시,8.9,0.0,2.7,320.0,36.0,1.62,0.0,1.0,27.662288287935787,204.0254969795785
2023-01-01,(군산)삼랑진태양광,2.0,14,570.528,14.8,양산시,8.9,0.0,2.7,320.0,36.0,1.62,0.0,1.0,27.662288287935787,204.0254969795785
2023-01-01,(군산)삼랑진태양광,2.0,15,832.14,14.8,양산시,9.4,0.0,2.2,270.0,36.0,1.3,0.0,1.0,21.401497183902816,217.54449231072024
2023-01-01,(군산)삼랑진태양광,2.0,15,456.576,14.8,양산시,9.4,0.0,2.2,270.0,36.0,1.3,0.0,1.0,21.401497183902816,217.54449231072024
2023-01-01,(군산)삼랑진태양광,2.0,16,427.14,14.8,양산시,9.3,0.0,1.0,270.0,34.0,0.79,0.0,1.0,13.038660185496482,229.0206326907705
2023-01-01,(군산)삼랑진태양광,2.0,16,257.28,14.8,양산시,9.3,0.0,1.0,270.0,34.0,0.79,0.0,1.0,13.038660185496482,229.0206326907705
2023-01-01,(군산)삼랑진태양광,2.0,17,104.94,14.8,양산시,8.3,0.0,2.2,270.0,38.0,0.28,0.0,1.0,3.309170307195937,238.75942843678197
2023-01-01,(군산)삼랑진태양광,2.0,17,67.392,14.8,양산시,8.3,0.0,2.2,270.0,38.0,0.28,0.0,1.0,3.309170307195937,238.75942843678197
2023-01-01,(군산)삼랑진태양광,2.0,18,0.18,14.8,양산시,4.7,0.0,0.9,140.0,49.0,0.02,0.0,3.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,18,0.672,14.8,양산시,4.7,0.0,0.9,140.0,49.0,0.02,0.0,3.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,19,0.0,14.8,양산시,3.8,0.0,0.9,180.0,51.0,0.0,0.0,3.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,19,0.0,14.8,양산시,3.8,0.0,0.9,180.0,51.0,0.0,0.0,3.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,20,0.0,14.8,양산시,3.3,0.0,0.0,0.0,43.0,0.0,0.0,3.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,20,0.0,14.8,양산시,3.3,0.0,0.0,0.0,43.0,0.0,0.0,3.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,21,0.0,14.8,양산시,2.1,0.0,0.2,0.0,45.0,0.0,0.0,3.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,21,0.0,14.8,양산시,2.1,0.0,0.2,0.0,45.0,0.0,0.0,3.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,22,0.0,14.8,양산시,2.0,0.0,0.0,0.0,45.0,0.0,0.0,3.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,22,0.0,14.8,양산시,2.0,0.0,0.0,0.0,45.0,0.0,0.0,3.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,23,0.0,14.8,양산시,2.5,0.0,0.0,0.0,36.0,0.0,0.0,3.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,23,0.0,14.8,양산시,2.5,0.0,0.0,0.0,36.0,0.0,0.0,3.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,24,0.0,14.8,양산시,2.1,0.0,1.0,160.0,35.0,0.0,0.0,4.0,0.0,
2023-01-01,(군산)삼랑진태양광,2.0,24,0.0,14.8,양산시,2.1,0.0,1.0,160.0,35.0,0.0,0.0,4.0,0.0,
2023-01-02,(군산)삼랑진태양광,2.0,1,0.0,14.8,양산시,3.2,0.0,1.7,320.0,32.0,0.0,0.0,4.0,0.0,
2023-01-02,(군산)삼랑진태양광,2.0,1,0.0,14.8,양산시,3.2,0.0,1.7,320.0,32.0,0.0,0.0,4.0,0.0,
2023-01-02,(군산)삼랑진태양광,2.0,2,0.0,14.8,양산시,2.9,0.0,2.1,230.0,30.0,0.0,0.0,4.0,0.0,
2023-01-02,(군산)삼랑진태양광,2.0,2,0.0,14.8,양산시,2.9,0.0,2.1,230.0,30.0,0.0,0.0,4.0,0.0,
2023-01-02,(군산)삼랑진태양광,2.0,3,0.0,14.8,양산시,3.3,0.0,2.0,250.0,25.0,0.0,0.0,4.0,0.0,
2023-01-02,(군산)삼랑진태양광,2.0,3,0.0,14.8,양산시,3.3,0.0,2.0,250.0,25.0,0.0,0.0,4.0,0.0,
2023-01-02,(군산)삼랑진태양광,2.0,4,0.0,14.8,양산시,2.6,0.0,1.7,340.0,20.0,0.0,0.0,4.0,0.0,
2023-01-02,(군산)삼랑진태양광,2.0,4,0.0,14.8,양산시,2.6,0.0,1.7,340.0,20.0,0.0,0.0,4.0,0.0,
2023-01-02,(군산)삼랑진태양광,2.0,5,0.0,14.8,양산시,2.0,0.0,1.1,180.0,21.0,0.0,0.0,4.0,0.0,
2023-01-02,(군산)삼랑진태양광,2.0,5,0.0,14.8,양산시,2.0,0.0,1.1,180.0,21.0,0.0,0.0,4.0,0.0,
2023-01-02,(군산)삼랑진태양광,2.0,6,0.0,14.8,양산시,2.0,0.0,1.1,200.0,21.0,0.0,0.0,4.0,0.0,
2023-01-02,(군산)삼랑진태양광,2.0,6,0.0,14.8,양산시,2.0,0.0,1.1,200.0,21.0,0.0,0.0,4.0,0.0,
2023-01-02,(군산)삼랑진태양광,2.0,7,0.0,14.8,양산시,1.1,0.0,1.8,180.0,22.0,0.0,0.0,4.0,0.0,
2023-01-02,(군산)삼랑진태양광,2.0,7,0.0,14.8,양산시,1.1,0.0,1.8,180.0,22.0,0.0,0.0,4.0,0.0,
