년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2021-08-05,1,2706.72,112.78,412.32,0,412.32,0.48,0,0,0,0,0,0.48,14.88,85.92,205.92,321.6,122.4,276.96,279.36,412.32,373.44,342.72,175.68,60.96,31.2,2.88,0,0,0,0
2021-08-06,1,2561.76,106.74,444,0,444,0.48,0,0,0,0,0,0.48,21.6,91.2,209.76,320.16,363.84,364.8,444,207.36,173.76,144.48,164.64,33.6,21.6,0.48,0,0,0,0
2021-08-07,1,2907.36,121.14,418.56,0,418.56,0.96,0,0,0,0,0,0,12.48,90.72,214.56,234.24,353.28,380.64,418.56,390.72,398.4,152.64,124.32,108.48,27.36,0.96,0,0,0,0
2021-08-08,1,1461.12,60.88,259.2,0,259.2,0.48,0,0,0,0,0,0.48,16.8,73.44,163.68,249.6,184.32,259.2,157.44,153.12,97.44,38.4,34.08,24,8.64,0.48,0,0,0,0
2021-08-09,1,2954.4,123.1,442.08,0,442.08,0.96,0,0,0,0,0,0,7.2,96,206.88,143.04,237.12,371.04,442.08,347.52,323.52,358.08,257.28,129.12,34.56,0.96,0,0,0,0
2021-08-10,1,2318.4,96.6,381.12,0,381.12,0.96,0,0,0,0,0,0,15.84,87.36,148.32,112.8,186.24,249.12,317.76,169.44,381.12,336.48,200.16,70.08,42.72,0.96,0,0,0,0
2021-08-11,1,3207.84,133.66,465.12,0,465.12,21.12,0,0,0,0,0,0,21.12,88.32,161.76,253.92,338.4,366.24,364.8,465.12,410.4,353.28,216,136.8,31.68,0,0,0,0,0
2021-08-12,1,2369.76,98.74,420.48,0,420.48,0.48,0,0,0,0,0,0.48,19.2,80.16,164.16,288,326.88,420.48,345.12,205.92,131.52,116.64,157.92,81.12,28.32,3.84,0,0,0,0
2021-08-13,1,1733.76,72.24,215.04,0,215.04,15.84,0,0,0,0,0,0,17.76,39.36,114.72,215.04,210.72,145.92,133.92,202.56,184.8,214.08,157.92,81.12,15.84,0,0,0,0,0
2021-08-14,1,1883.52,78.48,308.64,0,308.64,0.96,0,0,0,0,0,0,10.08,48,66.72,129.6,159.36,145.92,164.64,228,308.64,287.04,234.24,77.76,22.56,0.96,0,0,0,0
