년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013-01-01,1,319.178,13,76.269,0,76.269,0.072,0,0,0,0,0,0,0,0,2.82,17.139,24.105,56.021,76.269,49.97,53.345,30.156,9.281,0.072,0,0,0,0,0,0
2013-01-02,1,586.312,24,110.257,0,110.257,0.121,0,0,0,0,0,0,0,0,6.942,43.558,82.464,103.146,110.257,96.373,88.563,43.293,11.595,0.121,0,0,0,0,0,0
2013-01-03,1,542.512,23,106.328,0,106.328,0.024,0,0,0,0,0,0,0,0,8.75,43.775,55.635,91.142,101.339,106.328,88.466,40.545,6.508,0.024,0,0,0,0,0,0
2013-01-04,1,697.027,29,118.333,0,118.333,0.482,0,0,0,0,0,0,0,0,15.162,57.515,92.564,111.077,118.333,113.753,96.71,67.663,23.768,0.482,0,0,0,0,0,0
2013-01-05,1,460.675,19,103.195,0,103.195,1.736,0,0,0,0,0,0,0,0,1.736,27.576,81.042,103.195,69.134,97.843,48.162,24.129,7.858,0,0,0,0,0,0,0
2013-01-06,1,435.726,18,95.987,0,95.987,0.193,0,0,0,0,0,0,0,0,9.136,37.267,62.625,95.987,82.681,63.927,23.816,45.872,14.222,0.193,0,0,0,0,0,0
2013-01-07,1,204.823,9,49.826,0,49.826,0.434,0,0,0,0,0,0,0,0,0.434,1.736,45.438,49.368,49.826,21.261,20.321,11.98,4.459,0,0,0,0,0,0,0
2013-01-08,1,617.432,26,109.293,0,109.293,0.554,0,0,0,0,0,0,0,0,5.255,41.799,77.523,100.181,109.293,106.111,91.142,63.421,22.153,0.554,0,0,0,0,0,0
2013-01-09,1,386.719,16,87.936,0,87.936,0.048,0,0,0,0,0,0,0,0,6.267,18.368,49.777,78.559,87.936,68.652,37.17,32.614,7.328,0.048,0,0,0,0,0,0
2013-01-10,1,688.327,29,119.827,0,119.827,1.302,0,0,0,0,0,0,0,0,2.893,52.477,91.745,104.786,119.827,112.668,100.278,72.991,29.36,1.302,0,0,0,0,0,0
2013-01-11,1,471.186,20,114.5,0,114.5,1.567,0,0,0,0,0,0,0,0,1.567,11.137,16.922,81.283,114.5,107.847,86.996,44.209,6.725,0,0,0,0,0,0,0
2013-01-12,1,631.364,26,111.27,0,111.27,0.313,0,0,0,0,0,0,0,0,16.054,52.333,85.501,105.629,111.27,106.328,82.416,56.165,15.355,0.313,0,0,0,0,0,0
2013-01-13,1,60.819,3,11.209,0,11.209,0.193,0,0,0,0,0,0,0,0,2.218,7.232,10.052,11.209,9.088,7.28,9.015,4.532,0.193,0,0,0,0,0,0,0
2013-01-14,1,616.274,26,110.908,0,110.908,0.964,0,0,0,0,0,0,0,0,14.174,51.754,84.513,104.906,110.908,104.496,82.994,48.476,13.089,0.964,0,0,0,0,0,0
