년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2021-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-14,1,354.348,14.765,162.711,0,162.711,0.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.135,162.711,44.836,41.943,0.723,0,0,0,0
2021-05-15,1,2742.214,114.259,562.617,0,562.617,2.169,0,0,0,0,0,0,5.785,36.881,111.366,330.483,323.975,242.258,510.549,562.617,271.184,242.258,72.316,30.373,2.169,0,0,0,0,0
2021-05-16,1,610.344,25.431,159.095,0,159.095,5.062,0,0,0,0,0,0,0,20.248,13.74,5.062,17.356,101.965,138.846,20.248,61.468,159.095,55.683,11.571,5.062,0,0,0,0,0
2021-05-17,1,1675.556,69.815,326.144,0,326.144,0.723,0,0,0,0,0,0,0,2.169,22.418,57.129,67.977,184.405,181.513,149.694,250.213,326.144,240.088,160.541,32.542,0.723,0,0,0,0
2021-05-18,1,4127.062,171.961,621.916,0,621.916,13.017,0,0,0,0,0,0,13.017,51.344,168.496,282.755,498.979,605.283,621.916,582.865,420.878,400.629,297.218,147.524,36.158,0,0,0,0,0
2021-05-19,1,3905.775,162.741,587.927,0,587.927,0.723,0,0,0,0,0,0.723,34.712,156.925,316.02,451.974,538.029,587.927,505.487,530.798,363.025,219.117,112.089,57.853,30.373,0.723,0,0,0,0
2021-05-20,1,688.444,28.685,107.027,0,107.027,2.169,0,0,0,0,0,0,2.169,0,28.926,52.067,65.807,44.836,83.886,102.688,107.027,90.395,79.547,28.203,2.893,0,0,0,0,0
2021-05-21,1,4189.251,174.552,527.905,0,527.905,2.169,0,0,0,0,0,0,32.542,101.965,248.043,455.589,489.578,400.629,454.866,527.905,517.781,444.019,313.851,161.987,38.327,2.169,0,0,0,0
2021-05-22,1,4663.645,194.319,620.469,0,620.469,2.169,0,0,0,0,0,0,28.926,122.937,253.105,418.708,513.442,598.052,620.469,599.498,540.199,446.912,316.743,163.434,39.051,2.169,0,0,0,0
2021-05-23,1,4534.199,188.925,613.238,0,613.238,1.446,0,0,0,0,0,4.339,33.265,102.688,328.314,454.143,531.521,587.204,613.238,587.204,538.029,383.997,256.721,94.734,17.356,1.446,0,0,0,0
2021-05-24,1,4478.518,186.605,631.317,0,631.317,2.893,0,0,0,0,0,0,6.508,55.683,223.456,419.432,539.476,600.944,631.317,605.283,496.086,446.912,288.54,109.197,52.791,2.893,0,0,0,0
2021-05-25,1,4871.914,202.996,674.706,0,674.706,2.169,0,0,0,0,0,2.169,40.497,128.722,197.422,352.901,559.724,625.532,674.706,659.52,566.233,491.747,360.133,149.694,60.745,2.169,0,0,0,0
2021-05-26,1,1348.689,56.195,241.535,0,241.535,0.723,0,0,0,0,0,0.723,22.418,36.158,49.175,130.168,177.174,241.535,153.309,167.049,212.608,96.18,48.452,10.124,3.616,0,0,0,0,0
2021-05-27,1,3173.942,132.248,547.431,0,547.431,0.723,0,0,0,0,0,0.723,21.695,61.468,62.915,127.999,224.179,207.546,355.071,547.431,527.182,442.573,339.884,190.191,57.853,7.232,0,0,0,0
2021-05-28,1,2085.586,86.899,327.591,0,327.591,0.723,0,0,0,0,0,0.723,6.508,56.406,152.586,327.591,311.681,83.163,92.564,73.762,175.004,262.506,309.512,182.236,47.728,3.616,0,0,0,0
2021-05-29,1,5486.599,228.608,703.633,0,703.633,2.169,0,0,0,0,0,2.169,41.943,186.575,365.195,516.335,614.684,679.045,703.633,676.876,603.114,495.363,357.24,189.467,50.621,4.339,0,0,0,0
2021-05-30,1,5281.222,220.051,679.045,0,679.045,3.616,0,0,0,0,0,4.339,47.728,175.004,342.777,472.222,574.187,651.565,679.045,657.351,598.775,493.194,347.839,182.236,51.344,3.616,0,0,0,0
2021-05-31,1,5189.382,216.224,676.153,0,676.153,2.169,0,0,0,0,0,2.169,47.728,167.773,331.206,477.284,582.865,653.012,676.153,657.351,572.018,465.714,328.314,164.88,59.299,3.616,0,0,0,0
2021-06-01,1,4925.427,205.226,666.028,0,666.028,2.169,0,0,0,0,0,2.893,44.113,173.558,339.161,480.177,577.803,579.249,666.028,647.226,578.526,438.957,244.427,109.197,41.943,2.169,0,0,0,0
2021-06-02,1,2431.98,101.333,430.279,0,430.279,17.356,0,0,0,0,0,0,17.356,55.683,137.4,200.315,240.812,229.964,217.671,308.065,430.279,344.946,157.648,61.468,30.373,0,0,0,0,0
2021-06-03,1,2102.943,87.623,513.442,0,513.442,8.678,0,0,0,0,0,0,11.571,64.361,79.547,141.016,295.048,513.442,348.562,205.377,162.711,109.92,114.982,47.728,8.678,0,0,0,0,0
2021-06-04,1,4176.235,174.01,664.582,0,664.582,2.169,0,0,0,0,0,0,22.418,84.609,143.185,279.862,366.641,452.697,486.685,569.848,664.582,572.018,310.958,174.281,46.282,2.169,0,0,0,0
2021-06-05,1,4093.797,170.575,535.137,0,535.137,3.616,0,0,0,0,0,0,23.864,119.321,305.896,314.574,350.008,458.482,528.628,535.137,464.991,464.991,290.709,183.682,49.898,3.616,0,0,0,0
2021-06-06,1,5221.924,217.58,671.091,0,671.091,2.893,0,0,0,0,0,2.893,44.113,172.112,325.421,439.68,587.927,651.565,671.091,649.396,585.035,488.855,344.223,197.422,56.406,5.785,0,0,0,0
2021-06-07,1,5002.804,208.45,660.243,0,660.243,2.169,0,0,0,0,0,2.169,43.389,161.264,289.263,400.629,569.848,643.611,660.243,642.164,574.187,457.036,329.037,183.682,41.943,4.339,0,0,0,0
2021-06-08,1,4711.375,196.307,681.215,0,681.215,1.446,0,0,0,0,0,1.446,40.497,172.112,336.992,453.42,592.266,636.379,681.215,604.56,508.38,332.653,190.914,109.197,41.943,9.401,0,0,0,0
2021-06-09,1,4413.433,183.893,582.142,0,582.142,1.446,0,0,0,0,0,1.446,23.141,80.271,258.167,415.816,582.142,484.516,563.34,519.951,480.177,485.962,299.387,173.558,40.497,5.062,0,0,0,0
2021-06-10,1,1592.392,66.35,275.523,0,275.523,2.169,0,0,0,0,0,7.955,74.485,125.106,90.395,180.066,216.224,275.523,257.444,142.462,81.717,96.903,23.864,18.079,2.169,0,0,0,0,0
2021-06-11,1,1159.222,48.301,247.32,0,247.32,3.616,0,0,0,0,0,0,0,3.616,7.955,5.062,67.977,101.242,193.806,247.32,126.553,140.293,143.908,87.502,28.203,5.785,0,0,0,0
2021-06-12,1,4052.576,168.857,577.08,0,577.08,5.062,0,0,0,0,0,5.062,53.514,116.428,203.207,246.597,452.697,577.08,428.109,341.331,518.504,465.714,363.748,204.654,70.869,5.062,0,0,0,0
2021-06-13,1,5031.731,209.655,675.429,0,675.429,1.446,0,0,0,0,0,1.446,29.649,78.824,208.269,379.658,588.651,638.548,664.582,675.429,617.577,511.273,370.257,195.976,65.084,6.508,0,0,0,0
2021-06-14,1,4063.424,169.309,669.644,0,669.644,2.169,0,0,0,0,0,2.169,26.757,92.564,306.619,325.421,237.196,396.291,669.644,603.114,392.675,428.833,348.562,151.863,75.208,6.508,0,0,0,0
2021-06-15,1,601.668,25.07,103.412,0,103.412,0.723,0,0,0,0,0,1.446,44.113,45.559,62.915,88.225,74.485,103.412,37.604,31.819,52.791,18.079,13.74,17.356,9.401,0.723,0,0,0,0
