년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013-01-01,1,507.36,21,93.36,0,93.36,0.48,0,0,0,0,0,0,0,0.48,18.24,38.4,71.28,85.2,73.2,93.36,78.72,39.36,9.12,0,0,0,0,0,0,0
2013-01-02,1,625.2,26,111.6,0,111.6,0.24,0,0,0,0,0,0,0,0.24,18,62.16,81.84,101.52,111.6,108.96,85.68,45.6,9.6,0,0,0,0,0,0,0
2013-01-03,1,656.88,27,121.92,0,121.92,0.24,0,0,0,0,0,0,0,0.24,18.48,60.96,89.04,106.8,120.96,121.92,93.84,36.48,7.92,0.24,0,0,0,0,0,0
2013-01-04,1,701.28,29,122.16,0,122.16,0.48,0,0,0,0,0,0,0,0.48,19.68,72.96,91.92,106.56,119.52,122.16,98.16,55.2,14.64,0,0,0,0,0,0,0
2013-01-05,1,686.4,29,124.32,0,124.32,0.24,0,0,0,0,0,0,0,0.24,19.2,77.04,99.36,109.68,124.32,121.68,70.56,48.48,15.84,0,0,0,0,0,0,0
2013-01-06,1,654.72,27,116.64,0,116.64,0.24,0,0,0,0,0,0,0,0.24,17.52,62.16,88.8,98.4,110.16,116.64,92.64,53.04,14.88,0.24,0,0,0,0,0,0
2013-01-07,1,706.08,29,119.76,0,119.76,0.48,0,0,0,0,0,0,0,0.48,25.2,75.12,94.8,103.92,119.76,118.8,97.44,56.4,14.16,0,0,0,0,0,0,0
2013-01-08,1,657.6,27,114.72,0,114.72,0.72,0,0,0,0,0,0,0,0.72,19.2,64.08,87.12,100.08,114.72,113.52,90.48,52.8,14.88,0,0,0,0,0,0,0
2013-01-09,1,689.28,29,123.84,0,123.84,0.24,0,0,0,0,0,0,0,0.72,19.2,61.44,82.56,106.56,123.84,118.32,99.12,60.24,17.04,0.24,0,0,0,0,0,0
2013-01-10,1,751.44,31,127.92,0,127.92,0.24,0,0,0,0,0,0,0,0.24,26.4,78.24,97.92,108.48,127.92,124.8,103.92,64.56,18.96,0,0,0,0,0,0,0
2013-01-11,1,724.08,30,126.96,0,126.96,0.24,0,0,0,0,0,0,0,0.24,25.44,76.32,96.96,107.28,126.96,121.68,96.72,57.36,14.88,0.24,0,0,0,0,0,0
2013-01-12,1,667.92,28,118.8,0,118.8,0.24,0,0,0,0,0,0,0,0.24,21.12,67.92,87.84,99.6,118.8,112.8,90,54,15.36,0.24,0,0,0,0,0,0
2013-01-13,1,147.12,6,35.52,0,35.52,0.48,0,0,0,0,0,0,0,0,4.8,24.72,34.56,35.52,19.68,12.48,10.32,4.56,0.48,0,0,0,0,0,0,0
