년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-06,1,463.28,19,80.16,0,80.16,0.08,0,0,0,0,0,0,0,0.24,4.72,37.84,66.72,78.88,80.16,75.76,60.72,42.56,15.6,0.08,0,0,0,0,0,0
2018-01-07,1,130.96,5,30.16,0,30.16,0.08,0,0,0,0,0,0,0,0.16,5.44,18.64,30.16,17.04,17.12,13.68,13.76,11.36,3.52,0.08,0,0,0,0,0,0
2018-01-08,1,37.36,2,12.4,0,12.4,0.72,0,0,0,0,0,0,0,0,0,0.72,3.44,7.68,12.4,5.68,3.44,1.68,2.32,0,0,0,0,0,0,0
2018-01-09,1,447.12,19,81.12,0,81.12,0.16,0,0,0,0,0,0,0,0.16,6.24,30.4,70.64,79.52,81.12,72.88,55.84,35.68,14.4,0.24,0,0,0,0,0,0
2018-01-10,1,359.76,15,83.6,0,83.6,0.16,0,0,0,0,0,0,0,0.16,5.76,19.68,51.52,83.6,29.92,57.52,64,40.8,6.8,0,0,0,0,0,0,0
2018-01-11,1,471.84,20,81.6,0,81.6,0.16,0,0,0,0,0,0,0,0.32,7.52,41.2,69.52,81.2,81.6,70.88,60.64,42.08,16.72,0.16,0,0,0,0,0,0
2018-01-12,1,485.92,20,82.48,0,82.48,0.16,0,0,0,0,0,0,0,0.32,6.88,42.32,69.84,81.52,82.48,77.12,63.76,43.52,18,0.16,0,0,0,0,0,0
2018-01-13,1,374.64,16,72.16,0,72.16,0.32,0,0,0,0,0,0,0,0.32,3.2,7.84,50,69.6,72.16,67.28,55.04,36.08,12.8,0.32,0,0,0,0,0,0
2018-01-14,1,301.2,13,63.84,0,63.84,0.24,0,0,0,0,0,0,0,0.24,5.68,15.6,24.08,34.72,56.8,63.84,53.04,34.32,12.56,0.32,0,0,0,0,0,0
