년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013-01-01,1,220.044,9,39.168,0,39.168,4.512,0,0,0,0,0,0,0,0,6.048,15.828,30.564,38.628,35.928,39.168,31.308,18.06,4.512,0,0,0,0,0,0,0
2013-01-02,1,246.036,10,45.012,0,45.012,4.956,0,0,0,0,0,0,0,0,5.208,20.004,34.284,42.372,45.012,41.064,32.652,20.484,4.956,0,0,0,0,0,0,0
2013-01-03,1,249.252,10,48.696,0,48.696,4.248,0,0,0,0,0,0,0,0,4.752,18.936,34.044,43.74,48.696,44.328,34.248,16.26,4.248,0,0,0,0,0,0,0
2013-01-04,1,259.944,11,46.608,0,46.608,0.048,0,0,0,0,0,0,0,0,3.72,22.224,34.212,43.128,46.608,43.596,36.084,22.632,7.692,0.048,0,0,0,0,0,0
2013-01-05,1,253.584,11,46.8,0,46.8,0.096,0,0,0,0,0,0,0,0,5.268,22.44,35.112,42.78,46.8,41.976,28.836,21.792,8.484,0.096,0,0,0,0,0,0
2013-01-06,1,259.704,11,45,0,45,0.084,0,0,0,0,0,0,0,0,5.7,21.552,36.396,43.38,45,43.248,34.812,21.852,7.68,0.084,0,0,0,0,0,0
2013-01-07,1,256.956,11,44.664,0,44.664,0.096,0,0,0,0,0,0,0,0,5.652,22.32,34.92,42.888,44.664,42.792,33.78,21.96,7.884,0.096,0,0,0,0,0,0
2013-01-08,1,244.536,10,44.016,0,44.016,0.096,0,0,0,0,0,0,0,0,5.052,19.98,32.628,40.2,44.016,41.484,32.892,20.844,7.344,0.096,0,0,0,0,0,0
2013-01-09,1,253.92,11,46.692,0,46.692,0.108,0,0,0,0,0,0,0,0,5.424,19.068,29.796,43.44,46.692,43.08,34.884,23.052,8.376,0.108,0,0,0,0,0,0
2013-01-10,1,271.308,11,47.4,0,47.4,0.264,0,0,0,0,0,0,0,0,5.328,22.524,35.976,44.52,47.4,44.64,36.804,24.468,9.384,0.264,0,0,0,0,0,0
2013-01-11,1,257.508,11,45.6,0,45.6,5.244,0,0,0,0,0,0,0,0,5.244,21.612,34.248,43.272,45.6,42.804,34.668,22.716,7.344,0,0,0,0,0,0,0
2013-01-12,1,250.68,10,45.288,0,45.288,0.06,0,0,0,0,0,0,0,0,5.376,20.724,33.192,41.724,45.288,41.712,33.708,21.54,7.356,0.06,0,0,0,0,0,0
2013-01-13,1,80.76,3,21.636,0,21.636,1.572,0,0,0,0,0,0,0,0,1.572,12.18,16.896,21.636,13.116,7.224,5.748,2.388,0,0,0,0,0,0,0,0
