년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-06,1,6130.8,255,1099.2,0,1099.2,2.4,0,0,0,0,0,0,0,4.8,93.6,549.6,848.4,1023.6,1099.2,1082.4,888,454.8,84,2.4,0,0,0,0,0,0
2018-01-07,1,1777.2,74,387.6,0,387.6,2.4,0,0,0,0,0,0,0,3.6,81.6,262.8,387.6,225.6,224.4,178.8,183.6,170.4,56.4,2.4,0,0,0,0,0,0
2018-01-08,1,567.6,24,169.2,0,169.2,1.2,0,0,0,0,0,0,0,0,0,18,51.6,106.8,169.2,102,51.6,30,37.2,1.2,0,0,0,0,0,0
2018-01-09,1,5842.8,243,1038,0,1038,2.4,0,0,0,0,0,0,0,2.4,142.8,428.4,853.2,1012.8,1038,1014,806.4,432,108,4.8,0,0,0,0,0,0
2018-01-10,1,4966.8,207,1050,0,1050,1.2,0,0,0,0,0,0,0,4.8,117.6,325.2,697.2,1050,610.8,728.4,853.2,500.4,78,1.2,0,0,0,0,0,0
2018-01-11,1,6394.8,266,1077.6,0,1077.6,4.8,0,0,0,0,0,0,0,4.8,198,637.2,894,1063.2,1077.6,985.2,889.2,536.4,104.4,4.8,0,0,0,0,0,0
2018-01-12,1,6432,268,1092,0,1092,6,0,0,0,0,0,0,0,6,211.2,632.4,837.6,964.8,1053.6,1092,964.8,556.8,106.8,6,0,0,0,0,0,0
2018-01-13,1,5330.4,222,1027.2,0,1027.2,4.8,0,0,0,0,0,0,0,4.8,61.2,121.2,702,961.2,1027.2,992.4,844.8,494.4,114,7.2,0,0,0,0,0,0
2018-01-14,1,4432.8,185,980.4,0,980.4,3.6,0,0,0,0,0,0,0,3.6,90,228,343.2,493.2,828,980.4,841.2,492,124.8,8.4,0,0,0,0,0,0
