년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2019-12-03,1,810.9,33.8,275.8,0,275.8,0.964,0,0,0,0,0,0,0,0.964,13.499,28.926,35.676,86.779,109.92,275.764,158.131,70.387,30.855,0,0,0,0,0,0,0
2019-12-04,1,2896.5,120.7,563.1,0,563.1,0.964,0,0,0,0,0,0,0,12.535,165.844,484.034,563.099,325.903,370.257,265.158,371.221,282.514,54.96,0.964,0,0,0,0,0,0
2019-12-05,1,1847.4,77,364.5,0,364.5,1.928,0,0,0,0,0,0,0,1.928,197.663,300.834,160.059,119.562,172.594,364.472,273.836,194.771,59.781,1.928,0,0,0,0,0,0
2019-12-06,1,1919.7,80,433.9,0,433.9,0.964,0,0,0,0,0,0,0,0.964,43.389,107.027,201.52,279.621,383.756,433.895,276.728,157.166,34.712,0.964,0,0,0,0,0,0
2019-12-07,1,3840.5,160,810.9,0,810.9,2.893,0,0,0,0,0,0,0,5.785,70.387,195.735,485.962,662.413,810.901,749.192,476.32,271.907,108.956,2.893,0,0,0,0,0,0
2019-12-08,1,4185.6,174.4,808,0,808,3.857,0,0,0,0,0,0,0,10.606,156.202,289.263,390.505,675.912,808.008,754.013,629.629,379.899,87.743,3.857,0,0,0,0,0,0
2019-12-09,1,2911.9,121.3,567,0,567,2.893,0,0,0,0,0,0,0,8.678,137.882,454.143,566.956,517.781,419.432,282.514,315.297,157.166,49.175,2.893,0,0,0,0,0,0
2019-12-10,1,4041,168.4,702.9,0,702.9,3.857,0,0,0,0,0,0,0,8.678,143.667,441.608,634.451,702.909,664.341,518.745,520.674,296.013,106.063,3.857,0,0,0,0,0,0
2019-12-11,1,3793.2,158.1,654.7,0,654.7,2.893,0,0,0,0,0,0,0,2.893,135.954,453.179,600.703,538.029,654.699,639.272,530.316,228.518,9.642,0,0,0,0,0,0,0
2019-12-12,1,4445,185.2,783.9,0,783.9,1.928,0,0,0,0,0,0,0,1.928,38.568,278.657,681.697,783.903,646.985,782.939,664.341,447.394,113.777,4.821,0,0,0,0,0,0
