년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020-12-05,1,1029.2,42.883,209.4,0,209.4,0.2,0,0,0,0,0,0,0,1,33.6,109.8,176.4,209.4,196,127.6,74.6,82.6,18,0.2,0,0,0,0,0,0
2020-12-06,1,899.8,37.492,202.4,0,202.4,0.4,0,0,0,0,0,0,0,0.8,21.8,98.8,107.2,166,202.4,159,63.8,60.2,19.4,0.4,0,0,0,0,0,0
2020-12-07,1,892,37.167,158,0,158,0.2,0,0,0,0,0,0,0,0.2,23,71,124.4,158,133.2,142.6,126.6,91,21.6,0.4,0,0,0,0,0,0
2020-12-08,1,1397.4,58.225,248.8,0,248.8,0.4,0,0,0,0,0,0,0,1.8,21,118.6,200.8,238.8,248.8,236.6,193.4,114.4,22.8,0.4,0,0,0,0,0,0
2020-12-09,1,908.6,37.858,211.6,0,211.6,0.2,0,0,0,0,0,0,0,0.6,24,104,177,211.6,203.4,105.4,50,24.2,8.2,0.2,0,0,0,0,0,0
2020-12-10,1,659.8,27.492,181,0,181,4.2,0,0,0,0,0,0,0,0,8.8,37.6,44.8,93.4,181,150.2,78.4,61.4,4.2,0,0,0,0,0,0,0
2020-12-11,1,612.6,25.525,151.4,0,151.4,9.6,0,0,0,0,0,0,0,0,9.6,54.4,58,86.2,151.4,104.8,68.8,58.2,21.2,0,0,0,0,0,0,0
2020-12-12,1,1257.4,52.392,228.6,0,228.6,0.4,0,0,0,0,0,0,0,0.6,25.6,102.2,180.4,222,228.6,214.8,168.6,92.8,21.4,0.4,0,0,0,0,0,0
2020-12-13,1,301.2,12.55,119.6,0,119.6,0.4,0,0,0,0,0,0,0,0,0,1.6,18.6,39,8,23.6,119.6,73.6,16.8,0.4,0,0,0,0,0,0
2020-12-14,1,1479.2,61.633,273.6,0,273.6,0.4,0,0,0,0,0,0,0,0.4,20.2,117.4,213.4,262.8,273.6,255.4,209.4,111.4,14.8,0.4,0,0,0,0,0,0
2020-12-15,1,1442.6,60.108,269.6,0,269.6,0.4,0,0,0,0,0,0,0,0.6,17,102.4,207.8,255,269.6,251.8,206.6,116.6,14.8,0.4,0,0,0,0,0,0
2020-12-16,1,1452.6,60.525,262.8,0,262.8,0.6,0,0,0,0,0,0,0,0.6,18.4,106.4,209,251.2,262.8,252.8,207,123.8,20,0.6,0,0,0,0,0,0
2020-12-17,1,1327.2,55.3,251.8,0,251.8,0.4,0,0,0,0,0,0,0,0.4,17.4,85,164,233,251.8,244.8,193.2,113.6,23.6,0.4,0,0,0,0,0,0
2020-12-18,1,994,41.417,237.2,0,237.2,0.4,0,0,0,0,0,0,0,0,0.4,14,63.6,114.6,232.8,237.2,191.8,114.8,24.4,0.4,0,0,0,0,0,0
2020-12-19,1,1402.6,58.442,257,0,257,0.2,0,0,0,0,0,0,0,0.2,23.8,113.8,206.4,250.6,257,238.6,195.8,91,25,0.4,0,0,0,0,0,0
