년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2019-12-25,1,1019.653,42.486,223.697,0,223.697,0.482,0,0,0,0,0,0,0,0,8.196,59.781,153.309,205.859,223.697,164.398,116.187,57.853,29.891,0.482,0,0,0,0,0,0
2019-12-26,1,646.985,26.958,162.469,0,162.469,0.964,0,0,0,0,0,0,0,0,5.303,44.354,63.638,72.798,95.457,96.903,162.469,73.28,31.819,0.964,0,0,0,0,0,0
2019-12-27,1,2026.289,84.429,370.739,0,370.739,0.482,0,0,0,0,0,0,0,0.482,36.158,146.078,258.891,339.884,370.739,355.794,298.905,177.897,40.497,0.964,0,0,0,0,0,0
2019-12-28,1,1275.168,53.132,340.366,0,340.366,13.017,0,0,0,0,0,0,0,0,31.819,129.204,233.821,268.533,340.366,183.682,58.817,15.909,13.017,0,0,0,0,0,0,0
2019-12-29,1,449.804,18.742,76.655,0,76.655,14.945,0,0,0,0,0,0,0,0,14.945,34.712,60.745,72.798,72.798,76.655,55.442,41.943,19.766,0,0,0,0,0,0,0
2019-12-30,1,468.125,19.505,94.011,0,94.011,0.964,0,0,0,0,0,0,0,0,17.838,53.996,68.459,42.425,29.891,47.246,81.476,94.011,31.819,0.964,0,0,0,0,0,0
2019-12-31,1,2197.436,91.56,404.486,0,404.486,0.482,0,0,0,0,0,0,0,0.482,35.676,158.613,293.12,366.4,404.486,388.577,320.118,186.093,42.425,1.446,0,0,0,0,0,0
2020-01-01,1,902.502,37.604,179.343,0,179.343,2.411,0,0,0,0,0,0,0,0,2.411,26.034,163.916,163.916,156.202,179.343,126.794,65.084,18.802,0,0,0,0,0,0,0
2020-01-02,1,466.196,19.425,90.154,0,90.154,0.964,0,0,0,0,0,0,0,0,7.714,39.051,68.459,75.691,47.246,90.154,69.423,47.728,19.766,0.964,0,0,0,0,0,0
2020-01-03,1,1894.674,78.945,353.383,0,353.383,1.928,0,0,0,0,0,0,0,0,30.855,127.276,225.625,302.28,353.383,344.223,282.996,176.451,49.657,1.928,0,0,0,0,0,0
2020-01-04,1,1765.952,73.581,341.331,0,341.331,1.928,0,0,0,0,0,0,0,0,10.606,104.135,206.823,288.299,341.331,323.011,271.425,169.701,48.693,1.928,0,0,0,0,0,0
2020-01-05,1,1707.617,71.151,333.135,0,333.135,1.446,0,0,0,0,0,0,0,0,33.265,146.078,268.051,333.135,327.349,279.139,182.718,98.832,37.604,1.446,0,0,0,0,0,0
2020-01-06,1,280.584,11.691,65.084,0,65.084,0.482,0,0,0,0,0,0,0,0,4.339,23.141,48.211,65.084,47.728,46.764,29.408,15.427,0.482,0,0,0,0,0,0,0
2020-01-07,1,56.888,2.37,14.463,0,14.463,0.482,0,0,0,0,0,0,0,0,0,6.267,14.463,12.535,12.053,6.749,4.339,0.482,0,0,0,0,0,0,0,0
2020-01-08,1,579.009,24.125,113.777,0,113.777,4.339,0,0,0,0,0,0,0,0,5.303,29.891,99.314,77.137,111.848,109.92,113.777,27.48,4.339,0,0,0,0,0,0,0
2020-01-09,1,1833.447,76.394,357.24,0,357.24,3.375,0,0,0,0,0,0,0,0,31.337,81.476,177.897,308.065,357.24,345.669,286.853,185.611,55.924,3.375,0,0,0,0,0,0
2020-01-10,1,1980.008,82.5,366.882,0,366.882,3.375,0,0,0,0,0,0,0,0,21.695,123.901,215.983,319.154,366.882,362.543,300.352,203.931,62.192,3.375,0,0,0,0,0,0
2020-01-11,1,2143.921,89.33,391.952,0,391.952,5.785,0,0,0,0,0,0,0,0,31.819,137.4,275.282,357.722,391.952,350.008,317.707,212.608,63.638,5.785,0,0,0,0,0,0
2020-01-12,1,2096.675,87.361,409.307,0,409.307,0.482,0,0,0,0,0,0,0,0.482,22.177,116.187,277.693,364.954,409.307,373.149,321.564,133.543,72.798,4.821,0,0,0,0,0,0
2020-01-13,1,2404.259,100.177,437.752,0,437.752,4.339,0,0,0,0,0,0,0,0,28.926,151.863,283.96,400.629,437.752,420.878,356.758,241.535,77.619,4.339,0,0,0,0,0,0
2020-01-14,1,2020.503,84.188,348.08,0,348.08,4.339,0,0,0,0,0,0,0,0,23.623,97.867,247.32,330.724,348.08,343.259,323.011,226.107,76.173,4.339,0,0,0,0,0,0
2020-01-15,1,2356.53,98.189,404.968,0,404.968,0.482,0,0,0,0,0,0,0,0.482,42.425,170.665,291.674,380.863,404.968,397.737,346.152,238.642,77.619,5.303,0,0,0,0,0,0
2020-01-16,1,2275.537,94.814,415.575,0,415.575,5.303,0,0,0,0,0,0,0,0,40.015,135.954,267.568,382.792,415.575,402.076,290.709,252.141,83.404,5.303,0,0,0,0,0,0
2020-01-17,1,2069.68,86.237,384.238,0,384.238,8.678,0,0,0,0,0,0,0,0,30.855,113.295,224.179,328.314,375.078,384.238,332.653,200.556,71.834,8.678,0,0,0,0,0,0
2020-01-18,1,2413.42,100.559,417.503,0,417.503,5.303,0,0,0,0,0,0,0,0,39.051,167.291,299.387,385.684,417.503,405.933,350.973,251.659,90.636,5.303,0,0,0,0,0,0
2020-01-19,1,1365.804,56.909,280.103,0,280.103,0.964,0,0,0,0,0,0,0,0,0.964,46.764,161.505,205.377,135.472,260.819,280.103,194.771,73.28,6.749,0,0,0,0,0,0
2020-01-20,1,2102.461,87.603,377.971,0,377.971,8.196,0,0,0,0,0,0,0,0,42.907,177.415,303.244,372.667,377.971,251.659,267.568,206.341,94.493,8.196,0,0,0,0,0,0
2020-01-21,1,2289.519,95.397,395.808,0,395.808,7.232,0,0,0,0,0,0,0,0,47.246,185.611,304.691,285.888,395.808,391.952,342.295,236.232,92.564,7.232,0,0,0,0,0,0
2020-01-22,1,1502.721,62.613,366.4,0,366.4,3.375,0,0,0,0,0,0,0,0,3.375,38.086,82.922,127.276,290.227,366.4,308.065,210.68,69.905,5.785,0,0,0,0,0,0
2020-01-23,1,2125.121,88.547,368.811,0,368.811,0.482,0,0,0,0,0,0,0,0.482,34.229,149.453,260.337,334.099,368.328,368.811,324.939,205.859,71.352,7.232,0,0,0,0,0,0
2020-01-24,1,2056.661,85.694,370.257,0,370.257,9.16,0,0,0,0,0,0,0,0,40.015,161.023,289.263,362.543,370.257,292.156,254.552,198.145,79.547,9.16,0,0,0,0,0,0
2020-01-25,1,1363.876,56.828,292.638,0,292.638,8.196,0,0,0,0,0,0,0,0,29.891,134.989,223.215,292.638,178.861,160.541,161.505,111.848,62.192,8.196,0,0,0,0,0,0
2020-01-26,1,2187.312,91.138,394.362,0,394.362,7.232,0,0,0,0,0,0,0,0,20.731,147.524,267.568,365.918,394.362,376.042,335.545,203.931,68.459,7.232,0,0,0,0,0,0
2020-01-27,1,415.094,17.296,85.333,0,85.333,0.482,0,0,0,0,0,0,0,0,10.124,40.979,62.192,68.459,85.333,56.406,48.693,29.891,12.535,0.482,0,0,0,0,0,0
