년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-11,1,577.034,24,108.715,0,108.715,0.121,0,0,0,0,0,0,0,0,5.496,37.026,85.694,105.798,108.064,108.715,80.97,37.918,7.232,0.121,0,0,0,0,0,0
2013-01-12,1,324.649,14,65.398,0,65.398,0.53,0,0,0,0,0,0,0,0,1.109,6.267,33.072,65.398,63.734,55.322,50.862,35.242,13.113,0.53,0,0,0,0,0,0
2013-01-13,1,283.575,12,51.923,0,51.923,0.482,0,0,0,0,0,0,0,0,2.435,17.91,35.507,40.4,51.007,51.923,44.547,28.396,10.968,0.482,0,0,0,0,0,0
2013-01-14,1,413.165,17,105.87,0,105.87,0.699,0,0,0,0,0,0,0,0,5.617,21.622,10.462,25.648,67.205,105.87,101.797,59.661,14.584,0.699,0,0,0,0,0,0
2013-01-15,1,344.994,14,83.284,0,83.284,0.289,0,0,0,0,0,0,0,0,7.931,26.154,42.208,83.284,66.675,42.666,43.365,21.526,10.896,0.289,0,0,0,0,0,0
2013-01-16,1,222.397,9,51.513,0,51.513,0.024,0,0,0,0,0,0,0,0,0.024,2.869,7.449,32.349,51.031,44.354,51.513,20.345,11.571,0.892,0,0,0,0,0,0
2013-01-17,1,376.235,16,87.141,0,87.141,0.988,0,0,0,0,0,0,0,0,5.882,21.574,34.736,42.377,59.636,87.141,71.448,39.219,13.234,0.988,0,0,0,0,0,0
2013-01-18,1,794.171,33,135.206,0,135.206,1.181,0,0,0,0,0,0,0,0,10.197,64.602,110.33,126.022,135.206,126.022,107.051,78.704,34.856,1.181,0,0,0,0,0,0
