년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-09,1,4938,206,932.4,0,932.4,22.8,0,0,0,0,0,0,0,0,45.6,231.6,578.4,850.8,932.4,897.6,639.6,430.8,308.4,22.8,0,0,0,0,0,0
2018-01-10,1,4564.8,190,925.2,0,925.2,13.2,0,0,0,0,0,0,0,0,13.2,104.4,246,645.6,925.2,878.4,739.2,638.4,345.6,28.8,0,0,0,0,0,0
2018-01-11,1,5455.2,227,908.4,0,908.4,1.2,0,0,0,0,0,0,0,1.2,61.2,367.2,586.8,908.4,841.2,907.2,759.6,674.4,334.8,13.2,0,0,0,0,0,0
2018-01-12,1,6295.2,262,1159.2,0,1159.2,1.2,0,0,0,0,0,0,0,1.2,51.6,391.2,759.6,994.8,1159.2,986.4,921.6,715.2,302.4,12,0,0,0,0,0,0
2018-01-13,1,1749.6,73,580.8,0,580.8,4.8,0,0,0,0,0,0,0,0,4.8,26.4,44.4,61.2,141.6,580.8,433.2,346.8,102,8.4,0,0,0,0,0,0
2018-01-14,1,3458.4,144,636,0,636,2.4,0,0,0,0,0,0,0,0,56.4,216,306,410.4,636,562.8,596.4,560.4,111.6,2.4,0,0,0,0,0,0
2018-01-15,1,4412.4,184,828,0,828,1.2,0,0,0,0,0,0,0,1.2,60,292.8,589.2,828,734.4,758.4,573.6,372,187.2,15.6,0,0,0,0,0,0
