년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018-12-29,1,2811.6,117,498.96,0,498.96,2.16,0,0,0,0,0,0,0,0,54.72,220.32,367.92,458.64,498.96,478.8,387.36,250.56,92.16,2.16,0,0,0,0,0,0
2018-12-30,1,2838.24,118,500.4,0,500.4,0.72,0,0,0,0,0,0,0,0.72,56.88,226.08,367.92,461.52,500.4,479.52,394.56,259.2,90.72,0.72,0,0,0,0,0,0
2018-12-31,1,2373.84,99,439.2,0,439.2,4.32,0,0,0,0,0,0,0,0,45.36,195.12,350.64,419.04,439.2,391.68,252,175.68,100.8,4.32,0,0,0,0,0,0
2019-01-01,1,2155.68,90,405.36,0,405.36,2.88,0,0,0,0,0,0,0,0,24.48,142.56,257.04,322.56,311.76,405.36,372.96,241.92,74.16,2.88,0,0,0,0,0,0
2019-01-02,1,1974.96,82,413.28,0,413.28,2.88,0,0,0,0,0,0,0,0,14.4,34.56,146.16,332.64,413.28,398.88,327.6,223.2,81.36,2.88,0,0,0,0,0,0
2019-01-03,1,2604.24,109,472.32,0,472.32,0.72,0,0,0,0,0,0,0,0.72,50.4,185.04,322.56,439.92,472.32,429.12,361.44,246.24,92.88,3.6,0,0,0,0,0,0
2019-01-04,1,1371.6,57,324,0,324,2.16,0,0,0,0,0,0,0,0,37.44,110.16,106.56,134.64,203.76,311.04,324,110.88,30.96,2.16,0,0,0,0,0,0
2019-01-05,1,2588.4,108,473.04,0,473.04,4.32,0,0,0,0,0,0,0,0,51.12,213.84,288,357.84,449.28,473.04,390.96,260.64,99.36,4.32,0,0,0,0,0,0
2019-01-06,1,2599.92,108,478.08,0,478.08,3.6,0,0,0,0,0,0,0,0,27.36,139.68,306,428.4,478.08,466.56,388.8,261.36,100.08,3.6,0,0,0,0,0,0
2019-01-07,1,2152.08,90,413.28,0,413.28,0.72,0,0,0,0,0,0,0,0,40.32,164.16,272.16,380.88,413.28,401.04,292.32,126,61.2,0.72,0,0,0,0,0,0
2019-01-08,1,2632.32,110,470.88,0,470.88,3.6,0,0,0,0,0,0,0,0,43.2,192.96,339.12,432.72,470.88,457.92,380.88,239.04,72,3.6,0,0,0,0,0,0
2019-01-09,1,2093.76,87,350.64,0,350.64,0.72,0,0,0,0,0,0,0,0.72,61.92,190.08,307.44,308.88,268.56,350.64,299.52,202.32,98.64,5.04,0,0,0,0,0,0
2019-01-10,1,1507.68,63,346.32,0,346.32,2.16,0,0,0,0,0,0,0,0,23.04,134.64,236.16,224.64,190.8,141.12,346.32,131.76,77.04,2.16,0,0,0,0,0,0
2019-01-11,1,1926,80,382.32,0,382.32,2.88,0,0,0,0,0,0,0,0,29.52,128.88,241.2,324,382.32,357.12,249.84,154.08,56.16,2.88,0,0,0,0,0,0
2019-01-12,1,1624.32,68,340.56,0,340.56,4.32,0,0,0,0,0,0,0,0,22.32,133.92,249.12,340.56,218.88,280.8,253.44,84.24,36.72,4.32,0,0,0,0,0,0
2019-01-13,1,2421.36,101,434.88,0,434.88,6.48,0,0,0,0,0,0,0,0,38.88,174.24,300.96,392.4,434.88,424.08,342,223.2,84.24,6.48,0,0,0,0,0,0
2019-01-14,1,1380.96,58,269.28,0,269.28,2.16,0,0,0,0,0,0,0,0,15.12,96.48,203.04,232.56,269.28,216.72,173.52,123.12,48.96,2.16,0,0,0,0,0,0
2019-01-15,1,1802.16,75,380.88,0,380.88,7.2,0,0,0,0,0,0,0,0,19.44,82.08,171.36,136.8,281.52,380.88,337.68,270,115.2,7.2,0,0,0,0,0,0
2019-01-16,1,2658.24,111,495.36,0,495.36,0.72,0,0,0,0,0,0,0,0.72,50.4,172.08,275.04,408.96,495.36,483.12,402.48,269.28,92.16,8.64,0,0,0,0,0,0
2019-01-17,1,2669.76,111,472.32,0,472.32,10.08,0,0,0,0,0,0,0,0,19.44,153.36,329.76,428.4,472.32,465.84,397.44,275.04,118.08,10.08,0,0,0,0,0,0
2019-01-18,1,2435.76,101,427.68,0,427.68,3.6,0,0,0,0,0,0,0,0,44.64,189.36,305.28,385.2,427.68,425.52,349.92,223.2,81.36,3.6,0,0,0,0,0,0
2019-01-19,1,1712.88,71,308.16,0,308.16,8.64,0,0,0,0,0,0,0,0,29.52,142.56,186.48,136.8,226.8,308.16,288.72,275.04,110.16,8.64,0,0,0,0,0,0
2019-01-20,1,2811.6,117,474.48,0,474.48,0.72,0,0,0,0,0,0,0,0.72,49.68,204.48,340.56,430.56,474.48,468.72,403.2,290.16,134.64,14.4,0,0,0,0,0,0
2019-01-21,1,1439.28,60,270.72,0,270.72,11.52,0,0,0,0,0,0,0,0,27.36,82.08,164.16,112.32,200.16,241.92,270.72,215.28,113.76,11.52,0,0,0,0,0,0
2019-01-22,1,2509.92,105,480.96,0,480.96,12.24,0,0,0,0,0,0,0,0,44.64,145.44,285.12,411.84,480.96,465.84,306.72,246.96,110.16,12.24,0,0,0,0,0,0
2019-01-23,1,2596.32,108,450.72,0,450.72,15.84,0,0,0,0,0,0,0,0,39.6,151.2,310.32,400.32,450.72,439.92,382.32,272.88,133.2,15.84,0,0,0,0,0,0
2019-01-24,1,2768.4,115,467.28,0,467.28,18.72,0,0,0,0,0,0,0,0,53.28,201.6,329.76,421.92,467.28,463.68,396.72,281.52,133.92,18.72,0,0,0,0,0,0
2019-01-25,1,2725.92,114,470.16,0,470.16,0.72,0,0,0,0,0,0,0,0.72,41.76,187.2,326.16,423.36,470.16,462.96,392.4,275.76,128.16,17.28,0,0,0,0,0,0
2019-01-26,1,2890.8,120,485.28,0,485.28,20.16,0,0,0,0,0,0,0,0,57.6,213.12,350.64,441.36,485.28,476.64,408.24,292.32,145.44,20.16,0,0,0,0,0,0
2019-01-27,1,2239.92,93,424.08,0,424.08,0.72,0,0,0,0,0,0,0,0.72,48.24,180,326.16,422.64,424.08,331.2,255.6,153.36,83.52,14.4,0,0,0,0,0,0
2019-01-28,1,2966.4,124,491.76,0,491.76,23.76,0,0,0,0,0,0,0,0,55.44,210.96,360,450.72,491.76,484.56,423.36,312.48,153.36,23.76,0,0,0,0,0,0
2019-01-29,1,3034.8,126,524.16,0,524.16,0.72,0,0,0,0,0,0,0,0.72,64.08,221.76,355.68,468,524.16,490.32,429.84,309.6,148.32,22.32,0,0,0,0,0,0
2019-01-30,1,2119.68,88,360,0,360,0.72,0,0,0,0,0,0,0,0.72,56.16,185.76,242.64,328.32,346.32,360,285.84,210.24,93.6,10.08,0,0,0,0,0,0
2019-01-31,1,1581.84,66,340.56,0,340.56,10.8,0,0,0,0,0,0,0,0,10.8,43.2,102.24,109.44,167.04,334.8,340.56,311.04,142.56,20.16,0,0,0,0,0,0
2019-02-01,1,2411.28,100,485.28,0,485.28,0.72,0,0,0,0,0,0,0,0.72,66.96,226.8,370.08,464.4,439.2,485.28,177.84,110.16,61.92,7.92,0,0,0,0,0,0
2019-02-02,1,1340.64,56,295.2,0,295.2,7.2,0,0,0,0,0,0,0,0,7.2,50.4,98.64,223.92,173.52,157.68,211.68,295.2,110.88,11.52,0,0,0,0,0,0
2019-02-03,1,65.52,3,13.68,0,13.68,2.88,0,0,0,0,0,0,0,0,0,5.04,7.2,9.36,7.2,7.92,13.68,12.24,2.88,0,0,0,0,0,0,0
2019-02-04,1,3248.64,135,555.12,0,555.12,2.88,0,0,0,0,0,0,0,2.88,84.96,265.68,417.6,514.08,555.12,529.2,429.84,293.76,136.08,19.44,0,0,0,0,0,0
2019-02-05,1,3018.96,126,527.76,0,527.76,2.16,0,0,0,0,0,0,0,2.16,74.16,231.84,381.6,479.52,527.76,494.64,424.08,253.44,125.28,24.48,0,0,0,0,0,0
2019-02-06,1,1851.12,77,399.6,0,399.6,2.16,0,0,0,0,0,0,0,2.16,77.04,126.72,252.72,286.56,298.8,399.6,221.04,130.32,48.96,7.2,0,0,0,0,0,0
2019-02-07,1,3359.52,140,566.64,0,566.64,48.24,0,0,0,0,0,0,0,0,54.72,236.16,380.88,426.96,523.44,566.64,511.2,387.36,223.92,48.24,0,0,0,0,0,0
2019-02-08,1,3126.24,130,516.96,0,516.96,2.88,0,0,0,0,0,0,0,2.88,92.88,241.92,425.52,516.96,483.84,455.76,392.4,355.68,139.68,18.72,0,0,0,0,0,0
2019-02-09,1,3404.16,142,596.16,0,596.16,3.6,0,0,0,0,0,0,0,3.6,109.44,293.76,442.08,537.84,596.16,540.72,367.92,289.44,170.64,52.56,0,0,0,0,0,0
2019-02-10,1,1851.84,77,367.92,0,367.92,2.88,0,0,0,0,0,0,0,2.88,63.36,163.44,282.96,367.92,328.32,248.4,177.12,114.48,81.36,21.6,0,0,0,0,0,0
2019-02-11,1,3659.76,152,587.52,0,587.52,4.32,0,0,0,0,0,0,0,4.32,104.4,286.56,442.8,542.16,587.52,572.4,500.4,371.52,200.88,46.8,0,0,0,0,0,0
2019-02-12,1,3029.04,126,499.68,0,499.68,2.88,0,0,0,0,0,0,0,2.88,61.92,223.92,353.52,460.08,499.68,440.64,444.96,336.96,179.28,25.2,0,0,0,0,0,0
2019-02-13,1,3539.52,147,568.8,0,568.8,5.04,0,0,0,0,0,0,0,5.04,89.28,240.48,396.72,509.76,568.8,567.36,509.76,396,193.68,62.64,0,0,0,0,0,0
2019-02-14,1,3602.16,150,581.76,0,581.76,6.48,0,0,0,0,0,0,0,6.48,113.76,281.52,391.68,486,581.76,564.48,514.8,395.28,220.32,46.08,0,0,0,0,0,0
2019-02-15,1,746.64,31,213.12,0,213.12,1.44,0,0,0,0,0,0,0,0,1.44,18.72,54,100.8,213.12,162.72,84.24,45.36,35.28,30.96,0,0,0,0,0,0
2019-02-16,1,3716.64,155,581.76,0,581.76,0.72,0,0,0,0,0,0,0,7.2,108,270,434.88,548.64,581.76,580.32,525.6,388.08,210.96,60.48,0.72,0,0,0,0,0
2019-02-17,1,4142.16,173,630,0,630,7.92,0,0,0,0,0,0,0,7.92,139.68,331.2,490.32,588.24,630,621.36,560.16,437.76,261.36,74.16,0,0,0,0,0,0
2019-02-18,1,2477.52,103,473.76,0,473.76,7.92,0,0,0,0,0,0,0,10.08,134.64,298.08,371.52,447.84,473.76,336.24,187.2,157.68,52.56,7.92,0,0,0,0,0,0
2019-02-19,1,992.88,41,257.04,0,257.04,0.72,0,0,0,0,0,0,0,0,0.72,5.04,20.16,36.72,59.76,183.6,257.04,201.6,186.48,41.76,0,0,0,0,0,0
2019-02-20,1,2402.64,100,499.68,0,499.68,0.72,0,0,0,0,0,0,0,0,24.48,120.96,211.68,239.76,499.68,485.28,297.36,270.72,202.32,49.68,0.72,0,0,0,0,0
2019-02-21,1,3900.24,163,601.2,0,601.2,0.72,0,0,0,0,0,0,0,13.68,134.64,306,450.72,545.04,601.2,580.32,529.2,414.72,247.68,76.32,0.72,0,0,0,0,0
2019-02-22,1,3970.8,165,622.08,0,622.08,15.12,0,0,0,0,0,0,0,15.12,120.96,274.32,419.76,574.56,622.08,599.76,538.56,433.44,284.4,87.84,0,0,0,0,0,0
2019-02-23,1,3892.32,162,615.6,0,615.6,0.72,0,0,0,0,0,0,0,16.56,98.64,249.12,453.6,584.64,615.6,612.72,546.48,411.12,249.12,54,0.72,0,0,0,0,0
2019-02-24,1,2925.36,122,439.92,0,439.92,10.8,0,0,0,0,0,0,0,10.8,92.16,223.2,339.84,417.6,439.2,439.92,383.04,320.4,201.6,57.6,0,0,0,0,0,0
2019-02-25,1,3453.12,144,620.64,0,620.64,2.16,0,0,0,0,0,0,0,2.88,55.44,144,287.28,498.96,620.64,582.48,514.8,404.64,257.76,82.08,2.16,0,0,0,0,0
2019-02-26,1,4052.16,169,619.92,0,619.92,0.72,0,0,0,0,0,0,0,21.6,174.96,349.92,478.08,566.64,593.28,619.92,563.76,440.64,187.92,54.72,0.72,0,0,0,0,0
2019-02-27,1,3412.8,142,569.52,0,569.52,0.72,0,0,0,0,0,0,0,14.4,133.2,295.92,423.36,441.36,537.12,569.52,383.76,372.96,184.32,56.16,0.72,0,0,0,0,0
2019-02-28,1,3440.88,143,535.68,0,535.68,2.16,0,0,0,0,0,0,0,16.56,108.72,259.92,410.4,464.4,513.36,535.68,493.2,387.36,179.28,69.84,2.16,0,0,0,0,0
2019-03-01,1,2849.76,119,435.6,0,435.6,1.44,0,0,0,0,0,0,0,15.84,108,231.12,337.68,411.84,435.6,416.16,367.92,290.16,177.12,56.88,1.44,0,0,0,0,0
2019-03-02,1,3120.48,130,491.76,0,491.76,1.44,0,0,0,0,0,0,0,15.12,146.16,308.16,439.2,484.56,491.76,460.08,378,238.32,115.92,41.76,1.44,0,0,0,0,0
2019-03-03,1,3539.52,147,580.32,0,580.32,2.16,0,0,0,0,0,0,0,28.8,169.92,328.32,495.36,522.72,556.56,580.32,418.32,267.12,120.96,48.96,2.16,0,0,0,0,0
2019-03-04,1,3656.88,152,580.32,0,580.32,2.88,0,0,0,0,0,0,0,20.16,118.8,234.72,434.16,488.88,570.24,580.32,504,401.76,231.84,69.12,2.88,0,0,0,0,0
2019-03-05,1,2158.56,90,430.56,0,430.56,0.72,0,0,0,0,0,0,0,4.32,46.8,97.92,274.32,426.24,430.56,391.68,241.92,147.6,72,24.48,0.72,0,0,0,0,0
2019-03-06,1,2378.16,99,460.08,0,460.08,3.6,0,0,0,0,0,0,0,18,66.96,92.16,186.48,291.6,276.48,347.76,460.08,370.8,200.88,63.36,3.6,0,0,0,0,0
2019-03-07,1,4199.76,175,625.68,0,625.68,6.48,0,0,0,0,0,0,0,29.52,170.64,329.76,474.48,578.88,625.68,606.24,539.28,442.08,285.84,110.88,6.48,0,0,0,0,0
2019-03-08,1,4621.68,193,673.2,0,673.2,7.2,0,0,0,0,0,0,0,46.08,202.32,370.8,529.2,638.64,673.2,658.08,587.52,470.16,313.2,125.28,7.2,0,0,0,0,0
2019-03-09,1,3573.36,149,566.64,0,566.64,3.6,0,0,0,0,0,0,0,43.2,180.72,257.04,455.04,376.56,444.96,566.64,527.04,375.84,237.6,105.12,3.6,0,0,0,0,0
2019-03-10,1,2363.76,98,472.32,0,472.32,7.2,0,0,0,0,0,0,0,18.72,74.16,110.16,181.44,270,408.24,472.32,313.92,213.84,175.68,118.08,7.2,0,0,0,0,0
2019-03-11,1,2203.2,92,324,0,324,0.72,0,0,0,0,0,0,0,44.64,152.64,250.56,299.52,324,270,305.28,311.76,147.6,77.04,19.44,0.72,0,0,0,0,0
2019-03-12,1,1798.56,75,383.04,0,383.04,9.36,0,0,0,0,0,0,0,0,36.72,79.92,110.16,295.92,383.04,175.68,162.72,135.36,275.04,134.64,9.36,0,0,0,0,0
2019-03-13,1,4728.96,197,707.76,0,707.76,10.08,0,0,0,0,0,0,0,53.28,143.28,291.6,565.2,670.32,707.76,691.92,627.84,501.84,331.2,134.64,10.08,0,0,0,0,0
2019-03-14,1,3620.16,151,662.4,0,662.4,7.2,0,0,0,0,0,0,0,64.8,221.76,388.08,532.08,583.92,662.4,413.28,298.8,194.4,172.8,80.64,7.2,0,0,0,0,0
2019-03-15,1,2305.44,96,494.64,0,494.64,0.72,0,0,0,0,0,0,0,12.24,110.88,295.92,220.32,296.64,180.72,313.2,494.64,133.92,119.52,126.72,0.72,0,0,0,0,0
2019-03-16,1,3785.04,158,570.96,0,570.96,0.72,0,0,0,0,0,0,0.72,50.4,198.72,415.44,564.48,570.96,561.6,293.76,522,328.32,190.8,79.2,8.64,0,0,0,0,0
2019-03-17,1,4928.4,205,710.64,0,710.64,13.68,0,0,0,0,0,0,0,72.72,140.4,434.88,579.6,671.04,710.64,704.16,626.4,501.84,334.08,138.96,13.68,0,0,0,0,0
2019-03-18,1,3892.32,162,581.04,0,581.04,0.72,0,0,0,0,0,0,0.72,64.08,192.24,371.52,486,576.72,581.04,488.88,491.76,344.16,217.44,69.84,7.92,0,0,0,0,0
2019-03-19,1,2370.24,99,367.2,0,367.2,9.36,0,0,0,0,0,0,0,48.96,177.84,299.52,256.32,131.04,227.52,244.8,292.32,367.2,224.64,90.72,9.36,0,0,0,0,0
2019-03-20,1,834.48,35,151.92,0,151.92,4.32,0,0,0,0,0,0,0,28.8,99.36,140.4,151.92,147.6,115.92,63.36,38.16,28.08,16.56,4.32,0,0,0,0,0,0
2019-03-21,1,3283.2,137,630,0,630,5.76,0,0,0,0,0,0,0,5.76,22.32,193.68,325.44,630,341.28,450.72,512.64,452.88,226.08,106.56,15.84,0,0,0,0,0
2019-03-22,1,5492.88,229,758.88,0,758.88,2.88,0,0,0,0,0,0,2.88,88.56,298.08,489.6,637.2,721.44,758.88,736.56,661.68,542.16,373.68,167.76,14.4,0,0,0,0,0
2019-03-23,1,3311.28,138,614.88,0,614.88,2.88,0,0,0,0,0,0,2.88,84.24,187.2,211.68,226.8,12.24,544.32,340.56,614.88,522.72,374.4,172.08,17.28,0,0,0,0,0
2019-03-24,1,5231.52,218,733.68,0,733.68,3.6,0,0,0,0,0,0,3.6,103.68,305.28,498.24,640.8,699.12,733.68,619.2,486.72,561.6,385.2,176.4,18,0,0,0,0,0
2019-03-25,1,3799.44,158,606.24,0,606.24,2.16,0,0,0,0,0,0,2.16,67.68,187.2,326.16,482.4,290.88,606.24,529.2,515.52,411.84,260.64,106.56,12.96,0,0,0,0,0
2019-03-26,1,5086.08,212,724.32,0,724.32,2.16,0,0,0,0,0,0,2.16,27.36,288.72,466.56,602.64,686.16,724.32,698.4,620.64,492.48,319.68,139.68,17.28,0,0,0,0,0
2019-03-27,1,2959.2,123,497.52,0,497.52,0.72,0,0,0,0,0,0,0.72,35.28,177.84,293.04,416.88,493.92,497.52,420.48,342,79.2,161.28,39.6,1.44,0,0,0,0,0
2019-03-28,1,4500.72,188,657.36,0,657.36,5.76,0,0,0,0,0,0,5.76,93.6,269.28,423.36,527.76,608.4,657.36,640.08,533.52,393.84,255.6,80.64,11.52,0,0,0,0,0
2019-03-29,1,5238,218,740.88,0,740.88,1.44,0,0,0,0,0,0,1.44,95.76,244.08,453.6,599.04,694.8,740.88,721.44,646.56,521.28,347.76,152.64,18.72,0,0,0,0,0
2019-03-30,1,2605.68,109,666.72,0,666.72,10.08,0,0,0,0,0,0,0,32.4,144,65.52,282.96,118.8,133.2,347.04,666.72,509.04,249.84,46.08,10.08,0,0,0,0,0
2019-03-31,1,2805.84,117,591.12,0,591.12,24.48,0,0,0,0,0,0,0,51.12,121.68,123.12,200.88,249.84,203.76,236.88,418.32,591.12,398.88,185.76,24.48,0,0,0,0,0
2019-04-01,1,5341.68,223,752.4,0,752.4,8.64,0,0,0,0,0,0,8.64,128.16,318.24,389.52,576.72,653.76,711.36,752.4,664.56,566.64,372.24,173.52,25.92,0,0,0,0,0
2019-04-02,1,5628.24,235,739.44,0,739.44,10.08,0,0,0,0,0,0,10.08,131.04,331.92,519.12,647.28,722.88,734.4,739.44,669.6,550.08,375.12,172.08,25.2,0,0,0,0,0
2019-04-03,1,5531.04,230,756,0,756,10.8,0,0,0,0,0,0,10.8,123.84,309.6,476.64,630.72,658.08,737.28,756,689.04,555.12,380.88,177.84,25.2,0,0,0,0,0
2019-04-04,1,5486.4,229,750.24,0,750.24,10.8,0,0,0,0,0,0,10.8,118.8,299.52,489.6,635.76,715.68,750.24,735.12,658.08,524.16,361.44,164.16,23.04,0,0,0,0,0
