년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2021-05-01,1,5419.44,225.81,963.36,0,963.36,26.64,0,0,0,0,0,0,36,143.28,213.84,421.2,214.56,779.76,963.36,833.76,661.68,634.32,378,113.04,26.64,0,0,0,0,0
2021-05-02,1,6618.24,275.76,871.92,0,871.92,27.36,0,0,0,0,0,0,44.64,203.04,442.8,606.24,752.4,840.24,770.4,871.92,799.2,638.64,431.28,190.08,27.36,0,0,0,0,0
2021-05-03,1,5862.96,244.29,838.08,0,838.08,0.72,0,0,0,0,0,0.72,44.64,214.56,368.64,565.92,774,833.76,838.08,723.6,725.04,519.84,254.16,0,0,0,0,0,0,0
2021-05-04,1,662.4,27.6,164.88,0,164.88,0.72,0,0,0,0,0,0,0,35.28,83.52,164.88,77.04,46.8,108.72,72,59.04,7.92,6.48,0.72,0,0,0,0,0,0
2021-05-05,1,370.8,15.45,215.28,0,215.28,0.72,0,0,0,0,0,0.72,42.48,112.32,215.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-06,1,716.4,29.85,411.84,0,411.84,17.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.52,411.84,203.76,17.28,0,0,0,0,0
2021-05-07,1,5731.2,238.8,813.6,0,813.6,0.72,0,0,0,0,0,0,40.32,163.44,358.56,582.48,604.8,813.6,770.4,766.8,687.6,430.56,326.88,138.24,46.8,0.72,0,0,0,0
2021-05-08,1,5317.92,221.58,745.92,0,745.92,0.72,0,0,0,0,0,0.72,46.08,169.92,319.68,534.96,745.92,740.16,641.52,741.6,427.68,398.88,295.2,182.88,70.56,2.16,0,0,0,0
2021-05-09,1,6058.8,252.45,816.48,0,816.48,0.72,0,0,0,0,0,0.72,48.96,181.44,378,555.84,691.92,789.84,816.48,777.6,693.36,552.24,365.76,162.72,43.2,0.72,0,0,0,0
2021-05-10,1,3461.04,144.21,789.12,0,789.12,1.44,0,0,0,0,0,1.44,41.04,80.64,118.8,223.2,212.4,390.24,789.12,720.72,421.2,290.88,146.16,23.04,2.16,0,0,0,0,0
2021-05-11,1,273.6,11.4,45.36,0,45.36,5.04,0,0,0,0,0,0,5.04,12.96,23.76,24.48,36.72,40.32,45.36,33.84,12.96,12.96,18,7.2,0,0,0,0,0,0
2021-05-12,1,1527.12,63.63,212.4,0,212.4,6.48,0,0,0,0,0,0,6.48,56.16,88.56,180,159.12,207.36,212.4,208.08,169.92,123.84,70.56,23.76,20.88,0,0,0,0,0
