년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013-01-01,1,1.251,0,0.571,0,0.571,0.001,0,0,0,0,0,0,0,0,0,0.014,0.207,0.571,0.093,0.194,0.096,0.075,0.001,0,0,0,0,0,0,0
2013-01-02,1,170.367,7,31.365,0,31.365,0.013,0,0,0,0,0,0,0,0,3.55,16.033,22.064,27.128,28.247,31.365,27.501,13.514,0.952,0.013,0,0,0,0,0,0
2013-01-03,1,202.742,8,35.752,0,35.752,0.007,0,0,0,0,0,0,0,0.007,4.516,19.089,26.41,31.507,34.412,35.752,32.505,17.322,1.196,0.026,0,0,0,0,0,0
2013-01-04,1,178.327,7,38.347,0,38.347,0.048,0,0,0,0,0,0,0,0,2.276,6.868,14.434,28.789,38.347,37.061,31.973,17.05,1.481,0.048,0,0,0,0,0,0
2013-01-05,1,163.371,7,35.357,0,35.357,0.056,0,0,0,0,0,0,0,0,1.383,5.036,11.446,31.269,35.357,34.388,27.917,13.855,2.664,0.056,0,0,0,0,0,0
2013-01-06,1,161.179,7,31.373,0,31.373,0.004,0,0,0,0,0,0,0,0.004,2.217,9.571,18.658,26.56,31.373,30.81,25.202,14.563,2.143,0.078,0,0,0,0,0,0
2013-01-07,1,157.258,7,34.343,0,34.343,0.107,0,0,0,0,0,0,0,0,0.585,3.48,11.747,27.239,34.343,33.943,28.158,15.357,2.299,0.107,0,0,0,0,0,0
2013-01-08,1,164.18,7,34.206,0,34.206,0.075,0,0,0,0,0,0,0,0,0.945,3.998,20.117,29.534,34.206,30.812,26.632,15.679,2.182,0.075,0,0,0,0,0,0
2013-01-09,1,210.557,9,36.618,0,36.618,0.048,0,0,0,0,0,0,0,0,4.795,18.45,27.597,33.752,36.618,35.635,32.673,19.77,1.219,0.048,0,0,0,0,0,0
2013-01-10,1,213.48,9,37.809,0,37.809,0.003,0,0,0,0,0,0,0,0.003,1.537,17.019,30.418,36.466,37.809,36.497,32.425,20.008,1.234,0.064,0,0,0,0,0,0
2013-01-11,1,169.925,7,36.555,0,36.555,0.114,0,0,0,0,0,0,0,0,1.285,6.622,15.256,30.802,36.555,34.335,27.079,15.424,2.453,0.114,0,0,0,0,0,0
2013-01-12,1,41.043,2,9.925,0,9.925,0.011,0,0,0,0,0,0,0,0,0.04,0.926,2.677,4.354,7.841,7.388,9.925,6.24,1.641,0.011,0,0,0,0,0,0
2013-01-13,1,83.745,3,17.541,0,17.541,0.063,0,0,0,0,0,0,0,0,1.072,6.285,13.141,17.541,16.326,13.812,9.638,3.849,2.018,0.063,0,0,0,0,0,0
2013-01-14,1,132.972,6,26.823,0,26.823,0.15,0,0,0,0,0,0,0,0,0.447,2.103,14.186,26.823,25.394,23.929,22.717,14.011,3.212,0.15,0,0,0,0,0,0
2013-01-15,1,147.969,6,28.542,0,28.542,0.353,0,0,0,0,0,0,0,0,1.554,5.456,18.398,26.79,27.153,28.542,23.697,11.735,4.291,0.353,0,0,0,0,0,0
2013-01-16,1,84.174,4,22.724,0,22.724,0.018,0,0,0,0,0,0,0,0,0.959,3.401,8.625,17.893,22.724,13.851,6.506,8.163,2.034,0.018,0,0,0,0,0,0
2013-01-17,1,62.753,3,12.205,0,12.205,0.004,0,0,0,0,0,0,0,0,1.013,3.739,6.602,12.205,9.641,10.105,10.221,6.515,2.708,0.004,0,0,0,0,0,0
2013-01-18,1,169.694,7,31.503,0,31.503,0.256,0,0,0,0,0,0,0,0,0.741,6.903,21.943,29.008,31.503,31.41,26.937,18.25,2.743,0.256,0,0,0,0,0,0
2013-01-19,1,103.413,4,17.989,0,17.989,0.293,0,0,0,0,0,0,0,0,1.379,5.086,10.851,17.196,17.989,12.796,17.195,16.66,3.968,0.293,0,0,0,0,0,0
