년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020-10-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-13,1,2352.36,98.015,671.307,0,671.307,49.464,0,0,0,0,0,0,0,0,0,0,0,0,369.317,671.307,582.359,447.635,232.278,49.464,0,0,0,0,0,0
2020-10-14,1,4904.529,204.355,723.736,0,723.736,1.591,0,0,0,0,0,0,1.591,91.913,256.359,487.047,618.879,703.85,723.736,694.955,592.194,443.223,243.487,47.295,0,0,0,0,0,0
2020-10-15,1,4085.479,170.228,722.796,0,722.796,2.386,0,0,0,0,0,0,2.386,68.411,238.497,492.181,572.886,698.064,722.796,668.559,385.515,153.671,66.531,15.982,0,0,0,0,0,0
2020-10-16,1,1055.81,43.992,162.638,0,162.638,0.145,0,0,0,0,0,0,0.145,38.038,110.282,105.581,147.813,146.223,110.571,108.112,162.638,96.035,29.577,0.795,0,0,0,0,0,0
2020-10-17,1,4940.325,205.847,742.105,0,742.105,1.374,0,0,0,0,0,0,1.374,87.43,292.807,478.224,621.554,714.914,742.105,703.488,603.041,424.349,231.772,39.267,0,0,0,0,0,0
2020-10-18,1,4555.605,189.817,718.096,0,718.096,1.229,0,0,0,0,0,0,1.229,79.62,270.895,457.831,598.558,695.461,718.096,679.985,510.043,387.54,135.231,21.116,0,0,0,0,0,0
2020-10-19,1,4266.198,177.758,717.373,0,717.373,31.964,0,0,0,0,0,0,0,82.512,270.316,491.169,629.075,691.917,717.373,652.578,565.871,0,133.423,31.964,0,0,0,0,0,0
2020-10-20,1,4240.307,176.679,690.543,0,690.543,1.012,0,0,0,0,0,0,1.012,84.899,301.34,481.912,623.941,690.543,494.712,679.624,476.633,183.971,197.277,24.443,0,0,0,0,0,0
2020-10-21,1,544.538,22.689,128.433,0,128.433,0.362,0,0,0,0,0,0,0,20.827,72.533,128.433,87.502,77.956,87.502,20.176,19.164,21.405,8.678,0.362,0,0,0,0,0,0
2020-10-22,1,1391.068,57.961,349.213,0,349.213,10.052,0,0,0,0,0,0,0,12.945,57.853,102.11,189.467,342.994,349.213,127.999,95.168,71.014,32.253,10.052,0,0,0,0,0,0
2020-10-23,1,2656.955,110.706,455.734,0,455.734,0.072,0,0,0,0,0,0,0.072,20.104,68.121,308.21,335.69,339.74,455.734,439.029,369.678,186.358,118.743,15.476,0,0,0,0,0,0
2020-10-24,1,3968.256,165.344,610.851,0,610.851,0.072,0,0,0,0,0,0,0.072,42.377,231.627,365.412,532.678,610.851,480.466,533.257,505.921,394.772,238.136,32.687,0,0,0,0,0,0
2020-10-25,1,3690.638,153.777,710.069,0,710.069,0.723,0,0,0,0,0,0,0.723,87.719,224.83,304.956,297.218,477.429,621.699,710.069,511.634,339.306,90.178,24.877,0,0,0,0,0,0
2020-10-26,1,4207.551,175.315,689.82,0,689.82,0.362,0,0,0,0,0,0,0.362,73.111,292.807,390.939,595.087,635.077,689.82,683.023,453.637,248.694,136.605,8.389,0,0,0,0,0,0
2020-10-27,1,4049.901,168.746,624.664,0,624.664,0.145,0,0,0,0,0,0,0.145,62.264,211.451,419.215,593.279,574.187,612.442,624.664,484.516,301.918,153.816,12.004,0,0,0,0,0,0
2020-10-28,1,1808.618,75.359,374.162,0,374.162,10.558,0,0,0,0,0,0,0,25.672,132.555,158.01,168.64,374.162,274.8,187.949,274.511,137.834,63.927,10.558,0,0,0,0,0,0
2020-10-29,1,4748.398,197.85,724.098,0,724.098,0.217,0,0,0,0,0,0,0.217,70.508,286.587,476.272,633.125,724.098,594.797,704.862,600.293,426.88,205.955,24.804,0,0,0,0,0,0
2020-10-30,1,4369.247,182.052,683.529,0,683.529,0.072,0,0,0,0,0,0,0.072,64.144,274.005,474.175,611.285,683.529,676.297,608.103,491.603,328.241,143.041,14.752,0,0,0,0,0,0
2020-10-31,1,4128.799,172.033,721.784,0,721.784,19.381,0,0,0,0,0,0,0,52.935,237.702,413.791,558.278,652.144,721.784,406.198,503.463,380.164,182.959,19.381,0,0,0,0,0,0
2020-11-01,1,3894.278,162.262,666.752,0,666.752,0.072,0,0,0,0,0,0,0.072,54.743,197.567,301.412,582.359,658.218,666.752,617.794,362.447,276.536,157.865,18.513,0,0,0,0,0,0
2020-11-02,1,1753.728,73.072,484.877,0,484.877,3.543,0,0,0,0,0,0,0,3.543,19.525,45.848,56.623,92.564,138.412,424.566,484.877,342.343,132.627,12.8,0,0,0,0,0,0
2020-11-03,1,3535.52,147.313,578.599,0,578.599,10.703,0,0,0,0,0,0,0,32.759,123.371,302.135,475.549,578.599,553.36,499.341,530.436,287.817,141.45,10.703,0,0,0,0,0,0
2020-11-04,1,4749.846,197.91,726.991,0,726.991,17.356,0,0,0,0,0,0,0,61.902,272.414,476.561,600.149,710.213,726.991,685.264,584.312,420.661,194.023,17.356,0,0,0,0,0,0
2020-11-05,1,3653.973,152.249,672.465,0,672.465,3.11,0,0,0,0,0,0,0,45.414,253.467,442.283,307.125,471.499,672.465,637.102,536.728,225.987,58.793,3.11,0,0,0,0,0,0
2020-11-06,1,1481.896,61.746,291.288,0,291.288,12.945,0,0,0,0,0,0,0,18.151,50.983,77.523,248.766,176.089,176.306,291.288,175.221,122.937,131.687,12.945,0,0,0,0,0,0
