년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2021-02-09,1,1816.5,75.688,724.026,0,724.026,0.289,0,0,0,0,0,0,2.025,2.386,2.025,1.953,1.446,0.289,0,304.883,724.026,524.651,214.706,38.11,0,0,0,0,0,0
2021-02-10,1,1925.407,80.225,503.173,0,503.173,0.795,0,0,0,0,0,0,0,0.795,44.33,97.192,151.935,343.5,503.173,274.149,199.592,231.194,59.588,19.959,0,0,0,0,0,0
2021-02-11,1,3835.339,159.806,658.218,0,658.218,3.905,0,0,0,0,0,0,0,3.905,71.882,228.663,426.735,578.237,658.218,638.982,616.492,407.716,171.171,33.338,0,0,0,0,0,0
2021-02-12,1,4263.161,177.632,721.495,0,721.495,3.037,0,0,0,0,0,0,0,3.037,70.436,276.608,468.172,642.164,721.495,700.523,643.972,479.526,214.055,43.173,0,0,0,0,0,0
2021-02-13,1,4403.888,183.495,728.22,0,728.22,5.424,0,0,0,0,0,0,0,5.424,100.302,290.276,498.617,649.83,728.22,727.063,660.605,485.745,214.344,43.462,0,0,0,0,0,0
2021-02-14,1,1968.002,82,516.19,0,516.19,0.868,0,0,0,0,0,0,0,0.868,50.766,230.326,369.244,516.19,285.647,198.507,136.46,104.207,63.349,12.438,0,0,0,0,0,0
2021-02-15,1,3679.717,153.322,852.025,0,852.025,0.072,0,0,0,0,0,0,0,0,0.072,8.678,26.974,498.183,852.025,729.305,579.828,635.15,294.542,54.888,0.072,0,0,0,0,0
2021-02-16,1,1168.84,48.702,268.147,0,268.147,8.389,0,0,0,0,0,0,0,8.389,105.075,207.546,268.147,266.411,234.231,59.01,20.031,0,0,0,0,0,0,0,0,0
2021-02-17,1,4301.197,179.217,910.311,0,910.311,0.072,0,0,0,0,0,0,0,0,0,0,0,659.158,875.961,910.311,830.836,651.131,311.681,62.047,0.072,0,0,0,0,0
2021-02-18,1,5331.482,222.145,860.919,0,860.919,0.217,0,0,0,0,0,0,0,8.172,114.548,361,600.655,760.401,844.576,860.919,796.848,624.375,301.557,58.214,0.217,0,0,0,0,0
