년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2021-08-23,1,354.889,14.787,204.834,0,204.834,4.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.834,102.869,42.847,4.339,0,0,0,0,0
2021-08-24,1,1737.026,72.376,336.268,0,336.268,1.627,0,0,0,0,0,0,1.627,35.435,66.711,147.163,330.664,336.268,121.31,136.677,164.88,243.523,107.389,31.277,14.102,0,0,0,0,0
2021-08-25,1,2534.668,105.611,421.782,0,421.782,6.328,0,0,0,0,0,0,6.328,37.062,115.163,244.247,308.427,259.071,421.782,221.467,195.614,319.455,237.557,115.524,52.971,0,0,0,0,0
2021-08-26,1,3464.831,144.368,591.543,0,591.543,11.028,0,0,0,0,0,0,11.028,54.598,73.581,148.247,399.364,498.437,591.543,389.421,469.872,454.686,257.987,104.496,11.571,0,0,0,0,0
2021-08-27,1,1652.415,68.851,296.133,0,296.133,6.87,0,0,0,0,0,0,6.87,46.101,84.067,83.886,161.264,260.518,296.133,210.439,178.078,167.411,87.321,59.841,10.486,0,0,0,0,0
2021-08-28,1,5880.899,245.037,1038.997,0,1038.997,20.61,0,0,0,0,0,0,20.61,74.304,144.089,334.461,720.084,1006.093,1038.997,906.117,532.063,414.008,478.007,177.354,34.712,0,0,0,0,0
2021-08-29,1,7240.258,301.677,1224.126,0,1224.126,1.266,0,0,0,0,0,0,12.474,36.158,75.57,198.507,429.013,1025.619,1224.126,1195.742,1084.556,925.823,586.843,396.652,47.909,1.266,0,0,0,0
2021-08-30,1,4666.538,194.439,721.35,0,721.35,28.746,0,0,0,0,0,0,28.746,116.971,222.733,275.342,500.244,483.793,635.113,721.35,584.673,494.278,351.455,212.97,38.87,0,0,0,0,0
2021-08-31,1,1461.321,60.888,312.223,0,312.223,7.774,0,0,0,0,0,0,8.497,59.841,172.654,195.253,312.223,155.841,181.332,183.321,74.304,37.062,50.44,22.779,7.774,0,0,0,0,0
2021-09-01,1,2772.406,115.517,494.64,0,494.64,3.977,0,0,0,0,0,0,0,13.559,78.643,237.557,360.856,225.264,494.64,399.545,440.584,313.489,147.343,56.949,3.977,0,0,0,0,0
2021-09-02,1,6193.668,258.07,1118.002,0,1118.002,40.858,0,0,0,0,0,0,40.858,200.857,438.957,629.871,746.48,1118.002,791.135,670.187,440.946,547.25,344.946,169.761,54.418,0,0,0,0,0
2021-09-03,1,10643.438,443.477,1458.429,0,1458.429,28.565,0,0,0,0,0,0,28.565,212.608,421.782,775.768,1213.278,1223.764,1449.57,1458.429,1286.136,1188.148,864.174,443.657,77.559,0,0,0,0,0
2021-09-04,1,10149.702,422.904,1476.327,0,1476.327,26.938,0,0,0,0,0,0,51.344,239.365,586.481,985.122,1150.906,1392.802,1434.203,1476.327,1267.515,886.772,454.324,197.603,26.938,0,0,0,0,0
2021-09-05,1,7037.953,293.248,1256.668,0,1256.668,17.175,0,0,0,0,0,0,45.378,191.998,556.47,511.996,711.587,1069.189,1256.668,1185.617,582.142,602.571,220.925,86.237,17.175,0,0,0,0,0
2021-09-06,1,5507.389,229.475,1243.832,0,1243.832,3.073,0,0,0,0,0,0,23.141,114.259,444.742,628.605,764.739,1243.832,750.457,581.6,470.595,286.551,128.361,67.434,3.073,0,0,0,0,0
2021-09-07,1,811.022,33.793,128.361,0,128.361,5.243,0,0,0,0,0,0,0,5.243,37.785,54.056,76.293,116.248,100.519,128.361,94.372,116.79,66.711,14.644,0,0,0,0,0,0
2021-09-08,1,9257.868,385.745,1581.908,0,1581.908,5.424,0,0,0,0,0,0,5.424,63.096,323.975,539.476,588.289,996.692,1445.231,1581.908,1337.119,1167.9,799.089,364.652,45.017,0,0,0,0,0
2021-09-09,1,6872.532,286.356,1354.113,0,1354.113,12.836,0,0,0,0,0,0,12.836,48.813,139.027,230.868,317.286,420.697,1354.113,1321.933,1198.092,1059.065,538.391,205.558,25.853,0,0,0,0,0
2021-09-10,1,9240.51,385.021,1491.513,0,1491.513,16.994,0,0,0,0,0,0,16.994,108.293,305.353,574.368,933.054,1370.384,1491.513,1420.463,1282.159,899.608,597.328,210.801,30.192,0,0,0,0,0
2021-09-11,1,8955.225,373.134,1458.609,0,1458.609,1.627,0,0,0,0,0,0,1.627,73.581,260.879,498.075,981.144,903.043,1347.424,1458.609,1322.837,1079.494,688.989,314.212,25.311,0,0,0,0,0
2021-09-12,1,9971.624,415.484,1477.773,0,1477.773,17.175,0,0,0,0,0,0,17.175,124.564,338.799,586.3,1094.499,1351.944,1477.773,1384.847,1301.142,1084.737,798.909,375.5,35.435,0,0,0,0,0
2021-09-13,1,9136.197,380.675,1394.429,0,1394.429,10.124,0,0,0,0,0,0,10.124,108.293,356.517,692.966,1174.951,1346.339,1292.826,1394.429,1278.543,884.241,400.449,178.982,17.537,0,0,0,0,0
2021-09-14,1,8122.691,338.445,1138.974,0,1138.974,18.802,0,0,0,0,0,0,18.802,195.976,308.608,523.024,826.569,912.444,1034.839,933.416,1068.647,1138.974,778.118,354.709,28.565,0,0,0,0,0
2021-09-15,1,11076.61,461.525,1533.456,0,1533.456,17.537,0,0,0,0,0,0,17.537,204.654,618.481,1007.54,1100.646,1485.005,1428.779,1533.456,1364.599,1130.657,798.728,359.048,27.48,0,0,0,0,0
2021-09-16,1,9460.533,394.189,1509.411,0,1509.411,14.825,0,0,0,0,0,0,14.825,212.066,629.509,1019.291,1278.724,1420.824,1509.411,1267.515,986.207,635.837,307.523,163.434,15.367,0,0,0,0,0
2021-09-17,1,6779.606,282.484,1382.678,0,1382.678,3.797,0,0,0,0,0,0,3.797,85.513,165.242,270.461,357.421,456.674,632.582,1382.678,1307.65,1129.392,614.142,358.325,15.729,0,0,0,0,0
2021-09-18,1,10444.751,435.198,1430.406,0,1430.406,13.74,0,0,0,0,0,0,13.74,212.247,604.741,982.772,1260.464,1195.922,1430.406,1350.317,1133.008,1148.556,766.909,328.856,16.813,0,0,0,0,0
2021-09-19,1,7937.924,330.747,1118.725,0,1118.725,13.74,0,0,0,0,0,0,23.322,179.886,501.691,512.9,761.485,901.055,1028.331,943.54,1037.37,1118.725,675.61,240.269,13.74,0,0,0,0,0
2021-09-20,1,9489.098,395.379,1384.847,0,1384.847,6.87,0,0,0,0,0,0,12.294,197.784,610.888,990.907,1258.656,1290.656,1384.847,990.726,755.158,1157.053,677.961,155.298,6.87,0,0,0,0,0
2021-09-21,1,4005.029,166.876,993.619,0,993.619,1.085,0,0,0,0,0,0,0,1.085,15.006,265.037,293.06,187.84,343.5,993.619,570.029,729.666,442.934,155.66,7.593,0,0,0,0,0
2021-09-22,1,8420.452,350.852,1540.869,0,1540.869,7.412,0,0,0,0,0,0,7.412,80.451,301.557,541.284,493.917,1137.166,1540.869,1117.641,1384.667,1044.059,477.646,285.828,7.955,0,0,0,0,0
2021-09-23,1,6446.23,268.593,1004.647,0,1004.647,7.955,0,0,0,0,0,0,14.644,200.134,595.159,962.523,821.688,649.396,737.44,1004.647,785.169,326.687,225.625,115.163,7.955,0,0,0,0,0
2021-09-24,1,9771.85,407.16,1447.581,0,1447.581,1.446,0,0,0,0,0,0,12.113,177.354,567.86,957.099,1249.255,1392.26,1447.581,1401.299,816.084,764.016,735.994,249.489,1.446,0,0,0,0,0
2021-09-25,1,3654.298,152.262,555.024,0,555.024,0.181,0,0,0,0,0,0,8.316,125.106,341.873,502.595,519.047,555.024,553.035,306.077,212.608,329.218,145.716,55.502,0.181,0,0,0,0,0
2021-09-26,1,8392.61,349.692,1349.051,0,1349.051,0.542,0,0,0,0,0,0,12.836,181.874,591.182,924.557,1203.516,1188.872,1176.036,1349.051,946.252,522.482,229.06,66.35,0.542,0,0,0,0,0
2021-09-27,1,6237.962,259.915,1476.508,0,1476.508,14.644,0,0,0,0,0,0,14.644,136.677,381.104,468.245,611.792,1465.299,1476.508,770.706,452.335,321.986,101.423,37.243,0,0,0,0,0,0
2021-09-28,1,4470.744,186.281,893.1,0,893.1,12.294,0,0,0,0,0,0,12.294,130.349,255.275,348.924,375.138,660.966,413.466,893.1,646.142,431.183,247.32,56.587,0,0,0,0,0,0
2021-09-29,1,1048.398,43.683,272.631,0,272.631,0.362,0,0,0,0,0,0,0,1.085,10.847,52.61,33.988,101.423,272.631,115.705,261.241,79.728,96.722,22.056,0.362,0,0,0,0,0
2021-09-30,1,9765.886,406.912,1499.468,0,1499.468,1.989,0,0,0,0,0,0,11.39,178.801,508.561,486.324,1061.415,1376.169,1499.468,1443.966,1289.029,1027.607,668.559,212.608,1.989,0,0,0,0,0
