년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013-01-01,1,497.196,21,105.696,0,105.696,2.304,0,0,0,0,0,0,0,0,2.304,26.928,34.38,105.696,92.448,105.408,90.72,28.404,10.908,0,0,0,0,0,0,0
2013-01-02,1,948.24,40,161.784,0,161.784,0.036,0,0,0,0,0,0,0,0.036,21.348,82.692,124.632,148.032,161.784,157.968,131.004,88.272,32.004,0.468,0,0,0,0,0,0
2013-01-03,1,924.192,39,179.748,0,179.748,0.324,0,0,0,0,0,0,0,0,22.356,56.808,126.216,161.748,179.748,172.044,136.008,52.56,16.38,0.324,0,0,0,0,0,0
2013-01-04,1,1000.512,42,175.212,0,175.212,0.648,0,0,0,0,0,0,0,0,24.084,96.732,138.996,161.532,175.212,149.688,127.728,85.608,40.284,0.648,0,0,0,0,0,0
2013-01-05,1,988.56,41,173.052,0,173.052,1.008,0,0,0,0,0,0,0,0,23.832,93.168,137.988,159.912,173.052,148.824,126.072,82.692,42.012,1.008,0,0,0,0,0,0
2013-01-06,1,916.056,38,158.256,0,158.256,0.792,0,0,0,0,0,0,0,0,21.312,86.616,123.984,139.644,158.256,150.768,123.876,82.26,28.548,0.792,0,0,0,0,0,0
2013-01-07,1,946.188,39,163.476,0,163.476,0.972,0,0,0,0,0,0,0,0,21.492,84.528,129.204,132.192,163.476,157.32,132.444,90.936,33.624,0.972,0,0,0,0,0,0
2013-01-08,1,928.368,39,160.488,0,160.488,0.072,0,0,0,0,0,0,0,0.072,19.908,79.2,123.228,147.24,160.488,152.64,126.108,85.176,33.336,0.972,0,0,0,0,0,0
2013-01-09,1,1021.536,43,172.44,0,172.44,0.252,0,0,0,0,0,0,0,0.252,24.732,74.052,128.412,158.508,172.44,169.02,143.64,102.636,45.792,2.052,0,0,0,0,0,0
2013-01-10,1,1041.12,43,173.952,0,173.952,2.16,0,0,0,0,0,0,0,0,22.248,90.144,134.784,156.384,173.952,168.408,143.64,102.744,46.656,2.16,0,0,0,0,0,0
2013-01-11,1,1005.84,42,172.08,0,172.08,0.72,0,0,0,0,0,0,0,0,23.112,91.116,135.828,158.328,172.08,163.944,135.36,93.168,32.184,0.72,0,0,0,0,0,0
2013-01-12,1,919.08,38,160.02,0,160.02,2.052,0,0,0,0,0,0,0,0,20.16,77.724,120.24,141.876,160.02,153.252,123.552,82.656,37.548,2.052,0,0,0,0,0,0
2013-01-13,1,194.184,8,41.292,0,41.292,0.288,0,0,0,0,0,0,0,0,6.516,36,37.944,41.292,30.024,18.648,16.344,7.128,0.288,0,0,0,0,0,0,0
2013-01-14,1,906.228,38,151.884,0,151.884,1.332,0,0,0,0,0,0,0,0,21.204,82.944,122.22,144.288,151.884,143.424,125.172,83.628,30.132,1.332,0,0,0,0,0,0
2013-01-15,1,783.252,33,145.44,0,145.44,0.108,0,0,0,0,0,0,0,0.108,16.02,48.924,98.964,124.452,145.44,134.388,109.548,72.252,31.212,1.944,0,0,0,0,0,0
2013-01-16,1,767.952,32,140.292,0,140.292,0.684,0,0,0,0,0,0,0,0,17.784,67.176,115.704,140.292,118.26,127.548,88.236,74.16,18.108,0.684,0,0,0,0,0,0
2013-01-17,1,936.216,39,164.376,0,164.376,0.036,0,0,0,0,0,0,0,0.036,20.268,79.416,126.684,151.596,164.376,143.676,129.096,85.752,33.336,1.98,0,0,0,0,0,0
2013-01-18,1,1060.092,44,174.42,0,174.42,5.04,0,0,0,0,0,0,0,0,21.384,87.516,136.8,161.676,174.42,164.952,146.88,108.972,52.452,5.04,0,0,0,0,0,0
2013-01-19,1,858.384,36,144,0,144,2.556,0,0,0,0,0,0,0,0,23.04,85.464,122.256,144,134.388,103.608,123.012,83.196,36.864,2.556,0,0,0,0,0,0
2013-01-20,1,716.076,30,138.096,0,138.096,1.548,0,0,0,0,0,0,0,0,13.32,42.804,90.36,138.096,121.752,127.656,107.136,56.34,17.064,1.548,0,0,0,0,0,0
2013-01-21,1,9.972,0,2.736,0,2.736,0.252,0,0,0,0,0,0,0,0,0,0,2.736,1.44,2.556,0.828,0.252,2.16,0,0,0,0,0,0,0,0
2013-01-22,1,357.444,15,139.176,0,139.176,3.888,0,0,0,0,0,0,0,0,5.58,29.556,65.448,139.176,37.512,37.692,21.24,17.352,3.888,0,0,0,0,0,0,0
2013-01-23,1,140.328,6,41.976,0,41.976,2.448,0,0,0,0,0,0,0,0,0,2.448,18.18,13.86,13.14,40.068,41.976,10.656,0,0,0,0,0,0,0,0
2013-01-24,1,428.4,18,76.572,0,76.572,0.036,0,0,0,0,0,0,0,0.18,19.692,69.912,76.572,74.592,76.572,48.276,42.588,12.384,7.596,0.036,0,0,0,0,0,0
2013-01-25,1,1156.068,48,188.316,0,188.316,0.072,0,0,0,0,0,0,0,0.072,25.416,97.812,148.608,176.976,188.316,184.248,157.752,114.156,56.196,6.516,0,0,0,0,0,0
2013-01-26,1,1213.02,51,195.192,0,195.192,0.072,0,0,0,0,0,0,0,0.072,24.696,100.836,152.964,180.936,195.192,191.844,166.68,124.092,65.808,9.9,0,0,0,0,0,0
2013-01-27,1,869.976,36,148.284,0,148.284,0.108,0,0,0,0,0,0,0,0.108,27.108,88.02,116.316,148.284,136.332,111.78,99.756,77.832,59.076,5.364,0,0,0,0,0,0
2013-01-28,1,1160.136,48,183.528,0,183.528,8.892,0,0,0,0,0,0,0,0,28.944,101.556,147.744,174.78,183.528,178.524,156.456,117.9,61.812,8.892,0,0,0,0,0,0
2013-01-29,1,816.48,34,153.972,0,153.972,0.18,0,0,0,0,0,0,0,0.18,21.96,79.056,122.544,149.976,153.972,126.396,85.572,43.668,29.16,3.996,0,0,0,0,0,0
2013-01-30,1,992.088,41,166.032,0,166.032,0.252,0,0,0,0,0,0,0,0.252,22.968,77.04,121.356,152.136,166.032,163.728,140.436,102.168,41.292,4.68,0,0,0,0,0,0
2013-01-31,1,593.604,25,103.896,0,103.896,2.268,0,0,0,0,0,0,0,0,10.8,27.252,85.068,93.492,82.548,103.896,81.828,87.516,18.936,2.268,0,0,0,0,0,0
2013-02-01,1,31.572,1,9.252,0,9.252,0.864,0,0,0,0,0,0,0,0,0,0,0.864,2.88,3.204,1.656,9.252,6.48,7.236,0,0,0,0,0,0,0
2013-02-02,1,1126.8,47,180.612,0,180.612,0.72,0,0,0,0,0,0,0,0.72,28.368,97.38,145.872,170.892,180.612,179.64,147.528,108.648,56.448,10.692,0,0,0,0,0,0
2013-02-03,1,417.132,17,71.64,0,71.64,0.864,0,0,0,0,0,0,0,0.864,24.768,68.76,53.748,57.888,71.64,56.484,39.096,32.616,11.268,0,0,0,0,0,0,0
2013-02-04,1,968.796,40,180.504,0,180.504,0.9,0,0,0,0,0,0,0,0,0.9,40.968,82.908,133.2,165.816,180.504,159.552,125.316,66.276,13.356,0,0,0,0,0,0
2013-02-05,1,153.216,6,29.448,0,29.448,0.036,0,0,0,0,0,0,0,0,12.168,29.448,28.8,24.48,28.584,20.556,6.228,2.916,0.036,0,0,0,0,0,0,0
2013-02-06,1,854.64,36,192.168,0,192.168,0.18,0,0,0,0,0,0,0,0.18,10.512,33.588,76.14,70.956,98.532,192.168,164.52,127.116,67.176,13.752,0,0,0,0,0,0
2013-02-07,1,1026.576,43,201.564,0,201.564,0.756,0,0,0,0,0,0,0,0.756,33.84,110.808,161.82,183.276,201.564,108.72,116.316,74.88,30.888,3.708,0,0,0,0,0,0
2013-02-08,1,1191.204,50,189.828,0,189.828,0.72,0,0,0,0,0,0,0,0.72,17.172,96.228,160.704,189.828,187.452,181.8,163.764,136.98,49.464,7.092,0,0,0,0,0,0
2013-02-09,1,1122.12,47,186.408,0,186.408,0.756,0,0,0,0,0,0,0,0.756,36.828,93.744,148.752,155.52,186.408,172.836,116.064,121.356,74.232,15.624,0,0,0,0,0,0
2013-02-10,1,1187.388,49,187.2,0,187.2,1.044,0,0,0,0,0,0,0,1.044,35.532,104.148,149.76,180.756,187.2,178.74,156.06,117.936,64.332,11.88,0,0,0,0,0,0
2013-02-11,1,1201.176,50,191.664,0,191.664,1.332,0,0,0,0,0,0,0,1.332,35.244,101.88,153.252,181.728,191.664,185.544,162.252,115.992,60.048,12.24,0,0,0,0,0,0
2013-02-12,1,143.964,6,22.752,0,22.752,2.952,0,0,0,0,0,0,0,0,2.952,11.124,17.784,12.42,13.788,13.356,22.752,16.92,22.248,10.62,0,0,0,0,0,0
2013-02-13,1,1243.656,52,203.004,0,203.004,1.8,0,0,0,0,0,0,0,1.8,40.968,110.628,154.404,190.476,203.004,185.508,146.124,125.928,70.668,14.148,0,0,0,0,0,0
2013-02-14,1,943.02,39,149.436,0,149.436,1.62,0,0,0,0,0,0,0,1.62,31.932,98.784,149.436,141.588,126.864,135.684,133.056,88.812,32.544,2.7,0,0,0,0,0,0
2013-02-15,1,1155.564,48,186.3,0,186.3,1.512,0,0,0,0,0,0,0,1.512,38.34,91.44,121.5,148.5,186.3,182.592,171.252,123.552,71.46,19.116,0,0,0,0,0,0
2013-02-16,1,1350.252,56,206.136,0,206.136,0.396,0,0,0,0,0,0,0,0.396,47.376,122.652,169.164,196.452,206.136,201.312,178.884,138.348,73.728,15.804,0,0,0,0,0,0
2013-02-17,1,143.82,6,29.7,0,29.7,0.036,0,0,0,0,0,0,0,0.072,6.408,29.52,29.628,29.7,25.452,10.98,4.86,5.688,1.476,0.036,0,0,0,0,0,0
2013-02-18,1,143.244,6,37.008,0,37.008,0.216,0,0,0,0,0,0,0,0,0,0.216,1.08,6.912,19.764,27.324,35.424,37.008,14.832,0.684,0,0,0,0,0,0
2013-02-19,1,1057.284,44,178.272,0,178.272,0.216,0,0,0,0,0,0,0,0.216,12.96,52.812,92.52,129.348,174.204,169.776,178.272,139.32,83.448,24.408,0,0,0,0,0,0
2013-02-20,1,1827.612,76,278.82,0,278.82,3.852,0,0,0,0,0,0,0,3.852,74.556,164.268,224.568,263.628,278.82,267.984,239.688,186.624,98.388,25.236,0,0,0,0,0,0
2013-02-21,1,1738.296,72,273.708,0,273.708,8.1,0,0,0,0,0,0,0,8.1,59.832,137.52,201.528,254.052,273.708,270.504,240.984,186.588,87.804,17.676,0,0,0,0,0,0
2013-02-22,1,1383.948,58,241.524,0,241.524,2.952,0,0,0,0,0,0,0,2.952,44.928,117.468,176.616,215.532,241.524,189.36,178.2,144.252,66.78,6.336,0,0,0,0,0,0
2013-02-23,1,1881.576,78,280.296,0,280.296,5.508,0,0,0,0,0,0,0,5.508,77.976,166.032,227.556,264.42,280.296,278.424,251.316,197.856,104.292,27.9,0,0,0,0,0,0
2013-02-24,1,1684.296,70,267.552,0,267.552,6.336,0,0,0,0,0,0,0,6.336,72.792,152.82,209.556,255.024,267.552,260.388,207.936,158.796,80.064,13.032,0,0,0,0,0,0
2013-02-25,1,1597.716,67,250.956,0,250.956,7.272,0,0,0,0,0,0,0,7.272,71.784,151.524,206.352,228.744,250.956,243.396,190.08,158.112,71.424,18.072,0,0,0,0,0,0
2013-02-26,1,253.908,11,57.924,0,57.924,0.144,0,0,0,0,0,0,0,0.144,4.644,9.108,16.992,28.764,46.08,57.924,29.628,30.672,26.784,3.168,0,0,0,0,0,0
2013-02-27,1,1667.7,69,255.96,0,255.96,8.388,0,0,0,0,0,0,0,8.388,73.044,149.76,210.78,247.932,255.96,241.848,214.344,151.812,89.856,23.976,0,0,0,0,0,0
2013-02-28,1,1655.172,69,258.768,0,258.768,9.288,0,0,0,0,0,0,0,9.288,69.228,145.332,201.456,235.332,258.768,257.904,224.208,163.8,76.068,13.788,0,0,0,0,0,0
2013-03-01,1,1048.464,44,235.476,0,235.476,0.18,0,0,0,0,0,0,0,0.18,8.928,46.476,102.708,110.628,134.496,235.476,173.88,112.608,95.688,27.108,0.288,0,0,0,0,0
2013-03-02,1,1830.744,76,275.688,0,275.688,0.144,0,0,0,0,0,0,0,11.592,83.628,164.304,226.332,263.52,275.688,266.94,232.668,176.076,100.692,29.16,0.144,0,0,0,0,0
2013-03-03,1,1928.448,80,285.084,0,285.084,0.288,0,0,0,0,0,0,0,11.592,84.6,173.628,233.712,270.18,285.084,277.272,247.86,196.884,112.248,35.1,0.288,0,0,0,0,0
2013-03-04,1,1494.54,62,234.72,0,234.72,0.072,0,0,0,0,0,0,0,10.548,66.888,136.044,188.244,217.188,234.72,231.516,207.648,136.08,49.5,16.092,0.072,0,0,0,0,0
2013-03-05,1,1860.084,78,269.82,0,269.82,0.288,0,0,0,0,0,0,0,11.196,89.352,169.848,227.844,259.524,269.82,264.42,239.04,188.532,106.488,33.732,0.288,0,0,0,0,0
2013-03-06,1,1648.404,69,251.784,0,251.784,0.432,0,0,0,0,0,0,0,11.772,70.632,142.02,194.04,229.608,251.784,246.204,221.112,164.376,89.46,26.964,0.432,0,0,0,0,0
2013-03-07,1,724.248,30,198.54,0,198.54,0.252,0,0,0,0,0,0,0,7.488,42.876,57.636,46.008,14.4,7.92,179.784,198.54,93.708,52.236,23.4,0.252,0,0,0,0,0
2013-03-08,1,1371.276,57,222.3,0,222.3,0.324,0,0,0,0,0,0,0,10.296,60.408,87.588,154.188,211.572,222.3,218.52,183.168,132.444,68.976,21.492,0.324,0,0,0,0,0
2013-03-09,1,1571.436,65,230.04,0,230.04,0.468,0,0,0,0,0,0,0,14.76,88.488,156.204,201.564,230.04,228.456,216.864,187.632,143.316,79.02,24.624,0.468,0,0,0,0,0
