년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013-01-01,1,80.54,3,17.96,0,17.96,0.024,0,0,0,0,0,0,0,0,0.54,5.036,6.832,17.304,14.276,17.96,12.46,4.22,1.888,0.024,0,0,0,0,0,0
2013-01-02,1,158.344,7,29.336,0,29.336,0.096,0,0,0,0,0,0,0,0,1.528,8.4,16.928,23.764,27.856,29.336,25.696,18.116,6.624,0.096,0,0,0,0,0,0
2013-01-03,1,153.128,6,32.096,0,32.096,0.096,0,0,0,0,0,0,0,0,1.664,5.852,17.024,26.108,31.344,32.096,26.504,9.568,2.872,0.096,0,0,0,0,0,0
2013-01-04,1,162.284,7,29.36,0,29.36,0.036,0,0,0,0,0,0,0,0,1.44,9.424,18.876,25.46,29.36,26.56,23.532,18.024,9.572,0.036,0,0,0,0,0,0
2013-01-05,1,162.508,7,29.276,0,29.276,0.056,0,0,0,0,0,0,0,0,1.34,9.16,18.756,25.416,29.276,26.988,24.088,17.16,10.268,0.056,0,0,0,0,0,0
2013-01-06,1,147.768,6,27.536,0,27.536,0.148,0,0,0,0,0,0,0,0,1.752,9.356,16.12,21.504,26.492,27.536,22.804,15.76,6.296,0.148,0,0,0,0,0,0
2013-01-07,1,159.888,7,28.888,0,28.888,0.188,0,0,0,0,0,0,0,0,1.56,8.62,17.372,22.24,27.836,28.888,26.272,19.012,7.9,0.188,0,0,0,0,0,0
2013-01-08,1,152.812,6,27.3,0,27.3,0.176,0,0,0,0,0,0,0,0,1.432,7.96,16.476,22.944,26.636,27.3,24.288,17.64,7.96,0.176,0,0,0,0,0,0
2013-01-09,1,177.284,7,31.532,0,31.532,0.088,0,0,0,0,0,0,0,0,2.6,7.916,16.652,25.312,29.836,31.532,28.996,22.56,11.792,0.088,0,0,0,0,0,0
2013-01-10,1,178.104,7,30.76,0,30.76,0.06,0,0,0,0,0,0,0,0,1.812,9.044,17.84,25.052,29.876,30.76,28.544,22.556,12.56,0.06,0,0,0,0,0,0
2013-01-11,1,164.608,7,29.888,0,29.888,0.184,0,0,0,0,0,0,0,0,1.468,8.84,18.268,24.952,28.82,29.888,26.372,18.844,6.972,0.184,0,0,0,0,0,0
2013-01-12,1,151.396,6,27.372,0,27.372,0.28,0,0,0,0,0,0,0,0,1.848,8.26,16.184,21.732,25.592,27.372,24.144,17.24,8.744,0.28,0,0,0,0,0,0
2013-01-13,1,27.76,1,5.948,0,5.948,0.08,0,0,0,0,0,0,0,0,1.004,4.628,5.488,5.948,4.368,2.68,2.432,1.132,0.08,0,0,0,0,0,0,0
2013-01-14,1,144.856,6,26.816,0,26.816,0.308,0,0,0,0,0,0,0,0,1.452,8.048,15.988,22.328,24.856,26.816,23.424,15.864,5.772,0.308,0,0,0,0,0,0
2013-01-15,1,126.772,5,23.776,0,23.776,0.444,0,0,0,0,0,0,0,0,1.804,5.844,13.096,18.568,23.776,22.748,19.52,14.368,6.604,0.444,0,0,0,0,0,0
2013-01-16,1,107.24,4,19.84,0,19.84,0.1,0,0,0,0,0,0,0,0,2.012,8.076,15.272,19.84,18.908,19.44,14.38,6.892,2.32,0.1,0,0,0,0,0,0
2013-01-17,1,154.348,6,28.148,0,28.148,0.452,0,0,0,0,0,0,0,0,1.548,7.808,16.712,23.696,27.904,28.148,24.008,16.992,7.08,0.452,0,0,0,0,0,0
2013-01-18,1,181.452,8,29.776,0,29.776,0.892,0,0,0,0,0,0,0,0,1.772,9.132,17.96,25.352,29.452,29.776,29.144,23.784,14.188,0.892,0,0,0,0,0,0
2013-01-19,1,136.504,6,23.232,0,23.232,0.592,0,0,0,0,0,0,0,0,1.856,8.884,16.144,23.232,23.064,16.928,21.86,15.788,8.156,0.592,0,0,0,0,0,0
2013-01-20,1,112.104,5,21.152,0,21.152,0.392,0,0,0,0,0,0,0,0,1.836,5.584,11.864,20.18,19.688,21.152,19.116,9.148,3.144,0.392,0,0,0,0,0,0
2013-01-21,1,0.9,0,0.308,0,0.308,0.056,0,0,0,0,0,0,0,0,0,0,0.056,0.088,0.232,0.156,0.06,0.308,0,0,0,0,0,0,0,0
2013-01-22,1,51.34,2,20.856,0,20.856,0.772,0,0,0,0,0,0,0,0,0.772,5.928,7.172,20.856,4.792,4.084,3.884,3.08,0.772,0,0,0,0,0,0,0
2013-01-23,1,20.476,1,7.264,0,7.264,0.404,0,0,0,0,0,0,0,0,0,0.404,2.028,1.968,1.908,5.752,7.264,1.152,0,0,0,0,0,0,0,0
2013-01-24,1,59.332,2,12.472,0,12.472,0.22,0,0,0,0,0,0,0,0,1.768,7.06,9.784,12.472,4.8,10.316,8.308,2.576,2.028,0.22,0,0,0,0,0,0
2013-01-25,1,189.996,8,32.916,0,32.916,1.572,0,0,0,0,0,0,0,0,1.572,8.936,18.836,26.56,31.176,32.916,30.324,23.96,13.784,1.932,0,0,0,0,0,0
2013-01-26,1,204.532,9,34.528,0,34.528,1.524,0,0,0,0,0,0,0,0,1.524,9.176,19.476,27.504,32.616,34.528,32.852,26.728,16.932,3.196,0,0,0,0,0,0
2013-01-27,1,121.068,5,20.668,0,20.668,0.016,0,0,0,0,0,0,0,0.016,1.568,7.952,17.036,20.668,16.808,18.072,15.88,10.168,11.5,1.4,0,0,0,0,0,0
2013-01-28,1,190.984,8,31.516,0,31.516,2.024,0,0,0,0,0,0,0,0,2.024,9.504,18.904,25.856,29.816,31.516,30.42,24.884,15.184,2.876,0,0,0,0,0,0
2013-01-29,1,113.396,5,24.104,0,24.104,0.896,0,0,0,0,0,0,0,0,2.248,8.316,15.644,21.96,24.104,15.172,12.98,6.884,5.192,0.896,0,0,0,0,0,0
2013-01-30,1,159.288,7,28.444,0,28.444,0.02,0,0,0,0,0,0,0,0.02,2.14,7.828,15.468,22.324,27.036,28.444,26.116,20.196,8.628,1.088,0,0,0,0,0,0
2013-01-31,1,88.3,4,16.328,0,16.328,0.456,0,0,0,0,0,0,0,0,1.404,3.576,11.152,13.1,12,16.328,13.096,14.028,3.16,0.456,0,0,0,0,0,0
2013-02-01,1,4.184,0,1.5,0,1.5,0.048,0,0,0,0,0,0,0,0,0,0,0.076,0.144,0.092,0.092,0.804,1.428,1.5,0.048,0,0,0,0,0,0
2013-02-02,1,179.468,7,31.332,0,31.332,0.056,0,0,0,0,0,0,0,0.056,1.772,9.024,18.052,24.368,28.724,31.332,27.94,21.944,13.02,3.236,0,0,0,0,0,0
2013-02-03,1,54.224,2,9.636,0,9.636,0.076,0,0,0,0,0,0,0,0.076,2.712,7.764,6.748,7.984,9.636,7.788,5.244,4.56,1.712,0,0,0,0,0,0,0
2013-02-04,1,168.488,7,31.46,0,31.46,0.028,0,0,0,0,0,0,0,0,0.028,3.752,10.952,21.4,26.916,31.46,29.768,25.596,14.752,3.864,0,0,0,0,0,0
2013-02-05,1,20.648,1,3.892,0,3.892,0.592,0,0,0,0,0,0,0,0,1.512,3.836,3.892,3.244,3.86,2.748,0.964,0.592,0,0,0,0,0,0,0,0
2013-02-06,1,166.74,7,32.528,0,32.528,0.016,0,0,0,0,0,0,0,0.016,1.756,5.3,15.04,13.284,21.956,32.528,31.324,26.512,15.272,3.752,0,0,0,0,0,0
2013-02-07,1,149.88,6,32.308,0,32.308,0.028,0,0,0,0,0,0,0,0.028,2.172,9.968,19.984,27.408,32.308,17.872,20.8,13.34,5.276,0.724,0,0,0,0,0,0
2013-02-08,1,186.936,8,31.264,0,31.264,0.02,0,0,0,0,0,0,0,0.02,1.908,9.024,19.516,27.076,30.408,31.264,30.048,27.052,9.264,1.356,0,0,0,0,0,0
2013-02-09,1,172.372,7,29.508,0,29.508,0.032,0,0,0,0,0,0,0,0.032,2.136,8.468,18.292,21.996,29.508,27.516,19.168,23.836,16.568,4.852,0,0,0,0,0,0
2013-02-10,1,184.376,8,30.816,0,30.816,0.052,0,0,0,0,0,0,0,0.052,2.364,9.476,18.356,25.26,29.224,30.816,29.3,23.084,13.632,2.812,0,0,0,0,0,0
2013-02-11,1,184.856,8,31.444,0,31.444,0.092,0,0,0,0,0,0,0,0.092,2.38,9.564,18.792,25.58,29.592,31.444,29.304,22.584,12.588,2.936,0,0,0,0,0,0
2013-02-12,1,21.652,1,4.012,0,4.012,0.34,0,0,0,0,0,0,0,0,0.34,1.464,2.456,1.748,2.428,2.032,2.636,2.392,4.012,2.144,0,0,0,0,0,0
2013-02-13,1,191.928,8,31.396,0,31.396,0.136,0,0,0,0,0,0,0,0.136,3.196,10.416,19.336,26.82,31.396,31.088,26.068,24.812,15.184,3.476,0,0,0,0,0,0
2013-02-14,1,133.788,6,22.116,0,22.116,0.12,0,0,0,0,0,0,0,0.12,2.328,9.64,18.564,20.044,18.572,21.852,22.116,14.696,5.32,0.536,0,0,0,0,0,0
