년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013-01-01,1,128.52,5,26.92,0,26.92,1.624,0,0,0,0,0,0,0,0,1.624,9.72,12.744,26.096,26.92,25.384,14.912,8.08,3.04,0,0,0,0,0,0,0
2013-01-02,1,184.584,8,36.984,0,36.984,0.056,0,0,0,0,0,0,0,0,1.32,4.864,23.4,33.176,36.984,35.216,27.848,16.584,5.136,0.056,0,0,0,0,0,0
2013-01-03,1,189.632,8,40.224,0,40.224,0.048,0,0,0,0,0,0,0,0,1.216,5.704,23.672,35.688,40.224,37.328,28.88,12.32,4.552,0.048,0,0,0,0,0,0
2013-01-04,1,186.816,8,39.472,0,39.472,0.016,0,0,0,0,0,0,0,0,0.36,3.352,25.144,36.048,39.472,31.856,27.912,16.728,5.928,0.016,0,0,0,0,0,0
2013-01-05,1,187.52,8,39.656,0,39.656,0.032,0,0,0,0,0,0,0,0,0.36,2.928,25.288,36.056,39.656,34.152,26.168,16.6,6.28,0.032,0,0,0,0,0,0
2013-01-06,1,185.84,8,36.024,0,36.024,0.072,0,0,0,0,0,0,0,0,1.84,10.712,24.016,31.408,36.024,34.2,26.312,15.968,5.288,0.072,0,0,0,0,0,0
2013-01-07,1,190.616,8,37.28,0,37.28,0.096,0,0,0,0,0,0,0,0,1.672,6.216,24,33.368,37.28,35.384,28.976,17.808,5.816,0.096,0,0,0,0,0,0
2013-01-08,1,184.544,8,36.704,0,36.704,0.008,0,0,0,0,0,0,0,0.008,1.472,5.08,23.128,33.16,36.704,34.28,27.504,16.968,6.168,0.072,0,0,0,0,0,0
2013-01-09,1,206.928,9,39.8,0,39.8,0.032,0,0,0,0,0,0,0,0.032,4.28,6.736,23.736,36.24,39.8,37.816,31.384,20.032,6.824,0.048,0,0,0,0,0,0
2013-01-10,1,202.48,8,40.304,0,40.304,0.072,0,0,0,0,0,0,0,0,0.56,3.6,24.888,36.4,40.304,38.192,31.28,20.064,7.12,0.072,0,0,0,0,0,0
2013-01-11,1,197.16,8,39.84,0,39.84,0.152,0,0,0,0,0,0,0,0,0.336,2.808,25.36,36.176,39.84,37.264,29.928,18.448,6.848,0.152,0,0,0,0,0,0
2013-01-12,1,184.2,8,36.736,0,36.736,0.328,0,0,0,0,0,0,0,0,1.504,5.728,23.264,32.632,36.736,33.872,26.784,16.248,7.104,0.328,0,0,0,0,0,0
2013-01-13,1,62.032,3,13.176,0,13.176,0.176,0,0,0,0,0,0,0,0,2.36,9.656,12.208,13.176,9.768,6.344,5.64,2.704,0.176,0,0,0,0,0,0,0
2013-01-14,1,179.528,7,34.624,0,34.624,0.368,0,0,0,0,0,0,0,0,1.176,5.28,23.144,32.256,34.624,33.624,26.688,16.2,6.168,0.368,0,0,0,0,0,0
