날짜,발전기코드,발전기명,충전_방전,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,합계
2019-01-01,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,0,30888,331776,379152,186120,165960,397584,94248,27576,0,0,0,0,0,0,0,1613304
2019-01-02,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,7344,84744,234072,231048,209664,385992,221688,155808,23976,0,0,0,0,0,0,0,1554336
2019-01-03,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,54072,265536,603504,449424,888768,868392,774504,428688,87192,8496,0,0,0,0,0,0,4428576
2019-01-04,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,22536,73008,60048,75384,170856,109296,63144,39888,26496,0,0,0,0,0,0,0,640656
2019-01-05,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,0,48024,82728,223416,705024,815976,755712,452160,92160,8208,0,0,0,0,0,0,3183408
2019-01-06,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,50472,262224,594864,820224,870912,859680,778248,420048,102312,11808,0,0,0,0,0,0,4770792
2019-01-07,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,54072,259776,580248,767088,828504,777384,521496,244440,75384,9864,0,0,0,0,0,0,4118256
2019-01-08,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,18360,58464,381096,603936,272808,138600,163080,195336,49104,0,0,0,0,0,0,0,1880784
2019-01-09,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,68256,258552,511416,471024,325152,248976,339912,142920,80352,13752,0,0,0,0,0,0,2460312
2019-01-10,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,17496,75600,195192,758952,800352,402048,78120,77760,34056,0,0,0,0,0,0,0,2439576
2019-01-11,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,32400,230256,478008,689400,746568,674856,302112,169344,38160,0,0,0,0,0,0,0,3361104
2019-01-12,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,0,68256,405072,617688,717264,360360,423072,394992,136728,16704,0,0,0,0,0,0,3140136
2019-01-13,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,23760,226152,480168,719208,789048,731520,640584,409608,101376,14256,0,0,0,0,0,0,4135680
2019-01-14,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,49536,226152,383040,593784,599544,510192,543384,299736,79920,15480,0,0,0,0,0,0,3300768
2019-01-15,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,24768,244368,450648,568296,634680,666792,518256,115920,30096,0,0,0,0,0,0,0,3253824
2019-01-16,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,20088,196992,641664,775800,886032,510624,668736,302472,57888,9504,0,0,0,0,0,0,4069800
2019-01-17,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,20808,132480,168912,217728,457416,608400,419256,433728,93168,17064,0,0,0,0,0,0,2568960
2019-01-18,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,61848,287136,609336,749808,813384,788688,674424,380736,163152,23184,0,0,0,0,0,0,4551696
2019-01-19,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,41400,256320,237744,372744,38448,26928,22680,10512,0,0,0,0,0,0,0,0,1006776
2019-01-20,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,38304,75312,447192,410184,828216,827424,792144,504792,110376,22536,0,0,0,0,0,0,4056480
2019-01-21,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,25848,310104,613656,826488,752544,831096,682632,459792,157104,23328,0,0,0,0,0,0,4682592
2019-01-22,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,55656,258984,601992,765576,844056,813816,682056,456768,117936,20520,0,0,0,0,0,0,4617360
2019-01-23,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,56736,238896,521496,641304,731808,765072,688752,497520,166032,29232,0,0,0,0,0,0,4336848
2019-01-24,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,81000,368136,680544,815256,871416,858528,790344,617040,238536,24768,0,0,0,0,0,0,5345568
2019-01-25,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,38088,107568,311184,234360,473472,308016,75024,63792,82080,10656,0,0,0,0,0,0,1704240
2019-01-26,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,48888,174384,439488,483336,844560,851256,841896,579672,240120,23832,0,0,0,0,0,0,4527432
2019-01-27,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,100944,400032,681768,824040,874728,851616,786960,633816,308304,21744,0,0,0,0,0,0,5483952
2019-01-28,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,10224,108360,88704,302688,446400,678384,676296,570888,224136,38160,0,0,0,0,0,0,3144240
2019-01-29,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,101520,407880,696456,823032,882792,878976,811440,638784,317808,27432,0,0,0,0,0,0,5586120
2019-01-30,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,9864,35496,126360,180288,224280,227304,158184,118512,52848,9144,0,0,0,0,0,0,1142280
2019-01-31,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,0,0,17208,40680,46440,106632,337464,371088,297792,39240,0,0,0,0,0,0,1256544
2019-02-01,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,90216,395280,464832,581688,869832,812160,671400,369360,159696,41400,0,0,0,0,0,0,4455864
2019-02-02,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,15552,86760,450000,750960,824976,777168,637920,126576,82800,10944,0,0,0,0,0,0,3763656
2019-02-03,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,0,15192,27288,22104,20520,41328,16848,0,0,0,0,0,0,0,0,0,143280
2019-02-04,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,112248,389448,669744,807768,860472,847872,771480,489528,267408,42192,0,0,0,0,0,0,5258160
2019-02-05,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,129672,404568,658944,776232,831816,829080,761832,589176,242640,33912,0,0,0,0,0,0,5257872
2019-02-06,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,89064,281232,449496,463032,768456,609120,664488,396576,184464,40248,0,0,0,0,0,0,3946176
2019-02-07,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,0,30096,65016,171072,188784,190656,151344,402624,345168,64584,0,0,0,0,0,0,1609344
2019-02-08,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,29448,127224,191448,295488,415512,726840,678384,559800,217584,50904,0,0,0,0,0,0,3292632
2019-02-09,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,18288,117648,202752,325728,315144,412272,596664,399816,271224,56520,0,0,0,0,0,0,2716056
2019-02-10,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,115272,298872,485928,665712,650376,483552,252072,144000,70272,25560,0,0,0,0,0,0,3191616
2019-02-11,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,14400,274248,248184,271296,388152,434664,333864,283824,128808,27576,0,0,0,0,0,0,2405016
2019-02-12,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,160920,434376,670824,779688,825120,778968,559728,309240,108936,34488,0,0,0,0,0,0,4662288
2019-02-13,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,129384,385560,650736,764064,804528,830016,740088,566064,297936,73656,0,0,0,0,0,0,5242032
2019-02-14,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,23112,121824,198360,223992,317304,422064,483552,635904,414000,102816,0,0,0,0,0,0,2942928
2019-02-15,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,23328,72432,113040,172800,237096,235224,201744,139752,130680,54864,0,0,0,0,0,0,1380960
2019-02-16,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,24912,106848,388872,433440,425304,438768,217296,122400,43776,20088,0,0,0,0,0,0,2221704
2019-02-17,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,140616,396936,486720,660600,658656,715608,840096,658584,389664,118584,0,0,0,0,0,0,5066064
2019-02-18,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,42912,100512,159624,185832,217944,169632,57312,58032,55512,16704,0,0,0,0,0,0,1064016
2019-02-19,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,0,13464,39888,72072,115488,143424,306144,296352,81648,20088,0,0,0,0,0,0,1088568
2019-02-20,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,49392,133128,427248,535968,492984,277128,173232,431136,209088,65736,0,0,0,0,0,0,2795040
2019-02-21,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,9792,151056,356040,667512,819144,869256,823176,643896,388368,165168,61632,0,0,0,0,0,0,4955040
2019-02-22,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,8496,38952,136080,214920,225936,254232,355824,225288,165528,88992,49176,0,0,0,0,0,0,1763424
2019-02-23,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,11160,158328,402840,652248,754992,832392,785664,660600,524088,345240,115200,0,0,0,0,0,0,5242752
2019-02-24,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,13464,209736,475128,660456,782136,843696,836280,765648,617328,384624,106200,0,0,0,0,0,0,5694696
2019-02-25,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,12096,159048,278352,606528,721080,786960,784368,702072,542808,312336,104832,0,0,0,0,0,0,5010480
2019-02-26,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,15336,187488,394416,663048,814032,878904,862632,760176,599904,364608,116928,0,0,0,0,0,0,5657472
2019-02-27,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,53928,155880,209664,157176,182880,157392,77832,44064,26640,7344,0,0,0,0,0,0,1072800
2019-02-28,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,90576,353952,525528,687384,796032,619056,472896,374256,133992,53064,0,0,0,0,0,0,4106736
2019-03-01,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,15408,150408,411120,681480,787392,816192,790776,682848,492480,201672,75240,0,0,0,0,0,0,5105016
2019-03-02,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,46152,172800,160200,228240,185760,208872,251280,147816,83016,25848,0,0,0,0,0,0,1509984
2019-03-03,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,48528,88632,174600,266760,234288,169200,127224,151848,109800,32328,0,0,0,0,0,0,1403208
2019-03-04,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,73440,259776,435024,643320,709200,679896,602712,486360,282960,87192,8496,0,0,0,0,0,4268376
2019-03-05,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,9288,73656,223488,359424,327744,322848,227520,152568,130536,64800,13104,0,0,0,0,0,0,1904976
