년월일,단계,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013-01-01,1,51731,2155,6534,0,6534,92,0,0,92,269,541,945,699,1371,1974,1425,2013,4070,6534,5225,3900,4585,1187,1349,1832,1575,2252,3168,2916,3809
2013-01-02,1,118126,4922,11440,1935,11440,1935,3031,3051,3173,4196,5429,7473,4464,2120,1935,2798,2561,4306,7820,11440,10378,8390,5338,4542,3169,2493,5042,4481,4859,5637
2013-01-03,1,242471,10103,11688,5741,11688,5741,5741,8666,10320,10799,8959,9078,10585,8188,8642,10433,11468,10237,10014,11225,11611,11277,10621,11688,11052,9711,10546,10707,10844,10059
2013-01-04,1,176823,7368,10800,4135,10800,4135,8300,8573,8584,7192,7834,7959,8930,8961,10024,10800,9647,7460,7487,8500,5954,5943,4836,4135,4418,5109,5404,6751,6872,7150
2013-01-05,1,176491,7354,10876,2274,10876,2274,7822,8462,8129,9295,10876,10816,10215,10735,10172,9078,8765,8742,7159,6572,5571,6104,7613,5694,4451,5707,4408,4604,3227,2274
2013-01-06,1,90697,3779,8202,253,8202,253,253,1593,4009,6941,8202,6029,4359,1817,524,398,1213,4837,5171,6209,6509,1674,2751,2494,4356,2623,3839,5927,2447,6522
2013-01-07,1,194679,8112,10755,3206,10755,3206,7400,9963,7356,6366,9109,10043,9592,10755,9239,8869,6714,6903,5994,9271,9873,9682,8266,5848,3206,6409,7214,8485,9224,8898
2013-01-08,1,145312,6055,10309,2364,10309,2364,9893,9542,10309,8454,5602,5768,6056,6048,7667,6399,8462,7911,5888,5817,5464,5447,3270,3881,3114,2364,2442,2892,3641,8981
2013-01-09,1,189500,7896,11982,5105,11982,5105,11435,11982,9841,11463,9826,7631,7508,6314,5859,5105,5178,5105,5986,7173,6500,7708,8427,7832,8819,8476,8601,9257,6467,7007
2013-01-10,1,120430,5018,8289,2181,8289,2181,7575,7607,8289,5521,5429,6637,6463,4360,2973,2549,3106,5645,6511,5729,5645,5163,3869,2181,2510,5586,4557,2638,6094,3793
2013-01-11,1,37613,1567,7489,0,7489,6,3665,7489,4497,6038,4497,4027,3006,1235,698,167,18,12,0,20,6,0,0,0,0,0,0,56,1001,1181
2013-01-12,1,27033,1126,2644,6,2644,6,461,45,6,328,486,2134,1914,783,1025,584,8,192,162,1035,1775,1146,2170,1234,2026,2644,2408,1534,1031,1902
2013-01-13,1,50770,2115,4987,202,4987,202,1381,907,1432,653,306,786,837,202,329,733,945,1694,2806,3194,3954,2586,2458,2535,4043,2206,3056,3783,4957,4987
2013-01-14,1,197990,8250,11902,2998,11902,2998,5021,5575,5812,4888,5520,4853,6123,9066,9699,11902,11855,11872,10339,9790,9862,9983,9628,10773,8996,2998,5165,9930,8029,10311
2013-01-15,1,56099,2337,10360,0,10360,17,10360,9654,10294,8387,3934,2774,2855,2065,828,108,26,0,0,0,17,0,0,0,67,0,0,453,2225,2052
2013-01-16,1,138212,5759,9797,1067,9797,1067,2908,3459,5277,5215,4333,5043,1349,1651,1067,2986,2944,3596,2585,5287,7432,9033,9416,9288,9546,9797,9424,9245,8782,8549
2013-01-17,1,258044,10752,11918,8605,11918,8605,10174,10914,10419,9145,9308,9795,8605,10257,11361,11707,11797,11874,11918,11893,11257,9957,9902,10339,11780,11779,11895,11737,10029,10202
2013-01-18,1,187882,7828,11854,1999,11854,1999,9139,9472,10874,11701,11854,10530,10893,8965,9265,9821,8572,8098,8861,9954,9091,7236,6239,5758,2524,1999,4918,5182,3627,3309
2013-01-19,1,52619,2192,4776,92,4776,92,4776,3402,92,1165,790,1105,262,192,314,1668,3072,2953,2458,2084,2624,2297,3726,3645,3219,3085,2620,2586,2402,2082
2013-01-20,1,21915,913,3657,0,3657,36,1232,1408,568,36,0,0,0,0,0,0,0,64,377,1424,1907,811,375,692,1180,1286,1739,2807,2352,3657
2013-01-21,1,117789,4908,10576,226,10576,226,5083,6047,5510,5915,7356,5665,5389,2975,4540,10576,8288,881,3299,756,1020,259,226,1201,7076,8653,4664,5523,8147,8740
2013-01-22,1,174313,7263,11978,1234,11978,1234,8870,8434,9109,11306,11978,11476,11080,9447,7431,7559,11028,11936,10312,10236,7287,6605,3559,2014,1907,1234,1274,2892,3054,4285
2013-01-23,1,77977,3249,5356,1487,5356,1487,3625,3859,3328,3995,3168,3596,4521,4406,5356,4613,4952,4522,1487,2331,2440,3042,4343,2166,1836,3508,1542,1575,1835,1931
2013-01-24,1,106273,4428,10892,431,10892,431,1712,2802,2548,5848,4948,3994,3197,431,1900,764,2296,2972,4572,6516,6474,2348,982,1144,5366,7363,8706,8188,10310,10892
2013-01-25,1,150079,6253,10589,118,10589,118,9274,8403,8374,8470,9052,8397,7716,8339,8616,10589,10315,9593,8838,7620,7103,5916,4859,3970,2605,1139,296,118,265,212
2013-01-26,1,102850,4285,9488,0,9488,112,168,0,0,112,533,659,146,839,1002,2330,2650,4430,5438,5963,7470,8484,9488,9021,8038,8023,8070,7120,6045,6821
2013-01-27,1,220088,9170,11708,6988,11708,6988,7130,6988,7745,7614,8615,9282,9574,8102,9111,8776,7623,8082,9764,9054,8421,10425,10486,11708,11650,10595,11026,10180,9564,8573
2013-01-28,1,50543,2106,8555,0,8555,28,8555,5496,3675,3194,3499,2017,1378,1430,1669,1604,1826,1490,2267,3954,4063,1649,1114,230,66,474,394,471,28,0
2013-01-29,1,7578,316,1441,0,1441,2,0,0,0,0,34,642,1042,698,708,501,1164,1441,1172,172,2,2,0,0,0,0,0,0,0,0
2013-01-30,1,4338,181,1130,0,1130,15,0,0,0,0,0,0,0,0,0,0,0,15,198,509,971,809,1130,674,0,0,0,0,0,32
2013-01-31,1,65092,2712,9907,56,9907,56,56,396,1697,2112,1185,710,1077,1617,1593,2088,2851,2660,1718,1703,1661,1297,2023,2401,3119,3499,5168,4965,9589,9907
2013-02-01,1,196343,8181,11172,266,11172,266,10024,10125,8235,8213,9907,9164,8847,9074,9151,10831,11172,10853,10709,7056,8288,4423,266,3071,450,3800,9557,10924,11154,11049
2013-02-02,1,251042,10460,11999,8019,11999,8019,11307,10747,8944,8946,9942,9998,9993,8863,9880,10410,11966,11987,11958,11823,11960,11732,11999,10576,10002,10006,10002,10007,9975,8019
2013-02-03,1,100162,4173,8100,215,8100,215,4757,7110,7720,7680,7419,6109,5640,2519,1072,215,239,615,1159,1712,1812,1420,1222,3878,5616,5492,6647,8100,5624,6385
2013-02-04,1,200014,8334,11997,1263,11997,1263,2295,1925,3659,1263,3878,3784,7757,9980,10001,11321,11803,11997,10283,8218,9896,11697,11901,11682,9974,9303,9533,8956,9152,9756
2013-02-05,1,30366,1265,9007,0,9007,8,7728,9007,5974,3032,642,189,8,0,14,722,484,143,12,1118,345,0,0,0,0,0,0,0,26,922
2013-02-06,1,189992,7916,11393,4035,11393,4035,8670,8780,8332,9374,9236,8571,7430,8534,11393,10387,8638,9523,7722,6986,7675,7066,7299,9168,4634,4035,7532,7693,4563,6751
2013-02-07,1,222645,9277,11847,2681,11847,2681,4799,3767,3356,2681,5479,5273,6377,8386,9023,11157,11708,11847,11845,11714,11446,11837,11390,11627,11623,11677,11618,11120,11463,11432
2013-02-08,1,167013,6959,11814,676,11814,676,10708,10735,10794,10916,11282,10747,11287,11774,11814,11609,10801,9712,8633,6536,3517,2761,2746,1670,865,676,1280,2420,1932,1798
2013-02-09,1,96227,4009,7931,1241,7931,1241,2977,2833,4193,2295,3413,4440,4066,2376,4038,4014,5939,5355,6846,7316,7931,5483,6134,2337,1603,1241,2071,2811,3587,2928
2013-02-10,1,135655,5652,9851,2027,9851,2027,4123,7727,8848,7214,5489,9225,9851,9554,8428,7004,5235,2805,2126,3498,5485,6867,7069,5493,4646,4936,2078,2027,2375,3552
2013-02-11,1,114788,4783,9756,0,9756,71,6278,8517,7920,4456,6438,9756,9509,7743,8689,4804,4623,6309,5505,4430,3923,4542,5283,2833,2228,931,71,0,0,0
2013-02-12,1,100849,4202,11569,0,11569,2,113,2,0,0,0,34,82,0,0,0,362,1584,5356,3996,6138,8762,9075,7410,9870,11154,11569,10654,7542,7146
