년월일,단계,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013-01-01,1,93688,3904,5746,49,5746,49,49,2304,3742,3181,3069,3341,4031,4157,4214,5531,5727,5746,5427,5078,4530,4060,3751,3608,4230,3471,3640,3408,3672,3721
2013-01-02,1,119297,4971,5944,3435,5944,3435,3709,3675,3763,4402,5533,5913,5944,5810,5378,4044,3435,4021,4499,4669,5035,5552,5478,5203,5087,5684,5460,5463,5747,5793
2013-01-03,1,134516,5605,5992,4865,5992,4865,5904,5879,5992,5981,5887,5129,5777,5967,5905,5553,4865,4978,5146,5535,5770,5795,5688,5462,5286,5498,5744,5589,5775,5411
2013-01-04,1,80835,3368,5574,548,5574,548,5574,5210,5243,4380,4537,4651,4701,4229,3132,2916,3058,4423,3759,3873,3376,3091,2188,2111,1720,1603,548,1796,2372,2344
2013-01-05,1,72276,3012,4277,1681,4277,1681,2697,3050,3000,3675,4236,3911,4080,3188,2745,2470,1983,2270,2589,2146,2013,2775,3505,3885,3951,4277,3259,2545,1681,2345
2013-01-06,1,65347,2723,4591,1364,4591,1364,2312,2447,3368,3070,4591,3892,3352,1946,1364,1838,2609,1776,2015,2626,2371,2960,3079,3152,3076,3423,3769,1994,1831,2486
2013-01-07,1,78454,3269,4805,2102,4805,2102,3991,3246,2593,2810,3490,4078,3687,3353,3070,2714,2255,2267,2228,4099,4805,3971,3920,2685,2102,2365,3010,3767,3990,3958
2013-01-08,1,130770,5449,5991,4091,5991,4091,4716,4697,5458,5523,5554,5655,5915,5991,5985,5950,5906,5407,5932,5798,5681,5453,5538,5936,5802,5646,5519,4091,4266,4351
2013-01-09,1,119619,4984,5923,4182,5923,4182,4391,4412,4472,4493,4506,4489,4393,4282,5581,5495,5923,5585,5545,5412,5012,5405,5687,5663,5392,5165,4986,4808,4182,4340
2013-01-10,1,83352,3473,4389,1907,4389,1907,4240,4313,4389,3716,4042,4003,3584,3583,3463,3519,3567,3568,3505,3908,3189,3305,3303,3294,3392,3594,3145,2503,1907,2320
2013-01-11,1,9061,378,1558,0,1558,3,1057,1558,1295,932,821,879,891,791,386,131,128,62,56,25,0,3,12,8,3,0,0,0,23,0
2013-01-12,1,3867,161,558,0,558,1,0,156,359,558,465,442,251,169,48,5,1,41,32,244,57,291,270,94,44,8,5,15,20,292
2013-01-13,1,34621,1443,2677,320,2677,320,466,320,943,871,951,798,776,746,852,1486,1280,1254,1661,1519,2244,2655,2677,1513,724,2526,2081,1783,2334,2161
2013-01-14,1,97172,4049,4529,2250,4529,2250,2475,2250,2944,3466,3799,3980,4068,4142,4191,4382,4415,4390,4259,4384,4404,4357,4350,4529,4453,4499,4476,4485,4293,4181
2013-01-15,1,23419,976,3577,0,3577,1,3577,2962,3074,3186,2481,1297,1242,1258,988,967,1000,508,244,151,65,1,5,107,93,0,0,0,68,145
2013-01-16,1,57654,2402,4462,97,4462,97,97,434,770,983,1313,1275,999,1047,1037,567,379,897,1793,2973,4066,4264,4348,4177,4397,4362,4462,4380,4342,4292
2013-01-17,1,107229,4468,4518,4061,4518,4061,4389,4417,4451,4472,4490,4487,4495,4500,4506,4501,4491,4061,4497,4485,4499,4483,4518,4483,4501,4500,4501,4501,4497,4504
2013-01-18,1,56380,2349,4593,107,4593,107,4593,4494,4444,4494,4443,4098,3597,3177,3267,2958,2175,2035,1529,1595,1762,2080,1686,1091,801,664,626,514,150,107
