일자,발전기명,설비용량(MW),위치,방식,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2021-01-01,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,480,35040,76320,99840,124800,109920,116640,29760,17760,13440,0,0,0,0,0,0,0
2021-01-02,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,480,18240,76800,116640,139200,145440,133920,105600,67200,21120,480,0,0,0,0,0,0
2021-01-03,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,0,15840,75360,112800,132480,136320,112320,53760,24000,5760,0,0,0,0,0,0,0
2021-01-04,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,480,26400,78240,112800,128640,134400,124320,98880,58560,20160,960,0,0,0,0,0,0
2021-01-05,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,0,21600,64320,72000,94560,48000,48960,42720,20640,9120,0,0,0,0,0,0,0
2021-01-06,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,480,29280,62400,120480,131040,142560,135840,96000,48480,14880,0,0,0,0,0,0,0
2021-01-07,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,0,10560,30720,90240,134880,149280,132960,110880,154080,96960,4800,0,0,0,0,0,0
2021-01-08,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,480,38400,95520,136800,157920,162720,149760,122880,77280,27840,960,0,0,0,0,0,0
2021-01-09,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,480,37920,91680,130080,175680,383040,257280,215520,152160,38400,3840,0,0,0,0,0,0
2021-01-10,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,1920,74400,163200,240480,296160,353280,387360,327840,175680,28320,2400,0,0,0,0,0,0
2021-01-11,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,480,24480,57600,137280,205440,233280,182400,132480,69120,37920,2400,0,0,0,0,0,0
2021-01-12,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,1440,66240,195840,225600,256320,264000,223680,173280,86880,32640,2880,0,0,0,0,0,0
2021-01-13,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,960,46080,160800,265920,323040,338400,321600,269760,180480,73920,6240,0,0,0,0,0,0
2021-01-14,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,960,53760,168000,275040,345600,369600,343680,288000,192960,76800,5760,0,0,0,0,0,0
2021-01-15,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,0,22080,160800,276480,235680,313440,309600,260160,117120,47520,2400,0,0,0,0,0,0
2021-01-16,광양항어울림태양광,0.6,전남 광양시 항만2로 137,방전,0,0,0,0,0,0,0,2400,61440,183360,319680,388800,413280,396480,327360,215520,88800,5280,0,0,0,0,0,0
