발전기명,년월일,설비용량(MW),01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
화순 풍력 발전소,2017-01-01,16,6658.656,5069.736,3219.432,2194.14,2467.428,2165.244,1507.344,3378.516,3143.844,2432.172,3870.012,8391.504,8412.84,5449.044,5552.592,6270.432,4017.18,4252.992,5923.476,4833.072,5427.684,3395.712,2752.824,1686.372
화순 풍력 발전소,2017-01-02,16,1728.54,1811.736,1695.456,1235.676,3003.492,2477.892,1403.028,501.456,522.468,1347.744,1164.3,1153.824,11.82,0,0,0,0,1.104,250.668,309.9,524.7,13.788,0,0
화순 풍력 발전소,2017-01-03,16,0,13.692,376.464,443.184,871.272,546.012,463.56,608.172,1150.752,2514.12,2611.188,1842.372,689.424,87.888,92.616,143.952,82.188,468.048,374.952,520.404,326.784,8.952,203.484,433.116
화순 풍력 발전소,2017-01-04,16,56.928,249.228,637.128,915.6,977.988,1982.244,2035.212,3426.972,5248.584,6265.56,6746.22,7280.1,6915.624,8617.884,8437.704,8438.508,8836.584,8579.232,8406.456,7349.484,5964.888,4556.232,3000.756,4402.176
화순 풍력 발전소,2017-01-05,16,6932.904,5910.288,4380.672,3877.548,4959.372,9101.652,10831.32,11310.192,7320.972,4264.236,3879.432,3344.328,1567.368,385.632,551.688,398.796,172.716,117.252,534.528,539.856,1020.912,0,0,0.036
화순 풍력 발전소,2017-01-06,16,1.248,0,360.06,470.868,2019.888,3697.068,3846.348,3478.02,5926.056,3242.4,2318.772,1893.048,996.096,1341.24,932.172,422.484,445.296,265.644,70.488,457.428,533.424,579.54,1609.08,2661.96
화순 풍력 발전소,2017-01-07,16,3446.472,2663.04,2775.684,3196.26,3413.652,4385.916,4343.208,4585.188,3716.328,3594,4019.916,4371,2114.412,390.924,715.992,2080.572,1922.232,999.852,3612.408,4625.436,5593.56,6008.928,5674.284,8485.632
화순 풍력 발전소,2017-01-08,16,5528.064,6610.272,4591.428,5878.98,3691.104,5482.416,5953.836,5987.124,3949.5,3596.436,3978.324,6429.912,4918.164,3825.516,4374.54,1913.004,3866.844,4057.128,2760.696,3020.724,1945.536,921.312,2324.028,385.764
화순 풍력 발전소,2017-01-09,16,224.484,1084.224,1275.168,2390.064,3483.984,4273.872,4614.9,5709.192,7302.06,8388.972,5789.04,3958.404,3028.224,654.012,576.876,1084.956,1058.856,536.868,98.328,52.14,645.048,283.032,759.876,3514.74
화순 풍력 발전소,2017-01-10,16,3125.304,5299.14,5682.144,5699.388,4499.676,2870.88,1540.428,1906.104,2976.828,1817.064,2384.496,4841.76,7129.296,8468.616,8047.164,6154.68,11132.148,10773.108,12489.456,11464.644,13087.788,12023.604,11788.056,9586.68
화순 풍력 발전소,2017-01-11,16,8581.716,10685.496,8552.52,8505.324,8722.872,7048.308,9951.336,11075.268,11667.948,10953.696,9753.66,10970.364,9381.492,9342.78,9185.028,7896.156,12660.912,12793.764,11570.892,11517.06,12238.32,11587.716,13890.78,10272.456
화순 풍력 발전소,2017-01-12,16,9931.884,4540.632,3257.664,2217.768,1780.788,1902.972,770.052,647.412,528.744,1964.268,2897.916,3591.54,2667.072,2182.476,2978.568,3267.516,3036.228,3215.184,2305.26,2927.688,1828.152,1599.456,1914.828,2352.264
화순 풍력 발전소,2017-01-13,16,1425.192,2384.616,1978.032,4145.964,4796.76,5234.472,6901.656,5292.564,4934.952,5085.468,4341.864,4863.804,5946.696,5538.252,5199.876,5679.792,5666.016,5120.736,4262.4,4333.092,3601.128,2618.136,5471.232,6519.12
화순 풍력 발전소,2017-01-14,16,8088.168,6182.244,4364.244,3855.84,5034.036,6400.404,5719.14,4374.12,3383.52,3028.728,2347.14,1365.096,67.572,40.74,0,38.892,0,0,0,0,0,0,0,0
화순 풍력 발전소,2017-01-15,16,0,0,0,0,164.268,392.34,1054.464,1132.896,2712.696,6065.568,3903.216,3428.472,3446.784,2265.492,2319.276,1919.268,2922.444,3639.552,3960.84,4252.728,4421.028,1254.744,779.4,2031.972
화순 풍력 발전소,2017-01-16,16,4250.964,2598.984,1944.732,1243.392,268.932,12.66,15.516,48.204,107.436,1726.572,3890.112,3353.58,2243.82,290.508,222.864,138.948,3445.488,5065.608,7126.164,5273.508,2502.048,5503.728,3477.6,2767.548
화순 풍력 발전소,2017-01-17,16,2407.236,1971.36,1284.144,2210.94,2145.384,1219.584,1109.304,1149.288,2201.412,2322.624,2149.92,2924.712,2237.244,735.408,411.468,624.132,63.876,0,354.456,905.1,916.692,2438.772,2491.272,3980.424
화순 풍력 발전소,2017-01-18,16,4524.156,2653.992,1819.908,1299.012,2457.18,2443.764,1533.18,1949.076,1625.244,3265.356,3052.584,2349.552,1414.86,1894.404,1889.22,747.336,1478.904,1949.436,2638.38,3394.2,3285.564,4749.636,4757.964,5627.04
화순 풍력 발전소,2017-01-19,16,7012.476,7901.16,7756.488,5320.368,5350.368,4186.356,6169.788,5806.62,3543.948,7195.656,5577.948,4991.652,4383.312,4769.724,4986.936,3003.948,3541.056,6816.252,9843.408,10351.776,6728.568,4362.324,2245.212,3252.204
화순 풍력 발전소,2017-01-20,16,6246.588,7441.272,9423.276,8954.748,9212.916,5669.46,2598.636,1888.668,1716.456,2254.992,1727.04,1152.624,11.688,0,0,41.208,66.108,463.212,347.232,145.548,0,211.44,10.752,265.008
화순 풍력 발전소,2017-01-21,16,1231.272,2404.404,1023.096,1480.212,3771.06,3569.124,3279.972,1567.884,352.728,2615.976,2723.832,3432.972,819.552,517.308,440.724,855.504,1598.736,1414.332,3451.548,5684.376,5823.18,6874.356,5216.328,4404
화순 풍력 발전소,2017-01-22,16,3403.32,2778,1704.408,1947.708,1408.824,1128.3,1665.66,774.972,528.396,1245.012,1151.844,1199.52,274.416,445.092,430.824,287.208,3.492,236.244,486.252,632.112,1105.212,3163.476,4166.76,2850.348
화순 풍력 발전소,2017-01-23,16,2040.276,1612.428,811.884,790.368,1410.276,1389.684,912.84,1655.988,2404.872,2174.172,1938.072,1156.836,16.836,44.376,361.188,502.92,30.648,1.224,155.88,286.86,551.1,754.932,468.312,284.448
화순 풍력 발전소,2017-01-24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.02,2926.752,3514.392,3696.852,5996.04,7903.536,9103.236,7265.64
화순 풍력 발전소,2017-01-25,16,8556.012,5820.012,6848.04,5728.212,3503.892,4288.752,4863.804,3202.212,3309.78,2066.088,3043.656,2489.916,2262.504,3335.532,2836.98,2820.3,2709.984,1992.264,1396.74,3068.376,3693.636,2804.652,5195.628,2287.968
화순 풍력 발전소,2017-01-26,16,817.548,2354.556,5042.136,6685.5,5747.916,4490.424,6437.196,7382.772,6933.708,8778.696,10044.084,6738.096,6587.628,8156.268,9155.652,9291.336,10169.064,10014.144,9476.124,10642.872,11683.404,11471.352,12328.26,11202.852
화순 풍력 발전소,2017-01-27,16,6443.652,4981.2,3682.812,3627.804,2688.216,1947.276,2542.812,3452.952,3948.42,5984.172,6897.456,7608.3,6883.116,7271.832,5608.584,2698.488,2145.372,2782.368,3188.928,5064.132,5519.088,5659.188,4558.716,3742.044
화순 풍력 발전소,2017-01-28,16,4960.656,6541.764,10419.96,10927.5,11383.608,12774.708,10868.364,14127.732,14977.92,15016.116,14271.732,12246.48,8341.86,3968.232,3890.424,5522.856,4015.476,5665.284,7305.072,5438.556,5276.436,4614.876,6482.544,9430.632
화순 풍력 발전소,2017-01-29,16,9208.692,6979.236,7222.092,8577.756,10116.756,9654.144,8972.412,7524.024,6517.02,7874.976,6251.124,4697.1,4507.02,2576.556,4153.02,5721.768,6314.652,6509.136,6580.8,6471.756,5774.616,7005.54,8769.876,4794.636
화순 풍력 발전소,2017-01-30,16,1787.172,1016.64,689.436,439.02,18.96,0,0,72.024,0.528,1475.46,1488.792,1153.356,11.916,0,0,0,0,54.348,0,428.472,504.348,2141.4,2360.796,3329.22
화순 풍력 발전소,2017-01-31,16,3414.696,6219.408,6205.932,8152.332,6456.096,7024.356,6875.436,6214.8,5513.784,4534.092,4117.092,5354.544,3409.476,5013,5388.372,4064.688,3471.336,3031.344,2981.244,2064.3,1015.596,1068.012,1103.712,1040.184
화순 풍력 발전소,2017-02-01,16,1497.324,1207.08,2344.644,986.712,1736.352,1915.776,1655.136,1998.648,1679.412,2713.344,2332.776,3108.588,3037.356,2414.832,2163.012,1820.592,1174.68,2021.436,2142.24,3145.536,3794.088,4690.248,3192.6,2199.924
화순 풍력 발전소,2017-02-02,16,2249.796,2044.332,1963.08,2057.208,1668.564,2896.164,4483.2,2838.18,3523.776,3387.144,1907.184,1452.528,1957.26,2446.14,577.164,925.44,621.252,4160.472,4004.808,3469.464,1179.42,1787.784,3057.636,3416.568
화순 풍력 발전소,2017-02-03,16,2991.132,2136.312,3117.888,2807.028,1454.616,2959.956,3197.568,6125.784,5562.312,7181.976,5763.624,5183.424,5785.86,3834.48,3803.052,2603.208,3613.932,2719.416,4468.968,5835.672,5969.1,7879.584,8203.536,11169.276
화순 풍력 발전소,2017-02-04,16,8670.252,8512.788,6914.544,8556.312,7665.312,5493.3,3948.036,2838.336,2760.996,1737.876,1150.656,1380.06,71.568,221.616,37.728,0,0,0,0,0,109.248,274.644,2.292,36.072
화순 풍력 발전소,2017-02-05,16,172.596,151.716,64.056,255.204,291,70.392,2305.224,3422.232,6558.108,7338.06,3745.164,2400.972,3491.628,3408.408,2291.688,2271.912,8914.5,8802.408,10390.092,6865.164,4126.548,2766.648,3655.104,3394.992
화순 풍력 발전소,2017-02-06,16,1961.88,1428.012,1808.532,3128.124,3407.916,3435.792,6263.22,4178.124,5543.976,4981.62,5827.608,5021.964,2068.788,1730.736,578.916,1164.048,2522.664,938.004,769.848,295.38,559.548,1661.016,1391.316,950.58
화순 풍력 발전소,2017-02-07,16,1165.236,1764.204,2916.264,1374.132,293.568,69.756,1861.8,5743.596,7800.216,8800.14,6986.664,5696.712,4975.692,1002.048,449.112,489.432,497.076,452.52,453.264,762.288,1576.38,2517.336,3304.632,5185.236
화순 풍력 발전소,2017-02-08,16,4564.296,2713.98,835.848,331.356,0,0,166.98,16.704,0,1701.96,2159.592,3536.34,1991.352,2332.968,2895.636,2502.696,4123.872,5145.648,3548.484,7154.04,9083.532,8102.508,9611.16,11196.912
화순 풍력 발전소,2017-02-09,16,11319.72,10890.516,11527.536,10165.356,8053.464,12036.996,10345.536,12929.004,10367.748,7018.608,7215.876,4851.336,4381.584,2715.492,6239.76,4559.016,5944.572,4479.66,8804.316,8374.152,5815.932,6538.812,7568.16,5130.936
화순 풍력 발전소,2017-02-10,16,4671.12,6873.888,7333.116,5504.22,6015.336,7221.216,8838.852,8947.284,9610.104,2929.332,2640.636,4192.764,924.036,251.808,94.608,476.472,2597.424,5106.096,6564.996,9122.184,10611.516,12165.78,11631.912,8092.704
화순 풍력 발전소,2017-02-11,16,8807.556,8879.004,10007.1,10048.248,8440.176,2696.436,3849.684,3906.768,3663.06,5297.964,4832.1,5585.124,4708.392,6287.412,7427.316,9459.324,5401.032,6213.744,2887.896,1648.872,1514.088,1461.192,796.188,646.008
화순 풍력 발전소,2017-02-12,16,483.72,390.156,404.568,279.744,406.944,219.312,360.672,274.668,306.684,1715.844,2772.492,4987.212,6280.044,3274.152,4320.576,2241.948,3553.152,4310.916,2726.292,2914.764,3481.416,1289.064,2188.068,2125.548
화순 풍력 발전소,2017-02-13,16,2179.02,896.868,530.124,2061.576,1427.328,1382.7,1062.684,870.948,298.572,1315.476,1226.76,1939.74,803.352,1419.444,1358.592,1840.152,1727.424,1556.124,990.3,341.412,11.088,0,43.704,9.852
화순 풍력 발전소,2017-02-14,16,1.5,903.456,625.152,50.568,0,153.744,107.796,0,281.508,5433.636,8257.128,5052.888,2218.344,509.46,473.436,472.632,502.464,472.8,2738.712,5762.244,8323.368,10140.456,11989.008,8561.412
화순 풍력 발전소,2017-02-15,16,8486.844,8543.808,7505.796,5642.916,3887.532,5121.996,6829.296,4452.348,3900.66,4106.88,5047.548,5014.104,2797.8,905.04,89.196,0,0,0,0,39.6,508.992,1967.784,4717.788,5720.544
화순 풍력 발전소,2017-02-16,16,9761.412,13568.508,12984.432,8193.096,7166.544,6107.124,3984.984,2386.284,2278.044,4373.424,5032.476,4616.7,143.544,1785.192,422.028,2783.064,6743.1,12903.432,12179.748,8208.48,8631.048,8299.392,6370.104,6105.336
화순 풍력 발전소,2017-02-17,16,2589.996,1266.66,1554.768,796.548,2.52,7.044,2.892,1124.388,127.956,2554.188,1930.2,1698.444,1797,2010.132,3561.384,5016.696,1353.228,542.964,2199.852,1278.372,920.424,205.356,116.448,692.424
화순 풍력 발전소,2017-02-18,16,2522.388,1024.86,816.888,1578.252,1719.552,655.44,1130.496,3295.104,4459.896,4792.884,3465.684,2120.316,439.176,714.816,562.788,902.412,1042.812,1458.852,2315.736,3852.984,3587.748,4127.736,3971.508,4565.1
화순 풍력 발전소,2017-02-19,16,3702.168,5014.572,5691.048,7036.56,6579.252,6451.668,11443.68,11769.204,9652.368,8156.16,7613.508,2468.88,54.612,375.192,415.92,323.796,521.352,690.78,503.976,2143.56,4452.552,9852.792,12297.228,9598.908
화순 풍력 발전소,2017-02-20,16,7424.1,7392.612,7190.52,8677.464,7838.292,6944.424,9821.196,7622.484,9904.428,10182.216,5368.056,3152.172,2141.1,816.492,541.644,485.376,500.94,490.272,567.072,578.856,1578.384,2364.888,1897.788,3345.612
화순 풍력 발전소,2017-02-21,16,5560.224,5244,5151.744,4975.248,6440.496,6442.752,5548.2,5534.052,4115.196,3249.9,1764.336,1318.8,493.38,21.24,1.824,0,0,33.312,2.724,215.904,389.208,671.28,1942.56,2888.784
화순 풍력 발전소,2017-02-22,16,3519.708,1144.368,600.324,107.076,192.9,0,700.656,947.544,1536.984,1763.196,1140.864,1152.648,182.916,482.484,1781.412,2227.8,4489.956,6854.412,5704.56,8960.424,9390.936,9689.004,6634.86,9100.404
화순 풍력 발전소,2017-02-23,16,9685.188,7150.284,6439.632,7812.156,10038.456,9299.952,10274.412,11631.516,11382.888,11599.08,12509.664,9709.548,8331.084,7195.764,6527.16,4787.748,4984.548,4229.388,2804.928,3454.296,3906.66,3699.984,3649.704,2057.748
화순 풍력 발전소,2017-02-24,16,3720.204,3764.772,5326.644,5894.472,8368.656,3732.3,899.412,149.892,0,1078.296,1155.852,2397.48,4205.232,5557.656,4109.064,4718.076,5664.468,7557.072,7909.74,7203.996,5619.276,4234.26,2717.004,5487.372
화순 풍력 발전소,2017-02-25,16,6555.504,4238.064,3101.736,2567.52,1851.54,2616.84,2243.256,1566.096,884.628,1110.84,1221.48,2363.508,4791.732,6569.268,6712.476,9563.52,10139.436,9324.852,9526.992,11058.06,12233.46,11119.044,8605.488,7645.92
화순 풍력 발전소,2017-02-26,16,7127.208,3994.74,1911.708,1797.18,113.484,0,0,0,0,0,626.208,5840.532,3440.388,2233.668,4217.604,4461.12,4404.744,3323.628,5397.072,6060.66,9407.736,8168.256,9679.668,8902.968
화순 풍력 발전소,2017-02-27,16,7228.956,5679.372,4725.732,11404.92,13163.316,12153.852,11104.308,10307.676,12467.064,9629.184,7102.272,3078.036,816.156,254.064,12.96,89.208,27.792,0,0.588,149.496,0,0,0,12.816
화순 풍력 발전소,2017-02-28,16,18.756,299.028,650.868,1495.476,4928.52,5489.004,6002.916,5287.452,4494.936,8084.568,10115.472,7936.116,3658.092,1191.408,3841.068,2057.34,1720.68,2838.876,3859.932,5756.568,6137.052,7747.716,3049.728,3541.344
화순 풍력 발전소,2017-03-01,16,6828.636,5128.296,3522.576,1477.92,4915.044,4130.916,4410.996,4969.596,4998.636,6409.392,5776.032,6606.84,5632.056,4031.652,5154.264,4959.516,7390.944,6185.208,2378.34,3131.16,2860.104,3976.248,3459.024,5278.92
화순 풍력 발전소,2017-03-02,16,4812.084,3951.204,4963.416,4549.212,5379.396,5427.66,5661.696,10848.864,8891.772,3735.24,2195.652,1911.504,1948.824,1160.328,637.956,1658.508,1897.884,1840.992,950.82,777.984,215.376,298.116,2295.204,5332.512
화순 풍력 발전소,2017-03-03,16,3423.684,1688.76,2589.048,5288.88,2003.136,1921.512,3599.736,2742.732,2135.052,1764.708,1703.4,1589.244,440.94,254.676,118.356,9.888,0.696,79.56,533.28,365.676,228.024,529.836,434.088,466.5
화순 풍력 발전소,2017-03-04,16,1271.868,569.832,2083.572,4108.74,4974.324,3979.908,3546.468,6035.592,4910.172,5148.42,2634.384,2462.184,2894.52,3136.488,1645.344,1291.584,1420.824,1146.768,3372.54,4961.928,6076.188,4618.248,5687.1,6977.304
화순 풍력 발전소,2017-03-05,16,6929.364,6970.656,4778.952,3913.5,4068.54,4748.784,5148.792,6424.8,5553.432,5362.308,3953.472,3720.552,3766.236,2513.016,1753.272,3171.54,1534.848,2786.592,2691.612,4040.112,2231.868,1014.252,764.976,459.552
화순 풍력 발전소,2017-03-06,16,739.164,351.396,365.652,2233.872,7047,5366.4,4872.072,4790.364,3920.94,5069.292,5730.72,5310.096,4949.796,5203.14,6587.94,8635.704,8918.292,7578.264,5385.48,8174.664,7802.496,9951.324,8406.972,8227.608
화순 풍력 발전소,2017-03-07,16,7855.596,8104.38,6798.828,4273.872,2764.236,1625.016,2552.508,2851.068,2596.368,3828.504,5431.464,7388.532,6238.212,5898.528,5559.696,6808.668,8175.156,9526.128,8989.896,6784.02,6540.384,4093.872,3826.272,3614.676
화순 풍력 발전소,2017-03-08,16,3319.284,4846.5,5643.48,5576.22,7340.28,7250.628,6801.96,9571.416,9605.988,8051.7,9463.164,8538.348,7708.536,3104.868,3128.712,4644.528,3488.028,5590.332,7621.74,4763.808,6320.232,6399.3,6127.488,4292.376
화순 풍력 발전소,2017-03-09,16,4798.8,4730.904,4340.7,3899.688,4402.416,4519.068,2930.82,3148.128,4097.232,4063.308,5343.756,6843.696,6204.252,5340.924,3557.388,6203.928,8087.952,6137.676,4854.636,3873.096,5202.012,6936.132,8500.08,6884.196
화순 풍력 발전소,2017-03-10,16,8368.356,5479.992,5029.38,3714.012,1606.104,2271.072,3680.76,7430.292,7429.596,7469.796,6146.676,3763.644,3185.208,2662.272,1231.296,526.02,426.648,467.52,316.692,650.568,1659.588,3566.604,4260.888,4643.544
화순 풍력 발전소,2017-03-11,16,3657.468,3467.136,3768.588,1949.784,447.984,527.484,2000.22,1510.38,1688.268,2626.68,1502.004,1218.636,13.596,0,0,32.196,153.276,461.052,422.916,128.004,0,120.216,265.296,1789.572
