������,ȣ��,1��,2��,3��,4��,5��,6��,7��,8��,9��,10��,11��,12��,13��,14��,15��,16��,17��,18��,19��,20��,21��,22��,23��,24��
2023-01-01,1,2285684,1240105,632211,2966526,4060737,5057684,7197474,8048526,6662526,3574421,4352526,2139789,1483263,1775053,3647368,5252211,6249158,6322105,8753684,8243053,8583474,7926947,8583474,7781053
2023-01-02,1,5057684,4595684,5276526,4936105,5398105,7902632,9385895,8632105,8826632,7464947,6273474,6930000,7416316,6808421,9312947,10042421,10796211,10650316,13349368,12255158,11209579,9118421,8826632,8413263
2023-01-03,1,5106316,4936105,6249158,8996842,10455789,12717158,11598632,9774947,10577368,9823579,8972526,7051579,4984737,2699053,6784105,8802316,6395053,6905684,8364632,8899579,7489263,7294737,6176211,7075895
2023-01-04,1,5933053,6419368,3501474,6395053,5714211,6078947,7367684,6638211,5519684,3379895,2528842,1677789,1288737,486316,1993895,2747684,2917895,2650421,5422421,4863158,3671684,2066842,1288737,267474
2023-01-05,1,194526,97263,97263,437684,996947,1386000,389053,0,0,48632,291789,364737,145895,145895,145895,340421,413368,899684,1848000,1069895,705158,48632,0,170211
2023-01-06,1,437684,437684,316105,316105,1045579,1872316,1531895,1142842,802421,218842,0,0,72947,0,0,0,0,0,0,389053,3574421,4595684,5860105,9361579
2023-01-07,1,8364632,7975579,9045474,10844842,11233895,12619895,13179158,12619895,11306842,11428421,8437579,0,0,0,0,1507579,5179263,7051579,6808421,4498421,3744632,3063789,2601789,2018211
2023-01-08,1,510632,462000,145895,413368,559263,1556211,218842,243158,121579,0,0,0,0,0,0,0,24316,48632,437684,632211,778105,1069895,729474,826737
2023-01-09,1,534947,413368,437684,583579,1483263,2844947,2334316,1629158,267474,24316,121579,389053,437684,486316,1531895,3015158,6346421,7635158,9531789,10577368,12401053,8243053,8802316,8753684
2023-01-10,1,6759789,7683789,8072842,10674632,11112316,11452737,8899579,2212737,0,0,0,0,0,121579,48632,0,0,0,0,24316,0,0,0,0
2023-01-11,1,316105,437684,486316,462000,486316,1823684,1507579,97263,364737,48632,0,0,0,24316,0,48632,0,121579,851053,875368,316105,2601789,1896632,0
2023-01-12,1,1240105,7586526,4425474,5519684,7951263,7951263,5616947,5398105,6832737,6200526,3817579,972632,1483263,2601789,3428526,3063789,4668632,11185263,15002842,14419263,13592526,12206526,12936000,12790105
2023-01-13,1,10626000,9969474,10747579,11282526,12328105,11477053,11258211,11088000,8607789,9507474,6492316,1775053,413368,413368,145895,0,48632,0,2528842,1386000,24316,1215789,48632,0
2023-01-14,1,97263,705158,1848000,2407263,3939158,5130632,6759789,8778000,7805368,9021158,6176211,6468000,6419368,7173158,6711158,4620000,6103263,6127579,7756737,11671579,9507474,7562211,7489263,7635158
2023-01-15,1,4717263,7392000,6103263,9021158,10504421,11525684,13519579,13641158,12765789,12668526,12595579,10577368,10917789,10723263,12960316,12936000,12571263,12668526,13835684,14394947,14127474,11987684,13008947,11355474
2023-01-16,1,10066737,10188316,8340316,11695895,11015053,12595579,12133579,10698947,9847895,9702000,9702000,7999895,7270421,7270421,9483158,9653368,9604737,9629053,11331158,10480105,8850947,5154947,4936105,2650421
2023-01-17,1,778105,1993895,5641263,6832737,5422421,4474105,4133684,4571368,4741579,2626105,2553158,1288737,462000,1702105,1872316,3234000,4522737,8024211,9167053,10601684,6857053,3793263,4498421,4303895
2023-01-18,1,826737,1677789,2990842,3623053,3234000,4790211,5179263,3939158,2796316,1337368,1702105,583579,462000,243158,291789,413368,972632,2358632,4401158,3598737,3282632,2431579,802421,340421
2023-01-19,1,389053,462000,899684,753789,2893579,4060737,4109368,2237053,2480211,705158,753789,486316,413368,364737,267474,218842,291789,462000,2164105,948316,899684,389053,0,121579
2023-01-20,1,340421,462000,510632,948316,3234000,5519684,6881368,9726316,9167053,10139684,10285579,9580421,8607789,8510526,11622947,11039368,14346316,11793158,12109263,10139684,9677684,4863158,4571368,4595684
2023-01-21,1,1531895,1167158,1556211,2893579,3088105,4984737,5860105,5471053,4498421,4376842,4303895,1629158,462000,486316,1726421,2553158,3331263,3720316,4814526,4085053,2723368,0,145895,170211
2023-01-22,1,340421,97263,267474,0,1021263,486316,632211,6419368,0,0,413368,145895,243158,413368,462000,778105,2650421,1094211,5689895,6857053,924000,267474,1167158,4692947
2023-01-23,1,4571368,3525789,4984737,6954316,7781053,7319053,7416316,5057684,5300842,4644316,5616947,3768947,0,0,2917895,7708105,7124526,6540947,12425368,13811368,15173053,13665474,13957263,13908632
2023-01-24,1,11428421,10382842,10285579,11477053,12182211,10626000,7562211,4352526,778105,924000,291789,0,0,0,1896632,5762842,5835789,7537895,9531789,7027263,7416316,6006000,6565263,7878316
2023-01-25,1,6565263,5276526,4984737,7635158,7100211,7829684,7416316,5665579,3234000,5860105,5300842,1799368,1434632,1361684,413368,462000,510632,267474,2139789,1969579,1313053,0,0,218842
2023-01-26,1,0,0,0,0,0,24316,97263,48632,0,0,267474,218842,267474,97263,194526,97263,0,0,121579,0,0,0,389053,559263
2023-01-27,1,1240105,2504526,4911789,10091053,12936000,15878211,16121368,13981579,11671579,13300737,4158000,11282526,10820526,10407158,9118421,11841789,11550000,12109263,13106211,12960316,7902632,8340316,14808316,13081895
2023-01-28,1,10796211,11088000,11720211,12352421,13154842,14638105,13422316,13641158,9774947,6905684,3550105,1386000,656526,899684,6346421,11963368,12425368,12206526,13908632,11258211,10139684,8437579,9240000,7416316
2023-01-29,1,4328211,3331263,3088105,5811474,5762842,6054632,5665579,3866211,1702105,1848000,1458947,656526,875368,851053,1969579,3525789,2699053,3817579,5471053,5762842,4765895,4547053,5130632,8607789
2023-01-30,1,8461895,8802316,10164000,11671579,10893474,12595579,12401053,10139684,6881368,5422421,5860105,2917895,1264421,607895,1896632,2504526,2577474,1896632,3477158,3696000,2528842,1848000,1118526,1142842
2023-01-31,1,486316,437684,48632,24316,389053,948316,364737,1848000,3890526,2480211,2091158,632211,462000,437684,462000,437684,462000,972632,3671684,3768947,2042526,2164105,3015158,5908737
2023-02-01,1,3331263,1531895,462000,924000,413368,1969579,2310000,2310000,2066842,2796316,4644316,2431579,1945263,0,8170105,10382842,12814421,13884316,15829579,16291579,14686737,13398000,12133579,13227789
2023-02-02,1,10966421,10431474,11306842,12619895,10236947,8778000,7124526,8875263,13203474,11136632,9410211,6395053,0,0,510632,4255263,3817579,4376842,4911789,4158000,5033368,4158000,4474105,5276526
2023-02-03,1,1945263,1215789,1896632,3574421,5203579,7878316,6030316,5787158,4474105,5665579,5860105,4960421,6881368,8364632,9094105,7197474,5592632,6686842,8024211,7708105,7294737,5568316,5203579,4425474
2023-02-04,1,3914842,4182316,5179263,11525684,10455789,12571263,10018105,6638211,5009053,7027263,8802316,1848000,0,0,0,0,3234000,5957368,5252211,3209684,3234000,2699053,1702105,2115474
2023-02-05,1,1264421,1969579,3015158,2358632,2772000,3112421,3063789,2285684,462000,121579,243158,24316,218842,316105,413368,437684,243158,24316,534947,0,0,194526,24316,0
2023-02-06,1,121579,437684,462000,462000,0,1045579,632211,0,0,0,0,0,0,24316,0,340421,48632,1386000,7951263,5835789,5398105,316105,0,72947
2023-02-07,1,437684,24316,1410316,2237053,4887474,4206632,5641263,7829684,2723368,1945263,2723368,510632,437684,510632,1750737,2066842,4158000,2844947,2942211,2869263,3039474,2066842,3841895,3088105
2023-02-08,1,3671684,3768947,5179263,7951263,9312947,12644211,14127474,10869158,7562211,4620000,3744632,2480211,243158,0,0,48632,2334316,3939158,4182316,4960421,5057684,3817579,5276526,6711158
2023-02-09,1,2990842,656526,437684,437684,72947,1653474,1848000,1434632,0,24316,1507579,3258316,1361684,4255263,1920947,1993895,486316,4036421,4206632,2796316,1556211,72947,72947,3452842
2023-02-10,1,9142737,7708105,8316000,8243053,8753684,9215684,9361579,11817474,10601684,8753684,7951263,6881368,7367684,7392000,8267368,8534842,6954316,5665579,5738526,5835789,8923895,6249158,7221789,4765895
2023-02-11,1,4717263,2917895,1945263,680842,0,2237053,2066842,1361684,24316,0,0,24316,364737,389053,24316,267474,437684,97263,1629158,0,0,0,0,0
2023-02-12,1,24316,0,0,0,0,0,0,24316,97263,48632,24316,0,0,0,97263,632211,3671684,8413263,5057684,2358632,8778000,10942105,11477053,10018105
2023-02-13,1,1337368,24316,0,194526,5422421,10601684,7708105,11306842,9264316,6686842,4401158,2772000,3452842,5227895,5471053,4595684,2747684,4449789,9142737,8316000,7732421,7343368,9191368,7878316
2023-02-14,1,4303895,4668632,5665579,8072842,8802316,10212632,10431474,12717158,11768842,10358526,8753684,4352526,0,0,0,0,6346421,9094105,9702000,9361579,8413263,5544000,4595684,3574421
2023-02-15,1,2164105,2893579,1945263,2796316,2869263,4425474,4085053,3768947,2358632,1653474,2042526,1167158,534947,413368,1118526,1677789,1556211,1604842,3866211,3671684,3161053,1434632,1945263,1507579
2023-02-16,1,510632,486316,1069895,1240105,3258316,5300842,4936105,3671684,1872316,510632,802421,437684,462000,778105,486316,2164105,2431579,1604842,2674737,3039474,1653474,243158,24316,0
2023-02-17,1,48632,0,121579,170211,0,0,24316,0,0,0,413368,1021263,486316,413368,121579,170211,534947,0,3914842,3696000,5981684,4984737,5616947,5009053
2023-02-18,1,3088105,1045579,462000,194526,0,2042526,2382947,510632,656526,218842,24316,0,24316,0,0,0,97263,170211,0,0,170211,121579,145895,97263
2023-02-19,1,24316,389053,2480211,5154947,6711158,13154842,15221684,11987684,12498316,12887368,13154842,10382842,3720316,12498316,15416211,13568211,13373684,13252105,16097053,16388842,15780947,14394947,12838737,12960316
2023-02-20,1,11404105,12303789,12401053,14151789,13227789,14127474,10771895,12692842,10480105,11963368,10942105,0,0,0,6905684,11817474,13495263,14735368,13057579,15391895,14054526,13957263,13787053,13154842
2023-02-21,1,11525684,11136632,11452737,13446632,13033263,13398000,10966421,11793158,9337263,10091053,11695895,9920842,948316,0,2382947,4984737,5082000,3671684,3963474,2212737,3112421,1386000,364737,121579
2023-02-22,1,291789,389053,437684,462000,2091158,5057684,2115474,1823684,243158,0,0,0,267474,437684,462000,145895,0,0,607895,97263,121579,826737,972632,680842
2023-02-23,1,486316,559263,462000,437684,2407263,4863158,4668632,4547053,4692947,3939158,3234000,1653474,778105,534947,1458947,1507579,1410316,1653474,3306947,3501474,2942211,1288737,1386000,1288737
2023-02-24,1,534947,462000,437684,1410316,5738526,8802316,11452737,8996842,7513579,6638211,7173158,4376842,2990842,2796316,6492316,6759789,9240000,11039368,13932947,14929895,15148737,14322000,14419263,14370632
2023-02-25,1,12619895,12157895,12425368,14322000,14273368,15878211,16242947,15902526,13957263,13592526,72947,0,0,0,0,0,6954316,11793158,15343263,14200421,14127474,14103158,13543895,12863053
2023-02-26,1,8534842,10309895,6249158,4449789,3379895,4425474,6711158,7902632,6492316,8267368,1142842,0,0,0,0,0,389053,3306947,1653474,1434632,1118526,1507579,1288737,1021263
2023-02-27,1,340421,24316,0,0,0,121579,0,534947,899684,145895,72947,24316,24316,0,0,243158,24316,0,24316,0,0,0,0,0
2023-02-28,1,0,24316,291789,437684,1434632,2115474,1264421,1483263,1142842,1215789,1386000,0,0,0,0,24316,437684,2820632,5203579,5544000,6006000,4717263,3939158,3039474
2023-03-01,1,632211,437684,462000,413368,243158,2091158,1069895,97263,0,0,0,0,72947,656526,924000,2869263,9434526,14370632,14078842,16024105,15926842,13835684,14443579,13981579
