"발전구분","호기","일자","1시 발전량(MWh)","2시 발전량(MWh)","3시 발전량(MWh)","4시 발전량(MWh)","5시 발전량(MWh)","6시 발전량(MWh)","7시 발전량(MWh)","8시 발전량(MWh)","9시 발전량(MWh)","10시 발전량(MWh)","11시 발전량(MWh)","12시 발전량(MWh)","13시 발전량(MWh)","14시 발전량(MWh)","15시 발전량(MWh)","16시 발전량(MWh)","17시 발전량(MWh)","18시 발전량(MWh)","19시 발전량(MWh)","20시 발전량(MWh)","21시 발전량(MWh)","22시 발전량(MWh)","23시 발전량(MWh)","24시 발전량(MWh)","총량(KW)","평균(KW)","최대(시간별)","최소(시간별)","최대","최소"
"삼천포풍력"," 1"," 2025-05-31 00:00:00"," 0"," 0"," 1.008"," 0"," 0"," 0.792"," 15.264"," 4.176"," 0.864"," 6.912"," 8.28"," 1.44"," 11.088"," 20.304"," 27.216"," 31.32"," 125.136"," 58.608"," 3.312"," 1.08"," 2.16"," 1.512"," 0"," 0"," 320.472"," 13"," 125.13"," 0.79"," 125.136"," 0"
"영흥풍력"," 1"," 2025-05-31 00:00:00"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"영흥풍력"," 2"," 2025-05-31 00:00:00"," 119.04"," 0"," 0"," 1.92"," 0"," 0"," 0"," 0"," 0"," 1862.4"," 660.48"," 0"," 0"," 0"," 1.92"," 3.84"," 57.6"," 157.44"," 316.8"," 149.76"," 0"," 0"," 0"," 0"," 3331.2"," 139"," 1862.4"," 1.92"," 1862.4"," 0"
"군위 화산풍력"," 1"," 2025-05-31 00:00:00"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 96.421"," 617.095"," 106.063"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 819.579"," 34"," 617.09"," 96.421"," 617.095"," 0"
"어음풍력"," 1"," 2025-05-31 00:00:00"," 0.168"," 0"," 0"," 0"," 0"," 24.584"," 24.752"," 0"," 0"," 0"," 0"," 3.136"," 125.776"," 0"," 24.08"," 5.264"," 0"," 0"," 0"," 3.64"," 63.672"," 45.976"," 0"," 0"," 321.048"," 13"," 125.77"," 0.168"," 125.776"," 0"
"삼천포풍력","1"," 2025-05-31 00:00:00","0","0","1.008","0","0","0.792","15.264","4.176","0.864","6.912","8.28","1.44","11.088","20.304","27.216","31.32","125.136","58.608","3.312","1.08","2.16","1.512","0","0","320.472","13","125.13","0.79","125.136","0"
"영흥풍력","1"," 2025-05-31 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"영흥풍력","2"," 2025-05-31 00:00:00","119.04","0","0","1.92","0","0","0","0","0","1862.4","660.48","0","0","0","1.92","3.84","57.6","157.44","316.8","149.76","0","0","0","0","3331.2","139","1862.4","1.92","1862.4","0"
"군위 화산풍력","1"," 2025-05-31 00:00:00","0","0","0","0","0","0","0","0","0","0","0","96.421","617.095","106.063","0","0","0","0","0","0","0","0","0","0","819.579","34","617.09","96.421","617.095","0"
"어음풍력","1"," 2025-05-31 00:00:00","0.168","0","0","0","0","24.584","24.752","0","0","0","0","3.136","125.776","0","24.08","5.264","0","0","0","3.64","63.672","45.976","0","0","321.048","13","125.77","0.168","125.776","0"
