iter	RMSE
0	491.4505774
1	423.4318444
2	365.0037111
3	314.992522
4	272.2392798
5	235.1517717
6	203.6301189
7	176.3312816
8	153.0666495
9	132.7310414
10	115.5843024
11	100.5735211
12	87.6360088
13	76.34235759
14	66.86960125
15	58.47359643
16	51.44444398
17	45.21310196
18	40.08021465
19	35.64332424
20	31.71539541
21	28.46532736
22	25.77379463
23	23.34645671
24	21.40403652
25	19.73158954
26	18.30853429
27	17.12433412
28	16.16294614
29	15.35372786
30	14.64159673
31	14.06311769
32	13.60469641
33	13.24203149
34	12.94667164
35	12.7040595
36	12.51291404
37	12.34928805
38	12.10727643
39	11.83292848
40	11.62178634
41	11.45144712
42	11.30392153
43	11.19524335
44	11.08937718
45	11.00617764
46	10.92416173
47	10.87013997
48	10.7747388
49	10.73102778
50	10.67227738
51	10.61143325
52	10.57235895
53	10.50049976
54	10.38916096
55	10.35449033
56	10.26812969
57	10.19715385
58	10.1207954
59	10.08421919
60	10.02757633
61	9.977454419
62	9.923027193
63	9.88806391
64	9.845180222
65	9.777446415
66	9.721171744
67	9.647137615
68	9.623332385
69	9.538061417
70	9.501934904
71	9.470357545
72	9.394054541
73	9.349001584
74	9.241944857
75	9.203873029
76	9.148054353
77	9.124976353
78	9.076885767
79	8.996760998
80	8.891652926
81	8.80693873
82	8.766631702
83	8.718306343
84	8.639581415
85	8.604122324
86	8.573421381
87	8.542542957
88	8.519647715
89	8.463838983
90	8.420976306
91	8.394330344
92	8.372724732
93	8.349212764
94	8.30772955
95	8.249698368
96	8.218130312
97	8.202217167
98	8.175222223
99	8.124961727
100	8.083330147
101	8.024172532
102	8.001354107
103	7.956364032
104	7.941392914
105	7.923416151
106	7.898664629
107	7.872046038
108	7.853640672
109	7.832369692
110	7.791491302
111	7.77050833
112	7.74104063
113	7.711487109
114	7.671735997
115	7.65678264
116	7.613604489
117	7.556458252
118	7.528584988
119	7.515392764
120	7.481527798
121	7.458893397
122	7.431225361
123	7.421049757
124	7.387386063
125	7.366907776
126	7.349304443
127	7.329974167
128	7.311220425
129	7.286869145
130	7.268082358
131	7.245838232
132	7.202843455
133	7.179735327
134	7.147185045
135	7.125480023
136	7.084989626
137	7.06523596
138	7.053324054
139	7.031003913
140	7.013600611
141	6.997984124
142	6.98936131
143	6.956741316
144	6.93890565
145	6.917226244
146	6.900090091
147	6.883463579
148	6.866624568
149	6.845780301
150	6.826516446
151	6.808140492
152	6.775598274
153	6.761588446
154	6.749367501
155	6.721596802
156	6.706637791
157	6.698895021
158	6.68007565
159	6.650613987
160	6.637103698
161	6.620480012
162	6.604220102
163	6.580526708
164	6.568552356
165	6.545436662
166	6.534658862
167	6.521165778
168	6.508781226
169	6.493488714
170	6.481985725
171	6.46146486
172	6.449726613
173	6.433939608
174	6.42033662
175	6.403109489
176	6.374108592
177	6.354206886
178	6.34198693
179	6.33059473
180	6.309343522
181	6.286298724
182	6.275658427
183	6.263205605
184	6.238496873
185	6.229517931
186	6.219617006
187	6.214716438
188	6.196030075
189	6.186801737
190	6.170538949
191	6.147206548
192	6.138052792
193	6.123402269
194	6.104600599
195	6.090301576
196	6.082868218
197	6.066337616
198	6.049613518
199	6.034478063
200	6.015055025
201	6.007295651
202	5.995713362
203	5.980905829
204	5.965952681
205	5.960013031
206	5.948459156
207	5.941865215
208	5.928292078
209	5.916962457
210	5.900249226
211	5.876268371
212	5.863585184
213	5.849485894
214	5.829772365
215	5.816838097
216	5.808412675
217	5.789752558
218	5.773835292
219	5.764273544
220	5.753060691
221	5.74388831
222	5.737470101
223	5.73087567
224	5.719433283
225	5.69941711
226	5.687622763
227	5.671911538
228	5.66733973
229	5.654897048
230	5.649111562
231	5.643874714
232	5.632935619
233	5.624750501
234	5.609805216
235	5.60315384
236	5.590493917
237	5.576777499
238	5.568904513
239	5.550041815
240	5.543608915
241	5.53744463
242	5.525078317
243	5.513280633
244	5.502185915
245	5.492585977
246	5.480810655
247	5.471074676
248	5.460946419
249	5.45932848
250	5.446741328
251	5.443983862
252	5.440434896
253	5.426957465
254	5.41376158
255	5.404540913
256	5.393523486
257	5.385532097
258	5.378527687
259	5.364600881
260	5.355746797
261	5.349966498
262	5.340744076
263	5.326672482
264	5.314666975
265	5.298862836
266	5.291981255
267	5.287300303
268	5.277784445
269	5.27141489
270	5.265089385
271	5.254921621
272	5.248314723
273	5.234616549
274	5.217640649
275	5.210244546
276	5.201391946
277	5.195440285
278	5.183234223
279	5.172789927
280	5.166253019
281	5.153664291
282	5.149710378
283	5.142434204
284	5.130998204
285	5.122986802
286	5.110962613
287	5.105921413
288	5.09594129
289	5.077988086
290	5.076172087
291	5.06829433
292	5.065074502
293	5.052876612
294	5.042213883
295	5.03388453
296	5.020584382
297	5.015034432
298	5.006374621
299	4.994547812
300	4.989982091
301	4.986104814
302	4.980021003
303	4.96764109
304	4.95957288
305	4.950395555
306	4.943401342
307	4.93140858
308	4.922258967
309	4.915414011
310	4.902718702
311	4.892318195
312	4.881054019
313	4.87988291
314	4.874424498
315	4.865628516
316	4.856963849
317	4.851039714
318	4.843719261
319	4.832499854
320	4.825303501
321	4.823808759
322	4.814522195
323	4.809418464
324	4.806078499
325	4.799157702
326	4.792074366
327	4.787326864
328	4.780054612
329	4.77308898
330	4.764916528
331	4.757499398
332	4.747758086
333	4.739577569
334	4.734536556
335	4.72817735
336	4.718706414
337	4.711745338
338	4.70453891
339	4.698438995
340	4.690437257
341	4.6862183
342	4.679973655
343	4.672885676
344	4.664711775
345	4.654577913
346	4.647311923
347	4.641960804
348	4.634807802
349	4.629715472
350	4.621113277
351	4.615604301
352	4.609855592
353	4.606228201
354	4.602781722
355	4.600418578
356	4.590825032
357	4.586428302
358	4.581560304
359	4.57574909
360	4.569302654
361	4.563127541
362	4.555666369
363	4.549898849
364	4.543019828
365	4.532964657
366	4.530325965
367	4.528567474
368	4.521646689
369	4.515766636
370	4.504532263
371	4.498631985
372	4.493840455
373	4.488069542
374	4.481910999
375	4.474970541
376	4.469159482
377	4.459126801
378	4.454807252
379	4.448861758
380	4.447789449
381	4.439612086
382	4.43414308
383	4.428488193
384	4.42389173
385	4.419805812
386	4.416241154
387	4.410751931
388	4.40620239
389	4.403733221
390	4.399592744
391	4.390739859
392	4.385605896
393	4.382437492
394	4.377531082
395	4.371181746
396	4.366984561
397	4.362799106
398	4.357560833
399	4.354230209
400	4.346773893
401	4.340353464
402	4.335205051
403	4.326207157
404	4.319128309
405	4.310430966
406	4.306780332
407	4.302163592
408	4.297852976
409	4.292673653
410	4.290017822
411	4.286367265
412	4.281108966
413	4.277308125
414	4.274886301
415	4.27288039
416	4.268093566
417	4.264168825
418	4.257570038
419	4.25435974
420	4.252084681
421	4.248082184
422	4.246298068
423	4.238833234
424	4.233156086
425	4.226753441
426	4.220374621
427	4.215032348
428	4.208301679
429	4.204683969
430	4.200616811
431	4.198262531
432	4.191447188
433	4.188131834
434	4.183083817
435	4.178012591
436	4.174445644
437	4.17116344
438	4.165550706
439	4.158271042
440	4.15409535
441	4.149951023
442	4.143855144
443	4.134967318
444	4.132120742
445	4.131088161
446	4.125921861
447	4.120940132
448	4.115624685
449	4.112005473
450	4.108157854
451	4.103288017
452	4.099676169
453	4.096961944
454	4.092389182
455	4.088935086
456	4.084603334
457	4.079728784
458	4.077730178
459	4.074399754
460	4.071585735
461	4.069428362
462	4.065465782
463	4.057904726
464	4.052677226
465	4.048868242
466	4.046968213
467	4.043322707
468	4.039853173
469	4.036301594
470	4.031469941
471	4.02761234
472	4.024409129
473	4.02157278
474	4.01866436
475	4.014470985
476	4.010892598
477	4.005672505
478	4.001930665
479	3.999188623
480	3.994459561
481	3.992903923
482	3.98760762
483	3.98454344
484	3.979309354
485	3.975746399
486	3.972024801
487	3.969718883
488	3.966612115
489	3.961691109
490	3.960008978
491	3.950623895
492	3.947090266
493	3.945730761
494	3.943562297
495	3.940803898
496	3.938211118
497	3.93384505
498	3.932299038
499	3.929022867
500	3.925810287
501	3.920480767
502	3.914657035
503	3.91028034
504	3.907736372
505	3.900904149
506	3.898187623
507	3.89550591
508	3.892994978
509	3.890376926
510	3.886139664
511	3.881621179
512	3.879423442
513	3.870245903
514	3.863078411
515	3.860698251
516	3.858088064
517	3.856741771
518	3.853380189
519	3.851817245
520	3.849174976
521	3.847581083
522	3.840312107
523	3.836544701
524	3.834051895
525	3.83174316
526	3.828992556
527	3.824753509
528	3.819052719
529	3.816722587
530	3.815328704
531	3.810304331
532	3.806536331
533	3.803893902
534	3.799078892
535	3.795892238
536	3.792334323
537	3.790317471
538	3.78637966
539	3.780827876
540	3.774878489
541	3.770731488
542	3.768386469
543	3.76486304
544	3.763462451
545	3.75953755
546	3.758076039
547	3.754028911
548	3.752351998
549	3.749745691
550	3.746739957
551	3.744836288
552	3.740923452
553	3.737019561
554	3.732666189
555	3.728940696
556	3.726766357
557	3.725572217
558	3.722615747
559	3.719726864
560	3.716686852
561	3.715317618
562	3.714016577
563	3.711054152
564	3.708999479
565	3.708157995
566	3.703209366
567	3.701499257
568	3.69749245
569	3.692994493
570	3.6894966
571	3.68710984
572	3.685063334
573	3.67978138
574	3.67682005
575	3.675115542
576	3.670922683
577	3.669344585
578	3.666094021
579	3.663425237
580	3.66187051
581	3.659976007
582	3.655841926
583	3.651081782
584	3.648527982
585	3.644826527
586	3.642276691
587	3.636315996
588	3.632398485
589	3.629831452
590	3.625608098
591	3.621962656
592	3.619262686
593	3.616583796
594	3.613473107
595	3.610778726
596	3.609699133
597	3.60586361
598	3.603000722
599	3.600101593
600	3.595738947
601	3.59476634
602	3.593798114
603	3.591025658
604	3.586226523
605	3.584812294
606	3.582771583
607	3.581764613
608	3.577944152
609	3.577408488
610	3.57513476
611	3.570668759
612	3.567517503
613	3.566466623
614	3.565112217
615	3.562066519
616	3.560501743
617	3.559727876
618	3.557566297
619	3.55519714
620	3.550827273
621	3.548222692
622	3.546269933
623	3.542941475
624	3.538880617
625	3.534079431
626	3.532324756
627	3.529724367
628	3.526148952
629	3.521943313
630	3.519748417
631	3.51774473
632	3.515318284
633	3.513215787
634	3.510639152
635	3.509288106
636	3.506441477
637	3.503755754
638	3.502854273
639	3.501821285
640	3.500874648
641	3.495436916
642	3.493121264
643	3.490426509
644	3.488462869
645	3.487570348
646	3.486210765
647	3.48350577
648	3.480227196
649	3.476085571
650	3.473946389
651	3.47249909
652	3.469646718
653	3.467506861
654	3.464359562
655	3.462163836
656	3.461296564
657	3.459407416
658	3.457382941
659	3.456091827
660	3.45443836
661	3.453752802
662	3.451443127
663	3.447931666
664	3.446916747
665	3.44554392
666	3.442988186
667	3.440382541
668	3.438670057
669	3.435578883
670	3.433271858
671	3.430390187
672	3.428634421
673	3.427493319
674	3.424139391
675	3.421762454
676	3.419815962
677	3.416369216
678	3.412947041
679	3.411271648
680	3.40580423
681	3.40501997
682	3.404783589
683	3.403761046
684	3.400719539
685	3.397718499
686	3.396048638
687	3.395327855
688	3.393893869
689	3.391469447
690	3.389680319
691	3.387550181
692	3.38631561
693	3.385191632
694	3.384071847
695	3.382971585
696	3.378695655
697	3.37669061
698	3.374554157
699	3.371573157
700	3.369693079
701	3.367516188
702	3.364340405
703	3.360740563
704	3.358746476
705	3.357577887
706	3.354470398
707	3.350640193
708	3.349136414
709	3.348132506
710	3.346120326
711	3.344909766
712	3.341931316
713	3.34113916
714	3.340945074
715	3.338589552
716	3.33603392
717	3.334719959
718	3.333574006
719	3.33130967
720	3.327670276
721	3.325396473
722	3.32109339
723	3.318749395
724	3.317898241
725	3.314197348
726	3.312776827
727	3.309714503
728	3.308899672
729	3.306757388
730	3.306559941
731	3.305840586
732	3.30436407
733	3.302395179
734	3.29956413
735	3.297146252
736	3.292833407
737	3.29067175
738	3.288553405
739	3.286378179
740	3.284381889
741	3.281208797
742	3.278665685
743	3.276948682
744	3.275219757
745	3.272676071
746	3.27030658
747	3.267801458
748	3.264727807
749	3.261006732
750	3.259303692
751	3.254952419
752	3.253707202
753	3.251210968
754	3.249823786
755	3.2484363
756	3.244754895
757	3.242819867
758	3.240714161
759	3.238811048
760	3.237955854
761	3.236478368
762	3.233463673
763	3.23211079
764	3.229996853
765	3.228573616
766	3.225735676
767	3.224380993
768	3.221405973
769	3.219885722
770	3.217822372
771	3.216311111
772	3.214931361
773	3.212215906
774	3.209253301
775	3.205994952
776	3.202808553
777	3.201622898
778	3.199474534
779	3.198518414
780	3.19504897
781	3.183439233
782	3.181943044
783	3.178802565
784	3.176793327
785	3.174280336
786	3.170448962
787	3.168801234
788	3.167632668
789	3.166268406
790	3.16462845
791	3.160851584
792	3.158895168
793	3.157963777
794	3.155503612
795	3.153672013
796	3.151386006
797	3.148705336
798	3.146820704
799	3.145422024
800	3.144842311
801	3.14364378
802	3.141771878
803	3.139293113
804	3.138028443
805	3.136478295
806	3.134655939
807	3.133521729
808	3.132205849
809	3.129970666
810	3.128548853
811	3.126599312
812	3.124680971
813	3.123865271
814	3.12242661
815	3.120105856
816	3.11866524
817	3.116868913
818	3.11515899
819	3.111824993
820	3.110782335
821	3.109831401
822	3.107285973
