iter	Passed	Remaining
0	703	702544
1	1212	604909
2	1810	601541
3	2250	560277
4	2683	534003
5	3129	518536
6	3589	509150
7	4076	505468
8	4519	497672
9	5028	497851
10	5516	496005
11	5982	492565
12	6427	488010
13	6876	484315
14	7348	482575
15	7804	479987
16	8226	475686
17	8698	474552
18	9220	476091
19	9781	479315
20	10239	477371
21	10648	473390
22	11087	470966
23	11587	471232
24	12177	474905
25	12637	473418
26	13051	470328
27	13548	470321
28	14010	469094
29	14514	469311
30	15014	469333
31	15559	470671
32	16061	470659
33	16569	470772
34	17049	470075
35	17506	468784
36	18013	468838
37	18429	466568
38	18965	467330
39	19376	465037
40	19834	463927
41	20214	461073
42	20643	459440
43	21171	459989
44	21625	458941
45	21998	456227
46	22551	457257
47	23057	457311
48	23466	455445
49	23922	454518
50	24488	455683
51	24902	453983
52	25364	453215
53	25924	454158
54	26352	452786
55	26837	452400
56	27303	451703
57	27642	448952
58	27934	445527
59	28447	445672
60	28954	445710
61	29447	445513
62	29902	444743
63	30383	444353
64	30794	442963
65	31302	442979
66	31697	441397
67	32185	441128
68	32690	441084
69	33152	440455
70	33553	439032
71	34009	438341
72	34496	438061
73	34986	437801
74	35495	437772
75	35928	436811
76	36443	436843
77	37012	437502
78	37518	437396
79	37984	436819
80	38507	436896
81	39005	436675
82	39473	436106
83	39990	436083
84	40466	435609
85	40944	435152
86	41381	434271
87	41856	433781
88	42356	433562
89	42843	433198
90	43338	432912
91	43883	433113
92	44443	433445
93	45023	433949
94	45580	434211
95	46100	434112
96	46668	434454
97	47170	434164
98	47643	433601
99	48158	433429
100	48680	433303
101	49259	433673
102	49818	433856
103	50398	434199
104	50938	434194
105	51486	434237
106	51991	433909
107	52474	433396
108	52989	433151
109	53516	433000
110	54039	432805
111	54617	433041
112	55186	433189
113	55778	433504
114	56418	434178
115	57010	434457
116	57615	434825
117	58189	434945
118	58706	434622
119	59279	434714
120	59868	434909
121	60411	434764
122	61097	435627
123	61742	436184
124	62298	436087
125	62864	436061
126	63428	436005
127	64031	436214
128	64582	436054
129	65157	436052
130	65737	436077
131	66412	436714
132	67044	437048
133	67705	437560
134	68242	437259
135	68844	437364
136	69453	437504
137	70009	437304
138	70609	437370
139	71168	437179
140	71747	437097
141	72338	437084
142	72975	437344
143	73578	437380
144	74224	437671
145	74815	437617
146	75468	437924
147	76032	437700
148	76606	437533
149	77272	437879
150	77886	437919
151	78395	437363
152	79039	437557
153	79432	436361
154	79918	435685
155	80610	436122
156	81265	436349
157	81839	436133
158	82411	435900
159	82973	435613
160	83624	435783
161	84113	435106
162	84744	435158
163	85264	434638
164	85903	434722
165	86435	434260
166	87079	434352
167	87570	433680
168	88108	433241
169	88661	432876
170	89236	432612
171	89832	432451
172	90304	431685
173	90875	431398
174	91463	431186
175	92058	431000
176	92675	430915
177	93252	430637
178	93829	430358
179	94468	430355
180	95074	430199
181	95662	429956
182	96205	429509
183	96722	428944
184	97382	429007
185	97958	428702
186	98502	428247
187	99102	428039
188	99679	427724
189	100264	427443
190	100831	427080
191	101419	426806
192	102053	426720
193	102614	426326
194	103192	426000
195	103708	425415
196	104383	425482
197	104953	425116
198	105528	424767
199	106112	424451
200	106725	424247
201	107331	424014
202	107919	423702
203	108523	423453
204	109123	423188
205	109717	422891
206	110288	422507
207	110867	422147
208	111519	422066
209	112094	421689
210	112681	421354
211	113275	421042
212	113846	420643
213	114399	420176
214	115012	419927
215	115579	419510
216	116172	419185
217	116769	418869
218	117359	418529
219	117992	418337
220	118648	418222
221	119296	418074
222	119876	417686
223	120449	417271
224	121056	416971
225	121672	416700
226	122324	416551
227	122972	416379
228	123753	416655
229	124423	416548
230	125057	416317
231	125668	416006
232	126297	415751
233	126819	415144
234	127428	414819
235	128018	414433
236	128601	414020
237	129129	413430
238	129793	413274
239	130404	412946
240	130955	412429
241	131543	412026
242	132202	411840
243	132771	411375
244	133207	410496
245	133881	410352
246	134564	410230
247	135177	409894
248	135771	409496
249	136349	409049
250	136978	408751
251	137589	408399
252	138275	408269
253	138909	407978
254	139582	407799
255	140107	407186
256	140743	406896
257	141312	406410
258	141811	405722
259	142421	405354
260	143026	404967
261	143732	404864
262	144383	404603
263	145079	404464
264	145620	403890
265	146264	403602
266	146905	403301
267	147489	402844
268	148108	402481
269	148762	402209
270	149356	401774
271	150013	401507
272	150639	401152
273	151239	400730
274	151902	400469
275	152502	400043
276	153196	399858
277	153822	399494
278	154419	399054
279	155115	398869
280	155655	398279
281	156254	397839
282	156896	397507
283	157554	397213
284	158155	396774
285	158724	396256
286	159334	395839
287	159974	395493
288	160571	395038
289	161210	394688
290	161848	394332
291	162475	393947
292	163107	393572
293	163634	392944
294	164288	392622
295	164779	391909
296	165403	391510
297	165986	391016
298	166511	390382
299	167152	390021
300	167891	389888
301	168528	389513
302	169109	389007
303	169676	388468
304	170371	388223
305	171068	387978
306	171718	387624
307	172347	387221
308	172956	386773
309	173593	386384
310	174142	385800
311	174727	385296
312	175346	384865
313	176002	384514
314	176596	384027
315	177297	383771
316	177915	383331
317	178449	382711
318	179068	382274
319	179682	381824
320	180291	381365
321	180960	381029
322	181573	380573
323	182232	380214
324	182838	379741
325	183547	379481
326	184213	379130
327	184915	378850
328	185607	378550
329	186275	378195
330	186909	377771
331	187507	377275
332	188178	376922
333	188837	376544
334	189497	376166
335	190185	375842
336	190856	375484
337	191598	375261
338	192269	374896
339	192821	374301
340	193480	373910
341	194087	373419
342	194749	373033
343	195424	372669
344	196042	372196
345	196672	371745
346	197305	371297
347	197897	370772
348	198568	370396
349	199225	369990
350	199807	369445
351	200450	369010
352	201075	368543
353	201644	367972
354	202276	367515
355	202905	367053
356	203522	366568
357	204253	366287
358	204940	365923
359	205577	365471
360	206215	365018
361	206858	364573
362	207539	364194
363	208168	363723
364	208911	363448
365	209661	363184
366	210269	362671
367	210880	362164
368	211513	361693
369	212096	361137
370	212767	360730
371	213431	360309
372	214056	359820
373	214616	359224
374	215273	358789
375	215960	358402
376	216727	358147
377	217442	357801
378	218164	357466
379	218849	357069
380	219468	356563
381	220168	356188
382	220843	355771
383	221669	355594
384	225147	359651
385	226234	359864
386	227338	360100
387	228593	360565
388	230113	361438
389	231136	361521
390	232949	362828
391	234261	363344
392	235579	363859
393	236617	363933
394	238768	365709
395	240033	366112
396	241003	366057
397	242154	366273
398	243452	366703
399	244566	366849
400	246353	367994
401	247397	368019
402	248454	368057
403	250192	369095
404	251934	370126
405	253176	370411
406	254465	370756
407	255724	371051
408	256990	371348
409	258031	371313
410	260222	372921
411	261321	372953
412	262535	373143
413	264248	374033
414	265876	374789
415	267225	375143
416	268772	375766
417	270937	377238
418	272043	377225
419	273412	377570
420	274381	377356
421	275543	377403
422	276785	377553
423	278079	377768
424	279420	378039
425	280663	378170
426	281992	378411
427	283411	378764
428	284948	379267
429	286360	379594
430	287817	379972
431	288938	379900
432	290186	379989
433	291416	380049
434	292820	380330
435	294137	380490
436	295293	380435
437	296637	380617
438	298012	380831
439	299116	380694
440	299868	380105
441	301093	380113
442	302341	380144
443	303714	380327
444	304900	380269
445	306174	380314
446	307690	380655
447	309143	380908
448	310493	381028
449	311754	381033
450	312875	380862
451	314093	380804
452	315507	380977
453	316765	380955
454	318136	381065
455	319687	381381
456	320947	381344
457	322509	381660
458	323763	381603
459	325160	381710
460	326396	381621
461	327683	381587
462	329190	381803
463	330669	381980
464	331864	381822
465	332828	381395
466	334055	381266
467	335185	381022
468	336388	380857
469	337542	380633
470	338934	380671
471	340780	381211
472	342440	381534
473	343526	381213
474	344437	380693
475	344838	379611
476	345317	378618
477	345841	377676
478	346478	376858
479	347154	376084
480	347727	375199
481	348260	374271
482	348804	373358
483	349371	372470
484	349943	371589
485	350464	370655
486	351141	369887
487	351749	369048
488	352325	368176
489	352895	367299
490	353414	366371
491	354044	365558
492	354796	364872
493	355575	364213
494	356331	363529
495	357161	362922
496	357948	362269
497	358674	361555
498	359393	360834
499	360128	360128
500	360766	359326
501	361458	358578
502	362127	357807
503	362763	357005
504	363443	356246
505	364167	355531
506	364813	354740
507	365458	353948
508	366138	353190
509	366783	352399
510	367472	351651
511	368107	350852
512	368755	350066
513	369469	349342
514	370085	348527
515	370737	347746
516	371384	346960
517	372000	346146
518	372623	345341
519	373152	344448
520	373678	343554
521	374344	342790
522	375075	342085
523	375684	341270
524	376268	340433
525	376866	339609
526	377518	338835
527	378132	338027
528	378765	337237
529	379481	336521
530	380067	335690
531	380678	334882
532	381262	334051
533	382011	333366
534	382609	332548
535	383178	331706
536	383777	330892
537	384360	330063
538	384831	329141
539	385443	328340
540	386086	327566
541	386594	326679
542	387232	325902
543	387979	325217
544	388801	324595
545	389470	323845
546	390123	323082
547	390776	322319
548	391325	321471
549	392016	320740
550	392714	320015
551	393411	319290
552	394021	318495
553	394807	317841
554	395594	317188
555	396366	316522
556	397249	315945
557	398039	315292
558	398690	314530
559	399285	313724
560	399919	312949
561	400580	312195
562	401325	311508
563	402279	310981
564	403103	310353
565	403815	309639
566	405020	309301
567	406234	308966
568	407236	308469
569	408547	308202
570	409886	307953
571	411186	307671
572	412554	307435
573	413656	306999
574	415096	306810
575	416406	306521
576	417658	306186
577	418986	305903
578	420097	305459
579	421281	305066
580	422336	304576
581	423472	304143
582	424600	303702
583	425845	303341
584	427417	303211
585	428662	302843
586	430078	302593
587	431386	302263
588	432636	301890
589	434342	301831
590	435588	301448
591	436190	300617
592	436657	299696
593	437124	298775
594	437504	297797
595	438015	296909
596	438542	296034
597	439116	295192
598	439771	294404
599	440444	293629
600	441121	292857
601	441771	292068
602	442472	291312
603	443227	290592
604	443929	289838
605	444609	289069
606	445183	288232
607	445891	287482
608	446497	286667
609	447111	285858
610	447765	285074
611	448462	284319
612	449185	283580
613	449826	282790
614	450431	281977
615	451111	281212
616	451834	280474
617	452465	279679
618	453192	278943
619	453834	278156
620	454556	277418
621	455195	276630
622	456041	275967
623	456790	275245
624	457414	274448
625	458062	273666
626	458689	272872
627	459378	272116
628	460060	271355
629	460755	270602
630	461419	269831
631	462104	269073
632	462835	268342
633	463554	267603
634	464304	266883
635	464974	266117
636	465695	265380
637	466458	264667
638	467101	263886
639	467699	263081
640	468410	262339
641	469070	261568
642	469778	260825
643	470499	260089
644	471072	259272
645	471715	258494
646	472379	257727
647	473011	256944
648	473611	256144
649	474281	255382
650	474978	254635
651	475673	253886
652	476457	253186
653	477128	252425
654	477775	251652
655	478450	250894
656	479081	250114
657	479739	249347
658	480479	248624
659	481116	247847
660	481761	247075
661	482424	246313
662	483130	245573
663	483702	244765
664	484411	244027
665	485113	243285
666	485876	242573
667	486703	241894
668	487509	241204
669	488245	240479
670	488971	239749
671	489668	239004
672	490422	238288
673	491106	237538
674	491847	236815
675	492550	236074
676	493399	235403
677	493982	234605
678	494559	233804
679	495178	233025
680	495784	232239
681	496455	231485
682	497145	230739
683	497861	230006
684	498506	229240
685	499159	228478
686	499770	227697
687	500502	226972
688	501179	226221
689	501748	225423
690	502450	224684
691	503103	223924
692	503806	223187
693	504473	222433
694	505084	221655
695	505693	220877
696	506379	220133
