날짜,발전기명,설비용량(MW),시간,해당 시간 발전량(kWh),해당날짜 총 발전량(kMh)
2023-01-01,(군산)영암F1태양광,13.296,01시,0.0,40588.8
2023-01-02,(군산)영암F1태양광,13.296,01시,0.0,57024.0
2023-01-03,(군산)영암F1태양광,13.296,01시,0.0,48672.0
2023-01-04,(군산)영암F1태양광,13.296,01시,0.0,40742.4
2023-01-05,(군산)영암F1태양광,13.296,01시,0.0,23913.6
2023-01-06,(군산)영암F1태양광,13.296,01시,0.0,39072.0
2023-01-07,(군산)영암F1태양광,13.296,01시,0.0,38198.4
2023-01-08,(군산)영암F1태양광,13.296,01시,0.0,44352.0
2023-01-09,(군산)영암F1태양광,13.296,01시,0.0,26428.8
2023-01-10,(군산)영암F1태양광,13.296,01시,0.0,53836.8
2023-01-11,(군산)영암F1태양광,13.296,01시,0.0,49392.0
2023-01-12,(군산)영암F1태양광,13.296,01시,0.0,36480.0
2023-01-13,(군산)영암F1태양광,13.296,01시,0.0,9225.6
2023-01-14,(군산)영암F1태양광,13.296,01시,0.0,7200.0
2023-01-15,(군산)영암F1태양광,13.296,01시,0.0,6508.8
2023-01-16,(군산)영암F1태양광,13.296,01시,0.0,29539.2
2023-01-17,(군산)영암F1태양광,13.296,01시,0.0,52905.6
2023-01-18,(군산)영암F1태양광,13.296,01시,0.0,42105.6
2023-01-19,(군산)영암F1태양광,13.296,01시,0.0,49584.0
2023-01-20,(군산)영암F1태양광,13.296,01시,0.0,42883.2
2023-01-21,(군산)영암F1태양광,13.296,01시,0.0,63148.8
2023-01-22,(군산)영암F1태양광,13.296,01시,0.0,11088.0
2023-01-23,(군산)영암F1태양광,13.296,01시,0.0,49046.4
2023-01-24,(군산)영암F1태양광,13.296,01시,0.0,5097.6
2023-01-25,(군산)영암F1태양광,13.296,01시,0.0,38572.8
2023-01-26,(군산)영암F1태양광,13.296,01시,0.0,13420.8
2023-01-27,(군산)영암F1태양광,13.296,01시,0.0,22137.6
2023-01-28,(군산)영암F1태양광,13.296,01시,0.0,40348.8
2023-01-29,(군산)영암F1태양광,13.296,01시,0.0,58387.2
2023-01-30,(군산)영암F1태양광,13.296,01시,0.0,65020.8
2023-01-31,(군산)영암F1태양광,13.296,01시,0.0,59548.8
2023-02-01,(군산)영암F1태양광,13.296,01시,0.0,38976.0
2023-02-02,(군산)영암F1태양광,13.296,01시,0.0,53971.2
2023-02-03,(군산)영암F1태양광,13.296,01시,0.0,60153.6
2023-02-04,(군산)영암F1태양광,13.296,01시,0.0,60998.4
2023-02-05,(군산)영암F1태양광,13.296,01시,0.0,66768.0
2023-02-06,(군산)영암F1태양광,13.296,01시,0.0,40300.8
2023-02-07,(군산)영암F1태양광,13.296,01시,0.0,60422.4
2023-02-08,(군산)영암F1태양광,13.296,01시,0.0,63254.4
2023-02-09,(군산)영암F1태양광,13.296,01시,0.0,19718.4
2023-02-10,(군산)영암F1태양광,13.296,01시,0.0,48201.6
2023-02-11,(군산)영암F1태양광,13.296,01시,0.0,21820.8
2023-02-12,(군산)영암F1태양광,13.296,01시,0.0,18028.8
2023-02-13,(군산)영암F1태양광,13.296,01시,0.0,35174.4
2023-02-14,(군산)영암F1태양광,13.296,01시,0.0,69206.4
2023-02-15,(군산)영암F1태양광,13.296,01시,0.0,19478.4
2023-02-16,(군산)영암F1태양광,13.296,01시,0.0,36038.4
2023-02-17,(군산)영암F1태양광,13.296,01시,0.0,22070.4
2023-02-18,(군산)영암F1태양광,13.296,01시,0.0,5241.6
2023-02-19,(군산)영암F1태양광,13.296,01시,0.0,30470.4
2023-02-20,(군산)영암F1태양광,13.296,01시,0.0,66220.8
2023-02-21,(군산)영암F1태양광,13.296,01시,0.0,75168.0
2023-02-22,(군산)영암F1태양광,13.296,01시,0.0,55872.0
2023-02-23,(군산)영암F1태양광,13.296,01시,0.0,70012.8
2023-02-24,(군산)영암F1태양광,13.296,01시,0.0,63734.4
2023-02-25,(군산)영암F1태양광,13.296,01시,0.0,78422.4
