날짜,시간,발전기명,설비용량(MW),해당 시간 발전량(kWh),해당날짜 총 발전량(kMh)
2023-01-01,01시,(군산)삼랑진태양광,3.0,0.0,6076.44
2023-01-01,02시,(군산)삼랑진태양광,3.0,0.0,6076.44
2023-01-01,03시,(군산)삼랑진태양광,3.0,0.0,6076.44
2023-01-01,04시,(군산)삼랑진태양광,3.0,0.0,6076.44
2023-01-01,05시,(군산)삼랑진태양광,3.0,0.0,6076.44
2023-01-01,06시,(군산)삼랑진태양광,3.0,0.0,6076.44
2023-01-01,07시,(군산)삼랑진태양광,3.0,0.0,6076.44
2023-01-01,08시,(군산)삼랑진태양광,3.0,1.944,6076.44
2023-01-01,09시,(군산)삼랑진태양광,3.0,237.0,6076.44
2023-01-01,10시,(군산)삼랑진태양광,3.0,810.144,6076.44
2023-01-01,11시,(군산)삼랑진태양광,3.0,1362.552,6076.44
2023-01-01,12시,(군산)삼랑진태양광,3.0,1675.908,6076.44
2023-01-01,13시,(군산)삼랑진태양광,3.0,1538.4360000000001,6076.44
2023-01-01,14시,(군산)삼랑진태양광,3.0,1655.208,6076.44
2023-01-01,15시,(군산)삼랑진태양광,3.0,1288.716,6076.44
2023-01-01,16시,(군산)삼랑진태양광,3.0,684.42,6076.44
2023-01-01,17시,(군산)삼랑진태양광,3.0,172.332,6076.44
2023-01-01,18시,(군산)삼랑진태양광,3.0,0.8520000000000001,6076.44
2023-01-01,19시,(군산)삼랑진태양광,3.0,0.0,6076.44
2023-01-01,20시,(군산)삼랑진태양광,3.0,0.0,6076.44
2023-01-01,21시,(군산)삼랑진태양광,3.0,0.0,6076.44
2023-01-01,22시,(군산)삼랑진태양광,3.0,0.0,6076.44
2023-01-01,23시,(군산)삼랑진태양광,3.0,0.0,6076.44
2023-01-01,24시,(군산)삼랑진태양광,3.0,0.0,6076.44
2023-01-02,01시,(군산)삼랑진태양광,3.0,0.0,7648.74
2023-01-02,02시,(군산)삼랑진태양광,3.0,0.0,7648.74
2023-01-02,03시,(군산)삼랑진태양광,3.0,0.0,7648.74
2023-01-02,04시,(군산)삼랑진태양광,3.0,0.0,7648.74
2023-01-02,05시,(군산)삼랑진태양광,3.0,0.0,7648.74
2023-01-02,06시,(군산)삼랑진태양광,3.0,0.0,7648.74
2023-01-02,07시,(군산)삼랑진태양광,3.0,0.0,7648.74
2023-01-02,08시,(군산)삼랑진태양광,3.0,4.728,7648.74
2023-01-02,09시,(군산)삼랑진태양광,3.0,172.2,7648.74
2023-01-02,10시,(군산)삼랑진태양광,3.0,924.9480000000001,7648.74
2023-01-02,11시,(군산)삼랑진태양광,3.0,1704.492,7648.74
2023-01-02,12시,(군산)삼랑진태양광,3.0,2090.496,7648.74
2023-01-02,13시,(군산)삼랑진태양광,3.0,2103.948,7648.74
2023-01-02,14시,(군산)삼랑진태양광,3.0,2008.152,7648.74
2023-01-02,15시,(군산)삼랑진태양광,3.0,1715.424,7648.74
2023-01-02,16시,(군산)삼랑진태양광,3.0,933.12,7648.74
2023-01-02,17시,(군산)삼랑진태양광,3.0,245.66400000000002,7648.74
2023-01-02,18시,(군산)삼랑진태양광,3.0,0.48,7648.74
2023-01-02,19시,(군산)삼랑진태양광,3.0,0.0,7648.74
2023-01-02,20시,(군산)삼랑진태양광,3.0,0.0,7648.74
2023-01-02,21시,(군산)삼랑진태양광,3.0,0.0,7648.74
2023-01-02,22시,(군산)삼랑진태양광,3.0,0.0,7648.74
2023-01-02,23시,(군산)삼랑진태양광,3.0,0.0,7648.74
