일시,기온(°C),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),강수량(mm),적설(cm),전운량(10분위)
2021-08-01 00:00:00,25.7,0.5,90,87,988.2,,,,,4.0
2021-08-01 01:00:00,25.7,0.9,90,87,988.1,,,,,3.0
2021-08-01 02:00:00,25.1,0.7,110,89,987.9,,,,,3.0
2021-08-01 03:00:00,25.2,0.5,90,88,987.9,,,,,8.0
2021-08-01 04:00:00,24.8,1.3,70,90,987.8,,,,,4.0
2021-08-01 05:00:00,24.2,0.1,0,91,987.9,,,,,3.0
2021-08-01 06:00:00,24.2,0.0,0,93,988.3,0.0,,,,4.0
2021-08-01 07:00:00,25.8,0.4,0,88,988.3,0.5,,,,8.0
2021-08-01 08:00:00,26.8,1.1,270,82,988.5,0.4,,,,8.0
2021-08-01 09:00:00,27.7,0.9,290,80,988.7,0.7,,,,8.0
2021-08-01 10:00:00,28.7,0.9,70,77,988.7,0.8,,,,8.0
2021-08-01 11:00:00,30.1,1.0,360,71,987.9,0.9,,,,8.0
2021-08-01 12:00:00,31.5,0.9,290,64,987.4,0.4,,,,9.0
2021-08-01 13:00:00,31.7,1.4,20,67,986.8,0.2,,,,8.0
2021-08-01 14:00:00,33.0,2.0,20,61,986.2,0.5,,,,9.0
2021-08-01 15:00:00,31.6,1.1,70,68,985.7,0.1,,,,9.0
2021-08-01 16:00:00,27.0,0.6,340,92,986.3,0.0,,7.1,,10.0
2021-08-01 17:00:00,25.3,1.3,110,90,987.3,0.0,,14.5,,10.0
2021-08-01 18:00:00,24.7,0.7,180,93,988.2,0.0,,14.4,,10.0
2021-08-01 19:00:00,24.6,0.2,0,94,988.8,0.0,,7.1,,10.0
2021-08-01 20:00:00,24.5,0.7,160,94,988.7,0.0,,0.2,,10.0
2021-08-01 21:00:00,24.3,0.2,0,95,989.1,,,0.3,,10.0
2021-08-01 22:00:00,24.3,1.8,250,93,989.7,,,0.6,,10.0
2021-08-01 23:00:00,24.2,0.8,50,97,989.2,,,1.6,,10.0
2021-08-02 00:00:00,24.3,0.7,230,97,989.3,,,0.1,,10.0
2021-08-02 01:00:00,24.2,0.1,0,97,989.0,,,0.3,,8.0
2021-08-02 02:00:00,24.4,0.3,0,96,988.7,,,,,8.0
2021-08-02 03:00:00,24.2,0.3,0,96,988.5,,,,,6.0
2021-08-02 04:00:00,24.3,0.5,270,96,989.2,,,,,6.0
2021-08-02 05:00:00,24.3,0.1,0,96,989.2,,,,,9.0
2021-08-02 06:00:00,24.2,0.9,110,96,989.3,0.0,,0.0,,9.0
2021-08-02 07:00:00,25.0,0.2,0,95,989.7,0.0,,0.0,,9.0
2021-08-02 08:00:00,25.0,0.3,0,96,990.2,0.0,,0.3,,9.0
2021-08-02 09:00:00,26.1,0.5,230,91,990.5,0.0,,0.0,,9.0
2021-08-02 10:00:00,26.7,1.0,270,87,990.7,0.0,,,,9.0
2021-08-02 11:00:00,27.2,0.9,320,86,990.6,0.0,,0.1,,9.0
2021-08-02 12:00:00,26.1,1.8,320,82,990.6,0.0,,0.0,,8.0
2021-08-02 13:00:00,25.5,0.4,0,82,990.9,0.0,,0.1,,10.0
2021-08-02 14:00:00,26.0,1.3,110,89,990.9,0.1,,1.0,,10.0
2021-08-02 15:00:00,27.4,0.6,70,79,990.7,0.3,,3.0,,9.0
2021-08-02 16:00:00,27.5,2.2,90,79,990.5,0.6,,,,9.0
2021-08-02 17:00:00,27.2,1.1,70,81,990.9,0.0,,,,10.0
2021-08-02 18:00:00,26.8,1.3,90,84,990.6,0.0,,,,10.0
2021-08-02 19:00:00,26.1,0.8,70,88,991.3,0.0,,0.0,,9.0
2021-08-02 20:00:00,25.6,0.7,90,89,991.9,0.0,,0.2,,10.0
2021-08-02 21:00:00,25.1,1.1,110,89,992.3,,,,,5.0
2021-08-02 22:00:00,24.9,1.4,110,91,992.5,,,,,9.0
2021-08-02 23:00:00,24.7,0.8,110,92,992.7,,,,,9.0
2021-08-03 00:00:00,24.6,0.6,140,94,992.9,,,,,9.0
2021-08-03 01:00:00,24.2,0.3,0,95,993.0,,,,,10.0
2021-08-03 02:00:00,24.3,0.0,0,95,993.1,,,,,10.0
2021-08-03 03:00:00,24.5,1.7,250,94,993.6,,,0.2,,10.0
2021-08-03 04:00:00,24.1,0.5,160,97,993.4,,,3.2,,
2021-08-03 05:00:00,23.8,0.9,90,97,993.6,,,0.3,,
2021-08-03 06:00:00,24.1,0.7,140,97,994.3,0.0,,,,
2021-08-03 07:00:00,24.3,0.1,0,97,994.1,0.0,,,,
2021-08-03 08:00:00,25.1,1.1,230,94,994.6,0.0,,,,
2021-08-03 09:00:00,26.8,2.6,70,83,995.0,0.5,,,,
2021-08-03 10:00:00,28.3,2.6,90,75,995.1,0.6,,,,7.0
2021-08-03 11:00:00,29.4,0.9,200,70,995.2,0.5,,,,8.0
2021-08-03 12:00:00,30.3,0.8,140,67,995.2,0.3,,,,9.0
2021-08-03 13:00:00,31.8,0.9,180,64,994.9,0.6,,,,8.0
2021-08-03 14:00:00,31.7,1.5,200,58,994.7,0.9,,,,8.0
2021-08-03 15:00:00,28.7,2.5,230,77,995.0,0.2,,0.3,,10.0
2021-08-03 16:00:00,27.3,0.8,250,78,995.1,0.1,,0.0,,10.0
2021-08-03 17:00:00,28.8,0.8,360,74,994.9,0.8,,,,8.0
2021-08-03 18:00:00,27.9,0.8,270,82,994.8,0.6,,,,7.0
2021-08-03 19:00:00,27.4,0.2,0,84,995.1,0.0,,,,6.0
2021-08-03 20:00:00,26.2,0.5,90,88,995.4,0.0,,,,6.0
2021-08-03 21:00:00,25.5,0.1,0,91,996.1,,,,,7.0
2021-08-03 22:00:00,25.2,0.4,0,93,996.6,,,,,7.0
2021-08-03 23:00:00,24.7,0.0,0,95,996.8,,,,,6.0
2021-08-04 00:00:00,24.3,0.8,70,95,996.6,,,,,6.0
2021-08-04 01:00:00,25.1,0.3,0,95,996.7,,,0.0,,8.0
2021-08-04 02:00:00,25.0,0.0,0,95,996.9,,,0.3,,6.0
2021-08-04 03:00:00,24.7,0.4,0,96,996.6,,,0.1,,6.0
2021-08-04 04:00:00,24.2,0.1,0,94,996.8,,,,,7.0
2021-08-04 05:00:00,23.7,0.0,0,96,996.8,,,,,5.0
2021-08-04 06:00:00,23.7,0.2,0,97,997.2,0.0,,,,3.0
2021-08-04 07:00:00,24.7,0.3,0,95,997.2,0.1,,,,2.0
2021-08-04 08:00:00,26.2,0.5,340,90,997.6,1.0,,,,2.0
2021-08-04 09:00:00,27.5,0.9,250,86,997.7,0.9,,,,2.0
2021-08-04 10:00:00,28.7,0.8,270,78,997.5,0.9,,,,1.0
