瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困)
221,力玫,2024-08-01 00:00,24.2,,.2,0,100,976.4,,,,0
221,力玫,2024-08-01 01:00,24.2,,0,0,100,976.5,,,,0
221,力玫,2024-08-01 02:00,24.7,,0,0,100,976.9,,,,0
221,力玫,2024-08-01 03:00,24.9,,.3,0,100,977,,,,0
221,力玫,2024-08-01 04:00,24,,0,0,100,976.8,,,,0
221,力玫,2024-08-01 05:00,24.4,,.5,50,100,976.5,,,,9
221,力玫,2024-08-01 06:00,24.7,,0,0,100,976.4,0,,,7
221,力玫,2024-08-01 07:00,25.4,,0,0,98,976.5,0,,,0
221,力玫,2024-08-01 08:00,26.3,,.8,230,92,976.9,.1,,,9
221,力玫,2024-08-01 09:00,26.8,,1.7,230,89,976.8,0,,,10
221,力玫,2024-08-01 10:00,27.8,,1.5,250,81,976.4,0,,,7
221,力玫,2024-08-01 11:00,28.7,,1.5,250,77,976.3,.4,,,9
221,力玫,2024-08-01 12:00,29.1,,1.9,230,76,976.2,0,,,9
221,力玫,2024-08-01 13:00,29.6,,1.9,230,75,975.8,.2,,,7
221,力玫,2024-08-01 14:00,30.6,,2.2,230,68,975.5,.5,,,7
221,力玫,2024-08-01 15:00,30.6,,1.3,270,69,975,.1,,,8
221,力玫,2024-08-01 16:00,31.2,,2.1,230,67,974.4,.8,,,5
221,力玫,2024-08-01 17:00,31.6,,2,230,66,973.9,.8,,,2
221,力玫,2024-08-01 18:00,30.7,,1.8,230,69,974.2,.6,,,0
221,力玫,2024-08-01 19:00,29.6,,1,340,76,974.6,.7,,,2
221,力玫,2024-08-01 20:00,27.5,,.8,360,89,974.5,.1,,,0
221,力玫,2024-08-01 21:00,26.6,,0,0,95,975.2,,,,1
221,力玫,2024-08-01 22:00,26.3,,.2,0,97,975.4,,,,
221,力玫,2024-08-01 23:00,25.9,,0,0,98,975.6,,,,4
221,力玫,2024-08-02 00:00,25.6,,0,0,99,975.8,,,,4
221,力玫,2024-08-02 01:00,25.4,,0,0,100,975.7,,,,7
221,力玫,2024-08-02 02:00,25.4,.1,.2,0,100,975.1,,,,7
221,力玫,2024-08-02 03:00,25.3,,0,0,100,974.9,,,,3
221,力玫,2024-08-02 04:00,25.4,0,0,0,100,975.2,,,,3
221,力玫,2024-08-02 05:00,25.6,,.3,0,100,975.4,,,,3
221,力玫,2024-08-02 06:00,25.3,,0,0,100,975.4,0,,,3
221,力玫,2024-08-02 07:00,26.3,,.6,180,98,975.6,0,,,7
221,力玫,2024-08-02 08:00,27.1,,1.1,230,93,975.9,0,,,0
221,力玫,2024-08-02 09:00,28.3,,1.2,250,84,975.7,.3,,,7
221,力玫,2024-08-02 10:00,29,,1.7,180,86,975.6,.2,,,7
221,力玫,2024-08-02 11:00,31,,2,250,73,975.5,.7,,,6
221,力玫,2024-08-02 12:00,30.9,,2.8,250,68,975.3,.5,,,7
221,力玫,2024-08-02 13:00,31.8,,3,230,68,975,.8,,,6
