瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困)
221,力玫,2021-08-01 00:00,24.6,,.1,0,96,971.7,,,,3
221,力玫,2021-08-01 01:00,24.2,,.1,0,97,971.7,,,,4
221,力玫,2021-08-01 02:00,23.7,,.1,0,98,971.4,,,,2
221,力玫,2021-08-01 03:00,23.9,,.1,0,98,971.8,,,,3
221,力玫,2021-08-01 04:00,23.8,,.1,0,98,971.7,,,,9
221,力玫,2021-08-01 05:00,23.2,,.3,0,99,971.7,,,,4
221,力玫,2021-08-01 06:00,23.2,,.1,0,99,972.1,0,,,2
221,力玫,2021-08-01 07:00,24.4,,.5,20,94,972,.2,,,5
221,力玫,2021-08-01 08:00,26.2,,1.2,70,87,972.3,.9,,,8
221,力玫,2021-08-01 09:00,27,,1.2,110,84,972.4,.7,,,7
221,力玫,2021-08-01 10:00,29.3,,1.2,110,75,972.4,.4,,,8
221,力玫,2021-08-01 11:00,30.6,,.9,70,64,971.5,.7,,,8
221,力玫,2021-08-01 12:00,30.8,,1.2,230,64,971.1,.4,,,8
221,力玫,2021-08-01 13:00,31.3,,1,230,61,970.4,.2,,,9
221,力玫,2021-08-01 14:00,31.5,,.6,250,58,970,.2,,,10
221,力玫,2021-08-01 15:00,30.8,,1.2,180,70,969.7,.2,,,9
221,力玫,2021-08-01 16:00,25.6,0,2.6,110,84,970.6,0,,,9
221,力玫,2021-08-01 17:00,24.3,1.5,.7,160,98,971.5,0,,,10
221,力玫,2021-08-01 18:00,24.5,1.4,.5,250,98,971.9,0,,,10
221,力玫,2021-08-01 19:00,24,4.8,.3,0,99,972.5,0,,,10
221,力玫,2021-08-01 20:00,24,3.1,.2,0,99,972.4,0,,,10
221,力玫,2021-08-01 21:00,24.1,.2,.3,0,100,972.7,,,,10
221,力玫,2021-08-01 22:00,24,,.1,0,99,973,,,,10
221,力玫,2021-08-01 23:00,24.1,.4,.4,0,99,973.2,,,,10
221,力玫,2021-08-02 00:00,24.1,0,.4,0,99,973,,,,9
221,力玫,2021-08-02 01:00,24,.3,.3,0,100,972.7,,,,9
221,力玫,2021-08-02 02:00,23.9,,.4,0,100,972.6,,,,9
221,力玫,2021-08-02 03:00,23.7,,.2,0,100,972.6,,,,10
221,力玫,2021-08-02 04:00,23.8,,.1,0,99,972.7,,,,9
221,力玫,2021-08-02 05:00,23.7,,.3,0,100,973,,,,9
221,力玫,2021-08-02 06:00,23.8,,.3,0,100,973.4,0,,,9
221,力玫,2021-08-02 07:00,24.4,,.5,70,98,973.4,0,,,9
221,力玫,2021-08-02 08:00,24.7,.3,.7,50,98,973.9,0,,,9
