瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困)
131,没林,2021-08-01 00:00,28.2,,1.7,290,70,994.6,,,,2
131,没林,2021-08-01 01:00,27.8,,1.1,290,72,994.5,,,,3
131,没林,2021-08-01 02:00,27.7,,1.3,290,73,994.4,,,,2
131,没林,2021-08-01 03:00,27.1,,.7,270,76,994.3,,,,4
131,没林,2021-08-01 04:00,26.5,,1.1,270,80,994.2,,,,4
131,没林,2021-08-01 05:00,26.7,,.2,0,80,994.3,,,,7
131,没林,2021-08-01 06:00,26.5,,.3,0,81,994.3,0,.09,,6
131,没林,2021-08-01 07:00,27.1,,.9,290,80,994.4,.4,.46,,4
131,没林,2021-08-01 08:00,27.6,,1,270,78,995,.8,.9,,7
131,没林,2021-08-01 09:00,28.4,,1.1,50,75,994.8,.1,.98,,10
131,没林,2021-08-01 10:00,29.2,,.9,270,73,995,0,.96,,10
131,没林,2021-08-01 11:00,29.6,,1.3,290,71,994.4,0,1.25,,10
131,没林,2021-08-01 12:00,30.1,,1.8,270,66,993.7,0,1.46,,10
131,没林,2021-08-01 13:00,31.5,,1.4,250,63,993.4,.2,1.69,,9
131,没林,2021-08-01 14:00,31.2,0,1.7,290,62,993.1,.2,1.5,,10
131,没林,2021-08-01 15:00,29.4,0,2.3,270,77,993,0,.67,,10
131,没林,2021-08-01 16:00,29.3,0,1.7,270,74,992.7,.1,.88,,9
131,没林,2021-08-01 17:00,29.7,,1.2,270,68,993,.5,.92,,9
131,没林,2021-08-01 18:00,29.7,,.6,180,68,993.7,0,.34,,10
131,没林,2021-08-01 19:00,27.2,.2,4.1,90,69,994,0,.12,,10
131,没林,2021-08-01 20:00,24.4,4.7,.6,180,87,995.3,0,.05,,10
131,没林,2021-08-01 21:00,24.3,5.4,2.1,140,89,995.6,,,,10
131,没林,2021-08-01 22:00,24.7,.5,.8,200,89,995.8,,,,10
131,没林,2021-08-01 23:00,25.2,0,.2,0,86,995.5,,,,10
131,没林,2021-08-02 00:00,25.1,0,.1,0,89,995.4,,,,10
131,没林,2021-08-02 01:00,25.1,0,.4,0,88,995.2,,,,10
131,没林,2021-08-02 02:00,25.1,0,.4,0,88,994.9,,,,8
131,没林,2021-08-02 03:00,25,,.3,0,89,995,,,,10
131,没林,2021-08-02 04:00,25.2,,.2,0,87,995.1,,,,10
131,没林,2021-08-02 05:00,25.3,,.1,0,88,995.5,,,,10
131,没林,2021-08-02 06:00,25.4,,.1,0,87,995.9,0,.07,,10
131,没林,2021-08-02 07:00,26,,.1,0,86,996.1,0,.24,,10
131,没林,2021-08-02 08:00,26.2,,.7,250,83,996.6,0,.53,,10
