瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困)
127,面林,2024-08-01 00:00,27.5,,.4,0,87,992.1,,,,0
127,面林,2024-08-01 01:00,27.7,,1.2,270,86,992.5,,,,0
127,面林,2024-08-01 02:00,26.9,,1.6,340,87,993,,,,0
127,面林,2024-08-01 03:00,26.5,,.4,0,89,992.9,,,,0
127,面林,2024-08-01 04:00,26.2,,.6,140,90,992.6,,,,7
127,面林,2024-08-01 05:00,26.3,,.3,0,89,992.3,,,,9
127,面林,2024-08-01 06:00,26.2,,.5,140,89,992.3,0,0,,0
127,面林,2024-08-01 07:00,27.2,,0,0,85,992.2,.1,.23,,0
127,面林,2024-08-01 08:00,28.1,,.6,250,79,992.8,0,.37,,10
127,面林,2024-08-01 09:00,28.5,,1.4,250,78,992.7,0,.61,,10
127,面林,2024-08-01 10:00,29.7,,1.7,230,70,992.1,.4,1.4,,7
127,面林,2024-08-01 11:00,30,,2.6,180,71,992.1,.5,2.25,,9
127,面林,2024-08-01 12:00,30.8,,1.4,250,68,992,0,1.62,,9
127,面林,2024-08-01 13:00,31.5,,1.7,200,68,991.5,.3,2.69,,7
127,面林,2024-08-01 14:00,32,,2.1,180,68,991.1,.3,2.33,,8
127,面林,2024-08-01 15:00,32.7,,2.7,230,59,990.6,.8,2.86,,6
127,面林,2024-08-01 16:00,33.3,,1.9,230,60,989.9,.9,2.35,,0
127,面林,2024-08-01 17:00,33.1,,2.4,230,61,989.4,1,1.69,,0
127,面林,2024-08-01 18:00,32.9,,2.1,200,63,989.7,1,1.1,,2
127,面林,2024-08-01 19:00,31.6,,.6,200,70,990,.8,.46,,0
127,面林,2024-08-01 20:00,29,,.8,110,81,990.1,0,.06,,0
127,面林,2024-08-01 21:00,28.2,,.9,110,84,990.7,,,,0
127,面林,2024-08-01 22:00,27.7,,1.1,110,86,991,,,,0
127,面林,2024-08-01 23:00,27.3,,.4,0,87,991.2,,,,0
127,面林,2024-08-02 00:00,27.3,,.4,0,89,991.5,,,,3
127,面林,2024-08-02 01:00,27.3,,.6,140,91,991.4,,,,3
127,面林,2024-08-02 02:00,27.4,,.8,90,90,990.9,,,,7
127,面林,2024-08-02 03:00,27.3,,.1,0,90,990.8,,,,3
127,面林,2024-08-02 04:00,27.2,.1,0,0,93,991.1,,,,0
127,面林,2024-08-02 05:00,27.2,,0,0,92,991.3,,,,6
127,面林,2024-08-02 06:00,27.2,,.5,140,91,991.1,0,0,,3
127,面林,2024-08-02 07:00,27.7,,.2,0,89,991.4,0,.14,,0
127,面林,2024-08-02 08:00,28.5,,.3,0,85,991.5,0,.47,,0
127,面林,2024-08-02 09:00,30.3,,.8,360,76,991.4,.5,1.31,,0
127,面林,2024-08-02 10:00,30.5,,1.6,230,72,991.3,.6,2.04,,7
127,面林,2024-08-02 11:00,31.6,,2.6,200,69,991.2,.5,2.44,,7
127,面林,2024-08-02 12:00,32.2,,2,250,67,991,.1,1.65,,7
127,面林,2024-08-02 13:00,33.1,,2,250,64,990.7,.3,2.16,,6
127,面林,2024-08-02 14:00,33.3,,2.2,230,63,990.3,.6,2.72,,7
127,面林,2024-08-02 15:00,33,,2,200,64,990.2,.4,1.89,,6
127,面林,2024-08-02 16:00,32.5,,2,200,65,989.9,.3,1.11,,6
127,面林,2024-08-02 17:00,32.9,,2.2,200,64,989.7,.5,1.14,,7
127,面林,2024-08-02 18:00,32.4,,2.5,230,68,989.7,.7,.98,,5
127,面林,2024-08-02 19:00,30.1,,.8,50,79,990.6,0,.15,,6
127,面林,2024-08-02 20:00,28.7,,1.1,160,82,991.2,0,.05,,3
127,面林,2024-08-02 21:00,28.1,,.3,0,86,991.9,,,,3
127,面林,2024-08-02 22:00,27.6,,.2,0,89,992.1,,,,0
127,面林,2024-08-02 23:00,27.1,,.5,90,92,992.5,,,,3
127,面林,2024-08-03 00:00,27.2,,0,0,92,993,,,,1
127,面林,2024-08-03 01:00,27.3,,.4,0,93,992.9,,,,4
127,面林,2024-08-03 02:00,27.4,,.1,0,93,993.1,,,,6
127,面林,2024-08-03 03:00,27.5,,0,0,94,993.1,,,,6
127,面林,2024-08-03 04:00,27.1,,0,0,94,993,,,,8
127,面林,2024-08-03 05:00,26.7,,.5,360,94,993.4,,,,0
127,面林,2024-08-03 06:00,27.2,,.7,270,95,993.8,0,0,,0
127,面林,2024-08-03 07:00,27.6,,.4,0,94,994.3,0,.18,,0
127,面林,2024-08-03 08:00,28.2,,.5,360,90,994.5,.1,.43,,0
127,面林,2024-08-03 09:00,29.1,,.2,0,86,994.6,.3,.74,,6
127,面林,2024-08-03 10:00,30.2,,.4,0,76,994.6,.4,1.53,,6
127,面林,2024-08-03 11:00,31.5,,1.5,270,70,994.4,.2,1.44,,6
127,面林,2024-08-03 12:00,32.6,,1.3,360,67,994.2,.2,1.52,,6
127,面林,2024-08-03 13:00,33.3,,1.9,250,59,993.8,.7,2.71,,0
127,面林,2024-08-03 14:00,33.5,,2.3,290,60,993.5,.6,2.51,,0
127,面林,2024-08-03 15:00,33.2,,1.9,320,61,993.1,.6,2.28,,0
127,面林,2024-08-03 16:00,34.9,,2.2,270,55,992.9,1,2.75,,0
127,面林,2024-08-03 17:00,34.4,,1.3,340,59,992.5,.8,1.72,,2
127,面林,2024-08-03 18:00,32.9,,1.9,360,63,992.7,1,1.24,,0
127,面林,2024-08-03 19:00,31.7,,1.4,50,69,992.9,.8,.43,,0
127,面林,2024-08-03 20:00,29.3,,.8,110,77,993.5,0,.06,,0
127,面林,2024-08-03 21:00,28,,.3,0,82,994.2,,,,0
127,面林,2024-08-03 22:00,27.5,,.6,90,87,994.6,,,,0
127,面林,2024-08-03 23:00,27.4,,.9,90,87,994.9,,,,0
127,面林,2024-08-04 00:00,27,,.9,90,89,994.8,,,,0
127,面林,2024-08-04 01:00,26.6,,1.2,90,91,994.7,,,,0
127,面林,2024-08-04 02:00,26.2,,.8,90,92,994.6,,,,0
127,面林,2024-08-04 03:00,25.8,,.6,110,93,994.5,,,,0
127,面林,2024-08-04 04:00,25.7,,.4,0,94,994.7,,,,0
127,面林,2024-08-04 05:00,25.5,,.5,180,93,995,,,,0
127,面林,2024-08-04 06:00,25.5,,0,0,94,995.4,0,0,,0
127,面林,2024-08-04 07:00,26.5,,.3,0,93,995.4,.3,.28,,0
127,面林,2024-08-04 08:00,27.8,,.7,140,85,995.5,.9,.92,,0
127,面林,2024-08-04 09:00,29.6,,2.5,90,76,995.4,1,1.65,,0
127,面林,2024-08-04 10:00,31.4,,1.6,90,71,995.4,1,2.32,,0
127,面林,2024-08-04 11:00,32.2,,.8,90,67,995.2,1,2.85,,0
127,面林,2024-08-04 12:00,33.7,,.9,290,62,994.7,1,3.45,,0
127,面林,2024-08-04 13:00,33.4,,.9,340,62,994.3,.8,2.92,,0
127,面林,2024-08-04 14:00,34,,1.5,70,59,993.6,.4,1.75,,0
127,面林,2024-08-04 15:00,34.4,,1,320,57,993.3,.4,1.56,,0
127,面林,2024-08-04 16:00,35,,1.7,340,54,992.7,.6,1.28,,0
127,面林,2024-08-04 17:00,35,,1.8,360,56,992.5,1,1.81,,4
127,面林,2024-08-04 18:00,34.4,,.7,70,59,993,1,1.17,,6
127,面林,2024-08-04 19:00,31.7,,1.7,90,71,992.8,.6,.46,,7
127,面林,2024-08-04 20:00,30.8,,2.3,90,73,993.2,0,.08,,7
127,面林,2024-08-04 21:00,30.5,,1,110,72,994.2,,,,6
127,面林,2024-08-04 22:00,29.4,,.7,70,74,994.5,,,,4
127,面林,2024-08-04 23:00,28.7,,1.5,90,77,994.7,,,,5
127,面林,2024-08-05 00:00,28.3,,1.3,90,80,994.9,,,,5
127,面林,2024-08-05 01:00,27.5,,1.5,110,82,994.9,,,,5
127,面林,2024-08-05 02:00,28,,1.5,90,79,995,,,,6
127,面林,2024-08-05 03:00,27.8,,1.8,90,79,994.8,,,,2
127,面林,2024-08-05 04:00,27.5,,.8,200,83,994.8,,,,4
127,面林,2024-08-05 05:00,26.8,,.2,0,85,995.1,,,,8
127,面林,2024-08-05 06:00,26.8,,.7,320,87,995.5,0,0,,6
127,面林,2024-08-05 07:00,26.8,.1,.8,90,90,995.5,0,.15,,6
127,面林,2024-08-05 08:00,28.4,,2,90,83,994.9,.5,.73,,3
127,面林,2024-08-05 09:00,29.7,,2.6,90,74,994.3,1,1.73,,3
127,面林,2024-08-05 10:00,30.7,,.9,20,71,994.6,.8,1.98,,6
127,面林,2024-08-05 11:00,30.9,,1.1,360,71,995,0,1.08,,8
127,面林,2024-08-05 12:00,31.9,,.7,230,68,994.6,.4,1.98,,6
127,面林,2024-08-05 13:00,30.5,0,1.1,50,77,994.3,.1,1.03,,8
127,面林,2024-08-05 14:00,32.2,.5,1.1,110,73,993.6,.2,1.5,,7
127,面林,2024-08-05 15:00,32.9,,1.4,160,66,992.7,.5,1.89,,6
127,面林,2024-08-05 16:00,32.7,,1.5,110,69,992.8,0,.99,,7
127,面林,2024-08-05 17:00,33.5,,.8,110,65,992.1,.4,1.21,,6
