瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困)
127,面林,2023-08-01 00:00,23.7,,0,0,95,998.7,,,,8
127,面林,2023-08-01 01:00,23.5,,.5,110,94,998.4,,,,4
127,面林,2023-08-01 02:00,23.3,,.3,0,95,998.4,,,,6
127,面林,2023-08-01 03:00,23.2,,0,0,96,998.3,,,,3
127,面林,2023-08-01 04:00,23.2,,0,0,96,998.2,,,,2
127,面林,2023-08-01 05:00,23.5,,.2,0,96,998.3,,,,6
127,面林,2023-08-01 06:00,23.7,,.2,0,96,998.5,0,0,,6
127,面林,2023-08-01 07:00,24.5,,.6,180,92,998.8,0,.21,,4
127,面林,2023-08-01 08:00,25.9,,2.4,90,87,999.1,.3,.84,,3
127,面林,2023-08-01 09:00,27.1,,2.4,70,81,999.1,1,1.75,,6
127,面林,2023-08-01 10:00,28.8,,1.7,20,76,998.8,1,2.29,,6
127,面林,2023-08-01 11:00,30.6,,.5,70,73,998.1,1,2.91,,4
127,面林,2023-08-01 12:00,31.7,,1.3,290,71,997.5,.9,3,,6
127,面林,2023-08-01 13:00,32,,.9,360,66,996.8,.5,2.55,,8
127,面林,2023-08-01 14:00,32.7,,1.7,20,67,996.3,.6,2.42,,0
127,面林,2023-08-01 15:00,33.4,,1.6,320,58,995.7,.8,2.7,,6
127,面林,2023-08-01 16:00,31.7,,1.2,20,68,995.3,0,.81,,7
127,面林,2023-08-01 17:00,30.7,,1,70,73,995.2,0,.53,,4
127,面林,2023-08-01 18:00,26.6,10.2,3,250,74,995.5,0,.26,,5
127,面林,2023-08-01 19:00,27.5,.7,.6,70,90,995.3,.2,.4,,8
127,面林,2023-08-01 20:00,26.5,,.8,110,91,995.4,0,.06,,7
127,面林,2023-08-01 21:00,26.2,,.7,90,92,995.8,,,,3
127,面林,2023-08-01 22:00,25.8,,.6,110,93,996,,,,4
127,面林,2023-08-01 23:00,25.7,,.4,0,91,996.1,,,,3
127,面林,2023-08-02 00:00,25.3,,.2,0,94,996.1,,,,4
127,面林,2023-08-02 01:00,25,,0,0,94,996.1,,,,3
127,面林,2023-08-02 02:00,25,,.6,110,93,996.2,,,,5
127,面林,2023-08-02 03:00,24.7,,.4,0,96,995.9,,,,6
127,面林,2023-08-02 04:00,24.7,,.4,0,93,995.8,,,,4
127,面林,2023-08-02 05:00,24.7,,.9,90,95,995.6,,,,5
127,面林,2023-08-02 06:00,24.5,,0,0,94,995.5,0,0,,4
127,面林,2023-08-02 07:00,25.4,,.1,0,94,995.8,.1,.23,,4
127,面林,2023-08-02 08:00,26.6,,.7,20,89,995.9,1,.82,,4
127,面林,2023-08-02 09:00,28,,.2,0,83,996,1,1.41,,7
127,面林,2023-08-02 10:00,29.3,,.6,360,77,995.9,.8,1.75,,8
127,面林,2023-08-02 11:00,30.7,,1.1,180,67,995.3,1,2.3,,7
127,面林,2023-08-02 12:00,32.2,,.5,70,68,994.7,.8,2.74,,7
127,面林,2023-08-02 13:00,32.4,,1.3,20,64,994,.8,3.14,,8
127,面林,2023-08-02 14:00,32.7,,1,320,65,993.5,.7,2.75,,8
127,面林,2023-08-02 15:00,33.2,,1.7,250,59,993,.6,2.24,,7
127,面林,2023-08-02 16:00,32.8,,1.6,290,62,992.6,.5,1.67,,7
