일시,지점,지점명,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
2024-08-01 00:00,127,충주,27.5,,0.4,0.0,87.0,992.1,,,,0.0
2024-08-01 01:00,127,충주,27.7,,1.2,270.0,86.0,992.5,,,,0.0
2024-08-01 02:00,127,충주,26.9,,1.6,340.0,87.0,993.0,,,,0.0
2024-08-01 03:00,127,충주,26.5,,0.4,0.0,89.0,992.9,,,,0.0
2024-08-01 04:00,127,충주,26.2,,0.6,140.0,90.0,992.6,,,,7.0
2024-08-01 05:00,127,충주,26.3,,0.3,0.0,89.0,992.3,,,,9.0
2024-08-01 06:00,127,충주,26.2,,0.5,140.0,89.0,992.3,0.0,0.0,,0.0
2024-08-01 07:00,127,충주,27.2,,0.0,0.0,85.0,992.2,0.1,0.23,,0.0
2024-08-01 08:00,127,충주,28.1,,0.6,250.0,79.0,992.8,0.0,0.37,,10.0
2024-08-01 09:00,127,충주,28.5,,1.4,250.0,78.0,992.7,0.0,0.61,,10.0
2024-08-01 10:00,127,충주,29.7,,1.7,230.0,70.0,992.1,0.4,1.4,,7.0
2024-08-01 11:00,127,충주,30.0,,2.6,180.0,71.0,992.1,0.5,2.25,,9.0
2024-08-01 12:00,127,충주,30.8,,1.4,250.0,68.0,992.0,0.0,1.62,,9.0
2024-08-01 13:00,127,충주,31.5,,1.7,200.0,68.0,991.5,0.3,2.69,,7.0
2024-08-01 14:00,127,충주,32.0,,2.1,180.0,68.0,991.1,0.3,2.33,,8.0
2024-08-01 15:00,127,충주,32.7,,2.7,230.0,59.0,990.6,0.8,2.86,,6.0
2024-08-01 16:00,127,충주,33.3,,1.9,230.0,60.0,989.9,0.9,2.35,,0.0
2024-08-01 17:00,127,충주,33.1,,2.4,230.0,61.0,989.4,1.0,1.69,,0.0
2024-08-01 18:00,127,충주,32.9,,2.1,200.0,63.0,989.7,1.0,1.1,,2.0
2024-08-01 19:00,127,충주,31.6,,0.6,200.0,70.0,990.0,0.8,0.46,,0.0
2024-08-01 20:00,127,충주,29.0,,0.8,110.0,81.0,990.1,0.0,0.06,,0.0
2024-08-01 21:00,127,충주,28.2,,0.9,110.0,84.0,990.7,,,,0.0
2024-08-01 22:00,127,충주,27.7,,1.1,110.0,86.0,991.0,,,,0.0
2024-08-01 23:00,127,충주,27.3,,0.4,0.0,87.0,991.2,,,,0.0
2024-08-02 00:00,127,충주,27.3,,0.4,0.0,89.0,991.5,,,,3.0
2024-08-02 01:00,127,충주,27.3,,0.6,140.0,91.0,991.4,,,,3.0
2024-08-02 02:00,127,충주,27.4,0.1,0.8,90.0,90.0,990.9,,,,7.0
2024-08-02 03:00,127,충주,27.3,,0.1,0.0,90.0,990.8,,,,3.0
2024-08-02 04:00,127,충주,27.2,0.1,0.0,0.0,93.0,991.1,,,,0.0
