지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
266,광양시,2021-01-01 00:00,-0.4,,1.9,270.0,71.0,1015.1,,,,9.0
266,광양시,2021-01-01 01:00,-1.6,,3.4,290.0,58.0,1015.2,,,,0.0
266,광양시,2021-01-01 02:00,-2.4,,1.6,290.0,59.0,1015.3,,,,0.0
266,광양시,2021-01-01 03:00,-2.6,,0.2,0.0,61.0,1015.7,,,,0.0
266,광양시,2021-01-01 04:00,-2.8,,1.5,270.0,65.0,1015.8,,,,0.0
266,광양시,2021-01-01 05:00,-3.3,,2.2,270.0,69.0,1015.8,,,,1.0
266,광양시,2021-01-01 06:00,-3.3,,1.4,270.0,69.0,1015.8,,,,0.0
266,광양시,2021-01-01 07:00,-3.8,,1.3,290.0,73.0,1016.2,,,,0.0
266,광양시,2021-01-01 08:00,-3.9,,0.9,290.0,73.0,1016.6,0.0,0.01,,9.0
266,광양시,2021-01-01 09:00,-2.0,0.0,0.2,0.0,65.0,1017.0,0.6,0.25,,1.0
266,광양시,2021-01-01 10:00,-0.7,,2.2,230.0,64.0,1017.0,0.6,0.86,,4.0
266,광양시,2021-01-01 11:00,0.3,,1.9,250.0,63.0,1017.3,0.8,1.31,,7.0
266,광양시,2021-01-01 12:00,1.9,,2.5,230.0,59.0,1016.1,0.8,1.52,,4.0
266,광양시,2021-01-01 13:00,2.6,,2.0,250.0,59.0,1014.9,0.3,1.13,,8.0
266,광양시,2021-01-01 14:00,3.0,,2.6,270.0,49.0,1014.3,0.3,1.1,,8.0
266,광양시,2021-01-01 15:00,3.7,,2.3,290.0,49.0,1014.2,0.6,1.17,,8.0
266,광양시,2021-01-01 16:00,3.9,,1.3,290.0,48.0,1014.3,0.6,0.72,,9.0
266,광양시,2021-01-01 17:00,2.3,,3.4,270.0,49.0,1014.1,0.2,0.22,,5.0
266,광양시,2021-01-01 18:00,1.1,,3.1,270.0,57.0,1014.4,0.0,0.03,,6.0
266,광양시,2021-01-01 19:00,0.9,,1.4,270.0,61.0,1014.7,,,,1.0
266,광양시,2021-01-01 20:00,-0.2,,1.4,270.0,68.0,1015.1,,,,9.0
266,광양시,2021-01-01 21:00,-0.1,,0.5,290.0,69.0,1015.1,,,,5.0
266,광양시,2021-01-01 22:00,0.1,,0.8,270.0,72.0,1015.2,,,,8.0
266,광양시,2021-01-01 23:00,0.0,,0.6,290.0,73.0,1014.9,,,,5.0
266,광양시,2021-01-02 00:00,-0.3,0.0,0.6,290.0,76.0,1014.3,,,,3.0
266,광양시,2021-01-02 01:00,-0.9,,0.3,0.0,80.0,1014.1,,,,6.0
266,광양시,2021-01-02 02:00,-0.3,,1.1,290.0,78.0,1014.4,,,,8.0
266,광양시,2021-01-02 03:00,-0.5,0.0,0.2,0.0,86.0,1014.9,,,,8.0
266,광양시,2021-01-02 04:00,-0.2,,0.2,0.0,84.0,1014.1,,,,8.0
266,광양시,2021-01-02 05:00,-0.1,,1.5,290.0,82.0,1014.1,,,,8.0
266,광양시,2021-01-02 06:00,-0.3,0.0,0.8,290.0,83.0,1014.8,,,,8.0
266,광양시,2021-01-02 07:00,-1.1,,0.9,290.0,87.0,1015.2,,,,1.0
266,광양시,2021-01-02 08:00,-0.7,,1.0,290.0,85.0,1015.7,0.0,0.01,,6.0
266,광양시,2021-01-02 09:00,0.6,,0.5,270.0,76.0,1016.5,0.4,0.26,,5.0
266,광양시,2021-01-02 10:00,1.8,,1.8,290.0,65.0,1017.0,0.9,0.96,,2.0
266,광양시,2021-01-02 11:00,3.2,,3.2,270.0,57.0,1016.8,1.0,1.51,,3.0
