ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,±â¿Â(¡ÆC),°­¼ö·®(mm),Ç³¼Ó(m/s),Ç³Çâ(16¹æÀ§),½Àµµ(%),ÇöÁö±â¾Ð(hPa),ÀÏÁ¶(hr),ÀÏ»ç(MJ/m2),Àû¼³(cm),Àü¿î·®(10ºÐÀ§)
266,±¤¾ç½Ã,2022-06-01 00:00,19.9,,1,160,59,1000,,,,8
266,±¤¾ç½Ã,2022-06-01 01:00,19.4,,.8,290,62,1000,,,,9
266,±¤¾ç½Ã,2022-06-01 02:00,19.2,,.9,290,64,999.6,,,,7
266,±¤¾ç½Ã,2022-06-01 03:00,18.5,,.8,290,66,999.1,,,,9
266,±¤¾ç½Ã,2022-06-01 04:00,18.1,,.1,0,68,998.6,,,,9
266,±¤¾ç½Ã,2022-06-01 05:00,17.9,,.3,0,69,998.4,,,,9
266,±¤¾ç½Ã,2022-06-01 06:00,17.9,,0,0,69,998.6,0,.02,,10
266,±¤¾ç½Ã,2022-06-01 07:00,18.6,,1.1,290,69,998.2,0,.24,,9
266,±¤¾ç½Ã,2022-06-01 08:00,21.4,,.7,180,59,998.3,.5,.84,,8
266,±¤¾ç½Ã,2022-06-01 09:00,24.7,,1.2,110,45,997.9,.9,1.7,,7
266,±¤¾ç½Ã,2022-06-01 10:00,26.4,,1.2,160,36,997.6,1,2.26,,6
266,±¤¾ç½Ã,2022-06-01 11:00,27.2,,2.2,200,27,997.5,1,2.69,,6
266,±¤¾ç½Ã,2022-06-01 12:00,28.2,,2.1,140,28,997,1,3.15,,3
266,±¤¾ç½Ã,2022-06-01 13:00,28.6,,2.3,140,26,996.6,1,3.1,,6
266,±¤¾ç½Ã,2022-06-01 14:00,29.1,,1.9,110,20,995.6,1,2.9,,6
266,±¤¾ç½Ã,2022-06-01 15:00,29.2,,2,180,24,996,1,2.9,,1
266,±¤¾ç½Ã,2022-06-01 16:00,28.9,,2.4,200,31,994.9,1,2.66,,0
266,±¤¾ç½Ã,2022-06-01 17:00,26.7,,2.8,180,34,994.9,1,1.99,,1
266,±¤¾ç½Ã,2022-06-01 18:00,25.4,,2,180,35,994.9,1,1.24,,5
266,±¤¾ç½Ã,2022-06-01 19:00,23.4,,2.3,230,40,995.3,.3,.35,,6
266,±¤¾ç½Ã,2022-06-01 20:00,21.4,,2.2,250,53,995.7,0,.04,,4
266,±¤¾ç½Ã,2022-06-01 21:00,20.3,,2,230,60,996.4,,,,6
266,±¤¾ç½Ã,2022-06-01 22:00,19.4,,1.8,250,71,996.7,,,,0
266,±¤¾ç½Ã,2022-06-01 23:00,18.3,,1.8,290,77,996.9,,,,0
266,±¤¾ç½Ã,2022-06-02 00:00,17.5,,1.3,250,86,996.9,,,,0
266,±¤¾ç½Ã,2022-06-02 01:00,16.8,,.6,320,87,997.2,,,,0
266,±¤¾ç½Ã,2022-06-02 02:00,16.4,,.7,290,90,997.2,,,,0
266,±¤¾ç½Ã,2022-06-02 03:00,16.4,,.9,290,92,997.2,,,,0
266,±¤¾ç½Ã,2022-06-02 04:00,16.1,,.2,0,86,997.3,,,,0
266,±¤¾ç½Ã,2022-06-02 05:00,15.1,,1,270,90,997.6,,,,6
266,±¤¾ç½Ã,2022-06-02 06:00,15,,1,270,91,997.9,.2,.06,,5
266,±¤¾ç½Ã,2022-06-02 07:00,17.4,,.2,0,79,998.2,1,.52,,0
266,±¤¾ç½Ã,2022-06-02 08:00,19.5,,1.7,250,71,998.6,1,1.23,,0
266,±¤¾ç½Ã,2022-06-02 09:00,21.6,,1.5,230,63,998.4,1,1.97,,0
266,±¤¾ç½Ã,2022-06-02 10:00,23.4,,2.3,250,54,998.2,1,2.62,,0
266,±¤¾ç½Ã,2022-06-02 11:00,25.5,,1.9,230,42,997.7,1,3.13,,0
266,±¤¾ç½Ã,2022-06-02 12:00,27.2,,2.3,200,35,997.2,1,3.45,,0
266,±¤¾ç½Ã,2022-06-02 13:00,28.5,,2.9,160,33,996.9,1,3.56,,0
266,±¤¾ç½Ã,2022-06-02 14:00,29.4,,2.4,140,35,996.4,1,3.47,,1
266,±¤¾ç½Ã,2022-06-02 15:00,29,,3.4,180,38,996.4,1,3.13,,0
266,±¤¾ç½Ã,2022-06-02 16:00,29.2,,2.3,180,43,996.3,1,2.57,,0
266,±¤¾ç½Ã,2022-06-02 17:00,27.4,,2.6,200,53,996.4,1,1.85,,0
266,±¤¾ç½Ã,2022-06-02 18:00,26.4,,1.5,250,59,996.3,1,1.13,,0
266,±¤¾ç½Ã,2022-06-02 19:00,24.9,,1.8,200,66,996.5,.3,.3,,0
266,±¤¾ç½Ã,2022-06-02 20:00,23.4,,1.6,270,73,997.2,0,.04,,0
266,±¤¾ç½Ã,2022-06-02 21:00,22.7,,1.9,230,77,997.6,,,,0
266,±¤¾ç½Ã,2022-06-02 22:00,21.6,,1.2,270,81,998,,,,2
266,±¤¾ç½Ã,2022-06-02 23:00,20.9,,1,270,85,998,,,,0
266,±¤¾ç½Ã,2022-06-03 00:00,20.7,,.5,290,85,998.5,,,,0
266,±¤¾ç½Ã,2022-06-03 01:00,20.1,,.7,270,86,998.2,,,,0
266,±¤¾ç½Ã,2022-06-03 02:00,19.7,,1.2,320,86,998.1,,,,0
266,±¤¾ç½Ã,2022-06-03 03:00,19.6,,.9,250,85,998,,,,0
266,±¤¾ç½Ã,2022-06-03 04:00,19.1,,.7,320,87,997.9,,,,0
266,±¤¾ç½Ã,2022-06-03 05:00,18.4,,.9,320,89,998.5,,,,0
266,±¤¾ç½Ã,2022-06-03 06:00,18.1,,.5,270,90,999.1,0,.05,,0
266,±¤¾ç½Ã,2022-06-03 07:00,20,,.3,0,85,999.3,.9,.47,,0
266,±¤¾ç½Ã,2022-06-03 08:00,22.6,,.7,140,74,999.8,1,1.14,,0
266,±¤¾ç½Ã,2022-06-03 09:00,24.9,,1.1,90,64,1000,1,1.85,,0
266,±¤¾ç½Ã,2022-06-03 10:00,27.2,,2.2,70,50,1000.1,1,2.52,,0
266,±¤¾ç½Ã,2022-06-03 11:00,28.4,,2.7,90,47,1000,1,3.04,,0
266,±¤¾ç½Ã,2022-06-03 12:00,29,,2.8,90,41,1000.1,1,3.32,,0
266,±¤¾ç½Ã,2022-06-03 13:00,29.9,,2.8,140,41,1000,1,3.39,,1
266,±¤¾ç½Ã,2022-06-03 14:00,28.5,,3.1,90,49,999.8,1,3.32,,1
266,±¤¾ç½Ã,2022-06-03 15:00,28.7,,2,140,46,999.8,1,2.99,,1
266,±¤¾ç½Ã,2022-06-03 16:00,27.6,,2.3,140,47,999.9,1,2.44,,0
266,±¤¾ç½Ã,2022-06-03 17:00,26.6,,2.3,140,51,1000,1,1.79,,4
266,±¤¾ç½Ã,2022-06-03 18:00,25.1,,1.3,140,55,1000.1,1,1.04,,0
266,±¤¾ç½Ã,2022-06-03 19:00,23.9,,1.7,180,53,1000.8,.2,.28,,0
266,±¤¾ç½Ã,2022-06-03 20:00,22,,1.7,250,67,1001.5,0,.04,,5
266,±¤¾ç½Ã,2022-06-03 21:00,21.1,,.4,0,69,1002,,,,7
266,±¤¾ç½Ã,2022-06-03 22:00,20.4,,1.6,90,73,1002.3,,,,3
266,±¤¾ç½Ã,2022-06-03 23:00,19.7,,2.2,70,78,1002.5,,,,1
266,±¤¾ç½Ã,2022-06-04 00:00,19.1,,.4,0,80,1002,,,,0
266,±¤¾ç½Ã,2022-06-04 01:00,19.4,,1.7,110,77,1002.2,,,,0
266,±¤¾ç½Ã,2022-06-04 02:00,18.5,,2,90,83,1002.5,,,,0
266,±¤¾ç½Ã,2022-06-04 03:00,18.1,,2.1,70,84,1002.6,,,,0
266,±¤¾ç½Ã,2022-06-04 04:00,18.4,,2.5,70,75,1002.6,,,,1
266,±¤¾ç½Ã,2022-06-04 05:00,18,,2.2,90,78,1002.8,,,,1
266,±¤¾ç½Ã,2022-06-04 06:00,18.1,,2.3,90,80,1002.9,.2,.07,,5
266,±¤¾ç½Ã,2022-06-04 07:00,19.5,,2.2,90,72,1003.4,.8,.49,,7
266,±¤¾ç½Ã,2022-06-04 08:00,21.2,,2.8,70,66,1003,.8,.98,,5
266,±¤¾ç½Ã,2022-06-04 09:00,22.7,,3.8,70,59,1002.8,1,1.83,,5
266,±¤¾ç½Ã,2022-06-04 10:00,24,,3.2,90,53,1002.8,1,2.47,,6
266,±¤¾ç½Ã,2022-06-04 11:00,25.4,,2.8,90,51,1002.3,1,2.92,,5
266,±¤¾ç½Ã,2022-06-04 12:00,26,,2.5,90,49,1002,1,3.02,,8
266,±¤¾ç½Ã,2022-06-04 13:00,27.3,,3,90,45,1001.3,1,3.19,,7
266,±¤¾ç½Ã,2022-06-04 14:00,27.2,,3.6,90,44,1000.9,.7,2.69,,8
266,±¤¾ç½Ã,2022-06-04 15:00,26.6,,2.8,110,44,1000.4,1,2.32,,8
266,±¤¾ç½Ã,2022-06-04 16:00,25.9,,2.9,90,41,1000,0,1.24,,10
266,±¤¾ç½Ã,2022-06-04 17:00,25.9,,2.6,110,41,999.5,.5,1.3,,9
266,±¤¾ç½Ã,2022-06-04 18:00,25,,3.3,90,40,998.8,.5,.9,,9
266,±¤¾ç½Ã,2022-06-04 19:00,23.9,,2.8,90,44,999,0,.31,,9
266,±¤¾ç½Ã,2022-06-04 20:00,23.2,,3.3,90,43,999,0,.03,,9
266,±¤¾ç½Ã,2022-06-04 21:00,21.9,,2.7,70,52,999.6,,,,10
266,±¤¾ç½Ã,2022-06-04 22:00,21.6,,2.6,90,50,999.5,,,,10
266,±¤¾ç½Ã,2022-06-04 23:00,21.4,,2.7,70,49,999.3,,,,10
266,±¤¾ç½Ã,2022-06-05 00:00,21.2,,2.8,90,51,999.6,,,,10
266,±¤¾ç½Ã,2022-06-05 01:00,20.7,,3.2,90,54,998.1,,,,10
266,±¤¾ç½Ã,2022-06-05 02:00,20.3,,2.7,70,56,997.7,,,,10
266,±¤¾ç½Ã,2022-06-05 03:00,20.1,0,3.9,70,59,996.8,,,,10
266,±¤¾ç½Ã,2022-06-05 04:00,20.2,,2.9,70,57,997.2,,,,10
266,±¤¾ç½Ã,2022-06-05 05:00,19.4,0,3.3,70,59,996.7,,,,10
266,±¤¾ç½Ã,2022-06-05 06:00,18.6,0,4.2,70,68,995.7,0,0,,10
266,±¤¾ç½Ã,2022-06-05 07:00,18.5,0,3.7,70,73,995.8,0,.06,,10
266,±¤¾ç½Ã,2022-06-05 08:00,18.2,.5,3.1,90,84,995.3,0,.08,,10
