ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,±â¿Â(¡ÆC),°­¼ö·®(mm),Ç³¼Ó(m/s),Ç³Çâ(16¹æÀ§),½Àµµ(%),ÇöÁö±â¾Ð(hPa),ÀÏÁ¶(hr),ÀÏ»ç(MJ/m2),Àû¼³(cm),Àü¿î·®(10ºÐÀ§)
266,±¤¾ç½Ã,2021-01-01 00:00,-.4,,1.9,270,71,1015.1,,,,9
266,±¤¾ç½Ã,2021-01-01 01:00,-1.6,,3.4,290,58,1015.2,,,,0
266,±¤¾ç½Ã,2021-01-01 02:00,-2.4,,1.6,290,59,1015.3,,,,0
266,±¤¾ç½Ã,2021-01-01 03:00,-2.6,,.2,0,61,1015.7,,,,0
266,±¤¾ç½Ã,2021-01-01 04:00,-2.8,,1.5,270,65,1015.8,,,,0
266,±¤¾ç½Ã,2021-01-01 05:00,-3.3,,2.2,270,69,1015.8,,,,1
266,±¤¾ç½Ã,2021-01-01 06:00,-3.3,,1.4,270,69,1015.8,,,,0
266,±¤¾ç½Ã,2021-01-01 07:00,-3.8,,1.3,290,73,1016.2,,,,0
266,±¤¾ç½Ã,2021-01-01 08:00,-3.9,,.9,290,73,1016.6,0,.01,,9
266,±¤¾ç½Ã,2021-01-01 09:00,-2,0,.2,0,65,1017,.6,.25,,1
266,±¤¾ç½Ã,2021-01-01 10:00,-.7,,2.2,230,64,1017,.6,.86,,4
266,±¤¾ç½Ã,2021-01-01 11:00,.3,,1.9,250,63,1017.3,.8,1.31,,7
266,±¤¾ç½Ã,2021-01-01 12:00,1.9,,2.5,230,59,1016.1,.8,1.52,,4
266,±¤¾ç½Ã,2021-01-01 13:00,2.6,,2,250,59,1014.9,.3,1.13,,8
266,±¤¾ç½Ã,2021-01-01 14:00,3,,2.6,270,49,1014.3,.3,1.1,,8
266,±¤¾ç½Ã,2021-01-01 15:00,3.7,,2.3,290,49,1014.2,.6,1.17,,8
266,±¤¾ç½Ã,2021-01-01 16:00,3.9,,1.3,290,48,1014.3,.6,.72,,9
266,±¤¾ç½Ã,2021-01-01 17:00,2.3,,3.4,270,49,1014.1,.2,.22,,5
266,±¤¾ç½Ã,2021-01-01 18:00,1.1,,3.1,270,57,1014.4,0,.03,,6
266,±¤¾ç½Ã,2021-01-01 19:00,.9,,1.4,270,61,1014.7,,,,1
266,±¤¾ç½Ã,2021-01-01 20:00,-.2,,1.4,270,68,1015.1,,,,9
266,±¤¾ç½Ã,2021-01-01 21:00,-.1,,.5,290,69,1015.1,,,,5
266,±¤¾ç½Ã,2021-01-01 22:00,.1,,.8,270,72,1015.2,,,,8
266,±¤¾ç½Ã,2021-01-01 23:00,0,,.6,290,73,1014.9,,,,5
266,±¤¾ç½Ã,2021-01-02 00:00,-.3,0,.6,290,76,1014.3,,,,3
266,±¤¾ç½Ã,2021-01-02 01:00,-.9,,.3,0,80,1014.1,,,,6
266,±¤¾ç½Ã,2021-01-02 02:00,-.3,,1.1,290,78,1014.4,,,,8
266,±¤¾ç½Ã,2021-01-02 03:00,-.5,0,.2,0,86,1014.9,,,,8
266,±¤¾ç½Ã,2021-01-02 04:00,-.2,,.2,0,84,1014.1,,,,8
266,±¤¾ç½Ã,2021-01-02 05:00,-.1,,1.5,290,82,1014.1,,,,8
266,±¤¾ç½Ã,2021-01-02 06:00,-.3,0,.8,290,83,1014.8,,,,8
266,±¤¾ç½Ã,2021-01-02 07:00,-1.1,,.9,290,87,1015.2,,,,1
266,±¤¾ç½Ã,2021-01-02 08:00,-.7,,1,290,85,1015.7,0,.01,,6
266,±¤¾ç½Ã,2021-01-02 09:00,.6,,.5,270,76,1016.5,.4,.26,,5
266,±¤¾ç½Ã,2021-01-02 10:00,1.8,,1.8,290,65,1017,.9,.96,,2
266,±¤¾ç½Ã,2021-01-02 11:00,3.2,,3.2,270,57,1016.8,1,1.51,,3
266,±¤¾ç½Ã,2021-01-02 12:00,4.5,,4.5,270,45,1016.2,1,1.89,,2
266,±¤¾ç½Ã,2021-01-02 13:00,4.8,,3.5,290,41,1015.9,1,2.06,,1
266,±¤¾ç½Ã,2021-01-02 14:00,4.3,,2.6,320,40,1015.8,1,1.95,,1
266,±¤¾ç½Ã,2021-01-02 15:00,3.8,,2.7,320,32,1015.7,1,1.62,,0
266,±¤¾ç½Ã,2021-01-02 16:00,3,,4.3,290,30,1015.8,1,1.11,,0
266,±¤¾ç½Ã,2021-01-02 17:00,1.9,,4.8,290,26,1017,1,.48,,0
266,±¤¾ç½Ã,2021-01-02 18:00,.6,,4.4,290,30,1017.7,.2,.03,,0
266,±¤¾ç½Ã,2021-01-02 19:00,-.1,,4.3,290,34,1018.4,,,,0
266,±¤¾ç½Ã,2021-01-02 20:00,-.7,,4,290,41,1018.8,,,,0
266,±¤¾ç½Ã,2021-01-02 21:00,-1,,2.2,290,43,1018.5,,,,0
266,±¤¾ç½Ã,2021-01-02 22:00,-1.4,,1.9,290,43,1018.8,,,,6
266,±¤¾ç½Ã,2021-01-02 23:00,-1.8,,1.4,290,44,1019.1,,,,0
266,±¤¾ç½Ã,2021-01-03 00:00,-1.8,,2.3,290,41,1019.3,,,,3
266,±¤¾ç½Ã,2021-01-03 01:00,-1.8,,3.6,290,37,1020.2,,,,6
266,±¤¾ç½Ã,2021-01-03 02:00,-1.7,,4.9,290,35,1020.4,,,,9
266,±¤¾ç½Ã,2021-01-03 03:00,-1.4,,3.8,290,35,1020.4,,,,10
266,±¤¾ç½Ã,2021-01-03 04:00,-1.2,,1.7,290,38,1020.4,,,,10
266,±¤¾ç½Ã,2021-01-03 05:00,-1.8,,.4,0,42,1020.4,,,,10
266,±¤¾ç½Ã,2021-01-03 06:00,-.7,,2.4,290,45,1021.4,,,,9
266,±¤¾ç½Ã,2021-01-03 07:00,-1.4,,.4,0,46,1021.9,,,,10
266,±¤¾ç½Ã,2021-01-03 08:00,-1.6,,.6,360,45,1021.7,0,.01,,9
266,±¤¾ç½Ã,2021-01-03 09:00,-.4,,.7,50,44,1022.3,.2,.18,,0
266,±¤¾ç½Ã,2021-01-03 10:00,.6,,1.2,70,41,1022.4,1,.92,,0
266,±¤¾ç½Ã,2021-01-03 11:00,1.7,,1.9,70,38,1022.2,1,1.49,,0
266,±¤¾ç½Ã,2021-01-03 12:00,3.3,,1.7,90,38,1021.3,1,1.84,,0
266,±¤¾ç½Ã,2021-01-03 13:00,4.4,,1.2,140,35,1020.7,1,1.97,,0
266,±¤¾ç½Ã,2021-01-03 14:00,4.3,,1.4,110,34,1020,1,1.71,,3
266,±¤¾ç½Ã,2021-01-03 15:00,3.9,,1.2,110,39,1020.3,.8,.95,,4
266,±¤¾ç½Ã,2021-01-03 16:00,3.7,,.8,160,34,1020.8,0,.39,,10
266,±¤¾ç½Ã,2021-01-03 17:00,2.9,,1.3,290,33,1020.4,0,.13,,10
266,±¤¾ç½Ã,2021-01-03 18:00,2.5,,2.6,290,35,1020.6,0,.01,,9
266,±¤¾ç½Ã,2021-01-03 19:00,1.9,,2.7,290,37,1021,,,,10
266,±¤¾ç½Ã,2021-01-03 20:00,1.5,,2.1,290,39,1021.1,,,,10
266,±¤¾ç½Ã,2021-01-03 21:00,1.1,,1.7,290,40,1021.3,,,,9
266,±¤¾ç½Ã,2021-01-03 22:00,1.1,,.9,320,39,1021.3,,,,9
266,±¤¾ç½Ã,2021-01-03 23:00,.7,,.5,320,39,1021.2,,,,8
266,±¤¾ç½Ã,2021-01-04 00:00,1,,.4,0,36,1021.3,,,,9
266,±¤¾ç½Ã,2021-01-04 01:00,.4,,.5,290,39,1021.2,,,,9
266,±¤¾ç½Ã,2021-01-04 02:00,-.2,,.3,0,39,1021.3,,,,5
266,±¤¾ç½Ã,2021-01-04 03:00,0,,.7,320,38,1021.5,,,,0
266,±¤¾ç½Ã,2021-01-04 04:00,-.4,,.2,0,43,1021.5,,,,9
266,±¤¾ç½Ã,2021-01-04 05:00,-1,,.5,320,48,1021.1,,,,9
266,±¤¾ç½Ã,2021-01-04 06:00,-1.4,,.5,360,47,1021.3,,,,0
266,±¤¾ç½Ã,2021-01-04 07:00,-1.9,,.5,290,51,1021.1,,,,0
266,±¤¾ç½Ã,2021-01-04 08:00,-1.9,,.7,90,55,1020.8,0,.01,,0
266,±¤¾ç½Ã,2021-01-04 09:00,0,,.1,0,51,1020.9,.4,.21,,0
266,±¤¾ç½Ã,2021-01-04 10:00,2.2,,.6,250,39,1021.2,1,.94,,0
266,±¤¾ç½Ã,2021-01-04 11:00,3.5,,1.4,110,35,1021.3,1,1.48,,0
266,±¤¾ç½Ã,2021-01-04 12:00,5.1,,1.2,140,33,1020.8,1,1.8,,1
266,±¤¾ç½Ã,2021-01-04 13:00,6.4,,1.3,160,30,1019.8,1,1.94,,0
266,±¤¾ç½Ã,2021-01-04 14:00,6.8,,1.3,160,33,1018.7,1,1.84,,0
266,±¤¾ç½Ã,2021-01-04 15:00,7,,1,200,36,1018.4,1,1.5,,0
266,±¤¾ç½Ã,2021-01-04 16:00,6.9,,1.1,90,36,1017.5,1,.98,,2
266,±¤¾ç½Ã,2021-01-04 17:00,5.8,,.7,70,41,1017.3,1,.38,,0
266,±¤¾ç½Ã,2021-01-04 18:00,4.5,,.4,0,47,1018,0,.03,,0
266,±¤¾ç½Ã,2021-01-04 19:00,3.6,,.4,0,51,1018.4,,,,2
266,±¤¾ç½Ã,2021-01-04 20:00,3.5,,.2,0,51,1018.4,,,,6
266,±¤¾ç½Ã,2021-01-04 21:00,3,,.6,320,51,1018.6,,,,8
266,±¤¾ç½Ã,2021-01-04 22:00,3.5,,1.1,320,52,1018.5,,,,9
266,±¤¾ç½Ã,2021-01-04 23:00,2.8,,.6,290,58,1017.7,,,,8
266,±¤¾ç½Ã,2021-01-05 00:00,3,,1.1,320,61,1017.7,,,,8
266,±¤¾ç½Ã,2021-01-05 01:00,2.9,,1.1,290,61,1017.4,,,,10
266,±¤¾ç½Ã,2021-01-05 02:00,3.3,,0,0,61,1017.7,,,,9
266,±¤¾ç½Ã,2021-01-05 03:00,3.3,,1.3,290,66,1017.1,,,,8
266,±¤¾ç½Ã,2021-01-05 04:00,3.1,,.1,0,69,1016.4,,,,8
266,±¤¾ç½Ã,2021-01-05 05:00,3.2,,1,270,70,1015.3,,,,8
266,±¤¾ç½Ã,2021-01-05 06:00,2.6,,1.1,290,75,1015.2,,,,4
