ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,±â¿Â(¡ÆC),°­¼ö·®(mm),Ç³¼Ó(m/s),Ç³Çâ(16¹æÀ§),½Àµµ(%),ÇöÁö±â¾Ð(hPa),ÀÏÁ¶(hr),ÀÏ»ç(MJ/m2),Àû¼³(cm),Àü¿î·®(10ºÐÀ§)
189,¼­±ÍÆ÷,2022-01-01 00:00,4.8,,1.1,20,75,1023.9,,,,8
189,¼­±ÍÆ÷,2022-01-01 01:00,4.8,,.5,50,74,1023.7,,,,9
189,¼­±ÍÆ÷,2022-01-01 02:00,4.2,,.3,0,78,1023.5,,,,9
189,¼­±ÍÆ÷,2022-01-01 03:00,4.2,,.2,0,78,1023.3,,,,6
189,¼­±ÍÆ÷,2022-01-01 04:00,4.4,,.6,360,81,1023,,,,3
189,¼­±ÍÆ÷,2022-01-01 05:00,3.7,,1.3,360,83,1022.9,,,,3
189,¼­±ÍÆ÷,2022-01-01 06:00,3.9,,1.5,360,83,1023,,,,2
189,¼­±ÍÆ÷,2022-01-01 07:00,3.8,,1.3,360,84,1023,,,,1
189,¼­±ÍÆ÷,2022-01-01 08:00,3.7,,1.5,360,82,1023.6,0,,,2
189,¼­±ÍÆ÷,2022-01-01 09:00,5.4,,.9,360,76,1023.9,.5,,,0
189,¼­±ÍÆ÷,2022-01-01 10:00,7.4,,.5,360,71,1024,.7,,,2
189,¼­±ÍÆ÷,2022-01-01 11:00,9.7,,1.1,160,63,1024.1,.6,,,1
189,¼­±ÍÆ÷,2022-01-01 12:00,10.3,,2.4,180,63,1023.2,.8,,,3
189,¼­±ÍÆ÷,2022-01-01 13:00,10.9,,3.1,180,62,1022.2,.9,,,5
189,¼­±ÍÆ÷,2022-01-01 14:00,10.2,,2.8,180,66,1021.3,1,,,6
189,¼­±ÍÆ÷,2022-01-01 15:00,10.6,,2.8,180,63,1020.9,.6,,,7
189,¼­±ÍÆ÷,2022-01-01 16:00,9.8,,2.3,180,69,1020.6,.4,,,8
189,¼­±ÍÆ÷,2022-01-01 17:00,9,,1.2,160,70,1020.8,.3,,,8
