,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
0,서산,2021-01-01 00:00,-6.0,0.0,0.4,0.0,91.0,1024.3,,,2.8,7.0
1,서산,2021-01-01 01:00,-5.7,,0.2,0.0,91.0,1024.3,,,3.2,6.0
2,서산,2021-01-01 02:00,-6.0,,0.0,0.0,92.0,1024.4,,,3.2,6.0
3,서산,2021-01-01 03:00,-6.5,0.0,1.0,90.0,91.0,1024.4,,,3.1,6.0
4,서산,2021-01-01 04:00,-8.3,,0.3,0.0,90.0,1024.1,,,3.0,0.0
5,서산,2021-01-01 05:00,-10.5,,0.2,0.0,89.0,1023.7,,,2.9,1.0
6,서산,2021-01-01 06:00,-8.9,0.0,0.0,0.0,90.0,1023.4,,,2.7,5.0
7,서산,2021-01-01 07:00,-8.0,,0.5,50.0,91.0,1023.4,,,2.5,9.0
8,서산,2021-01-01 08:00,-6.5,,0.4,0.0,89.0,1023.6,0.0,0.0,2.5,8.0
9,서산,2021-01-01 09:00,-5.8,0.0,0.4,0.0,90.0,1023.8,0.0,0.06,3.9,9.0
10,서산,2021-01-01 10:00,-4.7,,0.1,0.0,90.0,1023.9,0.0,0.18,3.8,9.0
11,서산,2021-01-01 11:00,-3.2,,1.2,200.0,87.0,1023.5,0.0,0.31,3.3,9.0
12,서산,2021-01-01 12:00,-2.8,0.0,0.5,250.0,87.0,1022.7,0.1,0.46,2.7,8.0
13,서산,2021-01-01 13:00,-2.6,,1.2,270.0,89.0,1022.0,0.0,0.36,2.3,8.0
14,서산,2021-01-01 14:00,-1.5,,1.6,200.0,88.0,1021.7,0.1,0.35,1.0,10.0
15,서산,2021-01-01 15:00,-1.3,0.0,1.2,250.0,91.0,1021.7,0.0,0.19,0.9,10.0
16,서산,2021-01-01 16:00,-1.3,,0.4,0.0,93.0,1021.6,0.0,0.14,1.3,9.0
17,서산,2021-01-01 17:00,-1.9,,0.1,0.0,94.0,1021.5,0.0,0.05,1.6,7.0
18,서산,2021-01-01 18:00,-1.6,0.0,0.5,20.0,95.0,1021.6,0.0,0.0,1.6,9.0
19,서산,2021-01-01 19:00,-1.8,,0.8,70.0,95.0,1021.9,,,2.2,8.0
20,서산,2021-01-01 20:00,-4.0,,0.2,0.0,94.0,1022.3,,,2.1,8.0
21,서산,2021-01-01 21:00,-3.8,0.0,0.4,0.0,95.0,1022.3,,,2.0,5.0
22,서산,2021-01-01 22:00,-5.9,,0.0,0.0,95.0,1022.7,,,1.9,2.0
23,서산,2021-01-01 23:00,-5.6,,0.5,70.0,94.0,1022.5,,,1.8,9.0
24,서산,2021-01-02 00:00,-5.2,0.0,1.1,50.0,94.0,1022.4,,,1.8,7.0
