지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
129,서산,2024-01-01 00:00,2.6,,.3,0,92,1023.5,,,,7
129,서산,2024-01-01 01:00,2.1,,0,0,94,1023.8,,,,5
129,서산,2024-01-01 02:00,2.3,,2.3,70,94,1024.2,,,,7
129,서산,2024-01-01 03:00,2.6,,0,0,92,1024.6,,,,10
129,서산,2024-01-01 04:00,2.6,,1,270,93,1025,,,,7
129,서산,2024-01-01 05:00,1.8,,1,70,94,1024.8,,,,7
129,서산,2024-01-01 06:00,.8,,1.4,70,96,1025,,,,2
129,서산,2024-01-01 07:00,-.1,,1.5,20,96,1025.4,,,,1
129,서산,2024-01-01 08:00,-.6,,1.1,20,97,1025.9,0,0,,3
129,서산,2024-01-01 09:00,.4,,.1,0,97,1026.3,.5,.25,,6
129,서산,2024-01-01 10:00,2.7,,.1,0,96,1026.6,.9,.74,,3
129,서산,2024-01-01 11:00,4.7,,.6,270,84,1026.5,.2,.94,,7
129,서산,2024-01-01 12:00,7.1,,1.8,230,65,1025.8,1,1.67,,8
129,서산,2024-01-01 13:00,7.8,,1.8,200,57,1024.8,1,1.86,,7
129,서산,2024-01-01 14:00,7,,2.8,200,58,1024.1,.6,1.45,,8
129,서산,2024-01-01 15:00,7,,1.6,200,64,1023.8,0,.74,,9
129,서산,2024-01-01 16:00,6.4,,1.7,230,64,1023.6,0,.34,,9
129,서산,2024-01-01 17:00,5.9,,1.3,230,71,1023.3,0,.18,,8
129,서산,2024-01-01 18:00,5.1,,1,230,76,1023.2,0,.03,,7
129,서산,2024-01-01 19:00,4.7,,.7,160,80,1023.2,,,,7
129,서산,2024-01-01 20:00,4.5,,.2,0,84,1023.1,,,,7
129,서산,2024-01-01 21:00,4.4,,.8,180,84,1023.2,,,,7
129,서산,2024-01-01 22:00,4.2,,1.3,160,85,1023,,,,7
129,서산,2024-01-01 23:00,4,,0,0,88,1022.9,,,,7
