,지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
0,159,부산,2025-01-01 01:00,2.6,,4.2,290,25,1012.7,,,,0
1,159,부산,2025-01-01 02:00,2.4,,7.0,320,26,1012.7,,,,0
2,159,부산,2025-01-01 03:00,2.1,,4.1,290,28,1013.3,,,,0
3,159,부산,2025-01-01 04:00,1.4,,2.4,290,30,1013.2,,,,0
4,159,부산,2025-01-01 05:00,1.2,,2.6,290,29,1012.9,,,,0
5,159,부산,2025-01-01 06:00,1.0,,3.0,230,30,1013.3,,,,0
6,159,부산,2025-01-01 07:00,1.1,,2.1,180,27,1013.9,,,,0
7,159,부산,2025-01-01 08:00,1.8,,3.3,320,31,1014.4,0.4,0.03,,0
8,159,부산,2025-01-01 09:00,4.1,,2.0,200,32,1014.7,1.0,0.5,,0
9,159,부산,2025-01-01 10:00,7.0,,2.5,140,36,1014.7,1.0,1.15,,0
10,159,부산,2025-01-01 11:00,8.6,,2.8,160,35,1014.4,1.0,1.68,,0
11,159,부산,2025-01-01 12:00,7.6,,2.9,290,35,1014.2,1.0,2.02,,0
12,159,부산,2025-01-01 13:00,8.4,,2.8,250,33,1013.1,1.0,2.12,,0
13,159,부산,2025-01-01 14:00,9.7,,3.0,290,32,1012.5,1.0,2.02,,0
14,159,부산,2025-01-01 15:00,9.8,,3.0,290,30,1012.2,1.0,1.63,,0
15,159,부산,2025-01-01 16:00,9.5,,4.0,230,33,1012.5,1.0,1.04,,0
16,159,부산,2025-01-01 17:00,7.7,,4.3,250,37,1012.5,0.9,0.43,,0
17,159,부산,2025-01-01 18:00,6.8,,2.3,250,40,1012.6,0.0,0.02,,0
18,159,부산,2025-01-01 19:00,6.0,,2.0,270,41,1013.0,,,,0
19,159,부산,2025-01-01 20:00,6.0,,2.3,270,41,1013.5,,,,0
20,159,부산,2025-01-01 21:00,5.8,,2.6,290,40,1013.8,,,,0
21,159,부산,2025-01-01 22:00,4.8,,1.3,320,44,1013.7,,,,0
22,159,부산,2025-01-01 23:00,5.6,,2.8,320,41,1013.8,,,,0
23,159,부산,2025-01-02 00:00,5.5,,3.5,290,42,1013.9,,,,0
24,159,부산,2025-01-02 01:00,5.1,,3.3,320,44,1013.9,,,,0
25,159,부산,2025-01-02 02:00,4.3,,1.1,360,47,1014.1,,,,0
26,159,부산,2025-01-02 03:00,4.1,,1.8,320,50,1014.3,,,,0
27,159,부산,2025-01-02 04:00,4.0,,1.7,320,48,1013.9,,,,0
28,159,부산,2025-01-02 05:00,3.5,,2.7,250,49,1013.9,,,,0
29,159,부산,2025-01-02 06:00,3.7,,1.9,320,47,1013.9,,,,0
30,159,부산,2025-01-02 07:00,3.1,,2.0,230,50,1014.4,,,,0
31,159,부산,2025-01-02 08:00,2.9,,2.1,250,51,1014.7,0.1,0.02,,0
32,159,부산,2025-01-02 09:00,6.1,,1.9,160,44,1014.9,1.0,0.43,,0
33,159,부산,2025-01-02 10:00,7.8,,1.8,230,34,1015.2,1.0,1.05,,0
34,159,부산,2025-01-02 11:00,9.5,,1.7,340,31,1014.9,1.0,1.6,,0
35,159,부산,2025-01-02 12:00,9.4,,3.6,270,26,1014.1,1.0,1.91,,0
36,159,부산,2025-01-02 13:00,10.1,,2.9,340,23,1012.9,1.0,2.02,,0
37,159,부산,2025-01-02 14:00,11.4,,1.9,320,18,1012.6,1.0,1.92,,0
38,159,부산,2025-01-02 15:00,11.4,,2.1,320,19,1012.7,1.0,1.58,,0
39,159,부산,2025-01-02 16:00,11.5,,2.9,250,24,1012.7,1.0,1.02,,0
40,159,부산,2025-01-02 17:00,9.1,,2.8,230,27,1013.0,0.9,0.39,,0
41,159,부산,2025-01-02 18:00,7.5,,1.4,230,30,1013.4,0.0,0.02,,0
42,159,부산,2025-01-02 19:00,7.0,,2.4,270,28,1013.7,,,,0
43,159,부산,2025-01-02 20:00,7.0,,2.8,320,22,1014.1,,,,0
44,159,부산,2025-01-02 21:00,6.7,,3.2,290,24,1013.7,,,,3
45,159,부산,2025-01-02 22:00,6.1,,2.1,320,24,1013.7,,,,3
46,159,부산,2025-01-02 23:00,5.7,,3.8,320,25,1014.0,,,,8
47,159,부산,2025-01-03 00:00,5.0,,5.3,320,24,1014.0,,,,3
48,159,부산,2025-01-03 01:00,4.2,,5.3,320,26,1013.6,,,,6
49,159,부산,2025-01-03 02:00,3.3,,3.0,20,27,1013.8,,,,5
50,159,부산,2025-01-03 03:00,3.0,,5.2,320,26,1013.9,,,,3
51,159,부산,2025-01-03 04:00,2.3,,2.0,70,27,1013.8,,,,4
52,159,부산,2025-01-03 05:00,1.9,,3.0,90,29,1014.0,,,,4
53,159,부산,2025-01-03 06:00,1.5,,2.4,140,33,1014.5,,,,2
54,159,부산,2025-01-03 07:00,1.0,,3.7,110,39,1014.7,,,,3
55,159,부산,2025-01-03 08:00,0.9,,3.5,340,42,1015.4,0.2,0.02,,0
56,159,부산,2025-01-03 09:00,2.0,,3.5,340,40,1016.2,1.0,0.48,,0
57,159,부산,2025-01-03 10:00,2.9,,4.0,340,34,1016.8,1.0,1.13,,0
58,159,부산,2025-01-03 11:00,3.5,,4.6,320,28,1017.0,1.0,1.71,,1
59,159,부산,2025-01-03 12:00,3.7,,4.1,270,18,1016.6,1.0,2.1,,0
60,159,부산,2025-01-03 13:00,4.3,,5.3,270,17,1016.0,1.0,2.22,,0
61,159,부산,2025-01-03 14:00,4.8,,5.3,270,15,1015.9,1.0,2.1,,0
