瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困)
159,何魂,2022-01-01 00:00,-1.6,,7.2,290,25,1019.7,,,,8
159,何魂,2022-01-01 01:00,-2,,3.6,200,24,1019.9,,,,7
159,何魂,2022-01-01 02:00,-2.3,,2.4,230,24,1020.3,,,,8
159,何魂,2022-01-01 03:00,-2.8,,3.5,270,27,1020.6,,,,8
159,何魂,2022-01-01 04:00,-2.3,,2.4,230,20,1020,,,,8
159,何魂,2022-01-01 05:00,-2.2,,4.2,320,19,1019.6,,,,5
159,何魂,2022-01-01 06:00,-3.5,,1.2,320,26,1019.7,,,,0
159,何魂,2022-01-01 07:00,-3.6,,2,320,26,1020.6,,,,0
159,何魂,2022-01-01 08:00,-3.3,,.4,0,28,1020.7,.3,.03,,0
159,何魂,2022-01-01 09:00,.3,,1.4,230,22,1021.3,1,.49,,0
159,何魂,2022-01-01 10:00,1.8,,1.2,320,21,1021.7,1,1.13,,0
159,何魂,2022-01-01 11:00,4.3,,1.3,270,19,1021.8,1,1.66,,0
159,何魂,2022-01-01 12:00,5.3,,1.8,250,19,1021,1,2.03,,0
159,何魂,2022-01-01 13:00,6.4,,2.7,110,27,1020,1,2.14,,0
159,何魂,2022-01-01 14:00,7,,2.9,200,32,1019.3,1,2.01,,0
159,何魂,2022-01-01 15:00,7.2,,2.6,160,32,1018.7,1,1.64,,2
159,何魂,2022-01-01 16:00,6.8,,2.6,180,30,1018.5,1,1.1,,0
159,何魂,2022-01-01 17:00,5,,1.6,230,28,1018.5,.9,.47,,4
159,何魂,2022-01-01 18:00,3.4,,3.3,270,30,1018.9,0,.02,,5
159,何魂,2022-01-01 19:00,2.8,,2.1,270,28,1018.9,,,,6
159,何魂,2022-01-01 20:00,2.1,,.5,290,22,1018.7,,,,7
159,何魂,2022-01-01 21:00,2.6,,2.1,320,18,1018.5,,,,7
159,何魂,2022-01-01 22:00,2.1,,1.3,320,20,1018.3,,,,7
159,何魂,2022-01-01 23:00,2.3,,1.4,290,21,1018.1,,,,8
159,何魂,2022-01-02 00:00,2.3,,1.6,320,21,1017.9,,,,5
159,何魂,2022-01-02 01:00,2.4,,2.6,320,21,1017.3,,,,4
159,何魂,2022-01-02 02:00,2.4,,3.1,320,23,1017,,,,4
159,何魂,2022-01-02 03:00,2.1,,4.1,320,22,1016.8,,,,4
159,何魂,2022-01-02 04:00,1.3,,3.5,320,23,1016.2,,,,2
159,何魂,2022-01-02 05:00,1.2,,2.1,320,23,1015.7,,,,0
159,何魂,2022-01-02 06:00,1.5,,4.1,320,24,1016,,,,0
159,何魂,2022-01-02 07:00,1.2,,3.2,340,25,1016.7,,,,0
159,何魂,2022-01-02 08:00,1.1,,1.7,320,26,1016.9,.3,.03,,0
159,何魂,2022-01-02 09:00,3.1,,1.5,290,24,1017,1,.47,,0
159,何魂,2022-01-02 10:00,5.1,,2.5,250,24,1017.2,1,1.1,,0
159,何魂,2022-01-02 11:00,6.3,,2.7,230,24,1017,1,1.62,,0
159,何魂,2022-01-02 12:00,6.4,,4.3,230,33,1016.1,1,1.94,,0
159,何魂,2022-01-02 13:00,8.3,,4.3,250,36,1015.2,1,2.06,,0
159,何魂,2022-01-02 14:00,11,,2.4,180,31,1014.3,1,1.91,,0
159,何魂,2022-01-02 15:00,10.2,,2.3,270,37,1014.3,1,1.58,,0
159,何魂,2022-01-02 16:00,10.6,,2.1,290,39,1014.4,1,1.06,,0
159,何魂,2022-01-02 17:00,8.4,,2.8,340,39,1014.7,.9,.4,,0
159,何魂,2022-01-02 18:00,6.9,,2.7,340,39,1015.2,0,.03,,0
159,何魂,2022-01-02 19:00,6.3,,3.2,340,40,1015.7,,,,0
159,何魂,2022-01-02 20:00,5.7,,3.2,320,42,1016,,,,0
159,何魂,2022-01-02 21:00,5.2,,4.4,320,41,1016.5,,,,0
159,何魂,2022-01-02 22:00,4.5,,3.9,320,43,1016.7,,,,0
159,何魂,2022-01-02 23:00,3.9,,4.5,320,42,1016.8,,,,0
159,何魂,2022-01-03 00:00,3.2,,2.2,320,43,1016.6,,,,0
159,何魂,2022-01-03 01:00,3,,3.7,320,38,1016.2,,,,0
159,何魂,2022-01-03 02:00,2.8,,4.8,320,41,1016.2,,,,0
159,何魂,2022-01-03 03:00,2.1,,5.5,320,45,1016.1,,,,0
159,何魂,2022-01-03 04:00,1.6,,3.5,320,46,1015.7,,,,0
159,何魂,2022-01-03 05:00,1.4,,3.8,320,45,1016,,,,7
159,何魂,2022-01-03 06:00,1,,3,320,43,1016.2,,,,6
159,何魂,2022-01-03 07:00,1.1,,3.5,320,32,1016.3,,,,5
159,何魂,2022-01-03 08:00,1.5,,2.3,290,27,1016.5,.3,.02,,1
159,何魂,2022-01-03 09:00,2.7,,2.4,270,23,1016.5,1,.45,,1
159,何魂,2022-01-03 10:00,4.7,,3,290,18,1016.8,1,1.16,,0
159,何魂,2022-01-03 11:00,6.8,,2,340,16,1016.1,1,1.69,,0
159,何魂,2022-01-03 12:00,6.9,,4.7,320,15,1015,1,2.07,,0
159,何魂,2022-01-03 13:00,8.8,,2.9,340,14,1014,1,2.19,,0
159,何魂,2022-01-03 14:00,9.2,,3,270,14,1013.2,1,2.05,,0
159,何魂,2022-01-03 15:00,9.3,,2.5,340,15,1012.8,1,1.69,,0
159,何魂,2022-01-03 16:00,9.2,,1.8,320,15,1012.8,1,1.12,,0
159,何魂,2022-01-03 17:00,7.4,,2.6,270,19,1012.9,.9,.43,,0
159,何魂,2022-01-03 18:00,6.1,,2.1,250,21,1013.8,0,.02,,0
159,何魂,2022-01-03 19:00,4.9,,1.3,110,22,1014.1,,,,0
159,何魂,2022-01-03 20:00,4.5,,2.2,90,24,1014.5,,,,0
159,何魂,2022-01-03 21:00,3.2,,2.1,360,29,1014.7,,,,0
159,何魂,2022-01-03 22:00,2.5,,3.3,320,31,1014.9,,,,0
159,何魂,2022-01-03 23:00,1.7,,3.3,320,34,1015.1,,,,0
159,何魂,2022-01-04 00:00,1.1,,4.7,320,37,1015.6,,,,0
159,何魂,2022-01-04 01:00,.8,,2.5,340,39,1015.7,,,,0
159,何魂,2022-01-04 02:00,.7,,1.5,110,38,1015.5,,,,0
159,何魂,2022-01-04 03:00,.6,,1.7,320,42,1015.5,,,,0
159,何魂,2022-01-04 04:00,.6,,1.1,360,41,1015.7,,,,0
159,何魂,2022-01-04 05:00,.8,,1.2,270,47,1015.8,,,,0
159,何魂,2022-01-04 06:00,1.1,,1.3,340,52,1016.6,,,,0
159,何魂,2022-01-04 07:00,.9,,.1,0,53,1016.5,,,,0
159,何魂,2022-01-04 08:00,.9,,1.5,20,57,1016.8,0,.01,,1
159,何魂,2022-01-04 09:00,3.2,,.5,230,55,1017.3,.8,.35,,2
159,何魂,2022-01-04 10:00,5.9,,.9,250,51,1017.7,1,.92,,2
159,何魂,2022-01-04 11:00,7.1,,2,360,48,1017.4,1,1.45,,0
159,何魂,2022-01-04 12:00,6.7,,2.4,320,46,1016.6,1,1.78,,0
159,何魂,2022-01-04 13:00,7.9,,2.1,270,43,1015.4,1,1.89,,0
159,何魂,2022-01-04 14:00,7.9,,3.7,270,39,1015.1,1,1.89,,0
159,何魂,2022-01-04 15:00,9,,2.5,290,33,1015.4,1,1.57,,0
