지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
106,동해,2022-01-01 01:00,-4.1,,1.8,230,33,1024.1,,,3.1,0
106,동해,2022-01-01 02:00,-3.7,,2.5,250,29,1024.1,,,3.1,0
106,동해,2022-01-01 03:00,-4,,1.5,230,32,1024.6,,,3.1,0
106,동해,2022-01-01 04:00,-4.1,,1.6,230,29,1024.3,,,3.2,0
106,동해,2022-01-01 05:00,-4.3,,1.3,230,30,1024.2,,,3.1,0
106,동해,2022-01-01 06:00,-4.5,,1.8,250,32,1024.2,,,3.1,0
106,동해,2022-01-01 07:00,-5.1,,2,250,38,1024.6,,,3.1,0
106,동해,2022-01-01 08:00,-5.5,,2,250,37,1024.6,.2,,3.1,0
106,동해,2022-01-01 09:00,-2.5,,1.3,230,35,1025.1,1,,3.2,0
106,동해,2022-01-01 10:00,.1,,1.7,200,25,1025.4,1,,3.1,0
106,동해,2022-01-01 11:00,1.9,,1.1,180,27,1024.8,1,,3,0
106,동해,2022-01-01 12:00,2.9,,1.3,140,26,1024.2,1,,2.9,0
106,동해,2022-01-01 13:00,3.1,,1.1,110,37,1023.3,1,,2.8,0
106,동해,2022-01-01 14:00,4.3,,1.3,140,42,1022.6,1,,2.6,0
106,동해,2022-01-01 15:00,4.9,,1.1,140,43,1022.1,1,,2.5,0
106,동해,2022-01-01 16:00,4.8,,1,110,49,1022.2,1,,2.5,0
106,동해,2022-01-01 17:00,4,,.3,0,47,1022,.5,,2.6,0
106,동해,2022-01-01 18:00,2.6,,1.6,290,55,1022,0,,2.6,0
106,동해,2022-01-01 19:00,1.3,,1.4,230,59,1022,,,2.6,0
106,동해,2022-01-01 20:00,0,,1.5,230,64,1021.7,,,2.7,0
106,동해,2022-01-01 21:00,0,,1.6,230,57,1021.5,,,2.7,0
106,동해,2022-01-01 22:00,-.3,,1.9,250,52,1021,,,2.7,0
106,동해,2022-01-01 23:00,-.4,,1.6,250,48,1020.9,,,2.7,1
106,동해,2022-01-02 00:00,-.2,,1.5,230,45,1020.4,,,2.7,2
106,동해,2022-01-02 01:00,1.4,,1.7,250,38,1019.9,,,2.7,4
106,동해,2022-01-02 02:00,1,,1.5,230,39,1019.2,,,2.7,4
106,동해,2022-01-02 03:00,.9,,1.9,200,47,1018.6,,,2.7,9
106,동해,2022-01-02 04:00,1.7,,.7,20,46,1017.8,,,2.7,9
106,동해,2022-01-02 05:00,4.4,,2.8,270,44,1016.9,,,2.7,7
106,동해,2022-01-02 06:00,3.1,,.5,290,48,1017.2,,,2.7,7
106,동해,2022-01-02 07:00,3.6,,1.5,290,54,1017.6,,,2.6,7
106,동해,2022-01-02 08:00,3.7,,.8,270,58,1017.6,0,,2.6,7
106,동해,2022-01-02 09:00,5.3,,2.5,320,55,1017.9,.4,,2.6,7
106,동해,2022-01-02 10:00,6.2,,3.4,290,49,1018.2,.7,,2.4,6
106,동해,2022-01-02 11:00,6.8,,3.7,290,46,1018,1,,2.1,2
106,동해,2022-01-02 12:00,7,,4.1,290,42,1017.1,1,,1.8,1
106,동해,2022-01-02 13:00,7.4,,4.9,270,35,1016.2,1,,1.6,0
106,동해,2022-01-02 14:00,7.7,,2.9,290,26,1016.2,1,,1.4,0
106,동해,2022-01-02 15:00,8,,2.8,340,21,1016.3,1,,1.3,0
106,동해,2022-01-02 16:00,7.5,,2.5,320,20,1016.9,1,,1.1,0
106,동해,2022-01-02 17:00,6,,2,290,22,1017.5,.5,,1.1,0
106,동해,2022-01-02 18:00,4.9,,2.1,320,26,1018.4,0,,1.1,0
106,동해,2022-01-02 19:00,4.1,,2.9,290,30,1018.6,,,1.1,0
106,동해,2022-01-02 20:00,3.6,,1.3,270,31,1019,,,1.1,0
106,동해,2022-01-02 21:00,2.8,,1.4,250,33,1019,,,1.1,0
106,동해,2022-01-02 22:00,2.7,,1.2,250,32,1019.3,,,1.1,0
106,동해,2022-01-02 23:00,2.5,,2.3,270,28,1019.3,,,1.1,0
106,동해,2022-01-03 00:00,2.7,,2.2,270,22,1019.1,,,1.1,0
106,동해,2022-01-03 01:00,2,,1.3,250,28,1018.7,,,1.1,0
106,동해,2022-01-03 02:00,.9,,1.7,200,32,1018.6,,,1.1,0
106,동해,2022-01-03 03:00,.3,,1.5,200,32,1018.8,,,1.1,3
106,동해,2022-01-03 04:00,2.9,,3.3,360,19,1018.2,,,1.1,7
106,동해,2022-01-03 05:00,.6,,.3,0,27,1018.2,,,1.1,7
106,동해,2022-01-03 06:00,.3,,.9,230,27,1018.7,,,1.2,6
106,동해,2022-01-03 07:00,.5,,1.8,250,26,1018.7,,,1.2,1
106,동해,2022-01-03 08:00,.5,,2.2,270,24,1019.1,.1,,1.2,6
106,동해,2022-01-03 09:00,1.9,,1.3,230,24,1019.2,.5,,1.2,4
106,동해,2022-01-03 10:00,4,,2.4,270,15,1018.8,1,,1.1,0
106,동해,2022-01-03 11:00,5.1,,1.2,200,15,1018.4,1,,1.1,5
106,동해,2022-01-03 12:00,5.1,,3.9,320,15,1017.4,1,,1,6
106,동해,2022-01-03 13:00,5.4,,4.5,320,15,1016.3,1,,.9,7
106,동해,2022-01-03 14:00,5.6,,3.9,290,19,1016,1,,.9,0
106,동해,2022-01-03 15:00,5.1,,3.9,320,24,1015.8,1,,.8,0
106,동해,2022-01-03 16:00,5,,2.7,290,28,1015.7,1,,.7,0
106,동해,2022-01-03 17:00,3.7,,3.5,290,30,1016.2,.5,,.7,1
106,동해,2022-01-03 18:00,3.2,,5.4,320,33,1016.2,0,,.7,3
106,동해,2022-01-03 19:00,3,,5.1,340,36,1016.4,,,.7,0
106,동해,2022-01-03 20:00,2.7,,3.3,340,40,1017.1,,,.7,0
106,동해,2022-01-03 21:00,3.3,,2.8,320,41,1016.9,,,.7,0
106,동해,2022-01-03 22:00,3.1,,1.8,360,44,1016.8,,,.7,0
106,동해,2022-01-03 23:00,3.2,,2.3,360,47,1016.7,,,.7,0
106,동해,2022-01-04 00:00,3.4,,.9,250,47,1016.4,,,.7,0
106,동해,2022-01-04 01:00,3.2,,1.9,250,51,1016.5,,,.7,1
106,동해,2022-01-04 02:00,3.4,,1.6,290,49,1016.9,,,.7,5
106,동해,2022-01-04 03:00,3.7,,2.8,290,45,1017,,,.7,0
106,동해,2022-01-04 04:00,4.4,,.7,270,40,1017.1,,,.7,
106,동해,2022-01-04 05:00,3,,.6,70,43,1017.5,,,.7,
106,동해,2022-01-04 06:00,3.4,,2.2,340,30,1018.1,,,.7,
106,동해,2022-01-04 07:00,2.6,,2.3,20,29,1019.1,,,.7,
106,동해,2022-01-04 08:00,2.5,,1.9,360,29,1019.9,.2,,.7,
106,동해,2022-01-04 09:00,3.2,,2.6,340,26,1020.1,1,,.7,
106,동해,2022-01-04 10:00,4,,1.9,20,22,1020.8,1,,.7,
106,동해,2022-01-04 11:00,4.1,,2.4,360,25,1020.7,1,,.6,
106,동해,2022-01-04 12:00,4.2,,3.1,50,31,1020.1,1,,.5,1
106,동해,2022-01-04 13:00,4.2,,3.4,70,38,1019.8,1,,.3,0
106,동해,2022-01-04 14:00,4.4,,3.5,50,40,1019.5,1,,,0
106,동해,2022-01-04 15:00,4.5,,3.4,50,46,1019.9,1,,,0
106,동해,2022-01-04 16:00,4.2,,2.5,20,44,1020.3,1,,,0
106,동해,2022-01-04 17:00,3.3,,2,340,47,1020.8,.5,,,0
106,동해,2022-01-04 18:00,2.9,,1.8,340,49,1021.3,0,,,0
