瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困)
184,力林,2025-01-01 01:00,6.1,,3,320,59,1021.2,,,,8
184,力林,2025-01-01 02:00,6.1,,2,340,59,1021.2,,,,8
184,力林,2025-01-01 03:00,6,,2.4,20,60,1021.4,,,,9
184,力林,2025-01-01 04:00,5.6,,2.1,180,59,1021.3,,,,8
184,力林,2025-01-01 05:00,5.4,,1.9,180,61,1021,,,,8
184,力林,2025-01-01 06:00,5.1,,2.7,180,62,1021.3,,,,8
184,力林,2025-01-01 07:00,4.8,,1.6,180,62,1021.6,,,,7
184,力林,2025-01-01 08:00,4.8,,2.7,180,61,1021.9,0,0,,6
184,力林,2025-01-01 09:00,6.2,,1.9,180,56,1021.8,.2,.25,,7
184,力林,2025-01-01 10:00,8.3,,2.3,200,52,1022.1,.3,.58,,7
184,力林,2025-01-01 11:00,10.8,,2.2,270,43,1022.1,.9,1.74,,6
184,力林,2025-01-01 12:00,10.8,,2.5,290,44,1021.3,.9,1.82,,1
184,力林,2025-01-01 13:00,10.7,,2.7,340,44,1020.9,.8,1.58,,2
184,力林,2025-01-01 14:00,11,,3.2,340,44,1020.2,.7,1.45,,5
184,力林,2025-01-01 15:00,10.1,,2.7,340,46,1020.3,.1,.81,,7
184,力林,2025-01-01 16:00,10.7,,2.5,320,43,1020.2,.7,.99,,6
184,力林,2025-01-01 17:00,9.7,,2.6,320,46,1020,.8,.43,,0
184,力林,2025-01-01 18:00,8.5,,2,320,51,1019.9,.4,.04,,0
184,力林,2025-01-01 19:00,7.4,,1.9,160,56,1020.5,,,,0
184,力林,2025-01-01 20:00,6.4,,1.7,180,59,1021,,,,0
184,力林,2025-01-01 21:00,6,,2.3,180,60,1021.5,,,,0
184,力林,2025-01-01 22:00,5.9,,2.6,180,61,1021.5,,,,7
184,力林,2025-01-01 23:00,6,,1.5,180,60,1021.8,,,,6
184,力林,2025-01-02 00:00,5.7,,1.9,180,60,1021.6,,,,3
184,力林,2025-01-02 01:00,5.4,,1.9,160,60,1021.5,,,,8
184,力林,2025-01-02 02:00,5.4,,2,180,59,1021.5,,,,0
184,力林,2025-01-02 03:00,5.5,,3,180,61,1021.6,,,,7
184,力林,2025-01-02 04:00,6.4,,1.6,160,59,1021.2,,,,6
184,力林,2025-01-02 05:00,6.8,,2.6,160,60,1021,,,,8
184,力林,2025-01-02 06:00,7.3,,1.8,180,60,1021.5,,,,9
184,力林,2025-01-02 07:00,7.6,,1.2,160,61,1021.5,,,,8
184,力林,2025-01-02 08:00,7.9,,1.4,340,60,1021.7,0,0,,9
184,力林,2025-01-02 09:00,8.8,,2.7,20,57,1021.8,0,.04,,6
184,力林,2025-01-02 10:00,9.8,,2.5,340,53,1022.5,.1,.38,,9
184,力林,2025-01-02 11:00,10.4,,2.7,320,51,1022.2,.1,.6,,1
184,力林,2025-01-02 12:00,11.5,,3.3,20,51,1021.6,.9,1.51,,0
184,力林,2025-01-02 13:00,12.2,,3.3,360,53,1020.8,1,1.8,,1
184,力林,2025-01-02 14:00,11.9,,3.2,360,52,1020.4,1,1.63,,0
184,力林,2025-01-02 15:00,11.4,,3.9,360,52,1020.6,1,1.36,,3
184,力林,2025-01-02 16:00,10.3,,3.3,320,55,1021.2,.3,.58,,6
184,力林,2025-01-02 17:00,9.6,,2.8,320,57,1021.1,.4,.26,,3
184,力林,2025-01-02 18:00,8.9,,3.2,320,50,1021.6,0,.01,,3
184,力林,2025-01-02 19:00,8.7,,3.4,320,42,1021.7,,,,3
184,力林,2025-01-02 20:00,8.5,,3.3,340,41,1022,,,,0
184,力林,2025-01-02 21:00,8.2,,3.7,340,42,1022.4,,,,0
184,力林,2025-01-02 22:00,7.7,,3.6,340,46,1022.7,,,,7
184,力林,2025-01-02 23:00,7.3,,4.4,320,52,1022.8,,,,3
184,力林,2025-01-03 00:00,6.9,,3.6,340,51,1022.9,,,,0
184,力林,2025-01-03 01:00,6.7,,3.6,340,47,1022.7,,,,0
184,力林,2025-01-03 02:00,6.5,,4.4,360,49,1022.9,,,,0
184,力林,2025-01-03 03:00,6.3,,4.4,360,50,1022.7,,,,0
184,力林,2025-01-03 04:00,6.1,,4.8,360,51,1022.9,,,,2
184,力林,2025-01-03 05:00,5.9,,3.5,360,51,1022.7,,,,5
184,力林,2025-01-03 06:00,6,,3.8,360,52,1022.7,,,,6
184,力林,2025-01-03 07:00,6.4,,4.6,320,48,1022.9,,,,7
184,力林,2025-01-03 08:00,6.6,,5.3,360,56,1023.4,0,0,,8
184,力林,2025-01-03 09:00,6.5,,5.4,360,48,1024,0,.13,,8
184,力林,2025-01-03 10:00,6.7,,4.3,360,47,1024.8,.1,.42,,7
184,力林,2025-01-03 11:00,7.4,,3.9,360,47,1025,.5,1.03,,7
184,力林,2025-01-03 12:00,8,,4.5,320,39,1024.6,.6,1.5,,6
184,力林,2025-01-03 13:00,7.4,,5.7,320,41,1024.3,.3,1.13,,5
184,力林,2025-01-03 14:00,7.6,,4.6,320,39,1024.1,.5,1.26,,5
184,力林,2025-01-03 15:00,7.2,,5.9,360,46,1024,.6,1.34,,4
184,力林,2025-01-03 16:00,6.4,,4.7,320,44,1024.2,.4,.75,,6
184,力林,2025-01-03 17:00,6,,4.6,320,48,1024.4,.2,.28,,6
184,力林,2025-01-03 18:00,5.4,,5.1,340,50,1024.7,0,.03,,5
184,力林,2025-01-03 19:00,5.2,,3.9,340,47,1025.2,,,,5
184,力林,2025-01-03 20:00,5.3,,3.8,360,48,1025.3,,,,5
184,力林,2025-01-03 21:00,5.2,,2.8,340,49,1025.4,,,,4
184,力林,2025-01-03 22:00,5.4,,3.3,320,48,1025.3,,,,6
184,力林,2025-01-03 23:00,5.4,,3.2,320,49,1025.1,,,,7
184,力林,2025-01-04 00:00,5.7,,3.3,320,46,1025,,,,6
184,力林,2025-01-04 01:00,6,,3.2,320,50,1024.7,,,,7
184,力林,2025-01-04 02:00,6.2,,3.8,290,47,1024.4,,,,8
184,力林,2025-01-04 03:00,6.4,,3,290,48,1024.1,,,,9
184,力林,2025-01-04 04:00,6.9,,4,320,48,1024.1,,,,9
184,力林,2025-01-04 05:00,6.8,,4.9,340,47,1023.9,,,,9
184,力林,2025-01-04 06:00,6.8,,4.1,360,48,1023.8,,,,7
184,力林,2025-01-04 07:00,6.7,,4.5,20,57,1024,,,,8
184,力林,2025-01-04 08:00,6.5,,3.2,360,49,1024.4,0,.01,,6
184,力林,2025-01-04 09:00,6.6,,3.4,320,45,1024.8,.2,.23,,6
184,力林,2025-01-04 10:00,7.2,,3.6,360,53,1025.2,.2,.43,,7
184,力林,2025-01-04 11:00,7.9,,3.4,20,52,1025.6,.3,.82,,6
184,力林,2025-01-04 12:00,8.4,,2.5,340,49,1025.3,.4,1.06,,6
184,力林,2025-01-04 13:00,9.2,,2.8,360,49,1024.8,.7,1.54,,5
184,力林,2025-01-04 14:00,9.9,,3.1,290,47,1024.6,1,2.02,,5
184,力林,2025-01-04 15:00,9.7,,3.8,290,40,1024.3,.8,1.45,,3
184,力林,2025-01-04 16:00,9.9,,3.1,340,40,1024.3,.9,1.24,,3
184,力林,2025-01-04 17:00,8.1,,2.4,320,48,1024.4,.5,.32,,3
184,力林,2025-01-04 18:00,7,,3.2,270,48,1025.2,.1,.04,,2
184,力林,2025-01-04 19:00,6.5,,2.1,320,49,1024.7,,,,0
184,力林,2025-01-04 20:00,5.4,,1.8,160,53,1024.1,,,,0
184,力林,2025-01-04 21:00,4.9,,2.8,180,54,1024.1,,,,1
184,力林,2025-01-04 22:00,4.4,,2.4,160,53,1023.7,,,,2
184,力林,2025-01-04 23:00,3.9,,2.1,180,57,1023.7,,,,0
184,力林,2025-01-05 00:00,3.9,,2.6,180,55,1023.3,,,,7
184,力林,2025-01-05 01:00,4.5,,2.7,160,56,1022.3,,,,10
184,力林,2025-01-05 02:00,4.8,,1.4,160,57,1021.9,,,,10
184,力林,2025-01-05 03:00,5,,1.4,180,58,1021.1,,,,9
184,力林,2025-01-05 04:00,5.2,,1.8,180,58,1021.7,,,,9
184,力林,2025-01-05 05:00,5.4,,1.8,140,55,1021,,,,10
184,力林,2025-01-05 06:00,5.3,,1.5,160,57,1021.9,,,,10
184,力林,2025-01-05 07:00,5.8,,2.6,160,58,1021.5,,,,10
184,力林,2025-01-05 08:00,6.6,,1.6,320,64,1021.6,0,0,,10
184,力林,2025-01-05 09:00,7.1,.1,1.8,140,70,1021.5,0,.01,,10
184,力林,2025-01-05 10:00,8,,2.4,200,66,1021.2,0,.11,,10
184,力林,2025-01-05 11:00,8.8,,1.2,160,59,1020.2,0,.17,,10
184,力林,2025-01-05 12:00,10.3,.1,4.7,230,49,1019.6,0,.36,,10
184,力林,2025-01-05 13:00,11.6,,3.2,250,46,1018,0,.75,,8
184,力林,2025-01-05 14:00,11.9,,4.7,250,48,1017.4,0,.58,,10
184,力林,2025-01-05 15:00,9.7,0,4.2,250,77,1017.5,0,.24,,10
184,力林,2025-01-05 16:00,9.1,,2.7,230,79,1017.3,0,.08,,10
184,力林,2025-01-05 17:00,9.1,,2.6,180,73,1016.8,0,.1,,8
184,力林,2025-01-05 18:00,9.3,2.1,3.1,200,70,1016.3,0,0,,8
184,力林,2025-01-05 19:00,9.4,,2.1,230,67,1016.8,,,,10
184,力林,2025-01-05 20:00,9.1,,3.4,200,75,1017,,,,10
184,力林,2025-01-05 21:00,9.1,.9,3.1,180,75,1016.7,,,,10
184,力林,2025-01-05 22:00,9.2,,1.4,200,75,1016.3,,,,10
184,力林,2025-01-05 23:00,9.5,,3.3,340,81,1016.2,,,,10
184,力林,2025-01-06 00:00,9.1,3.5,2.4,160,86,1015.6,,,,10
184,力林,2025-01-06 01:00,9,,1.2,180,84,1015.1,,,,10
184,力林,2025-01-06 02:00,9.4,,3,200,72,1014.8,,,,8
184,力林,2025-01-06 03:00,9.5,0,3.3,230,65,1014.7,,,,8
184,力林,2025-01-06 04:00,9.6,,3.1,250,60,1014.2,,,,8
184,力林,2025-01-06 05:00,10.6,,4.9,270,52,1013.7,,,,8
184,力林,2025-01-06 06:00,11.1,0,6.4,320,51,1013.7,,,,9
184,力林,2025-01-06 07:00,10.8,,5.3,320,52,1014.1,,,,8
184,力林,2025-01-06 08:00,10.8,,6,320,62,1014.4,0,0,,10
184,力林,2025-01-06 09:00,10.3,0,5.3,320,54,1015,0,.04,,6
184,力林,2025-01-06 10:00,10.2,,6.2,320,53,1015.4,0,.32,,9
184,力林,2025-01-06 11:00,9.7,,7,320,53,1016,0,.34,,9
184,力林,2025-01-06 12:00,9.1,,8.1,320,56,1015.5,0,.34,,10
184,力林,2025-01-06 13:00,8.4,,8.1,320,50,1015.4,0,.68,,7
184,力林,2025-01-06 14:00,8,,8.6,320,45,1015.4,.2,.9,,6
184,力林,2025-01-06 15:00,7.7,,7.4,320,45,1015.6,.3,.87,,8
184,力林,2025-01-06 16:00,7.4,,8.8,320,43,1016.1,.3,.47,,8
184,力林,2025-01-06 17:00,6.9,,8.9,320,52,1016.6,.1,.13,,8
184,力林,2025-01-06 18:00,6.6,0,8.4,320,48,1017.3,0,0,,9
184,力林,2025-01-06 19:00,6.5,,7.4,320,45,1017.8,,,,8
184,力林,2025-01-06 20:00,5.9,,9,320,52,1018.4,,,,9
184,力林,2025-01-06 21:00,5.9,.1,7.5,320,49,1018.6,,,,9
184,力林,2025-01-06 22:00,5.6,,8.4,320,47,1018.8,,,,9
184,力林,2025-01-06 23:00,5.6,,8.1,320,47,1018.9,,,,9
184,力林,2025-01-07 00:00,5.3,0,8.1,320,48,1018.9,,,,9
184,力林,2025-01-07 01:00,5.3,,7.8,320,53,1018.3,,,,8
184,力林,2025-01-07 02:00,5.4,,6.9,320,51,1018,,,,9
184,力林,2025-01-07 03:00,5.3,0,6.9,320,51,1017.9,,,,8
184,力林,2025-01-07 04:00,5.2,,7.3,320,60,1017.7,,,,7
184,力林,2025-01-07 05:00,4.7,,7.6,320,56,1017.5,,,,7
184,力林,2025-01-07 06:00,5,0,8.3,320,56,1017.4,,,,9
184,力林,2025-01-07 07:00,5.3,,8.2,340,44,1018.1,,,,7
184,力林,2025-01-07 08:00,4.7,,7.7,360,60,1018.5,0,0,,8
184,力林,2025-01-07 09:00,5.3,.1,6,340,62,1018.9,.1,.14,,7
184,力林,2025-01-07 10:00,6,,4.7,360,62,1019.5,.4,.64,,7
184,力林,2025-01-07 11:00,6.5,,7.3,320,42,1019.5,.4,.93,,5
184,力林,2025-01-07 12:00,7.1,0,6.6,290,44,1018.7,.6,1.47,,6
184,力林,2025-01-07 13:00,7.5,,6.6,290,41,1018,.5,1.42,,9
184,力林,2025-01-07 14:00,6.9,,6.1,320,43,1017.2,.2,.81,,9
184,力林,2025-01-07 15:00,7.4,0,9.3,320,39,1017.3,.1,.54,,8
184,力林,2025-01-07 16:00,7.2,,8.9,320,43,1017.5,0,.11,,9
184,力林,2025-01-07 17:00,7.1,,8,320,48,1017.9,0,0,,9
184,力林,2025-01-07 18:00,7.2,0,7.7,320,43,1018.2,0,.01,,8
184,力林,2025-01-07 19:00,7.2,,8.1,320,46,1018.4,,,,7
184,力林,2025-01-07 20:00,7.4,,7.2,320,44,1018.6,,,,8
184,力林,2025-01-07 21:00,7.2,0,7.6,320,40,1018.7,,,,7
184,力林,2025-01-07 22:00,7.3,,7.8,320,39,1018.8,,,,7
184,力林,2025-01-07 23:00,7.3,,6.8,320,40,1019.1,,,,8
184,力林,2025-01-08 00:00,7.1,,7.2,320,40,1019.2,,,,4
184,力林,2025-01-08 01:00,7.2,,6.3,320,38,1018.9,,,,6
184,力林,2025-01-08 02:00,7.4,,7.1,290,37,1018.9,,,,8
184,力林,2025-01-08 03:00,7.4,0,7.3,320,42,1018.8,,,,8
184,力林,2025-01-08 04:00,7.6,,7.1,320,37,1018.6,,,,7
184,力林,2025-01-08 05:00,7.5,,7,320,44,1018.7,,,,8
184,力林,2025-01-08 06:00,7.5,0,6.7,320,43,1018.7,,,,8
184,力林,2025-01-08 07:00,7.4,,5.2,340,42,1019.1,,,,8
184,力林,2025-01-08 08:00,7.3,,4.9,320,41,1019.4,0,0,,9
184,力林,2025-01-08 09:00,7.4,,3.9,320,41,1019.7,0,.04,,9
184,力林,2025-01-08 10:00,7.6,,3,290,42,1020.1,0,.17,,9
184,力林,2025-01-08 11:00,7.8,,3.8,290,44,1019.9,0,.29,,9
184,力林,2025-01-08 12:00,7.5,0,3.1,290,47,1019.4,0,.16,,9
184,力林,2025-01-08 13:00,7,,3.8,320,56,1018.6,0,.1,,10
184,力林,2025-01-08 14:00,5.9,,3.8,250,65,1018,0,.03,,10
184,力林,2025-01-08 15:00,5.9,.1,3.1,180,71,1017.4,0,.08,,10
184,力林,2025-01-08 16:00,5.6,,4.4,200,73,1016.9,0,.02,,10
184,力林,2025-01-08 17:00,5.8,,4.1,250,77,1016.9,0,0,,10
184,力林,2025-01-08 18:00,7.4,2.6,7,320,67,1017,0,0,,10
184,力林,2025-01-08 19:00,7.6,,5.1,290,61,1017.2,,,,10
184,力林,2025-01-08 20:00,5.9,,7.6,320,78,1017.9,,,,10
184,力林,2025-01-08 21:00,6.4,.5,6.1,320,75,1018.4,,,,10
184,力林,2025-01-08 22:00,4.8,,5.5,340,77,1019.6,,,,10
184,力林,2025-01-08 23:00,5.6,,7.5,340,64,1019.7,,,,10
184,力林,2025-01-09 00:00,4.9,.9,7.8,340,68,1020.1,,,,10
184,力林,2025-01-09 01:00,4.4,,8.2,360,66,1020.5,,,,9
184,力林,2025-01-09 02:00,4.1,,7.2,340,63,1020.8,,,,9
184,力林,2025-01-09 03:00,3.9,0,8.5,320,58,1020.9,,,,9
184,力林,2025-01-09 04:00,3.1,,7.7,320,71,1021.4,,,,6
184,力林,2025-01-09 05:00,2.7,,7.1,320,56,1021.4,,,,9
184,力林,2025-01-09 06:00,3.1,0,8.3,320,52,1021.7,,,,9
184,力林,2025-01-09 07:00,2.9,,7.2,320,67,1022.1,,,,8
184,力林,2025-01-09 08:00,2.7,,7.2,320,56,1022.6,0,0,,9
184,力林,2025-01-09 09:00,3.2,0,7.3,320,46,1022.8,0,.02,,9
184,力林,2025-01-09 10:00,3.4,,7.8,290,46,1023.1,.1,.33,,9
184,力林,2025-01-09 11:00,3.5,,7.7,320,58,1022.9,.1,.61,,9
184,力林,2025-01-09 12:00,3.4,0,6.9,290,61,1021.9,.3,.93,,7
184,力林,2025-01-09 13:00,4.3,,9.6,290,50,1021,.4,1.15,,7
184,力林,2025-01-09 14:00,3.4,,8.7,290,65,1020.3,.2,.75,,9
184,力林,2025-01-09 15:00,1.9,.4,7.9,360,82,1020.7,0,.3,,9
184,力林,2025-01-09 16:00,1.7,,7.7,340,75,1021.7,0,.2,,9
184,力林,2025-01-09 17:00,1.9,,10.1,320,67,1022,0,.05,,8
184,力林,2025-01-09 18:00,1.2,.4,8.4,340,81,1023.1,0,0,,9
184,力林,2025-01-09 19:00,.2,,8.9,340,69,1024.2,,,.6,9
184,力林,2025-01-09 20:00,.4,,8.4,320,68,1024.7,,,.5,9
184,力林,2025-01-09 21:00,.5,1,9.4,340,74,1025.7,,,.7,9
184,力林,2025-01-09 22:00,-.5,,7.6,340,80,1026.6,,,.8,8
184,力林,2025-01-09 23:00,0,,8.5,360,64,1027.2,,,.7,8
184,力林,2025-01-10 00:00,.3,.5,7.1,360,58,1027.5,,,.7,9
184,力林,2025-01-10 01:00,.8,,6.8,360,61,1027.5,,,.5,8
184,力林,2025-01-10 02:00,.8,,7.4,360,61,1027.8,,,.6,9
184,力林,2025-01-10 03:00,1.1,0,6.1,360,64,1028,,,.5,9
184,力林,2025-01-10 04:00,1.4,,7.6,360,62,1028.1,,,.5,9
184,力林,2025-01-10 05:00,1.1,,7.4,20,65,1028.1,,,.4,9
184,力林,2025-01-10 06:00,1.4,0,6.5,360,64,1028.5,,,.4,9
184,力林,2025-01-10 07:00,1.6,,7.2,20,67,1029.1,,,.4,9
184,力林,2025-01-10 08:00,1.7,,7.1,20,65,1029.5,0,0,.4,9
184,力林,2025-01-10 09:00,2.1,0,5.3,20,67,1029.8,0,.01,.4,9
184,力林,2025-01-10 10:00,2,,7.2,20,70,1030.3,0,.04,.3,9
184,力林,2025-01-10 11:00,2.2,,5.4,360,68,1030.6,0,.18,,9
184,力林,2025-01-10 12:00,2.1,0,6.2,20,70,1030,0,.27,,9
184,力林,2025-01-10 13:00,2.4,,5.5,360,68,1029.2,0,.48,,9
184,力林,2025-01-10 14:00,2.4,,5.1,360,67,1028.6,0,.28,,9
184,力林,2025-01-10 15:00,2.6,0,6.3,20,67,1028.7,0,.35,,9
184,力林,2025-01-10 16:00,2.9,,5.4,360,66,1028.7,0,.18,,9
184,力林,2025-01-10 17:00,3.1,,6,360,65,1029,0,.1,,8
184,力林,2025-01-10 18:00,3,0,4.3,360,61,1028.7,0,0,,6
184,力林,2025-01-10 19:00,3.3,,5.1,320,63,1029,,,,9
184,力林,2025-01-10 20:00,3.8,,5.9,320,58,1029.2,,,,8
184,力林,2025-01-10 21:00,3.8,0,5.7,320,65,1029.3,,,,9
184,力林,2025-01-10 22:00,3.8,,6,290,71,1029.8,,,,8
184,力林,2025-01-10 23:00,4.3,,7,320,58,1029.4,,,,9
184,力林,2025-01-11 00:00,4.3,.5,7.3,320,57,1028.6,,,,8
184,力林,2025-01-11 01:00,4.5,,6,320,50,1028,,,,10
184,力林,2025-01-11 02:00,4.7,,4.7,320,47,1027.7,,,,9
184,力林,2025-01-11 03:00,4.2,0,6.4,340,76,1027.7,,,,9
184,力林,2025-01-11 04:00,3.9,,6.5,20,70,1027.9,,,,9
184,力林,2025-01-11 05:00,3.5,,4.3,360,70,1027.7,,,,9
184,力林,2025-01-11 06:00,2.9,.2,4.4,340,75,1027.8,,,,10
184,力林,2025-01-11 07:00,2.9,,3.5,360,78,1027.7,,,,8
184,力林,2025-01-11 08:00,3.7,,4.5,320,64,1027.8,0,0,,9
184,力林,2025-01-11 09:00,4.5,.2,4.7,320,52,1028,0,.06,,7
184,力林,2025-01-11 10:00,4.8,,4.7,320,49,1028.3,.1,.28,,8
184,力林,2025-01-11 11:00,5.2,,4.5,320,46,1028.2,0,.46,,8
184,力林,2025-01-11 12:00,5.5,,4.9,320,47,1027.4,0,.6,,9
184,力林,2025-01-11 13:00,5.8,,5.4,320,48,1026.5,0,.74,,9
184,力林,2025-01-11 14:00,5.6,,5.2,320,49,1026.1,0,.64,,9
184,力林,2025-01-11 15:00,5.4,,5.3,320,55,1025.2,0,.4,,10
184,力林,2025-01-11 16:00,5.2,,5.5,320,55,1025.1,0,.17,,10
184,力林,2025-01-11 17:00,5.1,,5.6,290,53,1024.9,0,.03,,10
184,力林,2025-01-11 18:00,5.1,0,5,320,52,1024.5,0,0,,10
184,力林,2025-01-11 19:00,5.1,,4.9,320,51,1024.5,,,,10
184,力林,2025-01-11 20:00,5.1,,5.3,320,49,1024.5,,,,9
184,力林,2025-01-11 21:00,5.1,0,5.3,320,46,1024.6,,,,8
184,力林,2025-01-11 22:00,4.9,,5.7,360,63,1024.3,,,,8
184,力林,2025-01-11 23:00,5.1,,5.3,320,56,1024.1,,,,8
184,力林,2025-01-12 00:00,5,,4.3,320,44,1023.6,,,,8
184,力林,2025-01-12 01:00,4.8,,4.5,320,47,1023.2,,,,7
184,力林,2025-01-12 02:00,4.8,,5.7,320,49,1022.6,,,,8
184,力林,2025-01-12 03:00,4.8,,5.7,320,46,1022.7,,,,8
184,力林,2025-01-12 04:00,4.4,,4.7,290,47,1022.5,,,,6
184,力林,2025-01-12 05:00,4.4,,4.6,320,45,1021.9,,,,7
184,力林,2025-01-12 06:00,4.5,,4.8,320,46,1022.1,,,,9
184,力林,2025-01-12 07:00,4.4,,5.1,320,46,1022.3,,,,7
184,力林,2025-01-12 08:00,4.5,,4.9,320,45,1022.4,0,.01,,8
184,力林,2025-01-12 09:00,4.8,,4.4,320,42,1022.7,0,.16,,8
184,力林,2025-01-12 10:00,5,,3.6,360,48,1023.1,.2,.49,,7
184,力林,2025-01-12 11:00,5.2,,2.8,360,51,1023,.1,.52,,8
184,力林,2025-01-12 12:00,6.2,,4.3,360,46,1022.1,.4,1.04,,5
184,力林,2025-01-12 13:00,7.1,,3.7,360,41,1021.4,.7,1.59,,5
184,力林,2025-01-12 14:00,6.5,,3.4,360,46,1020.9,.5,1.28,,7
184,力林,2025-01-12 15:00,5.6,,3.3,360,51,1021,0,.46,,7
184,力林,2025-01-12 16:00,5.8,,3.7,320,47,1021.4,.2,.58,,9
184,力林,2025-01-12 17:00,5.5,,3.8,320,47,1021.5,.1,.19,,7
184,力林,2025-01-12 18:00,5.3,,4,320,51,1022.1,0,.02,,8
184,力林,2025-01-12 19:00,5.5,,4,320,50,1022.5,,,,8
184,力林,2025-01-12 20:00,5.8,,4.1,320,47,1023,,,,9
184,力林,2025-01-12 21:00,6,,5.2,320,42,1023.4,,,,7
184,力林,2025-01-12 22:00,6.1,,5.8,320,51,1023.8,,,,9
184,力林,2025-01-12 23:00,6,,5,320,50,1024.2,,,,9
184,力林,2025-01-13 00:00,6.1,0,5.1,320,46,1024.1,,,,9
184,力林,2025-01-13 01:00,6.1,,5.9,320,45,1024,,,,7
184,力林,2025-01-13 02:00,6,,4,290,48,1023.9,,,,9
184,力林,2025-01-13 03:00,6.1,,4.8,320,49,1023.9,,,,9
184,力林,2025-01-13 04:00,5.8,,3.7,290,44,1024,,,,6
184,力林,2025-01-13 05:00,5.5,,3,320,60,1024.3,,,,7
184,力林,2025-01-13 06:00,5.3,,1.8,320,61,1024.1,,,,9
184,力林,2025-01-13 07:00,5.6,,3.1,20,64,1024.2,,,,9
184,力林,2025-01-13 08:00,5.6,,3.7,340,60,1024.8,0,0,,7
184,力林,2025-01-13 09:00,6,0,2.5,320,57,1025.3,0,.13,,7
184,力林,2025-01-13 10:00,7,,3.9,270,49,1026.2,.2,.46,,8
184,力林,2025-01-13 11:00,7.6,,3.7,270,46,1026.3,.5,1.06,,4
184,力林,2025-01-13 12:00,8.5,,4.2,320,45,1026,.6,1.63,,5
184,力林,2025-01-13 13:00,8.9,,3.5,320,45,1024.8,.7,1.72,,2
184,力林,2025-01-13 14:00,9.2,,3.6,290,45,1024,.7,1.55,,4
184,力林,2025-01-13 15:00,9.8,,3.1,320,44,1023.6,.9,1.74,,1
184,力林,2025-01-13 16:00,9.6,,3.1,340,45,1023.4,.9,1.16,,3
184,力林,2025-01-13 17:00,8.7,,2.1,320,48,1023.4,.8,.52,,0
184,力林,2025-01-13 18:00,7.1,,1.8,270,52,1023.3,.4,.07,,0
184,力林,2025-01-13 19:00,5.9,,1.9,180,59,1023.9,,,,0
184,力林,2025-01-13 20:00,5.1,,1.6,160,59,1023.9,,,,0
184,力林,2025-01-13 21:00,4.9,,1.7,160,61,1023.9,,,,0
184,力林,2025-01-13 22:00,5.3,,1.6,180,59,1023.6,,,,0
184,力林,2025-01-13 23:00,5.5,,2.6,180,57,1023.6,,,,0
184,力林,2025-01-14 00:00,6.3,,3.3,230,54,1023.5,,,,3
184,力林,2025-01-14 01:00,6.7,,2.7,200,55,1023.5,,,,0
184,力林,2025-01-14 02:00,7.5,,3,230,55,1023.1,,,,7
184,力林,2025-01-14 03:00,7.8,,3.2,230,58,1023.1,,,,4
184,力林,2025-01-14 04:00,7.9,,3.5,200,60,1022.9,,,,1
184,力林,2025-01-14 05:00,8,,3.5,200,59,1022.8,,,,3
184,力林,2025-01-14 06:00,8,,3.5,200,60,1022.9,,,,2
184,力林,2025-01-14 07:00,8.1,,3.5,200,61,1023.2,,,,6
184,力林,2025-01-14 08:00,8.5,,3.4,200,59,1023.2,0,0,,4
184,力林,2025-01-14 09:00,9.1,,1.9,200,59,1023.6,0,.13,,7
184,力林,2025-01-14 10:00,11.3,,2.7,230,51,1024.1,.6,.65,,7
184,力林,2025-01-14 11:00,12.7,,3.8,290,49,1023.9,.5,.97,,8
184,力林,2025-01-14 12:00,13.4,,3.8,290,49,1023.3,.8,1.47,,5
184,力林,2025-01-14 13:00,13.6,,3.4,290,48,1022.2,1,1.51,,2
184,力林,2025-01-14 14:00,14.1,,4.3,290,40,1021.3,1,1.78,,3
184,力林,2025-01-14 15:00,14.2,,4.8,290,41,1021.2,1,1.48,,4
184,力林,2025-01-14 16:00,13.7,,4.5,270,41,1021.1,.9,1.03,,3
184,力林,2025-01-14 17:00,12.9,,3.7,270,43,1021.5,.9,.46,,0
184,力林,2025-01-14 18:00,11.7,,2.5,250,47,1021.5,0,.05,,1
184,力林,2025-01-14 19:00,10.7,,2.9,200,49,1021.7,,,,0
184,力林,2025-01-14 20:00,10.1,,1.9,200,48,1021.3,,,,7
184,力林,2025-01-14 21:00,10.3,,4.3,360,69,1021.8,,,,10
184,力林,2025-01-14 22:00,9.9,,5.2,20,65,1022.7,,,,10
184,力林,2025-01-14 23:00,9.1,,4,340,60,1023.5,,,,10
184,力林,2025-01-15 00:00,8.2,0,4.3,340,58,1024.1,,,,10
184,力林,2025-01-15 01:00,7.5,,5.2,360,57,1024.1,,,,10
