,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
0,수원,2021-01-01 01:00,-8.6,,0.9,320.0,85.0,1022.5,,,,0.0
1,수원,2021-01-01 02:00,-9.8,,1.4,230.0,87.0,1022.6,,,,0.0
2,수원,2021-01-01 03:00,-9.8,,1.0,250.0,83.0,1023.1,,,,0.0
3,수원,2021-01-01 04:00,-9.8,,1.5,110.0,84.0,1022.7,,,,0.0
4,수원,2021-01-01 05:00,-9.2,,1.6,160.0,83.0,1022.3,,,,0.0
5,수원,2021-01-01 06:00,-8.9,,1.1,160.0,89.0,1021.9,,,,8.0
6,수원,2021-01-01 07:00,-8.3,,1.5,140.0,89.0,1022.0,,,,8.0
7,수원,2021-01-01 08:00,-8.1,,1.1,160.0,90.0,1022.1,0.0,0.0,,6.0
8,수원,2021-01-01 09:00,-7.4,,1.2,110.0,86.0,1022.4,0.0,0.18,,8.0
9,수원,2021-01-01 10:00,-5.8,,1.1,140.0,79.0,1022.7,0.5,0.6,,8.0
10,수원,2021-01-01 11:00,-3.8,,1.8,160.0,68.0,1022.2,0.7,1.22,,0.0
11,수원,2021-01-01 12:00,-2.1,,1.8,160.0,67.0,1021.1,1.0,1.69,,0.0
12,수원,2021-01-01 13:00,-0.7,,2.5,200.0,67.0,1020.3,1.0,1.78,,1.0
13,수원,2021-01-01 14:00,-0.6,,2.4,200.0,70.0,1019.8,1.0,1.58,,2.0
14,수원,2021-01-01 15:00,-0.5,,2.2,180.0,71.0,1019.7,0.4,0.79,,7.0
15,수원,2021-01-01 16:00,-0.3,,2.1,230.0,71.0,1019.8,0.2,0.61,,7.0
16,수원,2021-01-01 17:00,-1.0,,2.4,200.0,81.0,1019.9,0.0,0.17,,9.0
17,수원,2021-01-01 18:00,-1.7,0.0,1.6,230.0,88.0,1019.9,0.0,0.0,,7.0
18,수원,2021-01-01 19:00,-2.4,,0.4,0.0,90.0,1020.1,,,,0.0
19,수원,2021-01-01 20:00,-3.0,,0.0,0.0,94.0,1020.2,,,,0.0
20,수원,2021-01-01 21:00,-2.7,,0.0,0.0,95.0,1020.6,,,,8.0
21,수원,2021-01-01 22:00,-3.1,,0.5,340.0,95.0,1020.9,,,,8.0
22,수원,2021-01-01 23:00,-3.4,,0.6,250.0,95.0,1021.0,,,,0.0
23,수원,2021-01-02 00:00,-4.1,,0.8,290.0,87.0,1020.7,,,,0.0
24,수원,2021-01-02 01:00,-4.0,,1.5,320.0,64.0,1021.1,,,,2.0
25,수원,2021-01-02 02:00,-3.6,,2.6,340.0,46.0,1021.5,,,,0.0
