,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
0,천안,2021-01-01 01:00,-9.6,,0.4,0.0,95.0,1017.6,,,1.0,0.0
1,천안,2021-01-01 02:00,-10.0,,0.3,0.0,94.0,1017.6,,,1.0,0.0
2,천안,2021-01-01 03:00,-11.0,0.0,0.2,0.0,94.0,1018.2,,,1.0,0.0
3,천안,2021-01-01 04:00,-11.6,,0.5,90.0,93.0,1017.9,,,0.9,1.0
4,천안,2021-01-01 05:00,-12.3,,0.0,0.0,91.0,1017.6,,,0.9,4.0
5,천안,2021-01-01 06:00,-13.0,,0.2,0.0,92.0,1017.3,,,0.9,0.0
6,천안,2021-01-01 07:00,-13.7,,0.4,0.0,90.0,1017.2,,,0.8,9.0
7,천안,2021-01-01 08:00,-13.1,,0.0,0.0,91.0,1017.6,0.0,,0.8,10.0
8,천안,2021-01-01 09:00,-11.2,,0.1,0.0,93.0,1017.9,0.2,,0.6,8.0
9,천안,2021-01-01 10:00,-8.8,,0.0,0.0,93.0,1017.8,0.0,,0.4,8.0
10,천안,2021-01-01 11:00,-6.2,,0.4,0.0,89.0,1017.8,0.0,,0.3,9.0
11,천안,2021-01-01 12:00,-4.5,0.0,0.1,0.0,86.0,1016.8,0.0,,0.3,9.0
12,천안,2021-01-01 13:00,-4.1,,1.1,110.0,85.0,1016.0,0.0,,,8.0
13,천안,2021-01-01 14:00,-3.0,,0.6,50.0,83.0,1015.6,0.1,,,9.0
14,천안,2021-01-01 15:00,-2.4,0.0,0.7,110.0,83.0,1015.1,0.1,,,8.0
15,천안,2021-01-01 16:00,-2.1,,0.5,110.0,88.0,1015.2,0.0,,,8.0
16,천안,2021-01-01 17:00,-2.4,,0.8,110.0,93.0,1015.1,0.0,,,8.0
17,천안,2021-01-01 18:00,-2.6,0.0,0.2,0.0,97.0,1015.1,0.0,,0.7,9.0
18,천안,2021-01-01 19:00,-2.7,,0.8,230.0,99.0,1015.4,,,1.0,8.0
19,천안,2021-01-01 20:00,-2.9,,0.1,0.0,99.0,1015.4,,,1.1,8.0
20,천안,2021-01-01 21:00,-3.7,0.0,0.0,0.0,100.0,1015.5,,,1.1,8.0
21,천안,2021-01-01 22:00,-3.9,,0.6,200.0,99.0,1015.8,,,1.1,9.0
22,천안,2021-01-01 23:00,-3.8,,0.1,0.0,99.0,1015.9,,,1.1,8.0
23,천안,2021-01-02 00:00,-4.4,0.0,0.0,0.0,99.0,1015.5,,,1.1,9.0
24,천안,2021-01-02 01:00,-5.3,,0.4,0.0,99.0,1015.7,,,1.1,0.0
25,천안,2021-01-02 02:00,-5.7,,0.5,290.0,99.0,1016.2,,,1.1,0.0
26,천안,2021-01-02 03:00,-6.5,,0.2,0.0,98.0,1016.4,,,1.0,0.0
27,천안,2021-01-02 04:00,-7.8,,0.0,0.0,97.0,1016.5,,,1.0,0.0
28,천안,2021-01-02 05:00,-9.0,,0.0,0.0,96.0,1016.8,,,1.0,0.0
29,천안,2021-01-02 06:00,-10.7,,0.0,0.0,94.0,1017.3,,,0.9,0.0
30,천안,2021-01-02 07:00,-11.3,,0.0,0.0,94.0,1017.9,,,0.9,0.0
31,천안,2021-01-02 08:00,-11.9,,0.0,0.0,93.0,1018.3,0.0,,0.9,3.0
32,천안,2021-01-02 09:00,-10.6,,0.3,0.0,94.0,1019.2,0.8,,0.5,0.0
33,천안,2021-01-02 10:00,-8.2,,0.3,0.0,96.0,1019.9,1.0,,0.4,0.0
34,천안,2021-01-02 11:00,-5.9,,1.7,230.0,97.0,1020.0,0.8,,0.4,1.0
35,천안,2021-01-02 12:00,-2.1,,2.0,290.0,43.0,1019.9,1.0,,0.5,0.0
36,천안,2021-01-02 13:00,-1.4,,2.6,290.0,40.0,1019.5,1.0,,,0.0
37,천안,2021-01-02 14:00,-1.1,,2.6,270.0,42.0,1019.2,1.0,,,0.0
38,천안,2021-01-02 15:00,-0.8,,3.0,340.0,44.0,1019.0,0.9,,,1.0
39,천안,2021-01-02 16:00,-1.0,,2.5,290.0,45.0,1019.3,1.0,,,0.0
40,천안,2021-01-02 17:00,-2.2,,2.7,290.0,43.0,1020.2,1.0,,,0.0
41,천안,2021-01-02 18:00,-3.0,,1.4,320.0,45.0,1020.9,0.1,,,0.0
42,천안,2021-01-02 19:00,-3.8,,0.4,0.0,51.0,1021.2,,,,0.0
43,천안,2021-01-02 20:00,-5.4,,0.0,0.0,60.0,1021.7,,,,0.0
44,천안,2021-01-02 21:00,-6.5,,0.4,0.0,68.0,1021.5,,,,0.0
45,천안,2021-01-02 22:00,-7.5,,0.5,140.0,79.0,1021.4,,,,0.0
46,천안,2021-01-02 23:00,-8.6,,1.0,90.0,84.0,1020.9,,,,0.0
47,천안,2021-01-03 00:00,-9.1,,0.3,0.0,84.0,1022.6,,,,0.0
