지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
232,천안,2025-01-01 01:00,-5.6,,.2,0,87,1013.5,,,,0
232,천안,2025-01-01 02:00,-5.8,,.2,0,88,1013.9,,,,0
232,천안,2025-01-01 03:00,-5.9,,0,0,89,1013.8,,,,10
232,천안,2025-01-01 04:00,-5.6,,0,0,88,1013.3,,,,0
232,천안,2025-01-01 05:00,-5.3,,.1,0,88,1013.1,,,,10
232,천안,2025-01-01 06:00,-5.4,,.1,0,91,1013.3,,,,10
232,천안,2025-01-01 07:00,-5.1,,0,0,89,1013.6,,,,10
232,천안,2025-01-01 08:00,-5.5,,.3,0,92,1013.7,0,,,0
232,천안,2025-01-01 09:00,-3.7,,0,0,81,1013.8,.6,,,0
232,천안,2025-01-01 10:00,-.5,,.6,140,68,1014,1,,,0
232,천안,2025-01-01 11:00,2.4,,.7,110,58,1014.1,1,,,0
232,천안,2025-01-01 12:00,4.5,,1.1,110,55,1013.4,1,,,0
232,천안,2025-01-01 13:00,7.2,,1.6,230,48,1012.4,1,,,0
232,천안,2025-01-01 14:00,8.6,,3.2,270,41,1011.5,1,,,0
232,천안,2025-01-01 15:00,8.9,,3,270,41,1011.4,1,,,0
232,천안,2025-01-01 16:00,8.9,,2.5,270,39,1011.4,1,,,0
232,천안,2025-01-01 17:00,7.6,,1.3,270,33,1011.6,.9,,,0
232,천안,2025-01-01 18:00,6.2,,1.6,320,49,1011.9,0,,,0
232,천안,2025-01-01 19:00,3.6,,.4,0,61,1012.4,,,,0
232,천안,2025-01-01 20:00,2,,0,0,65,1012.8,,,,0
232,천안,2025-01-01 21:00,.1,,.3,0,76,1013.1,,,,0
232,천안,2025-01-01 22:00,-.8,,0,0,80,1013.3,,,,0
232,천안,2025-01-01 23:00,-1.6,,.1,0,84,1013.5,,,,0
232,천안,2025-01-02 00:00,-1.9,,.3,0,87,1013.6,,,,0
232,천안,2025-01-02 01:00,-2.7,,0,0,89,1013.7,,,,0
232,천안,2025-01-02 02:00,-2.8,,0,0,92,1014,,,,0
232,천안,2025-01-02 03:00,-3.7,,0,0,94,1014.4,,,,0
232,천안,2025-01-02 04:00,-4.1,,.1,0,94,1014.3,,,,0
232,천안,2025-01-02 05:00,-4.7,,0,0,94,1014.4,,,,0
232,천안,2025-01-02 06:00,-5,,.2,0,95,1014.5,,,,0
232,천안,2025-01-02 07:00,-5.4,,0,0,94,1014.9,,,,0
232,천안,2025-01-02 08:00,-5.4,,0,0,95,1015.1,0,,,0
232,천안,2025-01-02 09:00,-3.9,,.1,0,91,1015.8,.9,,,0
232,천안,2025-01-02 10:00,-1,,.2,0,83,1016.2,1,,,2
232,천안,2025-01-02 11:00,2.1,,1,230,65,1015.7,1,,,1
232,천안,2025-01-02 12:00,4.9,,1.9,270,36,1014.9,1,,,0
232,천안,2025-01-02 13:00,6.4,,1.5,340,21,1014.2,1,,,0
232,천안,2025-01-02 14:00,6.4,,1.6,320,23,1013.7,1,,,0
232,천안,2025-01-02 15:00,6.2,,2.1,290,23,1013.9,1,,,0
232,천안,2025-01-02 16:00,5.5,,1.9,290,26,1014.2,1,,,0
232,천안,2025-01-02 17:00,4.4,,1.3,290,30,1014.2,1,,,0
232,천안,2025-01-02 18:00,2.4,,1,290,38,1014.8,.1,,,0
232,천안,2025-01-02 19:00,1.5,,.8,290,42,1015.3,,,,0
232,천안,2025-01-02 20:00,-.3,,1.1,290,49,1015.5,,,,0
232,천안,2025-01-02 21:00,-1.9,,.1,0,60,1015.4,,,,0
232,천안,2025-01-02 22:00,-2.5,,0,0,67,1015.4,,,,0
232,천안,2025-01-02 23:00,-3.3,,.1,0,71,1015.5,,,,6
232,천안,2025-01-03 00:00,-4.1,,.3,0,74,1015.8,,,,6
232,천안,2025-01-03 01:00,-.5,,1.8,290,63,1015.8,,,,0
232,천안,2025-01-03 02:00,-1,,2.5,320,59,1016.1,,,,0
232,천안,2025-01-03 03:00,-1.9,,2,320,45,1016.5,,,,0
232,천안,2025-01-03 04:00,-2.7,,1.1,290,42,1016.2,,,,0
232,천안,2025-01-03 05:00,-3.8,,.9,270,50,1016.2,,,,0
232,천안,2025-01-03 06:00,-5.6,,.3,0,60,1016.2,,,,0
232,천안,2025-01-03 07:00,-6.1,,.4,0,63,1016.7,,,,0
232,천안,2025-01-03 08:00,-7,,.1,0,72,1017.2,0,,,0
232,천안,2025-01-03 09:00,-4.8,,.2,0,66,1017.9,1,,,0
232,천안,2025-01-03 10:00,-1.4,,1.3,230,44,1018,1,,,0
232,천안,2025-01-03 11:00,.3,,1.7,230,35,1017.6,1,,,0
232,천안,2025-01-03 12:00,1.6,,2.4,250,27,1016.9,1,,,0
232,천안,2025-01-03 13:00,2.3,,2.4,270,27,1016.2,1,,,0
232,천안,2025-01-03 14:00,2.9,,2.4,250,31,1015.9,1,,,4
232,천안,2025-01-03 15:00,2.6,,3.7,250,37,1015.8,.8,,,7
232,천안,2025-01-03 16:00,2.8,,1.5,290,40,1015.5,.2,,,8
232,천안,2025-01-03 17:00,1.6,,2.4,270,54,1015.8,0,,,9
232,천안,2025-01-03 18:00,.4,,1.6,270,69,1015.9,0,,,8
232,천안,2025-01-03 19:00,-.9,,.6,320,78,1016,,,,0
232,천안,2025-01-03 20:00,-1.5,,.3,0,80,1016.4,,,,0
232,천안,2025-01-03 21:00,-2.1,,.3,0,85,1016.6,,,,7
232,천안,2025-01-03 22:00,-2.9,,0,0,86,1016.5,,,,0
