지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
121,영월,2020-01-01 01:00,-8.7,,.6,340,68,1002.6,,,,9
121,영월,2020-01-01 02:00,-9,,.4,0,76,1002.3,,,,9
121,영월,2020-01-01 03:00,-8.3,,.5,290,72,1002.1,,,,9
121,영월,2020-01-01 04:00,-7.9,,1.5,270,70,1002.1,,,,9
121,영월,2020-01-01 05:00,-7.3,,.1,0,63,1001.6,,,,9
121,영월,2020-01-01 06:00,-7.3,,.3,0,70,1001.8,,,,10
121,영월,2020-01-01 07:00,-6.6,,.5,250,76,1002.1,,,,9
121,영월,2020-01-01 08:00,-6.4,,.2,0,81,1002.3,0,,,9
121,영월,2020-01-01 09:00,-5.5,0,.2,0,83,1002.8,0,,,9
121,영월,2020-01-01 10:00,-4.8,,.3,0,82,1003,0,,,8
121,영월,2020-01-01 11:00,-3.5,,.7,270,78,1002.7,0,,,8
121,영월,2020-01-01 12:00,-1.7,0,.4,0,74,1001.5,0,,,8
121,영월,2020-01-01 13:00,-.1,,.7,230,68,1000.7,.1,,,
121,영월,2020-01-01 14:00,1.7,,1.6,230,62,1000.3,.3,,,8
121,영월,2020-01-01 15:00,1.1,,2.1,270,61,1000.3,.5,,,9
121,영월,2020-01-01 16:00,1.3,,2.9,250,56,1000.7,.1,,,9
121,영월,2020-01-01 17:00,.9,,2.4,270,61,1001.1,.4,,,7
121,영월,2020-01-01 18:00,0,,2.1,250,68,1001.4,0,,,0
121,영월,2020-01-01 19:00,-.1,,1.2,270,69,1001.6,,,,0
121,영월,2020-01-01 20:00,-.8,,.6,360,72,1001.3,,,,2
121,영월,2020-01-01 21:00,-1.6,,.2,0,78,1001.5,,,,0
121,영월,2020-01-01 22:00,-2,,.6,270,79,1001.2,,,,2
121,영월,2020-01-01 23:00,-2.6,,.3,0,84,1001.5,,,,7
121,영월,2020-01-02 00:00,-2.7,,.1,0,85,1001.6,,,,0
121,영월,2020-01-02 01:00,-2.9,,.4,0,85,1001,,,,3
121,영월,2020-01-02 02:00,-3.2,,.5,270,85,1000.5,,,,0
121,영월,2020-01-02 03:00,-3.5,,0,0,86,1000.2,,,,0
121,영월,2020-01-02 04:00,-3.5,,.5,250,87,1000.1,,,,0
121,영월,2020-01-02 05:00,-3.5,,0,0,86,1000,,,,0
121,영월,2020-01-02 06:00,-3.2,,.1,0,84,1000.4,,,,8
121,영월,2020-01-02 07:00,-3.2,,0,0,85,1000.4,,,,9
121,영월,2020-01-02 08:00,-2.9,,.9,290,85,1000.6,0,,,0
121,영월,2020-01-02 09:00,-2.3,,.7,270,82,1001.3,0,,,8
121,영월,2020-01-02 10:00,-1.2,,.1,0,75,1001.3,0,,,9
121,영월,2020-01-02 11:00,1.1,,.4,0,67,1000.7,.2,,,9
121,영월,2020-01-02 12:00,2.7,,.6,270,57,999.5,.9,,,6
121,영월,2020-01-02 13:00,3.3,,2.3,250,53,998.4,.9,,,
121,영월,2020-01-02 14:00,3.4,,2,290,51,997.6,.6,,,5
121,영월,2020-01-02 15:00,3.5,,2.4,320,52,997.9,.2,,,7
121,영월,2020-01-02 16:00,3.6,,1.2,290,53,998.3,.1,,,9
121,영월,2020-01-02 17:00,3.2,,1.9,250,59,998.2,0,,,
121,영월,2020-01-02 18:00,2.4,,1.8,270,67,998.3,0,,,
121,영월,2020-01-02 19:00,1.8,,1.1,270,71,997.9,,,,5
121,영월,2020-01-02 20:00,1.6,,1.1,290,73,998.3,,,,9
121,영월,2020-01-02 21:00,1,,0,0,76,998.2,,,,9
