지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
152,울산,2021-01-01 01:00,-4.5,,1.5,360,77,1014.7,,,,0
152,울산,2021-01-01 02:00,-3.9,,2.6,340,58,1014.7,,,,0
152,울산,2021-01-01 03:00,-4.1,,2.6,320,56,1014.8,,,,0
152,울산,2021-01-01 04:00,-4.6,,2.6,320,60,1015.4,,,,0
152,울산,2021-01-01 05:00,-5.5,,2.1,320,66,1015.4,,,,0
152,울산,2021-01-01 06:00,-5.6,,1.5,320,67,1016.1,,,,0
152,울산,2021-01-01 07:00,-6.8,,.6,70,73,1016.4,,,,0
152,울산,2021-01-01 08:00,-5.6,,0,0,72,1016.6,.2,,,0
152,울산,2021-01-01 09:00,-3.3,,1.2,180,62,1017.4,1,,,0
152,울산,2021-01-01 10:00,-1.2,,2.1,200,54,1017,1,,,0
152,울산,2021-01-01 11:00,-.1,,3.5,200,50,1016.5,1,,,0
152,울산,2021-01-01 12:00,1.5,,2.8,180,45,1015.3,1,,,1
152,울산,2021-01-01 13:00,2.6,,3.5,200,44,1014.2,1,,,4
152,울산,2021-01-01 14:00,2.6,,3.3,230,43,1013.4,1,,,5
152,울산,2021-01-01 15:00,3.5,,3,270,42,1013.3,.9,,,7
152,울산,2021-01-01 16:00,3,,3.1,270,43,1013.2,.9,,,5
152,울산,2021-01-01 17:00,2.2,,1.6,270,50,1013.5,.2,,,6
152,울산,2021-01-01 18:00,1.1,,1.2,290,55,1013.4,0,,,6
152,울산,2021-01-01 19:00,1.3,,1.1,230,55,1013.7,,,,5
152,울산,2021-01-01 20:00,1.2,,1.8,230,57,1014,,,,8
152,울산,2021-01-01 21:00,.9,,1.6,230,59,1014.3,,,,4
152,울산,2021-01-01 22:00,-.2,,1.8,200,63,1014,,,,4
152,울산,2021-01-01 23:00,0,,1.9,230,57,1014,,,,0
152,울산,2021-01-02 00:00,-.7,,1.1,230,60,1013.8,,,,0
152,울산,2021-01-02 01:00,-1.7,,1,20,64,1013.7,,,,0
152,울산,2021-01-02 02:00,-2.5,,1.7,20,66,1014.1,,,,2
152,울산,2021-01-02 03:00,-2.4,,.8,50,72,1014.2,,,,4
152,울산,2021-01-02 04:00,-1.4,,1.8,340,74,1014.4,,,,8
152,울산,2021-01-02 05:00,-1.1,,1.5,340,74,1014.6,,,,7
152,울산,2021-01-02 06:00,-.7,,2.1,270,68,1014.8,,,,3
152,울산,2021-01-02 07:00,-2.1,,.2,0,74,1015.3,,,,5
152,울산,2021-01-02 08:00,-1.9,,1.4,340,65,1015.8,0,,,4
152,울산,2021-01-02 09:00,.1,,.9,50,56,1016.4,1,,,2
152,울산,2021-01-02 10:00,1,,1.4,20,58,1016.8,1,,,2
152,울산,2021-01-02 11:00,1.4,,2.3,340,43,1016.7,1,,,2
152,울산,2021-01-02 12:00,2.6,,3.1,320,39,1015.7,1,,,1
152,울산,2021-01-02 13:00,2.6,,4.1,320,35,1015.2,1,,,1
152,울산,2021-01-02 14:00,2.6,,4.4,340,31,1015,1,,,0
152,울산,2021-01-02 15:00,2.6,,3.5,340,30,1014.9,1,,,0
152,울산,2021-01-02 16:00,2.4,,3.7,320,27,1015.5,1,,,0
152,울산,2021-01-02 17:00,1.2,,3.6,320,26,1016,.8,,,0
152,울산,2021-01-02 18:00,.3,,3,320,28,1017.2,0,,,0
152,울산,2021-01-02 19:00,-.6,,3.2,320,30,1017.8,,,,0
152,울산,2021-01-02 20:00,-.9,,3.3,320,30,1018.4,,,,0
152,울산,2021-01-02 21:00,-1.2,,2.8,320,31,1018.2,,,,0
152,울산,2021-01-02 22:00,-1.7,,3.1,290,33,1017.8,,,,0
152,울산,2021-01-02 23:00,-2.1,,2.9,290,35,1018.1,,,,0
152,울산,2021-01-03 00:00,-2.1,,2.8,290,34,1018.3,,,,2
152,울산,2021-01-03 01:00,-2.5,,2.1,290,35,1018.6,,,,7
152,울산,2021-01-03 02:00,-2.5,,2.9,320,34,1019.4,,,,6
152,울산,2021-01-03 03:00,-2.5,,3.3,340,36,1019.8,,,,7
152,울산,2021-01-03 04:00,-2.2,,3.3,320,35,1019.7,,,,7
152,울산,2021-01-03 05:00,-2.5,,3.5,320,39,1019.5,,,,9
152,울산,2021-01-03 06:00,-2.3,,3.6,320,39,1020.3,,,,9
152,울산,2021-01-03 07:00,-2.5,,4.7,320,38,1021.1,,,,9
152,울산,2021-01-03 08:00,-2.3,,4.2,320,32,1021.3,0,,,8
152,울산,2021-01-03 09:00,-2.5,,3.2,320,29,1021.6,.1,,,3
152,울산,2021-01-03 10:00,-1.3,,4.3,290,27,1021.7,1,,,1
152,울산,2021-01-03 11:00,0,,3.5,320,25,1021.5,1,,,2
