지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
203,이천,2025-01-01 01:00,-4.4,,.2,0,67,1014.4,,,,0
203,이천,2025-01-01 02:00,-5.6,,.1,0,78,1014.7,,,,0
203,이천,2025-01-01 03:00,-6.2,,.1,0,83,1014.7,,,,0
203,이천,2025-01-01 04:00,-6.2,,.1,0,85,1014,,,,0
203,이천,2025-01-01 05:00,-7.1,,.3,0,90,1014,,,,0
203,이천,2025-01-01 06:00,-7,,0,0,92,1014,,,,0
203,이천,2025-01-01 07:00,-5.3,,.2,0,88,1014.5,,,,9
203,이천,2025-01-01 08:00,-4.9,,.6,70,87,1014.6,0,,,9
203,이천,2025-01-01 09:00,-4.1,,0,0,84,1014.8,0,,,8
203,이천,2025-01-01 10:00,-1.5,,0,0,71,1015.1,.3,,,2
203,이천,2025-01-01 11:00,.6,,.7,360,65,1015.1,.7,,,0
203,이천,2025-01-01 12:00,3,,.5,340,61,1014.2,1,,,0
203,이천,2025-01-01 13:00,4.8,,.9,360,55,1013.2,1,,,0
203,이천,2025-01-01 14:00,7.7,,.9,290,46,1012.4,1,,,0
203,이천,2025-01-01 15:00,8.7,,2.8,250,45,1012,.9,,,0
203,이천,2025-01-01 16:00,8.1,,2.9,230,44,1012.1,1,,,0
203,이천,2025-01-01 17:00,6.4,,2.2,230,51,1012.5,.5,,,0
203,이천,2025-01-01 18:00,4.9,,1.2,230,59,1012.8,0,,,0
203,이천,2025-01-01 19:00,4.9,,2.3,250,65,1013.3,,,,0
203,이천,2025-01-01 20:00,3.1,,.1,0,69,1013.6,,,,0
203,이천,2025-01-01 21:00,2.5,,.3,0,74,1014,,,,0
203,이천,2025-01-01 22:00,1.5,,.4,0,76,1014.3,,,,0
203,이천,2025-01-01 23:00,-.1,,.2,0,85,1014.4,,,,0
203,이천,2025-01-02 00:00,-1.5,,.2,0,89,1014.5,,,,0
203,이천,2025-01-02 01:00,-2.4,,1.1,360,92,1014.5,,,,0
203,이천,2025-01-02 02:00,-2.8,,.1,0,95,1014.9,,,,0
203,이천,2025-01-02 03:00,-4,,0,0,96,1015.3,,,,0
203,이천,2025-01-02 04:00,-4.3,,.5,50,97,1015.4,,,,0
203,이천,2025-01-02 05:00,-5.9,,.6,70,97,1015.6,,,,0
203,이천,2025-01-02 06:00,-5.1,,.1,0,97,1015.6,,,,0
203,이천,2025-01-02 07:00,-5,,.5,250,97,1016,,,,0
203,이천,2025-01-02 08:00,-5.4,,0,0,96,1016.4,0,,,0
203,이천,2025-01-02 09:00,-4.9,,.2,0,96,1017.1,0,,,1
203,이천,2025-01-02 10:00,-2.7,,.9,50,96,1017.4,.3,,,4
203,이천,2025-01-02 11:00,-.6,,.6,50,91,1017,.8,,,4
203,이천,2025-01-02 12:00,1.7,,.9,110,69,1016.3,1,,,1
203,이천,2025-01-02 13:00,4.4,,.9,140,48,1015.3,1,,,0
203,이천,2025-01-02 14:00,6.8,,2.6,270,20,1014.6,1,,,0
203,이천,2025-01-02 15:00,6.8,,1.4,270,22,1014.8,1,,,0
203,이천,2025-01-02 16:00,5.9,,1.8,290,23,1015.2,1,,,0
203,이천,2025-01-02 17:00,4.3,,1.1,270,28,1015,.7,,,0
203,이천,2025-01-02 18:00,2.9,,1.5,270,31,1015.7,0,,,0
203,이천,2025-01-02 19:00,1.5,,.9,250,36,1016.1,,,,0
203,이천,2025-01-02 20:00,.2,,.5,230,39,1016.4,,,,0
203,이천,2025-01-02 21:00,-.8,,.2,0,43,1016.3,,,,0
203,이천,2025-01-02 22:00,-1.6,,.2,0,44,1016.3,,,,0
