瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困)
192,柳林,2014-01-01 01:00,0,,1.6,70,68,1009.3,,,,
192,柳林,2014-01-01 02:00,-1.6,,.6,110,74,1009.5,,,,
192,柳林,2014-01-01 03:00,-2.4,,.1,0,79,1010,,,,0
192,柳林,2014-01-01 04:00,-3.2,,.6,140,85,1010.1,,,,0
192,柳林,2014-01-01 05:00,-3.5,,.7,90,87,1010.4,,,,0
192,柳林,2014-01-01 06:00,-3.7,,.6,90,89,1010.9,,,,0
192,柳林,2014-01-01 07:00,-4.4,,.1,0,92,1011.7,,,,0
192,柳林,2014-01-01 08:00,-4.7,,.5,70,93,1012.1,0,.01,,0
192,柳林,2014-01-01 09:00,-1.9,,.6,140,85,1012.7,.5,.33,,0
192,柳林,2014-01-01 10:00,3.1,,.5,70,69,1013.3,1,.94,,0
192,柳林,2014-01-01 11:00,8,,.9,140,43,1013,1,1.28,,0
192,柳林,2014-01-01 12:00,8.5,,2.7,250,31,1012.4,1,1.6,,0
192,柳林,2014-01-01 13:00,9.2,,4.2,250,27,1011.4,1,1.78,,0
192,柳林,2014-01-01 14:00,10,,2.6,340,24,1011,1,1.75,,0
192,柳林,2014-01-01 15:00,10.3,,2.8,270,25,1011.1,1,1.44,,0
192,柳林,2014-01-01 16:00,10.3,,2.4,270,21,1011.3,1,.93,,0
192,柳林,2014-01-01 17:00,9.4,,3.3,270,17,1011.7,.8,.36,,0
192,柳林,2014-01-01 18:00,8.4,,3,250,20,1012,0,.02,,0
192,柳林,2014-01-01 19:00,8.3,,3.7,250,17,1012.3,,,,
192,柳林,2014-01-01 20:00,8.4,,5.8,250,18,1012.5,,,,0
192,柳林,2014-01-01 21:00,5.8,,1.9,110,22,1013,,,,0
192,柳林,2014-01-01 22:00,6.5,,2.6,160,25,1013.6,,,,0
192,柳林,2014-01-01 23:00,6.3,,1.8,160,30,1014,,,,0
192,柳林,2014-01-02 00:00,-.2,,.5,70,46,1014.1,,,,0
192,柳林,2014-01-02 01:00,-1.6,,.5,180,53,1014.6,,,,
192,柳林,2014-01-02 02:00,-2.2,,.6,140,55,1014.9,,,,
192,柳林,2014-01-02 03:00,-2.6,,.3,0,60,1015.8,,,,0
192,柳林,2014-01-02 04:00,-3.5,,.1,0,63,1015.8,,,,0
192,柳林,2014-01-02 05:00,-4.1,,.2,0,69,1016.2,,,,0
192,柳林,2014-01-02 06:00,-3.9,,.7,340,69,1016.6,,,,0
192,柳林,2014-01-02 07:00,-4.6,,.3,0,73,1017.5,,,,0
192,柳林,2014-01-02 08:00,-4.8,,.1,0,76,1018.4,0,.01,,0
192,柳林,2014-01-02 09:00,-1,,.3,0,65,1019.3,.7,.36,,0
192,柳林,2014-01-02 10:00,3.1,,.2,0,54,1019.8,1,.91,,3
192,柳林,2014-01-02 11:00,4.7,,.8,270,52,1019.4,1,1.1,,5
192,柳林,2014-01-02 12:00,8.8,,1.2,250,28,1018.4,1,1.46,,6
192,柳林,2014-01-02 13:00,10.4,,1.3,230,18,1017.3,1,1.56,,6
192,柳林,2014-01-02 14:00,10.8,,1.5,270,13,1016.7,1,1.83,,6
192,柳林,2014-01-02 15:00,10.9,,1.2,290,15,1016.5,1,1.39,,2
192,柳林,2014-01-02 16:00,10.3,,1.4,230,20,1016.5,1,.93,,0
192,柳林,2014-01-02 17:00,8.5,,.6,180,26,1016.6,.8,.33,,1
192,柳林,2014-01-02 18:00,4.5,,.4,0,46,1016.9,0,.01,,0
192,柳林,2014-01-02 19:00,2.1,,.4,0,54,1017.3,,,,
192,柳林,2014-01-02 20:00,.8,,0,0,58,1017.5,,,,
192,柳林,2014-01-02 21:00,-.1,,.4,0,65,1017.5,,,,3
192,柳林,2014-01-02 22:00,-.7,,.7,270,66,1017.4,,,,
192,柳林,2014-01-02 23:00,-2.2,,0,0,68,1017.7,,,,
192,柳林,2014-01-03 00:00,-3.1,,.1,0,69,1017.7,,,,2
192,柳林,2014-01-03 01:00,-3.6,,0,0,70,1017.3,,,,
192,柳林,2014-01-03 02:00,-3.8,,0,0,71,1017,,,,
192,柳林,2014-01-03 03:00,-4.2,,0,0,69,1016.9,,,,4
192,柳林,2014-01-03 04:00,-4.3,,.1,0,71,1016.7,,,,4
192,柳林,2014-01-03 05:00,-5.1,,0,0,75,1016,,,,1
192,柳林,2014-01-03 06:00,-5.9,,0,0,77,1015.9,,,,2
192,柳林,2014-01-03 07:00,-6.2,,.4,0,77,1015.5,,,,3
192,柳林,2014-01-03 08:00,-5.5,,0,0,76,1015.3,0,.02,,7
192,柳林,2014-01-03 09:00,-3,,.2,0,69,1015.5,0,.2,,7
192,柳林,2014-01-03 10:00,.6,,.5,90,61,1015.4,.4,.49,,7
192,柳林,2014-01-03 11:00,3.1,,.5,250,48,1014.8,1,1.17,,8
192,柳林,2014-01-03 12:00,5.6,,.5,230,40,1013.5,.9,1.27,,8
192,柳林,2014-01-03 13:00,7,,.5,320,34,1012.1,1,1.42,,7
192,柳林,2014-01-03 14:00,8.9,,1,230,24,1011.2,1,1.29,,6
192,柳林,2014-01-03 15:00,10.8,,.9,70,21,1011,1,1.15,,6
192,柳林,2014-01-03 16:00,10.5,,.9,110,22,1011,.9,.91,,6
192,柳林,2014-01-03 17:00,8.2,,.2,0,31,1011.2,.2,.25,,6
192,柳林,2014-01-03 18:00,4.9,,.6,340,51,1011.4,0,.01,,7
192,柳林,2014-01-03 19:00,3.2,,.1,0,57,1011.9,,,,
192,柳林,2014-01-03 20:00,2,,.4,0,60,1012.1,,,,
192,柳林,2014-01-03 21:00,.3,,0,0,62,1012.6,,,,6
192,柳林,2014-01-03 22:00,-1,,.2,0,67,1012.9,,,,
192,柳林,2014-01-03 23:00,-2,,0,0,68,1013.1,,,,
192,柳林,2014-01-04 00:00,-2.6,,0,0,70,1012.8,,,,4
192,柳林,2014-01-04 01:00,-3,,.1,0,73,1012.6,,,,
192,柳林,2014-01-04 02:00,-3.1,,0,0,76,1012.9,,,,
192,柳林,2014-01-04 03:00,-2.7,,.1,0,75,1013.2,,,,6
192,柳林,2014-01-04 04:00,-2.7,,0,0,75,1013.2,,,,6
192,柳林,2014-01-04 05:00,-2.2,,.1,0,76,1013,,,,5
192,柳林,2014-01-04 06:00,-2.8,,.2,0,79,1013.4,,,,4
192,柳林,2014-01-04 07:00,-3.9,,.1,,82,1013.8,,,,2
192,柳林,2014-01-04 08:00,-4.1,,.1,,83,1014.3,0,.01,,3
192,柳林,2014-01-04 09:00,-1.2,,.2,,71,1014.8,.6,.37,,3
192,柳林,2014-01-04 10:00,3,,.7,270,63,1015.2,1,.94,,3
192,柳林,2014-01-04 11:00,6,,1.2,200,48,1014.6,1,1.36,,0
192,柳林,2014-01-04 12:00,7.8,,1.1,290,39,1013.5,1,1.68,,0
192,柳林,2014-01-04 13:00,8.6,,1.8,200,33,1012.4,1,1.84,,0
192,柳林,2014-01-04 14:00,9.5,,1.4,70,26,1011.8,1,1.74,,0
192,柳林,2014-01-04 15:00,9.9,,1.4,50,25,1012.2,1,1.45,,0
192,柳林,2014-01-04 16:00,9.6,,1.4,110,24,1012.3,1,.95,,0
192,柳林,2014-01-04 17:00,6.8,,.5,180,35,1013,.8,.36,,0
192,柳林,2014-01-04 18:00,3.1,,.2,0,48,1013.2,0,.01,,0
192,柳林,2014-01-04 19:00,2.4,,.6,290,63,1014.1,,,,
192,柳林,2014-01-04 20:00,0,,.9,50,58,1014.5,,,,
192,柳林,2014-01-04 21:00,-1.3,,0,0,63,1015.1,,,,0
192,柳林,2014-01-04 22:00,-1.9,,.2,0,65,1015.4,,,,
192,柳林,2014-01-04 23:00,-2.7,,.3,0,69,1015.6,,,,
192,柳林,2014-01-05 00:00,-3.2,,.2,0,69,1015.9,,,,0
192,柳林,2014-01-05 01:00,-3.7,,0,0,72,1016.2,,,,
192,柳林,2014-01-05 02:00,-3.6,,0,0,73,1016.6,,,,
192,柳林,2014-01-05 03:00,-4.6,,0,0,77,1017.1,,,,0
192,柳林,2014-01-05 04:00,-4.9,,.1,0,77,1017.4,,,,0
192,柳林,2014-01-05 05:00,-5.1,,0,0,78,1017.5,,,,0
192,柳林,2014-01-05 06:00,-5.7,,0,0,79,1017.7,,,,0
192,柳林,2014-01-05 07:00,-5.8,,0,0,82,1018.4,,,,0
192,柳林,2014-01-05 08:00,-5.8,,0,0,81,1018.6,0,.01,,0
192,柳林,2014-01-05 09:00,-2.1,,.2,,67,1019,.7,.42,,0
192,柳林,2014-01-05 10:00,2,,.3,,54,1019,1,1.15,,0
192,柳林,2014-01-05 11:00,4.5,,1,290,42,1018.6,1,1.5,,0
192,柳林,2014-01-05 12:00,6.4,,1.1,270,35,1017,1,1.79,,0
192,柳林,2014-01-05 13:00,8.5,,1.4,230,21,1016.2,1,1.96,,0
192,柳林,2014-01-05 14:00,10.3,,1.4,270,10,1016.1,1,1.92,,0
192,柳林,2014-01-05 15:00,9.5,,3,50,13,1016.4,1,1.61,,0
192,柳林,2014-01-05 16:00,9,,4,360,16,1016.9,1,1.09,,0
192,柳林,2014-01-05 17:00,8,,3.6,340,19,1017.5,.8,.42,,0
192,柳林,2014-01-05 18:00,6.5,,2.3,360,20,1018.2,0,.02,,0
192,柳林,2014-01-05 19:00,5,,.9,20,23,1019.2,,,,
192,柳林,2014-01-05 20:00,2,,.6,20,33,1019.8,,,,
192,柳林,2014-01-05 21:00,-.3,,.4,0,44,1020.6,,,,0
192,柳林,2014-01-05 22:00,-1.3,,.1,0,50,1021.3,,,,
192,柳林,2014-01-05 23:00,-1,,.5,110,48,1021.4,,,,
192,柳林,2014-01-06 00:00,-3,,.2,0,58,1021.1,,,,0
192,柳林,2014-01-06 01:00,-3.6,,.5,70,59,1021.3,,,,
192,柳林,2014-01-06 02:00,-4,,.1,0,62,1022,,,,
192,柳林,2014-01-06 03:00,-4.6,,.3,0,66,1022.9,,,,0
192,柳林,2014-01-06 04:00,-5.2,,.5,50,68,1023.1,,,,0
192,柳林,2014-01-06 05:00,-5.6,,0,0,72,1023.2,,,,0
192,柳林,2014-01-06 06:00,-6.3,,0,0,75,1023.7,,,,0
192,柳林,2014-01-06 07:00,-6.7,,0,0,76,1024.2,,,,0
192,柳林,2014-01-06 08:00,-6.7,,.2,0,76,1024.6,0,.01,,0
192,柳林,2014-01-06 09:00,-2.8,,0,0,61,1025.2,.8,.39,,0
192,柳林,2014-01-06 10:00,1.5,,.3,0,51,1025.6,1,1,,0
192,柳林,2014-01-06 11:00,3.7,,.9,250,41,1025.5,1,1.4,,0
192,柳林,2014-01-06 12:00,6.4,,.8,290,27,1024.5,1,1.7,,0
192,柳林,2014-01-06 13:00,8.1,,1.5,90,22,1023.7,1,1.87,,0
192,柳林,2014-01-06 14:00,7.9,,1.6,140,20,1023.2,1,1.81,,0
192,柳林,2014-01-06 15:00,8.5,,1.3,90,20,1023.2,1,1.5,,0
192,柳林,2014-01-06 16:00,8.1,,1.6,90,20,1023.2,1,1,,0
192,柳林,2014-01-06 17:00,5.6,,.5,140,31,1023.4,.9,.4,,0
192,柳林,2014-01-06 18:00,2.2,,.1,0,41,1023.5,0,.02,,0
192,柳林,2014-01-06 19:00,.1,,.2,0,50,1024,,,,
192,柳林,2014-01-06 20:00,-1.5,,.1,0,56,1024.3,,,,
192,柳林,2014-01-06 21:00,-2.2,,.3,0,59,1024.4,,,,0
192,柳林,2014-01-06 22:00,-3.5,,.3,0,63,1024.5,,,,
192,柳林,2014-01-06 23:00,-4.3,,.4,0,67,1024.5,,,,
192,柳林,2014-01-07 00:00,-4.8,,.1,0,68,1024.1,,,,0
192,柳林,2014-01-07 01:00,-5.3,,0,0,70,1023.7,,,,
