날짜,발전기명,설비용량(MW),시간,해당 시간 발전량(kWh),해당날짜 총 발전량(kMh),주소지
2023-01-01,장흥풍력,18.0,01시,1763.059,87068.208,전남 장흥군 유치면 용문리 산4번지 외 3필지
2023-01-02,장흥풍력,18.0,01시,5494.554,143377.625,전남 장흥군 유치면 용문리 산4번지 외 4필지
2023-01-03,장흥풍력,18.0,01시,8764.674,147472.142,전남 장흥군 유치면 용문리 산4번지 외 5필지
2023-01-04,장흥풍력,18.0,01시,10932.701,116308.377,전남 장흥군 유치면 용문리 산4번지 외 6필지
2023-01-05,장흥풍력,18.0,01시,154.756,23318.952,전남 장흥군 유치면 용문리 산4번지 외 7필지
2023-01-06,장흥풍력,18.0,01시,211.162,16477.876,전남 장흥군 유치면 용문리 산4번지 외 8필지
2023-01-07,장흥풍력,18.0,01시,3014.122,144818.152,전남 장흥군 유치면 용문리 산4번지 외 9필지
2023-01-08,장흥풍력,18.0,01시,2019.057,25774.792,전남 장흥군 유치면 용문리 산4번지 외 10필지
2023-01-09,장흥풍력,18.0,01시,1590.947,94189.871,전남 장흥군 유치면 용문리 산4번지 외 11필지
2023-01-10,장흥풍력,18.0,01시,6959.672,62710.806,전남 장흥군 유치면 용문리 산4번지 외 12필지
2023-01-11,장흥풍력,18.0,01시,7.232,2685.807,전남 장흥군 유치면 용문리 산4번지 외 13필지
2023-01-12,장흥풍력,18.0,01시,183.682,35336.387,전남 장흥군 유치면 용문리 산4번지 외 14필지
2023-01-13,장흥풍력,18.0,01시,1479.581,34394.835,전남 장흥군 유치면 용문리 산4번지 외 15필지
2023-01-14,장흥풍력,18.0,01시,701.463,55270.957,전남 장흥군 유치면 용문리 산4번지 외 16필지
2023-01-15,장흥풍력,18.0,01시,1674.834,191489.316,전남 장흥군 유치면 용문리 산4번지 외 17필지
2023-01-16,장흥풍력,18.0,01시,10290.537,214737.399,전남 장흥군 유치면 용문리 산4번지 외 18필지
2023-01-17,장흥풍력,18.0,01시,5896.629,183168.664,전남 장흥군 유치면 용문리 산4번지 외 19필지
2023-01-18,장흥풍력,18.0,01시,5929.895,46131.69,전남 장흥군 유치면 용문리 산4번지 외 20필지
2023-01-19,장흥풍력,18.0,01시,1.446,24542.531,전남 장흥군 유치면 용문리 산4번지 외 21필지
2023-01-20,장흥풍력,18.0,01시,2642.419,155392.168,전남 장흥군 유치면 용문리 산4번지 외 22필지
2023-01-21,장흥풍력,18.0,01시,9467.583,83514.61,전남 장흥군 유치면 용문리 산4번지 외 23필지
2023-01-22,장흥풍력,18.0,01시,6677.64,22381.737,전남 장흥군 유치면 용문리 산4번지 외 24필지
2023-01-23,장흥풍력,18.0,01시,498.979,105011.205,전남 장흥군 유치면 용문리 산4번지 외 25필지
2023-01-24,장흥풍력,18.0,01시,2059.554,86747.127,전남 장흥군 유치면 용문리 산4번지 외 26필지
2023-01-25,장흥풍력,18.0,01시,3717.032,59258.45,전남 장흥군 유치면 용문리 산4번지 외 27필지
2023-01-26,장흥풍력,18.0,01시,94.011,7743.575,전남 장흥군 유치면 용문리 산4번지 외 28필지
2023-01-27,장흥풍력,18.0,01시,3080.653,99328.63,전남 장흥군 유치면 용문리 산4번지 외 29필지
2023-01-28,장흥풍력,18.0,01시,8109.493,114697.179,전남 장흥군 유치면 용문리 산4번지 외 30필지
2023-01-29,장흥풍력,18.0,01시,2496.341,33851.022,전남 장흥군 유치면 용문리 산4번지 외 31필지
2023-01-30,장흥풍력,18.0,01시,6904.712,91687.743,전남 장흥군 유치면 용문리 산4번지 외 32필지
2023-01-31,장흥풍력,18.0,01시,461.375,10267.394,전남 장흥군 유치면 용문리 산4번지 외 33필지
2023-02-01,장흥풍력,18.0,01시,1034.116,125194.543,전남 장흥군 유치면 용문리 산4번지 외 34필지
2023-02-02,장흥풍력,18.0,01시,7016.078,102812.803,전남 장흥군 유치면 용문리 산4번지 외 35필지
2023-02-03,장흥풍력,18.0,01시,6926.406,117623.076,전남 장흥군 유치면 용문리 산4번지 외 36필지
2023-02-04,장흥풍력,18.0,01시,4321.592,134922.462,전남 장흥군 유치면 용문리 산4번지 외 37필지
2023-02-05,장흥풍력,18.0,01시,5520.587,14184.02,전남 장흥군 유치면 용문리 산4번지 외 38필지
2023-02-06,장흥풍력,18.0,01시,0.0,6647.267,전남 장흥군 유치면 용문리 산4번지 외 39필지
2023-02-07,장흥풍력,18.0,01시,779.564,43035.129,전남 장흥군 유치면 용문리 산4번지 외 40필지
2023-02-08,장흥풍력,18.0,01시,3664.964,135324.535,전남 장흥군 유치면 용문리 산4번지 외 41필지
2023-02-09,장흥풍력,18.0,01시,8164.453,84664.433,전남 장흥군 유치면 용문리 산4번지 외 42필지
