날짜,발전기명,용량_메가와트,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,합계,주소지
2023-01-01,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,739.2,2889.6,5366.4,6902.4,7324.8,6672,5836.8,3225.6,1526.4,105.6,0,0,0,0,0,0,40588.8,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-01-02,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,1372.8,3792,7334.4,8515.2,9532.8,9456,8332.8,5942.4,2563.2,182.4,0,0,0,0,0,0,57024,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-01-03,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,796.8,4252.8,7027.2,8198.4,9264,8448,3916.8,4723.2,1862.4,182.4,0,0,0,0,0,0,48672,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-01-04,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,1065.6,3552,5788.8,7516.8,8313.6,7632,3868.8,1843.2,998.4,163.2,0,0,0,0,0,0,40742.4,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-01-05,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,48,240,2102.4,4233.6,4915.2,3580.8,4473.6,2822.4,1372.8,124.8,0,0,0,0,0,0,23913.6,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-01-06,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,393.6,2678.4,4588.8,6105.6,7094.4,6892.8,5971.2,4953.6,288,105.6,0,0,0,0,0,0,39072,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-01-07,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,451.2,2745.6,5347.2,6163.2,4070.4,5376,6758.4,4790.4,2246.4,249.6,0,0,0,0,0,0,38198.4,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-01-08,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,1056,3475.2,5625.6,7027.2,7478.4,7161.6,6144,4320,1872,192,0,0,0,0,0,0,44352,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-01-09,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,576,2371.2,3004.8,3379.2,6403.2,3091.2,2457.6,3523.2,1401.6,220.8,0,0,0,0,0,0,26428.8,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-01-10,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,1459.2,4512,7286.4,8764.8,9072,8774.4,7612.8,4416,1651.2,288,0,0,0,0,0,0,53836.8,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-01-11,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,950.4,3619.2,6326.4,7843.2,8256,7641.6,6806.4,5126.4,2534.4,288,0,0,0,0,0,0,49392,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-01-12,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,1238.4,4128,6854.4,8342.4,7641.6,3792,2323.2,1353.6,710.4,96,0,0,0,0,0,0,36480,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-01-13,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,9.6,28.8,211.2,1507.2,825.6,2505.6,2476.8,1411.2,220.8,28.8,0,0,0,0,0,0,9225.6,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
2023-01-14,(군산)영암F1태양광,13.296,0,0,0,0,0,0,0,0,48,182.4,720,1334.4,2131.2,1132.8,796.8,681.6,163.2,9.6,0,0,0,0,0,0,7200,전라남도 영암군 삼호읍 에프원로 2 영암 F1 태양광 발전소
