설비용량(MW),연식(년),기온(°C),풍속(m/s)_cubed,습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),풍향_sin,풍향_cos,시간_sin,시간_cos,월_sin,월_cos,블레이드,air_density,absolute_humidity,계절_encoded,실제,예측,오차,절대오차,발전구분
4.2,0.6,18.0,2.197,69.0,14.2,12.2,1008.0,-0.766044443,-0.64278761,0.866025404,0.5,0.866025404,-0.5,68.0,1.19967105,10.80046703,2,4047.3776,290.48152010684134,3756.8960798931585,3756.8960798931585,어음풍력
4.2,0.9,18.5,12.166999999999998,78.0,16.5,14.5,1012.4,0.342020143,-0.939692621,-0.5,0.866025404,-1.0,-1.84e-16,68.0,1.201800215,12.49686258,0,3366.0368,351.17741213936824,3014.8593878606316,3014.8593878606316,어음풍력
4.2,0.4,11.7,3.375,57.0,7.8,3.4,1020.5,0.939692621,-0.342020143,0.5,-0.866025404,0.866025404,0.5,68.0,1.244450067,6.134884031,2,3285.4304,345.9335817450192,2939.496818254981,2939.496818254981,어음풍력
4.2,0.6,20.6,15.625,66.0,16.0,14.0,1008.3,0.766044443,0.64278761,0.866025404,-0.5,0.866025404,-0.5,68.0,1.188612785,12.06870915,2,3423.8176,489.5749600235431,2934.2426399764568,2934.2426399764568,어음풍력
4.2,0.5,20.9,6.858999999999999,68.0,16.7,14.7,1008.0,-0.64278761,0.766044443,-0.965925826,0.258819045,0.866025404,-0.5,68.0,1.186689685,12.63384335,2,4082.9488,1158.1764989084913,2924.772301091509,2924.772301091509,어음풍력
4.2,1.3,3.8,636.0559999999999,50.0,4.0,-5.6,1017.8,-0.342020143,0.939692621,-0.707106781,-0.707106781,0.5,0.866025404,68.0,1.278369413,3.251262169,1,641.144,3556.727418685099,-2915.583418685099,2915.583418685099,어음풍력
4.2,1.4,10.4,5.832000000000001,69.0,8.7,4.9,1013.0,0.342020143,-0.939692621,1.0,6.12e-17,1.0,6.12e-17,68.0,1.240539379,6.775905671,2,3960.656,1076.464306275684,2884.191693724316,2884.191693724316,어음풍력
4.2,0.7,28.9,0.008000000000000002,69.0,27.4,22.6,1006.2,0.0,1.0,-0.258819045,0.965925826,1.22e-16,-1.0,68.0,1.148522062,20.11566923,3,607.0736,3486.564753716433,-2879.491153716433,2879.491153716433,어음풍력
4.2,0.8,29.8,17.576,73.0,30.6,24.4,1004.8,0.939692621,-0.342020143,0.5,0.866025404,-0.5,-0.866025404,68.0,1.142132399,22.28540361,3,3406.1776,532.2488066974875,2873.9287933025125,2873.9287933025125,어음풍력
4.2,0.5,21.9,46.656000000000006,62.0,16.2,14.2,1008.5,0.766044443,0.64278761,-0.965925826,-0.258819045,0.866025404,-0.5,68.0,1.183487334,12.26548032,2,4084.528,1211.5992559032748,2872.928744096725,2872.928744096725,어음풍력
4.2,0.1,16.7,39.303999999999995,83.0,15.7,13.7,1018.3,1.0,6.12e-17,0.258819045,-0.965925826,-0.5,0.866025404,68.0,1.216733156,11.90454152,1,3584.9744,802.9762596435903,2781.9981403564097,2781.9981403564097,어음풍력
4.2,1.4,20.9,9.261000000000001,74.0,18.2,16.0,997.5,0.766044443,0.64278761,0.5,-0.866025404,0.866025404,0.5,68.0,1.173586144,13.6878228,2,67.1552,2831.2191848300863,-2764.063984830086,2764.063984830086,어음풍력
4.2,0.6,18.0,1.0,67.0,13.7,11.7,1008.2,-0.939692621,-0.342020143,1.0,6.12e-17,0.866025404,-0.5,68.0,1.200096935,10.50351984,2,3107.832,383.99079017713666,2723.841209822863,2723.841209822863,어음풍력
4.2,1.5,22.3,1.0,60.0,16.1,14.1,1011.7,0.342020143,0.939692621,-1.0,-1.84e-16,0.866025404,-0.5,68.0,1.185718902,12.16751318,2,4025.1568,1315.3848518556333,2709.771948144367,2709.771948144367,어음풍력
4.2,1.3,14.1,9.261000000000001,84.0,13.5,11.4,1013.1,0.342020143,0.939692621,-0.258819045,-0.965925826,0.866025404,0.5,68.0,1.222477235,10.28157538,2,3923.08,1244.41974026378,2678.66025973622,2678.66025973622,어음풍력
4.2,1.5,16.2,2.197,58.0,10.6,7.9,1011.0,-0.766044443,-0.64278761,-0.707106781,0.707106781,1.0,6.12e-17,68.0,1.212365303,8.224201834,2,4036.0208,1383.2871025204659,2652.733697479534,2652.733697479534,어음풍력
4.2,1.5,18.3,4.096000000000001,60.0,12.5,10.3,1011.0,-2.45e-16,1.0,-0.5,0.866025404,0.866025404,-0.5,68.0,1.202754405,9.630622109,2,3285.4864,660.2385340834735,2625.2478659165263,2625.2478659165263,어음풍력
4.2,1.5,21.8,35.937,83.0,21.6,18.7,1006.7,1.0,6.12e-17,-0.5,-0.866025404,0.866025404,-0.5,68.0,1.179359108,16.07745484,2,4020.2064,1423.2479468982492,2596.958453101751,2596.958453101751,어음풍력
4.2,0.4,15.1,4.096000000000001,63.0,10.7,8.0,1016.2,0.766044443,0.64278761,-1.0,-1.84e-16,0.866025404,0.5,68.0,1.22321649,8.32098004,2,3285.9568,703.4745896031382,2582.482210396862,2582.482210396862,어음풍력
