지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
12,2007-11-30,,안면도(감),충청남도 태안군 안면읍 승언리,,36.5333,126.3167,60,,,,
13,2012-01-01,,고산센터,,,33.3,126.16,71,,,,
65,1900-01-01,,사리원,,,38.5167,125.7667,52,,,,
67,1900-01-01,,신계,,,38.5,126.5333,100,,,,
68,1900-01-01,,용연,,,38.2,124.8833,5,,,,
69,1900-01-01,,해주,,,38.0333,125.7,81,,,,
70,1900-01-01,,개성,,,37.9667,126.5667,70,,,,
75,1900-01-01,,평강,,,38.4,127.3,371,,,,
90,2006-12-08,,속초,,강릉(구 105),38.2509,128.5647,18.06,,,,
90,1968-01-01,,속초,강원특별자치도 고성군 토성면 봉포리,속초기상대(90),38.2509,128.5647,17.53,18.73,1.7,10,1.4
92,2002-02-25,,양양공항,강원특별자치도 양양군 손양면 동호리,,38.0667,128.6667,75.4,72,1.5,10,0.5
93,2016-09-30,,북춘천,,춘천기상대(101),37.9475,127.7547,95.61,,,,
93,2016-10-01,,북춘천,강원특별자치도 춘천시 신북읍 산천리,춘천기상대(101),37.9474,127.7544,95.78,96.78,1.5,10,1.4
94,2004-05-18,,광덕산,,춘천기상대(101),38.1172,127.4333,1066,,,,
95,1988-01-01,,철원,강원특별자치도 철원군 갈말읍 군탄리,춘천기상대(101),38.1479,127.3042,155.48,156.98,1.8,13,1.5
96,2020-10-23,,독도,경상북도 울릉군 울릉읍 독도리,울릉도기상대(115),37.2395,131.8698,99.08,,,,
96,2009-10-27,2020-10-23,독도,경상북도 울릉군 울릉읍 독도리,울릉도기상대(115),37.2395,131.8698,96.15,,,,
98,1998-02-01,,동두천,경기도 동두천시 생연동,수도권기상청(119),37.9019,127.0607,115.62,116.74,1.7,10,1
99,2013-10-22,,파주,경기도 파주시 문산읍 운천리,수도권기상청(119),37.8859,126.7665,30.59,31.99,1.7,10,1
99,2001-12-07,2013-10-22,문산,경기도 파주시 문산읍 운천리,파주기상대(99),37.8859,126.7665,29.42,31.4,1.7,10,0.5
100,2006-11-07,,대관령,(산지)강원특별자치도 평창군 대관령면 횡계리,대관령기상대(100),37.6771,128.7183,772.43,773.43,1.7,10,1.4
100,2005-04-28,,대관령,,강릉(구 105),37.6771,128.7183,772.57,,,,
100,1971-07-15,2006-11-07,대관령,(산지)강원도 평창군 대관령면 횡계리,,37.6869,128.7587,842.52,843.96,1.5,10,1.6
101,1966-01-01,,춘천,강원특별자치도 춘천시 우두동,춘천기상대(101),37.9026,127.7357,75.82,77.05,1.5,10,1.4
101,2006-12-08,2016-09-29,춘천,,춘천기상대(101),37.9026,127.7357,76.47,,,,
102,2018-05-01,,백령도,,백령도기상대(102),37.974,124.7124,36,,,,
102,2015-06-17,2018-05-01,백령도,인천광역시 옹진군 백령면 연화리,백령도기상대(102),37.9661,124.6305,146,,,9.4,
102,2000-11-01,2018-05-01,백령도,인천광역시 옹진군 백령면 연화리,백령도기상대(102),37.9661,124.6305,146,147.2,1.8,9,1.2
102,2003-03-22,2018-05-01,백령도,,백령도기상대(102),37.9661,124.6305,144.86,,,,
102,2000-01-31,2015-06-17,백령,인천광역시 옹진군 백령면 연화리,백령도기상대(102),37.9661,124.6305,144.86,,,9.4,
104,2008-07-28,,북강릉,강원특별자치도 강릉시 사천면 방동리,강릉(구 105),37.8046,128.8554,75.24,76.67,1.7,10,1.4
